"Full hydrological years [yr BP]","Average yearly mean temperature [degree C]"
21998,-12.0158701578776
21997,-9.72577006022133
21996,-8.69983393351235
21995,-8.47429504394529
21994,-7.50935846964516
21993,-6.84050979614256
21992,-8.94446029663084
21991,-7.78422648111977
21990,-8.35800399780271
21989,-11.6616577148437
21988,-8.28897959391274
21987,-9.03838577270506
21986,-6.41231892903644
21985,-9.28698196411131
21984,-8.24505335489907
21983,-7.36834564208982
21982,-7.56796112060545
21981,-7.46889851888019
21980,-7.85087560017901
21979,-8.7003832499186
21978,-5.77066396077472
21977,-8.58070475260414
21976,-7.14404144287107
21975,-5.48087666829425
21974,-7.19438781738279
21973,-6.94286193847654
21972,-9.18720347086586
21971,-6.89912516276039
21970,-8.95982335408526
21969,-7.56320292154946
21968,-8.76129252115883
21967,-6.10419311523435
21966,-8.28755035400388
21965,-10.1207514444987
21964,-7.82349878946938
21963,-7.29693196614581
21962,-7.55931955973305
21961,-7.48984120686847
21960,-8.93651428222654
21959,-9.80693791707355
21958,-7.77677764892576
21957,-6.86476491292315
21956,-6.42585347493487
21955,-6.40021107991534
21954,-8.67546056111651
21953,-7.25330708821612
21952,-9.3871139526367
21951,-9.08579101562498
21950,-7.19114913940427
21949,-8.04169311523435
21948,-7.28407897949216
21947,-7.44768371582029
21946,-7.58379592895506
21945,-7.89461491902667
21944,-5.91301320393878
21943,-9.6574996948242
21942,-6.94337310791013
21941,-10.5736704508463
21940,-6.53640085856118
21939,-7.36257654825844
21938,-7.42375284830727
21937,-8.14724833170571
21936,-9.94845809936521
21935,-9.26057027180987
21934,-4.93236643473305
21933,-6.03092422485349
21932,-8.79050165812172
21931,-7.3952697753906
21930,-8.36004358927407
21929,-8.33487930297849
21928,-6.20268351236977
21927,-9.35483525594073
21926,-6.66323445638019
21925,-7.33119303385414
21924,-8.13366165161131
21923,-8.42023951212563
21922,-9.99087244669594
21921,-9.12702280680336
21920,-10.0375401814778
21919,-7.35079803466795
21918,-6.37982533772784
21917,-8.22948684692381
21916,-7.59340006510414
21915,-6.73528518676756
21914,-8.59887542724607
21913,-8.79937464396157
21912,-7.63061370849607
21911,-8.42221552530922
21910,-9.10538965861
21909,-6.12941970825193
21908,-7.58870162963865
21907,-5.92914174397784
21906,-8.75683186848956
21905,-6.71201934814451
21904,-7.87218322753904
21903,-7.62953669230141
21902,-7.91794560750323
21901,-7.45478159586586
21900,-10.22195409139
21899,-7.27689971923826
21898,-10.0311747233073
21897,-7.38966979980466
21896,-8.20501429239907
21895,-7.58712488810219
21894,-6.60996983846026
21893,-8.33497721354164
21892,-12.213175201416
21891,-8.45656178792315
21890,-11.6692337036133
21889,-7.53547770182289
21888,-13.6874577840169
21887,-9.70692799886065
21886,-7.01625925699868
21885,-6.93765741984047
21884,-7.30219879150388
21883,-7.77717183430987
21882,-12.418569946289
21881,-8.24071858723956
21880,-7.43388722737628
21879,-8.90504302978513
21878,-7.89007161458331
21877,-6.94024124145506
21876,-6.78473765055336
21875,-10.063469950358
21874,-11.7717753092448
21873,-9.65585810343422
21872,-9.02912114461261
21871,-6.41163355509438
21870,-6.66407750447589
21869,-10.6994422912597
21868,-7.98518218994138
21867,-6.19837671915688
21866,-7.27005742390948
21865,-7.87441101074216
21864,-7.54581680297849
21863,-7.23846410115558
21862,-7.27707010904946
21861,-6.62283681233722
21860,-9.51124674479164
21859,-7.57327753702797
21858,-6.38592249552407
21857,-7.98336003621417
21856,-9.10099131266274
21855,-6.87715632120766
21854,-7.2035939534505
21853,-7.52964121500649
21852,-6.45235799153644
21851,-6.6722956339518
21850,-7.42771759033201
21849,-7.06095733642576
21848,-6.83452453613279
21847,-9.34375737508136
21846,-10.131341044108
21845,-7.61311314900714
21844,-9.36043268839516
21843,-9.03435999552407
21842,-10.4930760701497
21841,-7.53299942016599
21840,-8.60805740356443
21839,-8.86827697753904
21838,-9.79960098266599
21837,-7.30735880533852
21836,-7.55798823038735
21835,-7.96096013387042
21834,-7.93506215413409
21833,-6.29846293131508
21832,-6.6160580952962
21831,-7.2669967651367
21830,-5.83060048421222
21829,-8.90101216634112
21828,-7.98252334594724
21827,-9.61913528442381
21826,-7.06800435384112
21825,-8.7778241475423
21824,-7.36025085449216
21823,-8.66039759318032
21822,-6.89841435750323
21821,-9.52409210205076
21820,-8.95399831136065
21819,-7.02140655517576
21818,-9.16020050048826
21817,-7.55805562337237
21816,-10.1464803059896
21815,-10.0054852803548
21814,-6.85407485961912
21813,-8.83116124471026
21812,-8.45337778727211
21811,-6.65795745849607
21810,-9.65042724609373
21809,-9.74664662679034
21808,-8.96770706176756
21807,-8.71436665852862
21806,-7.54045842488604
21805,-7.58142064412433
21804,-9.54588038126625
21803,-7.37591527303058
21802,-6.50639699300128
21801,-6.91599248250323
21800,-7.19691187540688
21799,-6.95326716105141
21798,-7.03918177286782
21797,-10.9481707255045
21796,-8.3062182108561
21795,-7.28763682047524
21794,-6.79133707682289
21793,-5.54747873942055
21792,-6.97771046956378
21791,-7.44386138916013
21790,-6.91624806722003
21789,-8.21898244222003
21788,-8.4624313354492
21787,-8.82167154947914
21786,-13.4670534769694
21785,-7.08201700846352
21784,-9.25988235473631
21783,-8.92291870117185
21782,-7.29760843912758
21781,-7.83923568725584
21780,-6.72470703124998
21779,-7.66508967081703
21778,-10.7441937764485
21777,-7.76536534627276
21776,-6.64247741699216
21775,-7.89232864379881
21774,-10.0141344706217
21773,-6.64694061279295
21772,-6.98651097615558
21771,-7.79402898152667
21770,-8.1694511413574
21769,-8.3450136820475
21768,-6.8419479370117
21767,-8.37518157958982
21766,-9.8318669637044
21765,-8.10868937174477
21764,-8.92546056111651
21763,-7.9313034057617
21762,-7.89791081746417
21761,-7.28781229654946
21760,-10.3359486897786
21759,-6.05493520100909
21758,-7.10644760131834
21757,-7.01468505859373
21756,-7.60532862345375
21755,-6.93695297241209
21754,-6.94415512084959
21753,-6.15881576538084
21752,-6.73415476481118
21751,-6.82326609293618
21750,-6.81277694702146
21749,-7.52132517496743
21748,-8.33592580159503
21747,-6.68211593627927
21746,-7.16677068074542
21745,-8.0502990722656
21744,-5.34687652587888
21743,-9.38109944661456
21742,-7.89671045939125
21741,-6.68197987874347
21740,-6.82290751139321
21739,-6.08538665771482
21738,-8.5273867289225
21737,-8.91141484578448
21736,-8.5786193847656
21735,-7.72703653971352
21734,-7.12648493448891
21733,-8.9803527832031
21732,-8.62691726684568
21731,-6.67296447753904
21730,-11.3133084615071
21729,-8.13820749918617
21728,-8.48838526407875
21727,-6.60479329427081
21726,-7.16363627115883
21725,-6.37289784749347
21724,-5.75619099934894
21723,-10.8913241068522
21722,-5.72440948486326
21721,-7.03606770833331
21720,-7.34792048136391
21719,-6.44378890991209
21718,-7.81346104939776
21717,-6.82883682250974
21716,-7.63888142903644
21715,-10.4503565470377
21714,-8.4032157897949
21713,-9.38721567789711
21712,-6.08229420979815
21711,-7.11506245930987
21710,-9.20830128987628
21709,-9.06052881876625
21708,-6.53571421305336
21707,-6.59608306884763
21706,-7.14094390869138
21705,-6.87312037150063
21704,-7.97724253336586
21703,-10.2912811279297
21702,-8.20919265747068
21701,-9.73172607421873
21700,-10.0203244527181
21699,-7.39727630615232
21698,-9.74423955281573
21697,-7.84599405924477
21696,-7.22812245686847
21695,-8.80511194864907
21694,-12.2614336649577
21693,-9.52079747517901
21692,-7.36060434977211
21691,-8.42262751261391
21690,-12.8915707906087
21689,-7.21401570638019
21688,-9.00152053833006
21687,-6.96500498453774
21686,-7.4372848510742
21685,-8.2320248921712
21684,-7.28910039265948
21683,-7.61186701456703
21682,-8.47507069905597
21681,-6.19974873860675
21680,-5.59977569580076
21679,-6.60993932088214
21678,-7.46591669718422
21677,-11.7851420084635
21676,-10.234410349528
21675,-7.38374430338539
21674,-8.56119257609047
21673,-6.81010665893552
21672,-8.54079538981117
21671,-7.53232167561847
