"Summer months (April to September) of hydrological
 years [yr BP]","Average summer mean temperature [degree C]"
21998,-2.93737386067706
21997,-1.10836385091144
21996,-1.90809733072914
21995,-2.16540120442706
21994,-1.51501566569008
21993,-1.69963175455727
21992,-3.301128133138
21991,-1.88182678222654
21990,-2.81894022623696
21989,-4.48262888590493
21988,-2.68444417317706
21987,-1.95333455403644
21986,-1.12123718261716
21985,-2.23418782552081
21984,-0.756577555338519
21983,-2.36901957194008
21982,-0.944489542643206
21981,-2.63473103841144
21980,-1.36073913574216
21979,-2.328960164388
21978,-1.61720886230466
21977,-1.90789896647133
21976,-1.4996398925781
21975,-0.922328694661436
21974,-1.67684020996091
21973,-1.71427001953123
21972,-1.50596720377602
21971,-1.43542073567706
21970,-1.00686747233071
21969,-1.45044047037758
21968,-1.97197570800779
21967,-1.710063680013
21966,-2.20555725097654
21965,-2.82506408691404
21964,-1.61169535319008
21963,-1.41820882161456
21962,-1.50578918457029
21961,-1.35298258463539
21960,-0.909328206380186
21959,-2.92051798502602
21958,-1.47721455891925
21957,-0.905823771158831
21956,-1.03133239746091
21955,-1.75263570149737
21954,-1.19778035481769
21953,-2.43169759114581
21952,-1.85705159505206
21951,-1.58680318196612
21950,-2.67892049153644
21949,-1.32606608072914
21948,-2.09829305013019
21947,-2.09636027018227
21946,-1.51902872721352
21945,-0.573807779947894
21944,-1.08766784667966
21943,-1.21173706054685
21942,-1.27174479166664
21941,-3.99425608317055
21940,-1.04120992024737
21939,-1.56172790527341
21938,-1.68890991210935
21937,-2.27372843424477
21936,-1.09741312662758
21935,-0.726293945312477
21934,-0.962098185221331
21933,-1.42335103352862
21932,-1.75348002115883
21931,-1.07659505208331
21930,-1.43404744466144
21929,-1.65908406575519
21928,-1.27592061360675
21927,-0.99571838378904
21926,-1.06192118326821
21925,-0.928808593749977
21924,-1.77611389160154
21923,-1.75579427083331
21922,-2.48890279134112
21921,-1.49654235839841
21920,-3.43778584798175
21919,-1.59524129231769
21918,-1.64981689453123
21917,-1.39580383300779
21916,-1.43605651855466
21915,-1.36793111165362
21914,-1.05757242838539
21913,-1.81455078124998
21912,-1.33034362792966
21911,-1.15513712565102
21910,-1.44814656575519
21909,-1.43129577636716
21908,-1.30716044108071
21907,-1.47917785644529
21906,-1.63455810546873
21905,-1.43666687011716
21904,-1.90595092773435
21903,-1.41021321614581
21902,-2.68023274739581
21901,-1.63719787597654
21900,-2.29705912272133
21899,-2.4296681722005
21898,-1.88844401041664
21897,-2.24923807779946
21896,-1.93305053710935
21895,-1.47913716634112
21894,-1.48605448404946
21893,-3.71621805826821
21892,-2.78827514648435
21891,-3.15089009602862
21890,-2.27045796712237
21889,-2.61761067708331
21888,-3.89782307942706
21887,-3.5937306722005
21886,-1.62135925292966
21885,-1.37149149576821
21884,-1.28240559895831
21883,-1.86954854329425
21882,-1.91014200846352
21881,-1.71965637207029
21880,-2.09033304850258
21879,-2.10182291666664
21878,-1.47444763183591
21877,-1.62403462727862
21876,-1.46865437825519
21875,-2.35262654622394
21874,-3.16091512044269
21873,-2.43226216634112
21872,-1.63709615071612
21871,-1.04548238118487
21870,-1.13166402180987
21869,-1.84939168294269
21868,-2.47618713378904
21867,-1.24006245930987
21866,-1.46402587890623
21865,-2.1222951253255
21864,-2.02220255533852
21863,-1.07024230957029
21862,-1.46650797526039
21861,-1.27469991048175
21860,-2.76952718098956
21859,-1.93509521484373
21858,-1.32967224121091
21857,-2.18545633951821
21856,-2.60281982421873
21855,-1.1568664550781
21854,-1.96306457519529
21853,-0.926763916015602
21852,-1.79969889322914
21851,-0.923534138997373
21850,-2.06390991210935
21849,-1.75638936360675
21848,-0.832907104492165
21847,-2.08735249837237
21846,-1.89511718749998
21845,-2.45373128255206
21844,-1.77302144368487
21843,-2.41501464843748
21842,-1.54883931477862
21841,-1.52172953287758
21840,-2.08200683593748
21839,-0.728684488932269
21838,-1.68169759114581
21837,-3.04118448893227
21836,-1.45480957031248
21835,-1.31963195800779
21834,-1.26342366536456
21833,-1.10242818196612
21832,-1.15533040364581
21831,-0.999817911783831
21830,-1.62003682454425
21829,-2.55282694498696
21828,-1.76766052246091
21827,-2.38418172200519
21826,-1.57944335937498
21825,-1.8464162190755
21824,-1.678081258138
21823,-1.28811747233071
21822,-1.63626708984373
21821,-2.31873677571612
21820,-3.11923828124998
21819,-1.8564259847005
21818,-2.25691833496091
21817,-2.79748128255206
21816,-3.38034159342446
21815,-1.8063771565755
21814,-0.809240722656227
21813,-1.31144307454425
21812,-2.04469401041664
21811,-2.88777770996091
21810,-5.07730204264321
21809,-1.84439697265623
21808,-2.46847635904946
21807,-1.88430379231769
21806,-2.23396911621091
21805,-2.54399719238279
21804,-2.04582316080727
21803,-1.55940856933591
21802,-1.61388244628904
21801,-1.139018758138
21800,-2.09850667317706
21799,-2.03304646809894
21798,-1.62975667317706
21797,-3.1733459472656
21796,-1.41129659016925
21795,-1.99272766113279
21794,-1.41092020670571
21793,-1.01542765299477
21792,-1.40233459472654
21791,-3.38207600911456
21790,-2.68117370605466
21789,-1.70528259277341
21788,-0.686295572916644
21787,-2.0546936035156
21786,-5.0388244628906
21785,-1.89756876627602
21784,-1.84594828287758
21783,-2.30470886230466
21782,-1.78033040364581
21781,-1.49995015462237
21780,-1.15774129231769
21779,-2.95744934082029
21778,-3.12074381510414
21777,-1.16232910156248
21776,-2.28890584309894
21775,-1.66784261067706
21774,-1.17195231119789
21773,-1.31689554850258
21772,-0.870021565755186
21771,-1.29070129394529
21770,-1.55405273437498
21769,-2.15992329915362
21768,-3.24071350097654
21767,-2.54899190266925
21766,-3.65306701660154
21765,-1.90925191243487
21764,-2.29911905924477
21763,-2.05130106608071
21762,-2.12851053873696
21761,-2.15201416015623
21760,-1.85769755045571
21759,-1.96500752766925
21758,-0.741211954752581
21757,-0.873688761393206
21756,-1.04269510904946
21755,-1.63247782389321
21754,-1.27595621744789
21753,-1.73121236165362
21752,-0.995408121744769
21751,-1.38760986328123
21750,-1.44340616861977
21749,-2.07238871256508
21748,-1.52674458821612
21747,-0.899847412109352
21746,-0.852295939127581
21745,-2.6834777832031
21744,-0.967479451497373
21743,-3.25163370768227
21742,-2.37394307454425
21741,-1.55848286946612
21740,-1.688335164388
21739,-1.04445495605466
21738,-1.73770243326821
21737,-1.49967549641925
21736,-2.45619303385414
21735,-1.61339416503904
21734,-1.71727091471352
21733,-1.1508850097656
21732,-1.97872009277341
21731,-2.06413879394529
21730,-2.25744222005206
21729,-1.97970682779946
21728,-1.51676025390623
21727,-1.83407694498696
21726,-1.31873677571612
21725,-1.05629069010414
21724,-1.13241170247394
21723,-2.98610026041664
21722,-1.43523763020831
21721,-2.348735555013
21720,-1.55949503580727
21719,-0.900172932942686
21718,-1.87623697916664
21717,-2.17470397949216
21716,-1.24498087565102
21715,-2.4449523925781
21714,-2.03861592610675
21713,-2.037212117513
21712,-1.08202718098956
21711,-1.93509521484373
21710,-1.05910847981769
21709,-1.42621459960935
21708,-2.09703674316404
21707,-1.73585103352862
21706,-0.688558959960915
21705,-2.02133789062498
21704,-1.09862365722654
21703,-1.23487447102862
21702,-1.25707092285154
21701,-2.94865519205727
21700,-1.85216369628904
21699,-2.26796569824216
21698,-3.77607828776039
21697,-1.43985595703123
21696,-2.98067830403644
21695,-1.7673146565755
21694,-2.29487202962237
21693,-2.50253906249998
21692,-2.65197347005206
21691,-2.72212829589841
21690,-2.28149515787758
21689,-1.29111328124998
21688,-2.834575398763
