"Winter months (December-January-February) of each years [yr BP]","Average winter mean temperature [degree C]"
21998,-34.5605784098307
21997,-34.6985229492187
21996,-28.2676300048828
21995,-30.3144287109375
21994,-32.0058807373047
21993,-26.2645782470703
21992,-29.6703704833984
21991,-35.5246185302734
21990,-24.8613901774088
21989,-33.9736490885416
21988,-27.9132548014323
21987,-30.6608083089192
21986,-23.8117838541666
21985,-33.8241587320963
21984,-31.0080169677734
21983,-29.3428304036458
21982,-31.2173370361328
21981,-29.8162089029948
21980,-34.1766520182291
21979,-31.1898661295573
21978,-25.4622406005859
21977,-31.3292297363281
21976,-27.9522104899088
21975,-30.4075174967448
21974,-28.400015258789
21973,-28.8498392740885
21972,-36.0945597330729
21971,-29.6957509358724
21970,-29.0986083984375
21969,-28.139517211914
21968,-35.7476409912109
21967,-26.8964447021484
21966,-26.5039377848307
21965,-31.375591023763
21964,-27.233735148112
21963,-29.4863393147786
21962,-29.6525075276692
21961,-31.0158396402995
21960,-35.4295766194661
21959,-31.4757191975911
21958,-26.0115010579427
21957,-27.180024210612
21956,-30.8883728027344
21955,-25.9294494628906
21954,-27.0609141031901
21953,-29.7849690755208
21952,-31.5268666585286
21951,-31.5073354085286
21950,-29.3241027832031
21949,-33.2415781656901
21948,-28.6661641438802
21947,-27.0962076822916
21946,-30.400742594401
21945,-31.5947428385416
21944,-25.4877990722656
21943,-35.719346110026
21942,-29.9985310872396
21941,-38.5317749023437
21940,-31.1828623453776
21939,-27.8682006835937
21938,-33.5539255777995
21937,-31.0961313883463
21936,-36.9970153808594
21935,-37.5092274983724
21934,-21.2294067382812
21933,-27.9088399251302
21932,-33.6839253743489
21931,-31.1558085123698
21930,-33.9114135742187
21929,-29.3583841959635
21928,-28.0958669026692
21927,-37.9427958170573
21926,-26.0192169189453
21925,-30.9414072672526
21924,-30.6085978190104
21923,-32.3646453857422
21922,-34.3880116780599
21921,-27.6800954182942
21920,-36.5351776123047
21919,-28.3042002360026
21918,-24.1950439453125
21917,-31.0368662516276
21916,-25.7843434651692
21915,-28.0781921386719
21914,-33.3359995524088
21913,-32.4892740885416
21912,-32.4724639892578
21911,-34.6790120442708
21910,-30.3488881429036
21909,-25.3171702067057
21908,-28.9627034505208
21907,-24.1766927083333
21906,-29.1140808105469
21905,-28.7190104166666
21904,-28.1532653808594
21903,-29.72421875
21902,-28.4921376546224
21901,-27.7242950439453
21900,-35.5070048014323
21899,-22.9435791015625
21898,-38.1345581054687
21897,-31.5584879557291
21896,-29.3158274332682
21895,-29.581401570638
21894,-28.0462198893229
21893,-25.9755920410156
21892,-38.4924580891927
21891,-27.9200602213541
21890,-34.8804178873698
21889,-28.3329986572265
21888,-35.5988576253255
21887,-29.4601959228515
21886,-28.6417653401692
21885,-28.5039784749349
21884,-29.5026713053385
21883,-26.2195088704427
21882,-35.8252268473307
21881,-31.2689270019531
21880,-30.9039469401041
21879,-27.9453643798828
21878,-30.6648518880208
21877,-27.5254679361979
21876,-27.9565795898437
21875,-37.623627726237
21874,-37.2584493001302
21873,-34.3698181152344
21872,-34.9924631754557
21871,-25.8544932047526
21870,-28.8205474853515
21869,-40.7147176106771
21868,-28.9490010579427
21867,-20.8271036783854
21866,-29.3992930094401
21865,-29.0292724609375
21864,-29.6579752604166
21863,-29.5374257405599
21862,-28.4294138590495
21861,-23.7174082438151
21860,-29.7373006184896
21859,-27.4721588134765
21858,-33.5652069091797
21857,-31.6626495361328
21856,-32.218120320638
21855,-27.6369384765625
21854,-30.7569895426432
21853,-32.4225118001302
21852,-30.2985799153646
21851,-27.8622039794922
21850,-31.9018564860026
21849,-29.3344635009765
