"Summer months (Jule-July-August) of each years [yr BP]","Average summer mean temperature [degree C]"
21999,-0.379604085286436
21998,-1.41603190104164
21997,-0.921240234374977
21996,-2.15743611653644
21995,-1.58103027343748
21994,-1.85363362630206
21993,-0.600693766276019
21992,-0.443009440104144
21991,-1.18759765624998
21990,-0.379298909505186
21989,-1.68686523437498
21988,-2.8151916503906
21987,-0.817195638020811
21986,-1.12462972005206
21985,-1.39332682291664
21984,-0.599890136718727
21983,-1.08004353841144
21982,-0.538743082682269
21981,-0.611273193359352
21980,-1.1298889160156
21979,-1.52042236328123
21978,-2.32426554361977
21977,-2.21520589192706
21976,-2.08007405598956
21975,-1.40721232096352
21974,-2.66850382486977
21973,-1.53043212890623
21972,-2.64992879231769
21971,-1.24275309244789
21970,-1.2956604003906
21969,0.597639973958356
21968,-2.08767293294269
21967,-1.96221516927081
21966,-2.03144938151039
21965,-0.688604736328102
21964,-0.382320149739561
21963,0.629744466145856
21962,-0.851690673828102
21961,0.664442952473981
21960,-1.88024495442706
21959,-1.87369384765623
21958,-1.15548299153644
21957,-1.99117635091144
21956,-2.31446940104164
21955,-0.692989095052061
21954,-0.607733154296852
21953,-2.54911905924477
21952,-2.84453938802081
21951,-0.569128417968727
21950,-2.12963460286456
21949,-0.766709391276019
21948,-0.973455810546852
21947,-1.92730305989581
21946,-1.92910359700519
21945,-2.0164855957031
21944,-1.88980712890623
21943,-1.04806111653644
21942,-3.43310139973956
21941,-0.825679524739561
21940,-1.61358235677081
21939,-0.360245768229144
21938,-2.09232177734373
21937,-1.93895060221352
21936,-1.20132039388019
21935,-0.959855143229144
21934,-0.0145629882812273
21933,-0.988358561197894
21932,-0.746048990885394
21931,-0.0134541829426856
21930,-2.04265950520831
21929,-1.34557698567706
21928,-2.8424133300781
21927,-1.72347615559894
21926,0.528822835286481
21925,-0.772528076171852
21924,-3.02848917643227
21923,-0.911983235677061
21922,-1.19920450846352
21921,-1.34209798177081
21920,-4.79847819010414
21919,-0.702775065104144
21918,-1.35085652669269
21917,-0.799241129557269
21916,-0.751837158203102
21915,-0.613979085286436
21914,-1.32248535156248
21913,-1.6855529785156
21912,-0.551336669921852
21911,0.114099121093773
21910,-0.498541259765602
21909,-1.40472005208331
21908,-0.997279866536436
21907,-0.787522379557269
21906,-1.68653971354164
21905,-1.20855305989581
21904,-0.362178548177061
21903,-0.326320393880186
21902,-0.161444091796852
21901,0.281101481119814
21900,-1.71689453124998
21899,-0.271053059895811
21898,-1.87802734374998
21897,0.440179443359398
21896,0.668817138671898
21895,-1.70046590169269
21894,-0.595383707682269
21893,-1.0832580566406
21892,-2.58127441406248
21891,-1.03393147786456
21890,-0.189306640624977
21889,-1.40581868489581
21888,-2.75743204752602
21887,-1.82598470052081
21886,0.0899088541666894
21885,-0.251145426432269
21884,-1.72352701822914
21883,-0.560196940104144
21882,-2.00975138346352
21881,-1.14395751953123
21880,0.297489420572939
21879,-0.450364176432269
21878,-0.0424458821614356
21877,-1.42068074544269
21876,-1.02902832031248
21875,-1.12205607096352
21874,-1.96515502929685
21873,-0.258418782552061
21872,0.429325358072939
21871,-0.744126383463519
21870,-0.952296956380186
21869,-1.77547810872394
21868,-0.893865966796852
21867,-1.28469441731769
21866,0.936486816406273
21865,-0.354640706380186
21864,-1.3825744628906
21863,-0.902471923828102
21862,-0.854193115234352
21861,-0.747035725911436
21860,-0.415391031901019
21859,-0.838456217447894
21858,-0.614650472005186
21857,-0.859157307942686
21856,-1.99753417968748
21855,-0.488389078776019
21854,-0.597102864583311
21853,-0.511765543619769
21852,-1.27642415364581
21851,-1.10414225260414
21850,-0.305100504557269
21849,-0.889786783854144
21848,-2.2812561035156
21847,-1.96333414713539
21846,-0.820654296874977
21845,-1.56171264648435
21844,-0.362412516276019
21843,-1.92598063151039
21842,-2.01024983723956
21841,0.440677897135439
21840,-1.65961303710935
21839,-1.45329386393227
21838,-1.60485432942706
21837,-0.602107747395811
21836,-2.33684895833331
21835,-0.437963867187477
21834,-0.000972493489560596
21833,-1.31319783528644
21832,-0.216548665364561
21831,-1.32443847656248
21830,-0.226772054036436
21829,-0.980973307291644
21828,-0.301794433593727
21827,-1.74001668294269
21826,0.146488444010439
21825,-3.41655069986977
21824,-0.604182942708311
21823,-1.44261271158852
21822,0.449700927734398
21821,-1.06369628906248
21820,-2.2205871582031
21819,-1.10890299479164
21818,-2.22027180989581
21817,-0.479182942708311
21816,-3.16944986979164
21815,0.402001953125023
21814,0.111474609375023
21813,-0.825618489583311
21812,0.560510253906273
21811,-1.76422729492185
21810,-2.29488728841144
21809,-0.0761678059895606
21808,-2.22056681315102
21807,-1.79972941080727
21806,-3.23508300781248
21805,-0.952032470703102
21804,-0.975368245442686
21803,-0.0336059570312273
21802,-1.29372762044269
21801,-1.75062662760414
21800,0.142500813802106
21799,-0.801845296223936
21798,-0.749995930989561
21797,0.142063395182314
21796,-2.74088134765623
21795,-2.20301920572914
21794,0.0977111816406477
21793,0.0806111653646061
21792,-0.725215657552061
21791,-0.880845133463519
21790,-0.714036051432269
21789,-0.809006754557269
21788,-1.49901936848956
21787,-0.959722900390602
21786,-0.844519042968727
21785,-2.13445638020831
21784,-1.78872273763019
21783,-1.15435384114581
21782,-2.66678466796873
21781,-1.20071004231769
21780,0.190393066406273
21779,-2.33906656901039
21778,0.158430989583356
21777,-0.789200846354144
21776,-2.2153381347656
21775,0.775252278645856
21774,-0.521612548828102
21773,-2.91726277669269
21772,-1.9321350097656
21771,-2.67365112304685
21770,-2.62591145833331
21769,0.244805908203148
21768,-2.05459187825519
21767,-2.69359944661456
21766,-0.746537272135394
21765,-1.0423645019531
21764,-2.66967366536456
21763,-4.19439290364581
21762,0.533898925781273
21761,-1.11190388997394
21760,-0.235601806640602
21759,-0.519923909505186
21758,-0.867173258463519
21757,-0.448533121744769
21756,0.559269205729189
21755,-0.348811848958311
21754,-0.0491495768228939
21753,-2.46210327148435
21752,-0.148911539713519
21751,-1.8925842285156
21750,0.157993570963564
21749,0.931410725911481
21748,-0.257014973958311
21747,-1.19793294270831
21746,-1.14652099609373
21745,-1.1262268066406
21744,0.627903238932314
21743,-0.641149902343727
21742,1.20438028971356
21741,-0.404994710286436
21740,-0.665136718749977
21739,-0.804073079427061
21738,0.0833272298177311
21737,-1.04055379231769
21736,-0.827246093749977
21735,-2.67347819010414
21734,-0.702958170572894
21733,0.175246175130231
21732,-0.935512288411436
21731,-1.35997111002602
21730,-0.853013102213519
21729,-0.998999023437477
21728,-0.341446940104144
21727,-1.2155822753906
21726,-0.550339762369769
21725,-1.09799804687498
21724,-2.2775939941406
21723,-2.35185343424477
21722,-0.287166341145811
21721,-1.61716308593748
21720,-2.25622151692706
21719,-0.197760009765602
21718,0.442234293619814
21717,-1.10594278971352
21716,-1.27902832031248
21715,-1.11721394856769
21714,-1.11201578776039
21713,-0.650396728515602
21712,-0.671250406901019
21711,-0.794175211588519
21710,-0.711564127604144
21709,-2.54128621419269
21708,-0.755316162109352
21707,-2.54903767903644
21706,-1.2564758300781
21705,-3.29652506510414
21704,-0.238409423828102
21703,-1.09488525390623
21702,-2.2415832519531
21701,-0.495631917317686
21700,0.0711405436198144
21699,0.143111165364606
21698,-3.26821492513019
21697,-0.825913492838519
21696,-0.215002441406227
21695,-2.00407511393227
21694,-0.582657877604144
21693,-1.50575358072914
21692,-1.87226969401039
21691,-0.645615641276019
21690,-1.63213704427081
21689,-0.231064860026019
21688,-0.606634521484352
21687,-0.564662679036436
21686,0.477400716145856
21685,-2.34288126627602
21684,-1.0250305175781
21683,-0.703243001302061
21682,0.175907389322939
21681,-1.21597900390623
21680,-2.32530314127602
21679,-1.58075561523435
21678,-0.865220133463519
21677,-1.66632690429685
21676,-3.62591145833331
21675,-1.68194173177081
21674,-0.746018473307269
21673,-1.72051595052081
21672,-1.93554280598956
21671,-0.952225748697894
21670,-1.53605753580727
21669,-0.428869628906227
21668,-1.40760904947914
21667,-2.19648844401039
21666,-0.811499023437477
21665,-1.95352783203123
21664,-1.18200276692706
21663,-1.40682576497394
21662,-1.83548583984373
21661,0.203861490885439
21660,-1.00707600911456
21659,-0.121232096354144
21658,-1.19830932617185
21657,-1.23607991536456
21656,-0.297725423177061
21655,0.234175618489606
21654,-1.25902913411456
21653,-0.510605875651019
21652,-0.980708821614561
21651,-0.451208496093727
21650,-1.33065388997394
21649,-0.541052246093727
21648,0.140863037109398
21647,-0.273382568359352
21646,-0.278184000651019
21645,-0.0173299153645606
21644,0.263116455078148
21643,-1.31479492187498
21642,-0.902156575520811
21641,0.118615722656273
21640,-1.2913879394531
21639,-0.169785563151019
21638,-2.00718790690102
21637,-2.03926188151039
21636,-0.662786865234352
21635,-2.2121643066406
21634,-1.01086018880206
21633,-0.184454345703102
21632,-0.665920003255186
21631,-0.660264078776019
21630,-2.13898315429685
21629,-0.592738850911436
21628,-1.10100911458331
21627,-1.16842244466144
21626,-1.81418457031248
21625,0.0787902832031477
21624,-3.65647989908852
21623,-0.897568766276019
21622,-0.979376220703102
21621,-1.45589803059894
21620,-1.60421346028644
21619,-0.270707194010394
21618,0.383833821614606
21617,-0.327347819010394
21616,-1.81344197591144
21615,-1.44626464843748
21614,-1.0151428222656
21613,-1.89389648437498
21612,-0.384985351562477
21611,-0.685725911458311
21610,-1.04076741536456
21609,0.726912434895856
21608,-0.378546142578102
21607,-1.50019938151039
21606,-1.63232014973956
21605,-0.455684407552061
21604,-2.00236612955727
21603,-1.56704305013019
21602,-1.11197509765623
21601,-3.34023640950519
21600,-1.26716715494789
21599,-0.989701334635394
21598,-0.646592203776019
21597,-3.43531901041664
21596,-1.09385782877602
21595,-0.985408528645811
21594,0.119673665364606
21593,-1.46017049153644
21592,0.420709228515648
21591,-1.77917073567706
21590,-2.11979777018227
21589,-0.281408691406227
21588,-2.11556599934894
21587,-0.110174560546852
21586,-0.432135009765602
21585,0.362410481770856
21584,-0.507696533203102
21583,-3.40585937499998
21582,-3.29938354492185
21581,-1.61958414713539
21580,-0.474228922526019
21579,-1.70184936523435
21578,-1.30874226888019
21577,-2.74291585286456
21576,-0.997961425781227
21575,-0.517065429687477
21574,-0.306138102213519
21573,0.359755452473981
21572,-0.289261881510394
21571,-1.64369303385414
21570,-0.871537272135394
21569,-2.14103800455727
21568,-1.85042928059894
21567,-0.489223225911436
21566,-0.814967854817686
21565,-1.5413879394531
21564,-0.577876790364561
21563,-0.150915527343727
21562,-1.02937418619789
21561,-1.93281656901039
21560,-1.10663452148435
21559,-1.25555013020831
21558,0.950382486979189
21557,0.328220621744814
21556,-0.300726318359352
21555,-2.44901123046873
21554,0.279392496744814
21553,-1.59515991210935
21552,-0.981542968749977
21551,0.393721516927106
21550,-0.659165445963519
21549,-0.585323079427061
21548,0.0941609700521061
21547,0.331750488281273
21546,-0.908850097656227
21545,-1.37480265299477
