"Calendar years [yr BP]","Average yearly mean temperature [degree C]"
21999,-16.2893432617187
21998,-18.1031682332357
21997,-16.5387011210123
21996,-15.039092763265
21995,-16.6098757425944
21994,-13.2811200459798
21993,-14.4518379211426
21992,-15.9607350667317
21991,-13.863436126709
21990,-14.5889190673828
21989,-18.1300860087077
21988,-14.3810523986816
21987,-15.6118008931478
21986,-13.4604298909505
21985,-15.899994913737
21984,-15.5770299275716
21983,-15.1624359130859
21982,-13.1713165283203
21981,-15.843675994873
21980,-16.8712600708008
21979,-15.0442324320475
21978,-15.2916880289713
21977,-14.0859652201334
21976,-14.7356946309407
21975,-15.5551246643066
21974,-14.6356974283854
21973,-15.3737345377604
21972,-18.2980801900228
21971,-15.138826751709
21970,-15.7660647074381
21969,-14.279633585612
21968,-15.1562128702799
21967,-16.507416788737
21966,-15.6176856994629
21965,-15.4775718688965
21964,-14.027862294515
21963,-14.1612533569336
21962,-15.4030326843261
21961,-14.780744934082
21960,-15.8589398701985
21959,-15.3373601277669
21958,-15.522932434082
21957,-15.2148473103841
21956,-14.6345822652181
21955,-12.2849411010742
21954,-15.2037859598795
21953,-15.2922704060872
21952,-16.403838857015
21951,-14.7274167378743
21950,-15.8161707560221
21949,-14.5475079854329
21948,-13.7848495483398
21947,-15.6346598307291
21946,-15.5580085754394
21945,-15.660373433431
21944,-13.7125762939453
21943,-16.7668886820475
21942,-15.9924911499023
21941,-17.5614748636881
21940,-14.6270367940267
21939,-15.4525830586751
21938,-15.2566309611002
21937,-15.8643274943034
21936,-16.9572967529297
21935,-16.2716837565104
21934,-13.1236353556315
21933,-14.9696894327799
21932,-16.4078506469726
21931,-16.3738960266113
21930,-15.8133783976237
21929,-14.5608772277832
21928,-16.261515045166
21927,-16.247546895345
21926,-13.6906913757324
21925,-16.1917493184407
21924,-16.2004557291666
21923,-15.6554397583008
21922,-18.8082387288411
21921,-15.4199953715006
21920,-18.9404955546061
21919,-14.3007250467936
21918,-13.6499898274739
21917,-16.353306833903
21916,-14.4557339986165
21915,-14.2097190856933
21914,-16.6427965799967
21913,-15.3342918395996
21912,-14.9353444417317
21911,-15.3776102701823
21910,-14.2796819051107
21909,-14.6869249979655
21908,-14.3446716308594
21907,-13.4453236897786
21906,-16.8023335774739
21905,-14.806805674235
21904,-14.3678573608398
21903,-13.7673108418782
21902,-14.9540440877278
21901,-13.4883420308431
21900,-15.8678471883138
21899,-12.9560646057129
21898,-16.4906461079915
21897,-16.9911394755045
21896,-14.6860692342122
21895,-15.7054656982422
21894,-15.028293355306
21893,-17.067906443278
21892,-18.7173001607259
21891,-15.9820058186849
21890,-16.6792943318685
21889,-14.0811561584472
21888,-19.1206840515136
21887,-16.108573659261
21886,-14.0753323872884
21885,-15.4120455423991
21884,-14.7404273986816
21883,-14.932911936442
21882,-18.6615356445312
21881,-14.9044136047363
21880,-15.2726119995117
21879,-15.8922688802083
21878,-15.2546930948893
21877,-14.6644106547038
21876,-13.7407923380534
21875,-18.4130627950032
21874,-18.4515034993489
21873,-16.774402364095
21872,-15.3790891011556
21871,-14.2416493733724
21870,-15.9120035807291
21869,-15.3269065856933
21868,-14.8081891377767
21867,-14.1267939249674
21866,-14.9677223205566
21865,-14.5616401672363
21864,-14.2398424784342
21863,-15.0521390279134
21862,-13.7609517415364
21861,-13.3951006571452
21860,-14.8129002888997
21859,-14.0478767395019
21858,-14.5721038818359
21857,-15.9259017944336
21856,-15.715242767334
21855,-15.4761553446452
21854,-14.0885744730631
21853,-14.8618441263834
21852,-13.8649556477864
21851,-14.9802866617838
21850,-13.9142618815104
21849,-15.6428563435872
21848,-15.792515818278
21847,-16.1877298990885
21846,-15.0145896911621
21845,-15.5499735514323
21844,-15.3205131530761
21843,-16.2408508300781
21842,-15.9447120666504
21841,-14.1081209818522
21840,-16.4084457397461
21839,-17.7635597229004
21838,-15.4627263387044
21837,-14.7294436136881
21836,-14.4417048136393
21835,-16.150862121582
21834,-15.4840759277344
21833,-14.7016357421875
21832,-14.6364730834961
21831,-13.9095342000325
21830,-14.5277783711751
21829,-15.2570836385091
21828,-15.4503857930501
21827,-16.1860895792643
21826,-14.3328155517578
21825,-16.6739995320638
21824,-17.0249796549479
21823,-14.5325124104817
21822,-14.7138542175293
21821,-15.5933987935384
21820,-17.0087303161621
21819,-13.2309427897135
21818,-17.3220822652181
21817,-16.4644416809082
21816,-18.3129727681478
21815,-15.5051712036133
21814,-15.6388928731282
21813,-14.1143313090006
21812,-14.3636662801107
21811,-14.3098701477051
21810,-17.2738924662272
21809,-15.1110112508138
21808,-17.4634803771972
21807,-16.0638310750325
21806,-15.2436482747396
21805,-14.5968294779459
21804,-15.5476732889811
21803,-13.2265050252278
21802,-14.3439188639323
21801,-14.5256624857584
21800,-15.1264645894368
21799,-15.797112528483
21798,-14.4785077412923
21797,-15.665630086263
21796,-15.3039777119954
21795,-15.9436108907064
21794,-14.4438474019368
21793,-14.3729270935058
21792,-14.2868980407715
21791,-13.609482828776
21790,-16.0604258219401
21789,-15.6189331054687
21788,-16.1896029154459
21787,-17.7419850667317
21786,-16.937296295166
21785,-13.6874094645182
21784,-15.7903630574544
21783,-16.3975280761719
21782,-15.3518648783366
21781,-14.5974487304687
