"Full hydrological years [yr BP]","Average yearly mean temperature [degree C]"
21998,-17.8431711832682
21997,-16.1478917439778
21996,-16.4677426656087
21995,-15.9010503133138
21994,-14.7356831868489
21993,-13.5326840718587
21992,-15.5041247049967
21991,-15.6061017354329
21990,-13.2067626953125
21989,-18.258901977539
21988,-14.6677714029948
21987,-16.4514539082845
21986,-12.1919692993164
21985,-16.2486671447754
21984,-15.1179298400879
21983,-14.770122273763
21982,-15.1010561625163
21981,-14.2253313700358
21980,-16.0017761230469
21979,-16.7390858968099
21978,-13.5784426371256
21977,-15.7623441060384
21976,-15.106356048584
21975,-14.9261700948079
21974,-15.2825149536133
21973,-14.3205004374186
21972,-17.7710276285807
21971,-15.8597104390462
21970,-15.9612335205078
21969,-14.6405064900716
21968,-16.2753484090169
21967,-13.964333597819
21966,-15.7165270487467
21965,-16.6651863098144
21964,-14.2073908487955
21963,-14.5389503479004
21962,-14.2667360941569
21961,-14.282256825765
21960,-15.811023457845
21959,-16.1319844563802
21958,-15.1321128845215
21957,-15.0799163818359
21956,-14.4516459147135
21955,-13.4125338236491
21954,-14.6539939880371
21953,-14.4951385498047
21952,-16.8820391337077
21951,-15.3860064188639
21950,-15.9799191792806
21949,-14.4108121236165
21948,-13.835791015625
21947,-14.6969118754069
21946,-15.7403155008952
21945,-15.6431755065918
21944,-14.0139030456543
21943,-16.6170753479004
21942,-16.06179784139
21941,-17.5985753377278
21940,-15.2507512410482
21939,-14.1085138956705
21938,-16.3356981913248
21937,-14.3168815612793
21936,-17.4386950174967
21935,-17.7531850179036
21934,-13.3167734781901
21933,-13.9832239786784
21932,-16.8426752726237
21931,-14.601104482015
21930,-17.2955408732096
21929,-15.232337697347
21928,-14.3473025004069
21927,-17.9076433817545
21926,-13.0779950459798
21925,-16.0175575256347
21924,-16.5677602132161
21923,-15.8142189025879
21922,-17.219398244222
21921,-16.4800921122233
21920,-19.0618525187174
21919,-15.3372113545735
21918,-12.7836936950683
21917,-16.4034497578939
21916,-15.4710487365722
21915,-12.3608828226725
21914,-17.3443333943685
21913,-14.8737803141276
21912,-15.7461901346842
21911,-15.6290077209472
21910,-16.1010676066081
21909,-12.6456932067871
21908,-14.7510157267252
21907,-13.0371523539225
21906,-16.4371945699056
21905,-15.0148961385091
21904,-14.8762204488118
21903,-13.4244115193685
21902,-14.4991045633952
21901,-13.2106994628906
21900,-16.7679211934407
21899,-12.9624262491862
21898,-16.2373387654622
21897,-15.5244392395019
21896,-15.832009379069
21895,-16.5244710286458
21894,-14.4923678080241
21893,-15.8526786804199
21892,-18.8445406595866
21891,-16.0528142293294
21890,-17.1094192504883
21889,-14.7060073852539
21888,-18.8330546061198
21887,-15.7113721211751
21886,-14.6918752034505
21885,-15.1693621317545
21884,-14.7414014180501
21883,-13.7790524800618
21882,-18.366438293457
21881,-16.0478716532389
21880,-15.5745529174804
21879,-15.8909795125325
21878,-14.6953071594238
21877,-15.1614936828613
21876,-14.0697514851888
21875,-18.1758153279622
21874,-17.9199788411458
21873,-16.3217007954915
21872,-17.451097869873
21871,-13.447191619873
21870,-14.065849049886
21869,-17.6186508178711
21868,-15.3248860677083
21867,-11.882608795166
21866,-15.0927693684896
21865,-15.3838358561198
21864,-14.747292582194
21863,-14.4623817443847
21862,-14.0909942626953
21861,-13.3900550842285
21860,-14.7004188537597
21859,-14.0084721883138
21858,-14.9021540323893
21857,-15.0302350362142
21856,-16.197612508138
21855,-14.454812113444
21854,-16.193160756429
21853,-14.2371353149414
21852,-13.7418935139974
21851,-14.4132586161295
21850,-14.7578516642252
21849,-14.4053443908691
21848,-15.1632268269857
21847,-15.7791376749674
21846,-16.0473655700683
21845,-15.9544687906901
21844,-15.6658894856771
21843,-15.6200673421224
21842,-16.5526400248209
21841,-14.5486523946126
21840,-15.9601857503255
21839,-16.186683400472
21838,-17.1434438069661
21837,-15.327619934082
21836,-14.1998568216959
21835,-14.9146420796712
21834,-16.6023531595866
21833,-14.226000213623
21832,-14.9177663167317
21831,-14.8330393473307
21830,-13.5115735371907
21829,-15.418071492513
21828,-15.0204668680827
21827,-16.6949587504069
21826,-14.0566098531087
21825,-16.8961725870768
21824,-15.9655225118001
21823,-16.5061019897461
21822,-13.5229057312011
21821,-16.219517771403
21820,-15.7742357889811
21819,-14.0562894185384
21818,-17.411915842692
21817,-15.5294860839844
21816,-17.3048182169596
21815,-17.314929707845
21814,-14.697789255778
21813,-15.8325561523437
21812,-14.2365414937337
21811,-12.8931106567383
21810,-15.9408350626627
21809,-17.691207631429
21808,-16.1433853149414
21807,-16.4430437723795
21806,-15.54080174764
21805,-13.4811042785644
21804,-16.3566129048665
21803,-14.1211481730143
21802,-13.2617579142252
21801,-15.8394315083821
21800,-14.4573539733886
21799,-14.8582239786784
21798,-14.7226381937663
21797,-16.0865603129069
21796,-15.7434575398763
21795,-15.4504023234049
21794,-15.3236437479655
21793,-13.958474222819
21792,-14.7604011535644
21791,-13.7390871683756
21790,-14.9657844543457
21789,-15.8511934916178
21788,-15.9351689656575
21787,-15.4402806599935
21786,-19.3092102050781
21785,-14.2576838175455
21784,-14.7635800679525
21783,-16.1711041768392
21782,-15.5354204813639
21781,-15.6612711588541
21780,-13.5488749186198
21779,-15.5314214070638
21778,-17.5926205952962
21777,-15.7320426940918
21776,-13.5257171630859
21775,-15.7971316019694
21774,-17.2412996927897
21773,-14.7535919189453
21772,-15.1719955444336
21771,-15.6703870137532
21770,-14.5909395853678
21769,-15.1139841715495
21768,-13.416352335612
21767,-14.6087720235189
21766,-17.0065495808919
21765,-16.2719228108724
21764,-16.0857401529948
21763,-16.3604339599609
21762,-13.9165125528971
21761,-14.3652315775553
21760,-16.5399917602539
21759,-13.5305198669433
21758,-13.7492749532064
21757,-15.2393732706705
21756,-14.1370847066243
21755,-13.7078168233235
21754,-13.9248908996582
21753,-12.7879038492838
21752,-14.0662508646647
21751,-14.2925081888834
21750,-13.4315844217936
21749,-13.9264561971028
21748,-16.1144063313802
21747,-13.6428550720215
21746,-14.5493937174479
21745,-14.6810719807942
21744,-14.1994295756022
21743,-15.068212890625
21742,-14.6600987752278
21741,-14.3773267110189
21740,-14.0794395446777
21739,-14.6280095418294
21738,-14.2060595194498
21737,-15.3479827880859
21736,-15.4175743103027
21735,-14.4668106079101
21734,-13.6592506408691
21733,-16.7694127400716
21732,-17.0379534403483
21731,-14.2315874735514
21730,-18.2282623291015
21729,-15.1359199523926
21728,-15.7820063273112
21727,-13.9128568013509
21726,-15.0182657877604
21725,-13.9621808369954
21724,-13.5724141438802
21723,-17.082191212972
21722,-12.3712206522623
21721,-14.361565653483
21720,-15.2005905151367
21719,-14.1580897013346
21718,-14.3735374450683
21717,-14.1172457377116
21716,-14.7679796854655
21715,-17.1061996459961
21714,-15.2303769429525
21713,-15.4422223409017
21712,-13.7341725667317
21711,-14.0777305603027
21710,-15.6458992004394
21709,-16.2359514872233
21708,-13.3628181457519
21707,-15.0486167907715
21706,-15.1159436543782
21705,-15.2664258321126
21704,-15.2060633341471
21703,-17.5442718505859
21702,-15.0375478108724
21701,-15.9797170003255
21700,-16.2742637634277
21699,-13.5858444213867
21698,-17.8164212544759
21697,-15.5124229431152
21696,-14.7633092244466
21695,-16.5795323689778
21694,-18.5364212036133
21693,-15.6776781717936
21692,-12.8157002766927
21691,-15.9455017089844
21690,-18.5885452270508
21689,-13.7452758789062
21688,-15.4428860982259
21687,-14.8380315144857
21686,-14.3687512715657
21685,-15.8490712483724
21684,-14.9490264892578
21683,-13.9339851379394
21682,-14.4612614949544
21681,-13.598974609375
21680,-12.6116355895996
21679,-14.5132583618164
21678,-14.366136932373
21677,-19.7288332621256
21676,-15.792229715983
21675,-14.4773595174153
21674,-16.5391728719075
21673,-15.1692362467448
21672,-16.1868843078613
21671,-14.5280962626139
21670,-15.9034535725911
21669,-15.4126406351725
21668,-16.4478960673014
21667,-18.0982167561849
21666,-14.7650118509928
21665,-16.9209108988444
21664,-16.4794665018717
21663,-16.256034596761
21662,-18.0366984049479
21661,-15.8974098205566
21660,-17.5401290893554
21659,-15.0904729207357
21658,-15.219590250651
21657,-15.4795364379883
21656,-14.35978418986
21655,-14.6585538228353
21654,-15.692729695638
21653,-16.3991137186686
21652,-16.0369857788086
21651,-12.6815742492676
21650,-16.9571136474609
21649,-16.5354179382324
21648,-15.1148564656575
21647,-14.3254595438639
21646,-14.5682739257812
21645,-13.9102920532226
21644,-14.866869354248
21643,-16.5892674763997
21642,-15.4982666015625
21641,-14.6904574076334
21640,-15.9725161234538
21639,-14.331837717692
21638,-14.8187393188476
21637,-16.0689109802246
21636,-13.3551162719726
21635,-16.598013305664
21634,-15.0722615559896
21633,-14.073090616862
21632,-15.8134686787923
21631,-15.7618558247884
21630,-14.940225982666
21629,-15.7483746846517
21628,-16.6757199605306
21627,-14.2032150268554
21626,-15.7242174784342
21625,-14.1905108133952
21624,-14.7000780741373
21623,-15.5387074788411
21622,-15.2899052937825
21621,-15.4947303771972
21620,-16.7570861816406
21619,-14.4755678812663
21618,-13.9762379964192
21617,-13.430158996582
21616,-16.715200805664
21615,-17.2145764668782
21614,-16.3472897847493
21613,-16.6511316935221
21612,-15.7613179524739
21611,-15.7286298116048
21610,-15.8112930297851
21609,-14.5431248982747
21608,-14.6361132303873
21607,-13.388229115804
21606,-16.4278205871582
21605,-17.1764155069987
21604,-17.1509358723958
21603,-15.9975863138834
21602,-16.6958958943685
