"Summer months (April to September) of hydrological
 years [yr BP]","Average summer mean temperature [degree C]"
21998,-6.33372853597003
21997,-5.26607360839841
21996,-6.42712504069008
21995,-6.19548390706378
21994,-5.07058817545571
21993,-5.4298639933268
21992,-7.08000793457029
21991,-4.68643290201821
21990,-5.38795572916664
21989,-8.08767293294269
21988,-5.98821105957029
21987,-5.80087127685545
21986,-4.92200826009112
21985,-5.84367980957029
21984,-5.27728627522784
21983,-4.40542195638019
21982,-4.23345540364581
21981,-7.17844492594399
21980,-5.28807932535805
21979,-6.80900675455727
21978,-5.62806803385414
21977,-5.36763102213539
21976,-5.67173868815102
21975,-7.12385152180987
21974,-5.77023417154946
21973,-6.76888376871743
21972,-8.00531107584633
21971,-5.62468566894529
21970,-6.31540018717446
21969,-4.46667582194008
21968,-7.29690144856769
21967,-7.65617472330727
21966,-6.30645345052081
21965,-5.41157633463539
21964,-4.98165232340493
21963,-5.54376576741534
21962,-6.09342549641925
21961,-4.11982065836586
21960,-5.63745218912758
21959,-6.21845601399737
21958,-5.50869089762368
21957,-5.79658610026039
21956,-5.53753255208331
21955,-4.51202494303383
21954,-3.87098795572914
21953,-5.2259582519531
21952,-7.15474802652993
21951,-4.40545756022133
21950,-9.2779118855794
21949,-4.66512145996091
21948,-5.15487772623696
21947,-6.46376647949216
21946,-7.17878061930336
21945,-4.5052551269531
21944,-6.68487904866534
21943,-4.69577128092446
21942,-7.18055826822914
21941,-7.68143056233722
21940,-5.73309936523435
21939,-4.96019083658852
21938,-6.80729268391925
21937,-5.47888285319008
21936,-5.1511291503906
21935,-6.2330383300781
21934,-5.49928385416664
21933,-5.43934733072914
21932,-5.86178436279295
21931,-4.44974873860675
21930,-6.42382405598956
21929,-5.45485026041664
21928,-6.41417032877602
21927,-6.06650390624998
21926,-3.48304850260414
21925,-5.9722961425781
21924,-7.17782694498696
21923,-5.82072804768878
21922,-6.87997538248696
21921,-5.96327056884763
21920,-8.17815246582029
21919,-5.15626118977862
21918,-4.82692057291664
21917,-5.85708719889321
21916,-6.68165944417315
21915,-3.7375549316406
21914,-6.72028706868487
21913,-5.17723693847654
21912,-4.21766764322914
21911,-5.46151580810545
21910,-6.30146891276039
21909,-5.76271667480466
21908,-3.92921040852862
21907,-4.9857976277669
21906,-6.33689219156899
