"Winter months (October to March) of hydrological
 years [yr BP]","Average winter mean temperature [degree C]"
21998,-29.3526138305664
21997,-27.0297098795573
21996,-26.5083602905273
21995,-25.6066167195638
21994,-24.4007781982422
21993,-21.6355041503906
21992,-23.9282414754232
21991,-26.5257705688476
21990,-21.0255696614583
21989,-28.4301310221354
21988,-23.3473317464192
21987,-27.1020365397135
21986,-19.4619303385416
21985,-26.6536544799804
21984,-24.9585734049479
21983,-25.1348225911458
21982,-25.9686569213867
21981,-21.2722178141276
21980,-26.7154729207357
21979,-26.6691650390625
21978,-21.5288172403971
21977,-26.1570571899414
21976,-24.5409734090169
21975,-22.728488667806
21974,-24.7947957356771
21973,-21.8721171061198
21972,-27.5367441813151
21971,-26.0947352091471
21970,-25.6070668538411
21969,-24.8143371582031
21968,-25.2537953694661
21967,-20.2724924723307
21966,-25.1266006469726
21965,-27.9187962849935
21964,-23.4331293741862
21963,-23.5341349283854
21962,-22.4400466918945
21961,-24.444692993164
21960,-25.9845947265625
21959,-26.045512898763
21958,-24.7555348714192
21957,-24.3632466634114
21956,-23.3657592773437
21955,-22.3130427042643
21954,-25.437000020345
21953,-23.7643188476562
21952,-26.6093302408854
21951,-26.3665552775065
21950,-22.6819264729817
21949,-24.1565027872721
21948,-22.516704305013
21947,-22.9300572713216
21946,-24.301850382487
21945,-26.7810958862304
21944,-21.3429270426432
21943,-28.5383794148763
21942,-24.9430374145508
21941,-27.5157201131185
21940,-24.768403116862
21939,-23.2568369547526
21938,-25.8641036987304
21937,-23.1548802693685
21936,-29.7262608846028
21935,-29.2733317057291
21934,-21.1342631022135
21933,-22.5271006266276
21932,-27.8235661824544
21931,-24.7524602254232
21930,-28.1672576904297
21929,-25.0098251342773
21928,-22.2804346720377
21927,-29.7487828572591
21926,-22.6729415893554
21925,-26.0628189086914
21924,-25.9576934814453
21923,-25.807709757487
21922,-27.558821105957
21921,-26.9969136555989
21920,-29.9455525716146
21919,-25.5181615193685
21918,-20.74046681722
21917,-26.9498123168945
21916,-24.2604380289713
21915,-20.9842107137044
21914,-27.9683797200521
21913,-24.5703236897786
21912,-27.2747126261393
21911,-25.796499633789
21910,-25.9006663004557
21909,-19.5286697387695
21908,-25.5728210449219
21907,-21.0885070800781
21906,-26.5374969482422
21905,-23.3677302042643
21904,-24.4917180379232
21903,-22.2230743408203
21902,-23.6310078938802
21901,-23.7683827718099
21900,-29.1265243530273
21899,-20.4976231892903
21898,-26.5935577392578
21897,-25.9615412394206
21896,-25.6053909301758
21895,-25.520007832845
21894,-23.6748540242513
21893,-24.2469441731771
21892,-30.1342325846354
21891,-25.6973531087239
21890,-28.8656880696614
21889,-24.589692179362
21888,-29.6704696655273
21887,-25.5864344278971
21886,-24.6017873128255
21885,-25.0143798828125
21884,-23.8796727498372
21883,-22.1644882202148
21882,-31.0823628743489
21881,-26.3234720865885
21880,-24.7231099446614
21879,-25.5190109252929
21878,-25.0909612019857
21877,-24.5809005737304
21876,-23.9792948404948
21875,-29.6246449788411
21874,-28.2285217285156
21873,-27.4053278605143
21872,-27.901215616862
21871,-21.8832534790039
21870,-23.2221867879232
21869,-30.0179606119791
21868,-23.5180572509765
21867,-19.5853154500325
21866,-25.0372680664062
21865,-25.5142272949219
21864,-24.3066518147786
21863,-24.0057764689127
21862,-23.2534851074219
21861,-23.0627527872721
21860,-24.9086186726888
21859,-22.6821807861328
21858,-25.062961324056
21857,-24.6261861165364
21856,-26.0115264892578
21855,-24.1315038045247
21854,-27.6024002075195
21853,-23.9451354980469
21852,-22.3608815511067
21851,-23.3351959228515
21850,-23.8816589355469
21849,-22.8846725463867
21848,-24.8320831298828
21847,-25.6537231445312
21846,-27.8139582316081
21845,-24.7902537027995
21844,-26.8790496826172
21843,-26.3136149088541
21842,-27.4370966593424
21841,-24.2336613972982
21840,-24.7485056559245
21839,-27.9512568155924
21838,-28.08861134847
21837,-25.8647013346354
21836,-23.5424280802409
21835,-25.7443476359049
21834,-26.565283203125
21833,-21.8314270019531
21832,-24.3208221435547
21831,-24.3399795532226
21830,-20.5575698852539
21829,-24.6611897786458
21828,-25.2130009969075
21827,-26.9443751017252
21826,-23.9453872680664
21825,-27.2193206787109
21824,-25.6180964152018
21823,-26.9717468261719
21822,-23.0324030558268
21821,-26.6349522908528
21820,-23.4668309529622
21819,-23.5748886108398
21818,-27.1945505777995
21817,-24.5578013102213
21816,-28.4282033284505
21815,-28.7910064697265
21814,-24.0811803181966
21813,-27.433940633138
21812,-23.7643086751302
21811,-19.5373519897461
21810,-23.3905268351237
21809,-29.9185826619466
21808,-24.6307917277018
21807,-26.9537541707357
21806,-24.7755620320638
21805,-22.5962916056315
21804,-26.8426574707031
21803,-24.8837188720703
21802,-21.5685892740885
21801,-26.8440078735351
21800,-22.4815912882487
21799,-24.1748514811198
21798,-24.3135106404622
21797,-27.3044748942057
21796,-24.9435689290364
21795,-23.7072967529297
21794,-26.0832758585612
21793,-22.3929682413737
21792,-24.1866999308268
21791,-21.4516688028971
21790,-22.6947158813476
21789,-26.5681238810221
21788,-26.7539683024088
21787,-25.8593861897786
21786,-30.9142771402995
21785,-22.6099075317383
21784,-24.7652521769206
21783,-26.8630304972331
21782,-25.19163869222
21781,-25.8111811319987
21780,-22.9279998779297
21779,-23.6556864420573
21778,-28.5413269042969
21777,-26.7914947509765
21776,-21.4764567057291
21775,-27.1468592325846
21774,-29.5796340942383
21773,-22.3856923421224
21772,-24.1039464314778
21771,-25.4269546508789
21770,-23.7685226440429
21769,-25.1093505859375
21768,-19.5998545328776
21767,-22.1742691040039
21766,-26.2160578409831
21765,-26.1442270914713
21764,-26.4472056070963
21763,-25.3432627360026
21762,-22.664539082845
21761,-23.9226465861002
21760,-27.9423456827799
21759,-21.9363184611002
21758,-22.9019963582357
21757,-25.664175415039
21756,-24.4029627482096
21755,-22.7006159464518
21754,-22.502788289388
21753,-19.2160044352213
21752,-23.7837127685547
21751,-23.3465993245442
21750,-22.3604212443034
21749,-23.5138051350911
21748,-26.9847295125325
21747,-22.5432418823242
21746,-24.293310546875
21745,-23.9301564534505
21744,-23.5125793457031
21743,-24.6797927856445
21742,-24.823823038737
21741,-23.1300084431966
21740,-23.2810246785482
21739,-24.0544036865234
21738,-23.6241719563802
21737,-26.0756896972656
21736,-25.5035995483398
21735,-22.959097290039
21734,-23.0577173868815
21733,-27.8535776774088
21732,-29.2617375691732
21731,-22.4734532674153
21730,-31.3867197672526
21729,-25.0719843546549
21728,-26.5778971354166
21727,-22.5346969604492
21726,-23.9126012166341
21725,-22.6763544718424
21724,-21.2571319580078
21723,-27.0889139811198
21722,-21.6794113159179
21721,-22.6273864746094
21720,-23.4121663411458
21719,-23.6193018595377
21718,-23.3460042317708
21717,-23.4017827351888
21716,-24.6601547241211
21715,-29.070425415039
21714,-25.1934417724609
21713,-26.2763097127278
21712,-22.480815633138
21711,-23.0249084472656
21710,-25.6207285563151
21709,-25.704807027181
21708,-19.6246449788411
21707,-24.1255579630534
21706,-24.774885559082
21705,-23.5342493693034
21704,-26.9441436767578
21703,-30.4330200195312
21702,-24.9597534179687
21701,-25.6703450520833
21700,-28.5817220052083
21699,-23.3650166829427
21698,-26.5950022379557
21697,-26.1077102661133
21696,-23.573230489095
21695,-27.8821573893229
21694,-32.1412109375
21693,-25.9314000447591
21692,-20.0932830810547
21691,-24.5392033894857
21690,-32.3100036621094
21689,-23.4202229817708
21688,-25.1410888671875
21687,-24.724961344401
21686,-25.281960550944
21685,-24.8065577189127
21684,-24.679062906901
21683,-21.8598388671875
21682,-23.8894816080729
21681,-21.3018274943034
21680,-19.817360941569
21679,-22.4519460042317
21678,-24.3927241007487
21677,-32.4469741821289
21676,-24.7874053955078
21675,-24.1771352132161
21674,-27.0392033894857
21673,-23.913058980306
21672,-26.3320551554362
21671,-23.4150629679362
21670,-25.8390513102213
21669,-26.1202224731445
21668,-27.2358535766601
21667,-28.5348571777344
21666,-24.0968104044596
21665,-26.8354349772135
21664,-28.4224990844726
21663,-25.1868855794271
21662,-28.9309346516927
21661,-27.353976949056
21660,-29.595816040039
21659,-24.9254516601562
21658,-25.1102661132812
21657,-25.4025202433268
21656,-23.0236394246419
21655,-24.8448216756185
21654,-25.0299285888672
21653,-26.86044921875
21652,-26.1074788411458
21651,-20.7832524617513
21650,-27.139751180013
21649,-27.5949768066406
21648,-25.6424875895182
21647,-25.0981836954752
21646,-25.7955790201823
21645,-23.8871419270833
21644,-22.7079249064127
21643,-26.3222234090169
21642,-26.2717702229817
21641,-24.6635116577148
21640,-26.0021499633789
21639,-23.519016011556
21638,-23.3430974324544
21637,-26.0593373616536
21636,-22.2595326741536
21635,-26.3344355265299
21634,-25.2359832763672
21633,-23.1896982828776
21632,-24.6113723754883
21631,-26.4073064168294
21630,-23.9884323120117
21629,-26.6338790893554
21628,-27.22142384847
21627,-23.4516001383463
21626,-26.2517227172851
21625,-25.2384323120117
21624,-20.7930180867513
21623,-25.6904764811198
21622,-25.8185180664062
21621,-23.8370880126953
21620,-28.0635564168294
21619,-25.2423233032226
21618,-24.0226501464844
21617,-22.3229888916015
21616,-25.8836502075195
