"Winter months (December-January-February) of each years [yr BP]","Average winter mean temperature [degree C]"
21998,-48.8334208170573
21997,-45.7270060221354
21996,-48.2010660807291
21995,-44.2900655110677
21994,-49.1176157633463
21993,-41.8412384033203
21992,-44.7849538167318
21991,-49.4401102701823
21990,-46.0145985921224
21989,-44.9157318115234
21988,-45.8633229573568
21987,-47.3255218505859
21986,-44.1442474365234
21985,-42.7503926595052
21984,-46.2426869710286
21983,-42.7237152099609
21982,-41.7558807373047
21981,-42.4711364746094
21980,-42.691753133138
21979,-44.2873341878255
21978,-41.9885467529297
21977,-45.7181966145833
21976,-44.0712239583333
21975,-45.2147837320963
21974,-45.3914805094401
21973,-47.2314005533854
21972,-46.1040100097656
21971,-47.0876118977864
21970,-45.9613505045573
21969,-54.9307312011719
21968,-43.3801737467448
21967,-47.2714701334635
21966,-44.2367156982422
21965,-46.1098032633463
21964,-43.4684356689453
21963,-48.1012786865234
21962,-49.5913096110026
21961,-43.4090586344401
21960,-48.0126149495443
21959,-46.3045867919922
21958,-47.7252716064453
21957,-50.6240295410156
21956,-42.6613118489583
21955,-45.2550313313802
21954,-45.8913024902344
21953,-45.1330017089844
21952,-44.3419911702474
21951,-47.2015391031901
21950,-48.6196502685547
21949,-44.2246561686198
21948,-47.5671346028646
21947,-42.42001953125
21946,-48.574311319987
21945,-48.3723765055338
21944,-43.369975789388
21943,-43.7978881835937
21942,-46.4272369384765
21941,-46.4989227294922
21940,-48.6537536621094
21939,-46.7385569254557
21938,-46.0396331787109
21937,-48.4532430013021
21936,-49.4804850260416
21935,-42.5350504557291
21934,-45.2651021321614
21933,-43.3985198974609
21932,-46.2150227864583
21931,-43.1677764892578
21930,-47.9701853434245
21929,-47.769150797526
21928,-46.1695058186849
21927,-42.8032338460286
21926,-43.8181823730469
21925,-44.2629964192708
21924,-42.3118448893229
21923,-48.1450459798177
21922,-46.0699625651041
21921,-49.0671396891276
21920,-40.1810465494791
21919,-42.2987833658854
21918,-46.6504679361979
21917,-44.6524668375651
21916,-46.8366811116536
21915,-44.3466349283854
21914,-46.0228637695312
21913,-44.0272837320963
21912,-48.0749521891276
21911,-41.4640767415364
21910,-46.5028849283854
21909,-45.5112925211588
21908,-43.1994028727213
21907,-50.6884826660156
21906,-48.9874532063802
21905,-45.8707489013672
21904,-45.3197031656901
21903,-46.4381164550781
21902,-47.645127360026
21901,-46.1503865559896
21900,-47.9245768229166
21899,-48.5966094970703
21898,-43.400981648763
21897,-44.8030100504557
21896,-46.5730143229166
21895,-46.7474375406901
21894,-41.2829752604166
21893,-40.9437469482422
21892,-46.9119527180989
21891,-45.4896555582682
21890,-41.1894032796224
21889,-41.3910939534505
21888,-51.0081746419271
21887,-43.4449778238932
21886,-46.5923472086588
21885,-44.6037048339844
21884,-49.1760111490885
21883,-50.8987335205078
21882,-47.6749328613281
21881,-43.4746866861979
21880,-43.7270263671875
21879,-45.8141286214193
21878,-46.9091196695963
21877,-49.5858418782552
21876,-40.3364929199219
21875,-44.6679443359375
21874,-48.471787516276
21873,-41.6911275227864
21872,-46.8318237304687
21871,-45.6154947916666
21870,-48.5869049072265
21869,-43.8857533772786
21868,-44.6833251953125
21867,-48.4994974772135
21866,-41.7234303792318
21865,-47.9349680582682
21864,-43.6345581054687
21863,-49.5631673177083
21862,-46.921977742513
21861,-47.5102142333984
21860,-46.9690104166666
21859,-46.3509175618489
21858,-42.7190460205078
21857,-43.6276611328125
21856,-44.9980326334635
21855,-46.41025390625
21854,-43.0707865397135
21853,-46.025991821289
21852,-46.2843688964844
21851,-46.9857747395833
21850,-46.4716756184896
21849,-46.0580251057943
21848,-45.5986897786458
21847,-45.9579071044922
21846,-46.7614298502604
21845,-41.4618184407552
21844,-43.8104868570963
21843,-44.9667622884114
21842,-45.2489278157552
21841,-46.5526794433594
21840,-46.3807484944661
21839,-47.840434773763
21838,-44.2187154134114
21837,-44.2412373860677
21836,-49.8190673828125
21835,-48.067729695638
21834,-51.4096740722656
21833,-48.5012827555338
21832,-43.2525950113932
21831,-43.6088928222656
21830,-48.5687266031901
21829,-47.610464477539
21828,-46.1443339029948
21827,-45.0840464274088
21826,-46.9258992513021
21825,-43.5343332926432
21824,-42.4746765136719
21823,-49.2208821614583
21822,-45.5224975585937
21821,-48.5040954589844
21820,-46.2904927571614
21819,-45.2096364339193
21818,-44.6827962239583
21817,-42.5514180501302
21816,-44.265732828776
21815,-46.6327321370443
21814,-48.0491902669271
21813,-45.0316935221354
21812,-49.3833780924479
21811,-47.5911315917969
21810,-45.5321004231771
21809,-45.5122843424479
21808,-42.9177764892578
21807,-49.5993001302083
21806,-47.3473419189453
21805,-49.5937967936198
21804,-50.3639078776041
21803,-48.5355183919271
21802,-53.9123291015625
21801,-51.2223673502604
21800,-48.7834584554036
21799,-48.8213612874349
21798,-49.3382781982422
21797,-49.0363423665364
21796,-47.1343648274739
21795,-48.2467051188151
21794,-47.2362375895182
21793,-50.1276611328125
21792,-44.2665924072265
21791,-48.5459706624349
21790,-43.8188028971354
21789,-47.519873046875
21788,-43.8659779866536
21787,-40.4402577718099
21786,-45.6436930338541
21785,-46.9412801106771
21784,-47.9415445963541
21783,-46.2744862874349
21782,-47.4777180989583
21781,-43.133881632487
21780,-48.6462463378906
21779,-46.8320678710937
21778,-47.7600413004557
21777,-45.7801727294922
21776,-45.0344197591146
21775,-45.759385172526
21774,-48.1602081298828
21773,-48.5974029541015
21772,-47.4711873372396
21771,-50.5522572835286
21770,-46.8078979492187
21769,-44.887299601237
21768,-42.6276713053385
21767,-46.4005442301432
21766,-51.844834391276
21765,-46.2247934977213
21764,-47.9822347005208
21763,-42.4332438151041
21762,-44.9110880533854
21761,-46.3459228515625
21760,-41.6209269205729
21759,-42.4780944824219
21758,-47.2404591878255
21757,-42.5441396077474
21756,-47.0421305338541
21755,-47.0376495361328
21754,-48.6134246826172
21753,-51.0475474039713
21752,-49.0838684082031
21751,-46.4404764811198
21750,-42.659287516276
21749,-45.4350901285807
21748,-43.8273274739583
21747,-47.2599344889323
21746,-45.8649861653646
21745,-45.2832194010416
21744,-45.8791768391927
21743,-44.0959126790364
21742,-45.5270090738932
21741,-42.7188934326172
21740,-49.6706400553385
21739,-48.780381266276
21738,-45.8483083089193
21737,-44.5635437011719
21736,-49.4050862630208
21735,-47.3061737060547
21734,-46.5285400390625
21733,-44.2299407958984
21732,-41.7394521077474
21731,-46.9043741861979
21730,-39.9936024983724
21729,-43.250341796875
21728,-47.7760019938151
21727,-45.25107421875
21726,-45.9748392740885
21725,-47.7227945963541
21724,-44.7938344319661
21723,-50.7294423421224
21722,-46.4816294352213
21721,-48.9890858968099
21720,-48.6359619140625
21719,-47.5221110026041
21718,-49.1236989339193
21717,-48.061616007487
21716,-45.223486328125
21715,-49.887803141276
21714,-46.046728515625
21713,-50.7189239501953
21712,-49.9684814453125
21711,-47.9550435384114
21710,-47.2962860107422
21709,-45.7087209065755
21708,-49.233017985026
21707,-47.3471740722656
21706,-37.9540110270182
21705,-46.6207641601562
21704,-45.8399007161458
21703,-48.0293538411458
21702,-46.5151529947916
21701,-40.705669148763
21700,-43.9837300618489
21699,-47.4890096028646
21698,-54.0362050374349
21697,-46.0937561035156
21696,-42.5861216227213
21695,-46.8234924316406
21694,-44.0670176188151
21693,-47.1468668619791
21692,-39.9617980957031
21691,-43.1096405029297
21690,-45.4757802327474
21689,-47.4224456787109
21688,-43.1709706624349
21687,-48.4279744466146
21686,-42.6810262044271
21685,-47.0449940999349
21684,-46.0171010335286
21683,-44.3772847493489
21682,-44.5919606526693
21681,-45.7165486653646
21680,-49.5515655517578
21679,-38.7153127034505
21678,-44.8733327229818
21677,-43.5564788818359
21676,-46.2345133463541
21675,-45.9556030273437
21674,-48.5480763753255
21673,-48.1064666748047
21672,-46.5927947998047
21671,-47.0009012858073
21670,-43.4066630045573
21669,-46.6140096028646
21668,-40.8621276855469
21667,-49.914902750651
21666,-47.7520253499349
21665,-43.7241271972656
21664,-43.8427795410156
21663,-44.1745310465495
21662,-48.202256266276
21661,-44.1016906738281
21660,-49.8649098714193
21659,-49.0792551676432
21658,-43.0201680501302
21657,-48.9753275553385
21656,-47.2615366617838
21655,-46.4937347412109
21654,-46.8212493896484
21653,-40.5375274658203
21652,-47.7029225667318
21651,-46.9092213948568
21650,-45.8727223714193
21649,-45.0006724039713
21648,-47.6651977539062
21647,-45.2434855143229
21646,-44.649282836914
21645,-48.3181060791015
21644,-46.1541859944661
21643,-50.396831258138
21642,-41.6310587565104
21641,-43.4802001953125
21640,-46.0686248779297
21639,-45.1396952311198
21638,-45.8489034016927
21637,-46.945649210612
21636,-46.8795583089193
21635,-46.5586710611979
21634,-43.0918843587239
21633,-44.3264933268229
21632,-46.8982655843099
21631,-43.6309773763021
21630,-43.8283498128255
21629,-50.0442718505859
21628,-47.7970540364583
21627,-45.569199625651
21626,-45.443696085612
21625,-44.6033233642578
21624,-44.8547729492187
21623,-45.6771606445312
21622,-42.7718719482422
21621,-49.4399627685547
21620,-44.5491394042969
21619,-48.1896982828776
21618,-47.5770629882812
21617,-49.1524820963541
21616,-46.7419392903646
21615,-43.5970062255859
21614,-46.1797088623047
21613,-45.6842051188151
21612,-49.1455749511719
21611,-44.5946360270182
21610,-45.9892181396484
21609,-41.7523508707682
21608,-46.1389729817708
21607,-46.9549163818359
21606,-41.4661875406901
21605,-45.2802795410156
21604,-45.7573354085286
21603,-44.0760559082031
21602,-44.9142161051432
21601,-48.2863321940104
21600,-42.4110524495443
21599,-44.844341023763
21598,-45.4297342936198
21597,-46.425629679362
21596,-46.5963144938151
