"Summer months (Jule-July-August) of each years [yr BP]","Average summer mean temperature [degree C]"
21999,-16.5468302408854
21998,-16.9438334147135
21997,-16.7491617838541
21996,-18.1926534016927
21995,-16.1215983072916
21994,-15.8891052246094
21993,-18.2818664550781
21992,-18.2566741943359
21991,-17.8222564697265
21990,-17.7177490234375
21989,-15.5506754557291
21988,-16.9502319335937
21987,-13.2557840983073
21986,-20.0076354980469
21985,-19.1662455240885
21984,-14.2095499674479
21983,-16.3798685709635
21982,-15.9959167480469
21981,-17.7916320800781
21980,-16.2263651529948
21979,-16.8552103678385
21978,-15.5766764322916
21977,-16.8284922281901
21976,-17.8901377360026
21975,-16.9495096842448
21974,-16.3583129882812
21973,-17.7084411621094
21972,-16.5754862467448
21971,-15.9393422444661
21970,-17.4042724609375
21969,-17.1022552490234
21968,-18.2816375732422
21967,-16.2331705729166
21966,-16.6292887369791
21965,-18.0878662109375
21964,-16.7434906005859
21963,-15.133408610026
21962,-20.4528157552083
21961,-20.2212381998698
21960,-16.1303670247396
21959,-15.3935709635416
21958,-17.095078531901
21957,-17.4089721679687
21956,-16.4637563069661
21955,-16.4788777669271
21954,-15.8346516927083
21953,-16.5553649902344
21952,-16.9958150227864
21951,-17.6410278320312
21950,-17.7080800374349
21949,-16.9095723470052
21948,-18.5694132486979
21947,-17.9128479003906
21946,-15.1720133463541
21945,-18.0150512695312
21944,-15.4786336263021
21943,-15.4671641031901
21942,-18.9757954915364
21941,-17.6852071126302
21940,-15.932221476237
21939,-17.1198842366536
21938,-18.7126525878906
21937,-17.2027242024739
21936,-17.2800506591797
21935,-16.6139841715495
21934,-16.2682149251302
21933,-17.089203898112
21932,-15.9546773274739
21931,-16.907329305013
21930,-17.405620320638
21929,-15.8924112955729
21928,-16.7344573974609
21927,-15.8749806722005
21926,-15.8282023111979
21925,-16.1071838378906
21924,-16.9067749023437
21923,-16.9692698160807
21922,-17.6982177734375
21921,-14.5065521240234
21920,-15.909287516276
21919,-14.8093221028646
21918,-16.4080057779948
21917,-17.3470723470052
21916,-18.9761362711588
21915,-17.1654571533203
21914,-17.3697723388672
21913,-20.1249399820963
21912,-20.5302541097005
21911,-14.660269165039
21910,-15.5850840250651
21909,-21.3670613606771
21908,-17.5972554524739
21907,-19.6395680745442
21906,-19.9116780598958
21905,-18.3516143798828
21904,-17.218115234375
21903,-16.189316813151
21902,-15.9008646647135
21901,-19.5414591471354
21900,-16.6075805664062
21899,-15.2298238118489
21898,-18.6298533121745
21897,-18.5020355224609
21896,-15.3841206868489
21895,-18.6754567464192
21894,-16.9506795247396
21893,-17.0028798421224
21892,-17.317495727539
21891,-17.0986440022786
21890,-17.8545745849609
21889,-16.1653452555338
21888,-18.9186157226562
21887,-17.076508585612
21886,-17.4374247233073
21885,-18.7238067626953
21884,-16.0058349609375
21883,-15.2624674479166
21882,-16.5906433105469
21881,-17.9579376220703
21880,-19.6229817708333
21879,-15.3697113037109
21878,-19.8752197265625
21877,-17.2196207682291
21876,-15.0048889160156
21875,-18.8461313883463
21874,-19.1962086995442
21873,-15.3902750651041
21872,-15.6509206136067
21871,-17.558950805664
21870,-17.0186930338541
21869,-16.59189453125
21868,-17.3877421061198
21867,-16.7605804443359
21866,-17.453955078125
21865,-15.1210591634114
21864,-19.1121175130208
21863,-16.8392547607422
21862,-16.9680643717448
21861,-15.7405405680338
21860,-18.0659495035807
21859,-18.7622334798177
21858,-17.6815144856771
21857,-17.9423634847005
21856,-16.1965545654297
21855,-18.5968638102213
21854,-15.1518920898437
21853,-16.7315175374349
21852,-16.7316752115885
21851,-15.7097025553385
21850,-16.0685892740885
21849,-14.7083089192708
21848,-14.4850321451823
21847,-16.4644429524739
21846,-15.626084391276
21845,-16.4281677246094
21844,-18.8371592203776
21843,-16.4895233154297
21842,-15.1915547688802
21841,-19.1080485026041
21840,-16.7036702473958
21839,-15.6093048095703
21838,-17.250341796875
21837,-18.9699920654297
21836,-15.8599304199219
21835,-17.6552642822265
21834,-17.6368672688802
21833,-16.9940246582031
21832,-16.828461710612
21831,-18.5096394856771
21830,-15.8131062825521
21829,-19.0051025390625
21828,-15.7049112955729
21827,-20.6158610026041
21826,-16.0580708821614
21825,-16.9424652099609
21824,-17.3195607503255
21823,-15.7139851888021
21822,-18.6210998535156
21821,-16.9280202229817
21820,-15.0387329101562
21819,-19.465434773763
21818,-16.1221883138021
21817,-18.259868367513
21816,-15.2466491699219
21815,-15.8285888671875
21814,-17.4786539713541
21813,-16.7802337646484
21812,-17.3018300374349
21811,-17.853369140625
21810,-18.4506490071614
21809,-17.8148508707682
21808,-17.8270884195963
21807,-15.2360493977864
21806,-18.9877583821614
21805,-15.9314839680989
21804,-16.1086385091146
21803,-17.4731150309245
21802,-18.2389790852864
21801,-19.6369893391927
21800,-16.3038391113281
21799,-18.318472290039
21798,-18.1523803710937
21797,-20.0405944824219
21796,-18.6918141682942
21795,-16.136094156901
21794,-18.8860534667969
21793,-18.4721333821614
21792,-19.245474243164
21791,-17.381928507487
21790,-18.870458984375
21789,-17.7184356689453
21788,-17.9186004638672
21787,-14.8781646728515
21786,-19.841177368164
21785,-18.1921498616536
21784,-17.5153004964192
21783,-18.4332794189453
21782,-17.3028625488281
21781,-17.7216501871745
21780,-16.6052408854166
21779,-16.7259175618489
21778,-18.3730580647786
21777,-18.3246368408203
21776,-16.1121124267578
21775,-15.459824625651
21774,-19.5701558430989
21773,-16.5532287597656
21772,-20.1889506022135
21771,-16.3045206705729
21770,-16.4719757080078
21769,-19.4880279541015
21768,-17.2253173828125
21767,-16.704453531901
21766,-17.5073862711588
21765,-18.3968770345052
21764,-20.7319040934245
21763,-17.0663309733073
21762,-18.0409301757812
21761,-16.3921722412109
21760,-15.5317138671875
21759,-14.4242004394531
21758,-15.5305948893229
21757,-16.6435150146484
21756,-17.9448862711588
21755,-18.2028259277344
21754,-18.5484731038411
21753,-15.553559366862
21752,-18.8016774495442
21751,-16.090444946289
21750,-16.7896280924479
21749,-17.7567911783854
21748,-17.7495381673177
21747,-18.6344563802083
21746,-18.0847635904948
21745,-17.8947408040364
21744,-17.7099822998047
21743,-18.1677408854166
21742,-19.0569264729817
21741,-16.4866038004557
21740,-18.8726206461588
21739,-18.8404551188151
21738,-17.6022603352864
21737,-16.9897420247396
21736,-17.9292816162109
21735,-15.2181762695312
21734,-20.1136484781901
21733,-18.5368967692057
21732,-15.8914296468099
21731,-16.2009440104166
21730,-18.1294413248698
21729,-18.7348897298177
21728,-16.3768524169922
21727,-17.8982045491536
21726,-15.9250905354817
21725,-17.8275207519531
21724,-19.1815551757812
21723,-19.939067586263
21722,-15.8212646484375
21721,-19.0405639648437
21720,-17.443711344401
21719,-19.8108327229817
21718,-16.8782104492187
21717,-17.4442810058594
21716,-16.2980255126953
21715,-17.4833791097005
21714,-18.1974192301432
21713,-15.4527191162109
21712,-15.0034901936849
21711,-18.8239247639974
21710,-18.1767791748047
21709,-15.7450571695963
21708,-16.03427734375
21707,-17.0962178548177
21706,-17.6355244954427
21705,-17.2159993489583
21704,-19.0005706787109
21703,-19.3409891764323
21702,-17.3824574788411
21701,-15.8704996744791
21700,-18.9298817952474
21699,-18.83017578125
21698,-19.7798472086588
21697,-16.5929219563802
21696,-14.7443705240885
21695,-18.8182942708333
21694,-15.700303141276
21693,-17.4177510579427
21692,-13.9572814941406
21691,-17.9828094482422
21690,-14.9086975097656
21689,-16.2442687988281
21688,-17.2783772786458
21687,-19.0200052897135
21686,-17.1850494384765
21685,-16.4496520996094
21684,-14.3469807942708
21683,-18.7685150146484
21682,-15.8970397949219
21681,-16.1970123291015
21680,-16.7228454589844
21679,-18.9157267252604
21678,-14.4933939615885
21677,-19.2032786051432
21676,-17.1678476969401
21675,-17.8340616861979
21674,-16.6844594319661
21673,-17.568716430664
21672,-17.569189453125
21671,-15.1833099365234
21670,-15.6729390462239
21669,-18.8585673014323
21668,-17.1873026529948
21667,-17.1149556477864
21666,-18.232285563151
21665,-16.5017812093099
21664,-17.2724924723307
