"Calendar years [yr BP]","Average yearly mean temperature [degree C]"
21999,-35.2582204182943
21998,-32.5752026875814
21997,-32.7829917907715
21996,-34.3523379007975
21995,-31.6339159647623
21994,-30.9711466471354
21993,-33.9726992289225
21992,-32.4323524475097
21991,-33.7816210428873
21990,-33.09451268514
21989,-33.4188992818196
21988,-33.988991800944
21987,-31.7008893330892
21986,-32.6300834655761
21985,-32.8295171101888
21984,-28.644686126709
21983,-30.6763710021972
21982,-30.9815086364746
21981,-31.8977862040202
21980,-31.8004898071289
21979,-31.8303296407064
21978,-31.341780090332
21977,-33.7149630228678
21976,-32.9918324788411
21975,-31.7612505594889
21974,-32.7231824239095
21973,-32.6296384175618
21972,-31.6848854064941
21971,-32.9610237121582
21970,-33.9067876180013
21969,-34.3333992004394
21968,-32.6115071614583
21967,-33.3358393351237
21966,-34.1826932271321
21965,-33.8190114339193
21964,-32.0643664042155
21963,-33.6470525105794
21962,-34.8045130411784
21961,-33.485870107015
21960,-31.9362993876139
21959,-32.4624071756998
21958,-32.95890528361
21957,-31.8266192118327
21956,-31.2846232096354
21955,-31.1610193888346
21954,-31.7107782999674
21953,-32.9081494649251
21952,-31.4603892008463
21951,-34.1007369995117
21950,-35.5607144673665
21949,-30.8832394917806
21948,-35.9094668070475
21947,-32.4142745971679
21946,-32.7555704752604
21945,-32.7776868184407
21944,-32.4475120544433
21943,-31.9365905761719
21942,-34.1500521341959
21941,-32.5149724324544
21940,-32.8028193155924
21939,-33.4225143432617
21938,-33.3731966654459
21937,-34.5885236104329
21936,-32.7392066955566
21935,-31.7480440775553
21934,-30.8115231831868
21933,-34.3455312093099
21932,-31.9749766031901
21931,-31.5648203531901
21930,-33.0036682128906
21929,-31.8909210205078
21928,-32.9345306396484
21927,-31.0749191284179
21926,-30.5065622965495
21925,-30.8726219177246
21924,-32.9961697896321
21923,-34.048385365804
21922,-33.4935961405436
21921,-30.7692868550618
21920,-31.2235066731771
21919,-30.9509643554687
21918,-33.0914189656575
21917,-32.2659934997558
21916,-32.4453020731608
21915,-32.3606450398763
21914,-33.6459055582682
21913,-34.5344388326009
21912,-34.4102602640788
21911,-32.6366828918457
21910,-34.1096939086914
21909,-33.4356521606445
21908,-35.3574228922526
21907,-35.1748794555664
21906,-34.5307690938314
21905,-32.3045728047689
21904,-31.9602480570475
21903,-33.1192700703939
21902,-32.5916859944661
21901,-34.187000020345
21900,-33.304047648112
21899,-32.9122273763021
21898,-30.7554954528808
21897,-32.5058057149251
21896,-32.5373710632324
21895,-34.0022987365722
21894,-30.9039939880371
21893,-30.8980341593424
21892,-31.6602005004883
21891,-32.1689247131347
21890,-30.9247052510579
21889,-33.7829816182454
21888,-34.388109588623
21887,-31.2751068115234
21886,-34.0263046264648
21885,-33.892685953776
21884,-33.8407094319661
21883,-34.6628568013509
21882,-31.5768836975097
21881,-31.9547218322754
21880,-33.4019645690918
21879,-32.1077903747558
21878,-33.3356562296549
21877,-30.3081802368164
21876,-32.0670099894205
21875,-32.6307052612304
21874,-33.597816212972
21873,-31.1096633911133
21872,-31.8675738016764
21871,-34.4813585917155
21870,-32.9144284566243
21869,-31.9927035013834
21868,-33.592507425944
21867,-32.0636187235514
21866,-32.9037676493327
21865,-31.8566396077474
21864,-34.699015045166
21863,-31.8401410420735
