"Full hydrological years [yr BP]","Average yearly mean temperature [degree C]"
21998,-33.4093841552734
21997,-32.5217231750488
21996,-34.2166402180989
21995,-32.0005172729492
21994,-32.6363319396972
21993,-32.1981808980306
21992,-32.5867446899414
21991,-33.6999496459961
21990,-33.1140808105469
21989,-32.2041458129883
21988,-34.4202153523763
21987,-32.3318923950195
21986,-33.0551424662272
21985,-32.0369768778483
21984,-31.9359942118327
21983,-28.8005126953125
21982,-30.9083134969075
21981,-31.5553090413411
21980,-32.0150156656901
21979,-33.2242785135905
21978,-30.2586743672689
21977,-32.5370226542155
21976,-32.8027773539225
21975,-32.0449610392252
21974,-32.0996078491211
21973,-32.9072937011719
21972,-33.2207232157389
21971,-31.9140177408854
21970,-32.2367233276367
21969,-35.8684753417969
21968,-32.0302973429362
21967,-33.4432828267415
21966,-34.5012967427571
21965,-33.5026178995768
21964,-32.3966074625651
21963,-33.1867635091146
21962,-35.0419779459635
21961,-33.9621719360351
21960,-32.4764134724935
21959,-32.5441548665364
21958,-32.1454732259114
21957,-32.89249903361
21956,-30.8339307149251
21955,-32.1728614807129
21954,-31.0650161743164
21953,-32.4445721944173
21952,-31.5191571553548
21951,-33.1945404052734
21950,-34.4467516581217
21949,-33.217990620931
21948,-33.833910369873
21947,-33.1230364481608
21946,-32.6610282897949
21945,-34.7505160013834
21944,-31.0273434956868
21943,-32.2396212259928
21942,-33.6522417704264
21941,-32.6127393086751
21940,-33.2106524149577
21939,-33.1939758300781
21938,-33.0420262654622
21937,-34.6115567525228
21936,-33.1716445922851
21935,-31.9413881937663
21934,-31.2747380574544
21933,-32.0704521179199
21932,-33.5077512105306
21931,-32.3217198689778
21930,-33.008829498291
21929,-32.2074824015299
21928,-31.8077212015788
21927,-32.0616020202636
21926,-31.3665832519531
21925,-29.8035733540853
21924,-31.8836705525716
21923,-34.0500981648763
21922,-32.7420804341634
21921,-33.3946632385254
21920,-29.9432675679525
21919,-31.8266115824381
21918,-32.0084276835123
21917,-32.5048812866211
21916,-32.7157196044922
21915,-31.95877049764
21914,-32.7421948750814
21913,-34.448038482666
21912,-35.1861557006836
21911,-32.1288576761881
21910,-33.7130060831705
21909,-34.5211395263672
21908,-33.2697980244954
21907,-36.3292500813802
21906,-35.4718307495117
21905,-32.8269777933756
21904,-32.0731885274251
21903,-31.6539291381836
21902,-33.0191393534342
21901,-34.3346707661946
21900,-33.3348678588867
21899,-32.6743072509765
21898,-33.0494928995768
21897,-30.9712051391601
21896,-31.217928314209
21895,-34.1893409729004
21894,-31.8919141133626
21893,-30.2866539001465
21892,-32.4368563334147
21891,-32.0380399068196
21890,-31.9946973164876
21889,-31.2708483378092
21888,-35.109893544515
21887,-31.9994542439778
21886,-33.5855557759603
21885,-33.0475067138672
21884,-34.9111808776855
21883,-34.0624170939127
21882,-32.366495513916
21881,-32.123528544108
21880,-32.5143379211426
21879,-31.569376373291
21878,-34.6890790303548
21877,-32.0940104166666
21876,-29.5194152832031
21875,-32.7756065368652
21874,-34.2068262736002
21873,-31.4160725911458
21872,-31.5196657816569
21871,-32.4327529907226
21870,-34.6033373514811
21869,-31.6554143269857
21868,-32.9047353108724
21867,-34.0173197428385
21866,-31.7976109822591
21865,-32.2368975321452
21864,-33.4421244303385
21863,-32.8533449808756
21862,-31.3185714721679
21861,-32.2251660664876
21860,-34.4525703430176
21859,-34.5179555257161
21858,-32.9375607808431
21857,-32.3620552062988
21856,-32.0735547383626
21855,-33.0310373942057
21854,-31.5861317952474
21853,-32.4980237325032
21852,-33.9071029663086
21851,-33.088185373942
21850,-32.324015045166
21849,-32.7577067057291
21848,-33.4522130330403
21847,-32.2546358744303
21846,-33.9094235738118
21845,-31.7068593343099
21844,-31.0987139383952
21843,-32.2786837259928
21842,-32.7980038960775
21841,-33.7762118021647
21840,-32.9702730814616
21839,-33.0815541585286
21838,-31.6540626525879
21837,-31.2392143249511
21836,-33.8354731241862
21835,-34.0808725992838
21834,-34.1905909220377
21833,-33.6656555175781
21832,-32.5067352294922
21831,-32.8067878723144
21830,-32.5604525248209
21829,-34.6821489969889
21828,-31.2953475952148
21827,-32.3038798014323
21826,-32.7190943400065
21825,-32.4410296122233
21824,-31.5737747192383
21823,-34.5851743062337
21822,-32.4359052022298
21821,-32.4690638224284
21820,-34.2780822753906
21819,-33.0899757385254
21818,-30.6280693054199
21817,-31.7599993387858
21816,-31.9118789672851
21815,-33.1232564290364
21814,-33.4454495747884
21813,-33.2388328552246
21812,-32.77562306722
21811,-34.6430140177409
21810,-33.2869298299153
21809,-33.6371266682943
21808,-32.4760548909505
21807,-33.0057370503743
21806,-33.9492833455403
21805,-33.9410588582357
21804,-34.8342702229818
21803,-34.7351758321126
21802,-36.204131825765
21801,-34.4245056152344
21800,-33.4798098246256
21799,-34.2429985046386
21798,-34.6353820800781
21797,-35.0145668029785
21796,-32.9959142049153
21795,-33.9279998779297
21794,-34.9323219299316
21793,-33.9680592854818
21792,-35.615160369873
21791,-34.0604639689127
21790,-32.5519597371419
21789,-34.1687428792318
21788,-32.4994021097819
21787,-31.6303504943847
21786,-33.1680575052897
21785,-33.3803454081217
21784,-34.5974449157715
21783,-32.5845372517903
21782,-33.4629247029622
21781,-32.1929941813151
21780,-33.7230234781901
21779,-32.9508969624837
21778,-33.5802406311035
21777,-31.5148935953776
21776,-32.0259104410807
21775,-31.4324554443359
21774,-32.8555943806966
21773,-32.3594713846842
21772,-33.8581069946289
21771,-33.2951123555501
21770,-32.3562060038248
21769,-34.3975611368815
21768,-32.6459602355957
21767,-32.9340169270833
21766,-34.2121376037597
21765,-33.1937711079915
21764,-35.1287788391113
21763,-31.9759785970052
21762,-33.3110463460286
21761,-32.8733874003092
21760,-31.6551714579264
21759,-31.7674494425456
21758,-32.7531926472982
21757,-31.5489715576172
21756,-31.6588221232096
21755,-31.8422836303711
21754,-32.7849817911784
21753,-33.115404510498
21752,-35.2373476664225
21751,-32.9548299153646
21750,-32.350028737386
21749,-31.3619636535644
21748,-32.4032730102539
21747,-33.1808723449707
21746,-33.3065348307291
21745,-32.3959208170573
21744,-33.5605491638183
21743,-32.8273490905761
21742,-32.1172915140788
21741,-31.0411997477213
21740,-36.1712758382161
21739,-32.5853472391764
21738,-33.3071451822916
21737,-33.9111236572265
21736,-33.5218070983886
21735,-32.4190467834472
21734,-33.2919512430827
21733,-33.0707305908203
21732,-30.0189181009928
21731,-32.8350941975911
21730,-30.9429026285807
21729,-32.9835914611816
21728,-33.4204073588053
21727,-33.1715492248535
21726,-34.056489054362
21725,-33.3628092447916
21724,-32.2187319437663
21723,-33.6718391418457
21722,-33.7188743591308
21721,-34.5214904785156
21720,-34.2721466064453
21719,-34.1804985046386
21718,-32.4994160970052
21717,-33.9422592163086
21716,-32.6403500874837
21715,-33.2634389241536
21714,-33.7543599446614
21713,-35.1520090738932
21712,-33.0390317281087
21711,-35.3691645304362
21710,-33.9246378580729
21709,-32.2508237202962
21708,-33.2895556131998
21707,-33.4284932454427
21706,-32.184376780192
21705,-33.4176811218261
21704,-31.9092239379883
21703,-33.8637540181478
21702,-34.5867930094401
21701,-30.4403277079264
21700,-33.190604909261
21699,-33.7747138977051
21698,-36.771831258138
21697,-31.0291211446126
21696,-31.3296264648437
21695,-33.2381907145182
21694,-31.9998560587565
21693,-33.4357081095377
21692,-30.4746434529622
21691,-31.3360529581706
21690,-32.8522310892741
21689,-33.2294741312663
21688,-30.7170420328776
21687,-34.3605954488118
21686,-32.2445892333984
21685,-32.9380071004232
21684,-31.3038887023926
21683,-32.727704111735
21682,-33.0182378133138
21681,-31.9553690592448
21680,-33.9750694274902
21679,-31.7546727498372
21678,-31.3927571614583
21677,-31.7725713094075
21676,-33.3904747009277
21675,-34.4287119547526
21674,-34.2595593770345
21673,-33.8422086079915
21672,-33.874604288737
21671,-32.2782997131347
21670,-32.9369199117025
21669,-33.9271021525065
21668,-31.7039868672689
21667,-32.9956891377767
21666,-32.8497998555501
21665,-30.4419324239095
21664,-32.3170392354329
21663,-31.4383707682291
21662,-33.2340377807617
21661,-32.6981249491373
21660,-34.4719324747721
21659,-34.1673873901367
21658,-31.9957018534342
21657,-34.3864654541015
21656,-31.4671450297038
21655,-34.4545285542806
21654,-33.1402928670247
21653,-29.9265286763509
21652,-33.04519627889
21651,-33.1027460734049
21650,-31.8446271260579
21649,-33.9747133890788
21648,-34.7544031778971
21647,-32.3016380310058
21646,-32.53392384847
21645,-34.5770350138346
21644,-32.7937377929687
21643,-34.7016624450683
21642,-30.0271934509277
21641,-32.8972928365071
21640,-32.1156372070312
21639,-33.5684913635254
21638,-33.7195559183756
21637,-31.7980038960775
21636,-32.5743774414062
21635,-32.1918535868327
21634,-31.9307350158691
21633,-31.4937042236328
21632,-31.7495686848958
21631,-32.1099685668945
21630,-31.5529197692871
21629,-34.9371487935384
21628,-33.2396695454915
21627,-31.5874262491862
21626,-32.5696319580078
21625,-32.7897984822591
21624,-34.0806182861328
21623,-31.3186019897461
21622,-32.1774416605631
21621,-33.6696418762207
21620,-31.7943812052409
21619,-33.952495320638
21618,-33.1899042765299
21617,-33.4602925618489
21616,-31.0952705383301
21615,-31.6323506673177
21614,-31.2354454040527
21613,-31.8046274820963
21612,-33.8797299702962
21611,-31.5811904907226
21610,-32.8454154968261
21609,-32.5529362996419
21608,-31.2421669006347
21607,-33.5954332987467
21606,-30.9369720458984
21605,-32.1968508402506
21604,-34.2962745666504
21603,-33.087313079834
21602,-33.5279271443685
21601,-33.8813181559245
21600,-31.2434956868489
21599,-32.299840037028
21598,-32.9441080729166
21597,-32.9711301167806
21596,-33.4309193929036
21595,-33.1825101216634
21594,-33.2130404154459
21593,-31.2996404012044
21592,-32.1767728169759
21591,-34.6072563171386
21590,-33.1619692484538
21589,-35.0872418721517
21588,-34.4804405212402
21587,-29.8576886494954
21586,-30.9854784647623
21585,-34.3976946512858
21584,-33.8031092325846
21583,-32.9056635538737
21582,-32.3033521016439
21581,-33.7750470479329
21580,-33.4136362711588
21579,-32.6307510375976
21578,-33.4615984598795
21577,-33.7615239461263
21576,-33.2913383483886
21575,-33.5429748535156
21574,-32.4045611063639
21573,-33.4917231241862
21572,-32.1000007629394
21571,-32.8780591328939
21570,-32.3035669962565
21569,-31.5266975402832
21568,-32.2248519897461
21567,-34.6852541605631
21566,-34.4132191975911
21565,-32.8944610595703
21564,-34.3578755696614
21563,-32.6657674153646
21562,-32.8761072794596
21561,-30.2249766031901
21560,-32.5029777526855
21559,-32.9744120279948
21558,-32.6687975565592
21557,-32.4338592529297
21556,-33.9266634623209
21555,-32.7002649943034
21554,-34.3778213500976
21553,-33.5702651977539
21552,-33.1645543416341
21551,-32.807657623291
21550,-33.5191368103027
21549,-31.4732599894206
21548,-30.8248860677083
21547,-34.0940116882324
21546,-32.5431223551432
21545,-33.1209612528483
21544,-31.6108535766601
21543,-33.2011144002278
21542,-32.5600596110026
21541,-31.6564760843913
21540,-33.2058344523112
21539,-33.7249346415202
21538,-33.6704353332519
21537,-32.9590438842773
21536,-32.9943298339844
21535,-31.1232271830241
21534,-32.4580571492513
21533,-32.842866007487
21532,-32.7768043518066
21531,-31.5560694376627
21530,-31.376749420166
21529,-33.5037559509277
21528,-33.4054575602213
21527,-29.3188664754232
21526,-32.3313748677571
21525,-31.6507718404134
21524,-30.7327814737956
21523,-31.7656361897786
21522,-32.9264218648275
21521,-32.6583961486816
21520,-33.510673268636
21519,-31.2890914916992
21518,-32.2832283020019
21517,-32.5119740804036
21516,-31.0700820922851
21515,-32.9707728068034
21514,-33.005852762858
21513,-29.5378517150879
21512,-32.4446523030599
21511,-32.1190945943196
