"Summer months (April to September) of hydrological
 years [yr BP]","Average summer mean temperature [degree C]"
21998,-23.2050537109375
21997,-21.9717137654622
21996,-23.5744232177734
21995,-20.8763259887695
21994,-21.7704783121745
21993,-24.2534520467122
21992,-22.4332819620768
21991,-23.8223759969075
21990,-23.0386413574219
21989,-21.3055506388346
21988,-23.2034235636393
21987,-21.112656656901
21986,-23.6985407511393
21985,-23.0365966796875
21984,-20.9821965535482
21983,-21.1977015177409
21982,-22.3606221516927
21981,-23.0309611002604
21980,-22.6610397338867
21979,-23.8239705403646
21978,-22.4420277913411
21977,-23.1290217081706
21976,-23.9963592529297
21975,-20.9600611368815
21974,-23.131575012207
21973,-22.5668370564778
21972,-22.6672042846679
21971,-21.2244196573893
21970,-22.8069315592448
21969,-23.4799942016601
21968,-22.5437072753906
21967,-21.7587392171224
21966,-23.7794962565104
21965,-23.0380996704101
21964,-22.2977330525716
21963,-21.8088389078776
21962,-23.8174270629883
21961,-25.0525955200195
21960,-22.4054448445638
21959,-22.1332814534505
21958,-22.7801930745442
21957,-21.772314453125
21956,-22.1346216837565
21955,-22.2158671061198
21954,-21.7501841227213
21953,-23.1537663777669
21952,-23.0031366984049
21951,-22.906830851237
21950,-22.6450129191081
21949,-21.9154647827148
21948,-25.8087753295898
21947,-23.0711959838867
21946,-20.8076639811198
21945,-23.7328043619791
21944,-20.8825541178385
21943,-22.3588928222656
21942,-23.7443349202474
21941,-21.1000630696614
21940,-21.5441268920898
21939,-23.7538513183594
21938,-22.9194269816081
21937,-23.8951502482096
21936,-22.6629521687825
21935,-21.8174321492513
21934,-21.1775039672851
21933,-23.2414484659831
21932,-22.0957855224609
21931,-23.143911743164
21930,-23.1956136067708
21929,-21.4959142049153
21928,-21.988150024414
21927,-20.8856897989909
21926,-23.3830805460612
21925,-20.0550547281901
21924,-23.5293207804362
21923,-23.9206044514974
21922,-21.2791732788086
21921,-20.7311182657877
21920,-22.8212290445963
21919,-21.1049814860026
21918,-22.9609639485677
21917,-22.4423151652018
21916,-22.9312678019206
21915,-22.2281936645508
21914,-21.5408818562825
21913,-26.1488708496094
21912,-25.0533381144206
21911,-23.2539657592773
21910,-22.0145426432291
21909,-23.8058380126953
21908,-24.1589925130208
21907,-25.5244405110677
21906,-25.1335968017578
21905,-22.5488037109375
21904,-23.5756362915039
21903,-21.882307434082
21902,-22.3116439819336
21901,-25.444916788737
21900,-23.3112879435221
21899,-21.2334604899088
21898,-23.2759638468424
21897,-23.1844161987304
21896,-20.5446863810221
21895,-24.0891504923502
21894,-21.3822921752929
21893,-20.9968882242838
21892,-20.7212738037109
21891,-21.4813878377278
21890,-23.4843556722005
21889,-23.5111882527669
21888,-22.6897974650065
21887,-21.777944946289
21886,-24.3230092366536
21885,-23.5213099161784
21884,-23.0232808430989
21883,-21.7776016235351
21882,-19.9632756551107
21881,-22.8835840861002
21880,-22.5553827921549
21879,-21.3718449910482
21878,-24.6635370890299
21877,-21.3050470987956
21876,-21.8606628417969
21875,-23.5647567749023
21874,-23.169172668457
21873,-21.0266632080078
21872,-21.1033920288086
21871,-23.1415033976237
21870,-22.5964848836263
21869,-20.7613662719726
21868,-22.7899002075195
21867,-21.6350591023763
21866,-23.1579752604166
21865,-20.9236612955729
21864,-24.6174631754557
21863,-20.7270823160807
21862,-20.1522608439127
21861,-21.3966786702474
21860,-24.1761967976888
21859,-25.1724838256836
21858,-24.5739400227864
21857,-23.9990982055664
21856,-22.5568832397461
21855,-22.7382212320963
21854,-22.5947428385416
21853,-21.0557490030924
21852,-23.7506444295247
21851,-21.8384435017903
21850,-21.54306640625
21849,-21.0252365112304
21848,-22.6398249308268
21847,-21.7636372884114
21846,-22.7752339680989
21845,-23.4772883097331
21844,-22.7556747436523
21843,-22.6686665852864
21842,-22.1344106038411
21841,-23.5796391805013
21840,-21.1706807454427
21839,-20.8493560791015
21838,-22.3956944783528
21837,-22.7790232340495
21836,-21.5653238932291
21835,-23.4980097452799
21834,-21.9975748697916
21833,-23.2436609903971
21832,-21.9553817749023
21831,-24.8825642903646
21830,-22.6621434529622
21829,-24.1078577677409
21828,-20.7593673706054
21827,-23.2119786580403
21826,-20.9318145751953
21825,-23.1269337972005
21824,-23.6076161702474
21823,-22.9781860351562
21822,-23.3137624104817
21821,-21.7849105834961
21820,-22.7685022989909
21819,-25.410508219401
21818,-19.7245366414388
21817,-22.9240961710612
21816,-22.451523844401
21815,-22.0937789916992
21814,-24.1813212076823
21813,-23.4736668904622
21812,-22.3606577555338
21811,-23.5764577229817
21810,-24.5260884602864
21809,-23.9241572062174
21808,-23.6549311319987
21807,-22.4053126017252
21806,-24.0570714314778
21805,-21.8075749715169
21804,-23.0982116699219
21803,-24.0039911905924
21802,-23.7654683430989
21801,-24.4987828572591
21800,-21.4938949584961
21799,-24.0756464640299
21798,-25.3365514119466
21797,-24.8793650309245
21796,-23.2404769897461
21795,-22.2792521158854
21794,-25.8270985921224
21793,-22.8293492635091
21792,-26.5152267456054
21791,-23.5573664347331
21790,-24.0716639200846
21789,-23.3616495768229
21788,-22.2987426757812
21787,-22.1621637980143
21786,-24.8809315999349
21785,-24.2936640421549
21784,-23.493630472819
21783,-22.8376983642578
21782,-24.1141977945963
21781,-22.3239171346028
21780,-22.2060811360677
21779,-23.0602656046549
21778,-24.2452657063802
21777,-23.8007339477539
21776,-21.3913635253906
21775,-21.2085403442383
21774,-23.0084187825521
21773,-20.4742060343424
21772,-24.4018208821614
21771,-21.3005457560221
21770,-20.8670995076497
21769,-26.5079025268554
21768,-22.47435353597
21767,-22.0210632324219
21766,-22.5635386149088
21765,-21.7389383951823
21764,-25.9765965779622
21763,-22.2579991658528
21762,-23.5348292032877
21761,-23.9624059041341
21760,-22.6528381347656
21759,-21.9193608601888
21758,-20.7808898925781
21757,-20.5334025065104
21756,-22.2667831420898
21755,-22.0753285725911
21754,-22.6208658854166
21753,-20.3032745361328
21752,-24.9775349934896
21751,-22.1443974812825
21750,-24.0278610229492
21749,-22.8348678588867
21748,-23.3777018229166
21747,-24.7555628458659
21746,-22.8888788859049
21745,-22.4658009847005
21744,-22.7147557576497
21743,-23.5065012613932
21742,-23.6953542073567
21741,-19.7580602010091
21740,-25.8653650919596
21739,-22.353384399414
21738,-23.9461324055989
21737,-23.3867451985677
21736,-21.9343983968099
21735,-20.0968154907226
21734,-23.9758743286133
21733,-23.4252304077148
21732,-21.6201156616211
21731,-21.5166814168294
21730,-23.4482737223307
21729,-23.9185063680013
21728,-23.0067479451497
21727,-23.2224054972331
21726,-22.7630727132161
21725,-22.4101623535156
21724,-21.8816640218099
21723,-22.8867808024088
