"Winter months (October to March) of hydrological
 years [yr BP]","Average winter mean temperature [degree C]"
21998,-43.6137145996094
21997,-43.0717325846354
21996,-44.8588572184245
21995,-43.1247085571289
21994,-43.50218556722
21993,-40.1429097493489
21992,-42.740207417806
21991,-43.5775232950846
21990,-43.1895202636719
21989,-43.1027409871419
21988,-45.6370071411133
21987,-43.551128133138
21986,-42.4117441813151
21985,-41.0373570760091
21984,-42.8897918701172
21983,-36.4033238728841
21982,-39.4560048421224
21981,-40.0796569824219
21980,-41.3689915974935
21979,-42.6245864868164
21978,-38.0753209431966
21977,-41.9450236002604
21976,-41.6091954549153
21975,-43.129860941569
21974,-41.0676406860351
21973,-43.2477503458659
21972,-43.7742421468099
21971,-42.6036158243815
21970,-41.6665150960286
21969,-48.2569564819336
21968,-41.5168874104818
21967,-45.1278264363607
21966,-45.2230972290039
21965,-43.9671361287435
21964,-42.4954818725586
21963,-44.5646881103515
21962,-46.2665288289388
21961,-42.8717483520508
21960,-42.5473821004232
21959,-42.9550282796224
21958,-41.5107533772786
21957,-44.012683614095
21956,-39.5332397460937
21955,-42.129855855306
21954,-40.3798482259114
21953,-41.7353780110677
21952,-40.0351776123047
21951,-43.4822499593099
21950,-46.2484903971354
21949,-44.5205164591471
21948,-41.8590454101562
21947,-43.1748769124349
21946,-44.51439259847
21945,-45.7682276407877
21944,-41.1721328735351
21943,-42.12034962972
21942,-43.5601486206054
21941,-44.1254155476888
21940,-44.8771779378255
21939,-42.6341003417969
21938,-43.1646255493164
21937,-45.3279632568359
21936,-43.6803370157877
21935,-42.0653442382812
21934,-41.3719721476237
21933,-40.8994557698568
21932,-44.9197168986002
21931,-41.4995279947916
21930,-42.8220453898112
21929,-42.9190505981445
21928,-41.6272923787435
21927,-43.2375142415364
21926,-39.350085957845
21925,-39.5520919799804
21924,-40.238020324707
21923,-44.1795918782552
21922,-44.2049875895182
21921,-46.058208211263
21920,-37.0653060913086
21919,-42.5482416788737
21918,-41.055891418457
21917,-42.5674474080403
21916,-42.5001714070638
21915,-41.6893473307291
21914,-43.9435078938802
21913,-42.7472061157226
21912,-45.3189732869466
21911,-41.0037495930989
21910,-45.411469523112
21909,-45.236441040039
21908,-42.38060353597
21907,-47.1340596516927
21906,-45.8100646972656
21905,-43.1051518758138
21904,-40.5707407633463
21903,-41.4255508422851
21902,-43.7266347249349
21901,-43.2244247436523
21900,-43.3584477742513
21899,-44.1151540120443
21898,-42.8230219523112
21897,-38.7579940795898
21896,-41.8911702473958
21895,-44.2895314534505
21894,-42.4015360514323
21893,-39.5764195760091
21892,-44.1524388631185
21891,-42.5946919759114
21890,-40.5050389607747
21889,-39.0305084228515
21888,-47.5299896240234
21887,-42.2209635416666
21886,-42.8481023152669
21885,-42.573703511556
21884,-46.7990809122721
21883,-46.3472325642903
21882,-44.7697153727213
21881,-41.3634730021159
21880,-42.4732930501302
21879,-41.7669077555338
21878,-44.7146209716797
21877,-42.8829737345377
21876,-37.1781677246094
21875,-41.9864562988281
21874,-45.2444798787435
21873,-41.8054819742838
21872,-41.9359395345052
21871,-41.7240025838216
21870,-46.6101898193359
21869,-42.5494623819987
21868,-43.0195704142252
21867,-46.3995803833008
21866,-40.4372467041015
21865,-43.5501337687174
21864,-42.2667856852213
21863,-44.9796076456705
21862,-42.4848821004232
21861,-43.0536534627278
21860,-44.7289438883463
21859,-43.8634272257487
21858,-41.3011815388997
21857,-40.7250122070312
21856,-41.5902262369791
21855,-43.3238535563151
21854,-40.5775207519531
21853,-43.940298461914
21852,-44.0635615030924
21851,-44.3379272460937
21850,-43.104963684082
21849,-44.4901769002278
21848,-44.2646011352539
21847,-42.7456344604492
21846,-45.0436131795247
21845,-39.9364303588867
21844,-39.441753133138
21843,-41.8887008666992
21842,-43.4615971883138
21841,-43.9727844238281
21840,-44.7698654174804
21839,-45.3137522379557
21838,-40.9124308268229
21837,-39.6994054158528
21836,-46.1056223551432
21835,-44.6637354532877
21834,-46.3836069742838
21833,-44.0876500447591
21832,-43.058088684082
21831,-40.7310114542643
21830,-42.4587615966797
21829,-45.256440226237
21828,-41.8313278198242
21827,-41.3957809448242
21826,-44.5063741048177
21825,-41.7551254272461
21824,-39.5399332682291
21823,-46.1921625773112
21822,-41.5580479939778
21821,-43.1532170613607
21820,-45.7876622517903
21819,-40.7694432576497
21818,-41.531601969401
21817,-40.5959025065104
21816,-41.3722340901693
21815,-44.1527338663737
21814,-42.7095779418945
21813,-43.003998819987
21812,-43.1905883789062
21811,-45.7095703125
21810,-42.0477711995443
21809,-43.3500961303711
21808,-41.2971786499023
21807,-43.6061614990234
21806,-43.8414952596028
21805,-46.0745427449544
21804,-46.5703287760416
21803,-45.4663604736328
21802,-48.642795308431
21801,-44.3502283732096
21800,-45.4657246907552
21799,-44.4103505452474
21798,-43.9342127482096
21797,-45.1497685750325
21796,-42.7513514200846
21795,-45.5767476399739
21794,-44.0375452677409
21793,-45.1067693074544
21792,-44.7150939941406
21791,-44.5635615030924
21790,-41.0322555541992
