"Summer months (April to September) of hydrological
 years [yr BP]","Average summer mean temperature [degree C]"
21998,-3.13635355631508
21997,-1.62128295898435
21996,-2.29602152506508
21995,-2.11532694498696
21994,-1.56705830891925
21993,-2.06859944661456
21992,-3.211528523763
21991,-2.56031901041664
21990,-3.20323791503904
21989,-4.21482950846352
21988,-2.64395243326821
21987,-1.9893859863281
21986,-2.05343221028644
21985,-2.67632649739581
21984,-1.92341715494789
21983,-2.80682474772133
21982,-1.89052429199216
21981,-2.03816324869789
21980,-1.40445556640623
21979,-2.38033650716144
21978,-2.44044087727862
21977,-2.66502482096352
21976,-1.82673746744789
21975,-0.992163085937477
21974,-2.13759460449216
21973,-1.86439615885414
21972,-1.42300516764321
21971,-1.37307840983071
21970,-1.18630574544269
21969,-2.26571248372394
21968,-2.20337015787758
21967,-1.77644958496091
21966,-2.35895385742185
21965,-3.58928527832029
21964,-2.34818115234373
21963,-2.00296122233071
21962,-1.86070353190102
21961,-2.03649495442706
21960,-1.42318318684894
21959,-2.73083089192706
21958,-2.17390543619789
21957,-1.50235087076821
21956,-1.65206502278644
21955,-2.25977681477862
21954,-1.97123311360675
21953,-3.22367960611977
21952,-1.72171630859373
21951,-2.07145284016925
21950,-2.24815470377602
21949,-1.63050435384112
21948,-2.31035461425779
21947,-2.00937499999998
21946,-1.40983683268227
21945,-1.03735453287758
21944,-1.19135640462237
21943,-1.53059997558591
21942,-0.813457234700498
21941,-3.42738444010414
21940,-1.34891866048175
21939,-1.52825520833331
21938,-1.23776346842446
21937,-2.02762959798175
21936,-1.45338033040362
21935,-1.10474751790362
21934,-1.1828420003255
21933,-2.05280659993487
21932,-1.57567443847654
21931,-1.47610066731769
21930,-1.2540344238281
21929,-1.81104634602862
21928,-1.36002705891925
21927,-1.19106648763019
21926,-1.59083658854164
21925,-1.07020670572914
21924,-1.43117879231769
21923,-1.94588317871091
21922,-2.14242655436196
21921,-1.69909261067706
21920,-3.25059611002602
21919,-1.92011108398435
21918,-2.03189697265623
21917,-2.18123982747394
21916,-1.31190592447914
21915,-1.70224609374998
21914,-1.26711629231769
21913,-2.43583272298175
21912,-1.72674153645831
21911,-1.57488098144529
21910,-1.47053629557289
21909,-1.54277648925779
21908,-1.65752766927081
21907,-1.68024800618487
21906,-1.67459716796873
21905,-1.36058654785154
21904,-1.89516296386716
21903,-2.13073323567706
21902,-2.85779927571612
21901,-2.50124206542966
21900,-2.65344340006508
21899,-2.19150390624998
21898,-2.18159586588539
21897,-2.25912068684894
21896,-1.7439025878906
21895,-0.89263000488279
21894,-1.70564371744789
21893,-3.02557474772133
21892,-2.78880411783852
21891,-3.38558553059894
21890,-2.71345113118487
21889,-3.06182963053383
21888,-3.49426371256508
21887,-3.92538553873696
21886,-1.76653137207029
21885,-1.75843404134112
21884,-1.56905212402341
21883,-2.85806376139321
21882,-2.73558146158852
21881,-1.87424316406248
21880,-2.70167643229164
21879,-2.53636779785154
21878,-2.13285420735675
21877,-1.87306315104164
21876,-1.93495279947914
21875,-2.32196655273435
21874,-3.24100341796873
21873,-3.09529215494789
21872,-1.30181986490883
21871,-1.38582458496091
21870,-1.64598693847654
21869,-2.52431844075519
21868,-2.19230753580727
21867,-1.80969340006508
21866,-1.75037740071612
21865,-2.22340494791664
21864,-2.33601989746091
21863,-1.80546162923175
21862,-1.89301147460935
21861,-2.06942342122394
21860,-3.10051574707029
21859,-2.3429016113281
21858,-2.09127400716144
21857,-2.2890686035156
21856,-2.68351847330727
21855,-1.72247416178383
21854,-2.34359334309894
21853,-1.65400288899737
21852,-1.67477518717446
21851,-1.54428202311196
21850,-1.70779520670571
21849,-2.01689758300779
21848,-1.112651570638
21847,-2.28170878092446
21846,-2.2853810628255
21845,-2.07794291178383
21844,-2.48867899576821
21843,-2.55305582682289
21842,-2.1811330159505
21841,-2.20842081705727
21840,-1.88653157552081
21839,-1.5351623535156
21838,-2.03432820638019
21837,-3.50123189290362
21836,-2.24739176432289
21835,-2.01083984374998
21834,-1.17626037597654
21833,-1.16723734537758
21832,-1.70716959635414
21831,-1.78755798339841
21830,-2.10158386230466
21829,-2.7301086425781
21828,-2.04945983886716
21827,-2.03484700520831
21826,-2.06427612304685
21825,-1.69290262858071
21824,-2.10274353027341
21823,-1.80478006998696
21822,-2.51468505859373
21821,-2.49169006347654
21820,-3.09397989908852
21819,-2.34684855143227
21818,-1.91347351074216
21817,-2.77069193522133
21816,-3.06888427734373
21815,-2.07051188151039
21814,-1.67172851562498
21813,-1.65694783528644
21812,-2.46452941894529
21811,-2.97491556803383
21810,-4.05303548177081
21809,-1.81826883951821
21808,-1.99546915690102
21807,-2.20238850911456
21806,-2.65892639160154
21805,-3.18885396321612
21804,-1.96976318359373
21803,-2.44550170898435
21802,-2.14322509765623
21801,-1.57549641927081
21800,-2.09918314615883
21799,-1.98522542317706
21798,-1.9482482910156
21797,-3.56758728027341
21796,-1.51480712890623
21795,-1.87988382975258
21794,-1.61349080403644
21793,-1.32279561360675
21792,-1.55681966145831
21791,-3.30483093261716
21790,-2.37004699707029
21789,-1.89733988444008
21788,-1.43001912434894
21787,-2.20570475260414
21786,-4.30197499593097
21785,-2.16656087239581
21784,-2.42838134765623
21783,-2.57847696940102
21782,-2.09845072428383
21781,-2.011577351888
21780,-1.78716634114581
21779,-2.34936116536456
21778,-2.73607991536456
21777,-1.75902404785154
21776,-2.24401448567706
21775,-2.05437316894529
21774,-1.70775960286456
21773,-1.00887145996091
21772,-1.10583089192706
21771,-1.42712504069008
21770,-1.87436014811196
21769,-2.50207112630206
21768,-2.5764221191406
21767,-2.96852722167966
21766,-3.10492553710935
21765,-2.02198384602862
21764,-2.54762369791664
21763,-2.06682942708331
21762,-2.68973897298175
21761,-2.71334940592446
21760,-2.22379659016925
21759,-2.36991984049477
21758,-1.42965799967446
21757,-1.55162658691404
21756,-1.76625162760414
21755,-2.00594685872394
21754,-1.58007405598956
21753,-1.85833841959633
21752,-1.36860758463539
21751,-1.68681437174477
21750,-1.94282124837237
21749,-2.25036214192706
21748,-1.87324625651039
21747,-1.93263346354164
21746,-1.43548685709633
21745,-2.85227050781248
21744,-1.32587280273435
21743,-3.43643290201821
21742,-2.59636027018227
21741,-1.96700134277341
21740,-2.05547688802081
21739,-1.685161336263
21738,-2.27082417805987
21737,-1.88033142089841
21736,-2.39764506022133
21735,-2.12831217447914
21734,-2.01037190755206
21733,-1.65148518880206
21732,-2.43769938151039
21731,-2.25662841796873
21730,-2.62959391276039
21729,-2.09365946451821
21728,-2.0361134847005
21727,-1.78797505696612
21726,-1.51434427897133
21725,-1.72448323567706
21724,-1.61110026041664
21723,-2.68772989908852
21722,-2.15701904296873
21721,-2.76280314127602
21720,-1.50398864746091
21719,-1.43243001302081
21718,-2.26536661783852
21717,-2.47079060872394
21716,-1.81596984863279
21715,-2.68849283854164
21714,-2.16744588216144
21713,-2.72509358723956
21712,-1.62387186686196
21711,-2.40375874837237
21710,-1.46230672200519
21709,-1.66834615071612
21708,-2.14471537272133
21707,-1.92921040852862
21706,-1.08392435709633
21705,-2.01801147460935
21704,-1.69379272460935
21703,-1.99386698404946
21702,-1.59391886393227
21701,-3.15705464680987
21700,-2.42726236979164
21699,-2.71332906087237
21698,-3.21376647949216
21697,-1.99969075520831
21696,-3.07201232910154
21695,-2.12755432128904
21694,-2.88827107747394
21693,-2.89916585286456
21692,-2.84323730468748
21691,-2.35262654622394
21690,-2.97736714680987
21689,-1.75118611653644
21688,-3.26728413899737
21687,-1.94061889648435
21686,-1.85852152506508
21685,-1.47970682779946
21684,-1.68105672200519
21683,-2.85910644531248
21682,-1.96054687499998
21681,-1.99734598795571
21680,-0.714763387044248
21679,-1.76962381998696
21678,-1.63028055826821
21677,-1.90056457519529
21676,-2.87490946451821
21675,-2.90941975911456
21674,-2.47027180989581
21673,-2.39253336588539
21672,-2.74524027506508
21671,-2.54023844401039
21670,-1.82759195963539
21669,-1.45035400390623
21668,-2.61678161621091
21667,-2.01347961425779
21666,-1.35876566569008
21665,-2.36617126464841
21664,-2.16706441243487
21663,-1.86407572428383
21662,-2.61688334147133
21661,-2.16341756184894
21660,-2.65806681315102
21659,-2.70552164713539
21658,-2.85839436848956
21657,-1.75920715332029
21656,-2.22406616210935
21655,-2.50603332519529
21654,-2.10946756998696
21653,-2.27438964843748
21652,-2.09473775227862
21651,-2.68861999511716
21650,-2.12208658854164
21649,-3.22842508951821
21648,-2.39153137207029
21647,-1.60993041992185
21646,-1.87707112630206
21645,-1.53527933756508
21644,-1.59406127929685
21643,-1.35611063639321
21642,-1.63545837402341
21641,-1.33759663899737
21640,-1.48768208821612
21639,-2.09613138834633
21638,-2.26142985026039
21637,-1.60042928059894
21636,-2.09890340169269
21635,-1.74276326497394
21634,-1.73754984537758
21633,-1.91224772135414
21632,-1.68639221191404
21631,-2.0662902832031
21630,-2.48513895670571
21629,-3.44182942708331
21628,-1.53321431477862
21627,-1.34805908203123
21626,-1.77217203776039
21625,-1.6215881347656
21624,-1.85637512207029
21623,-1.79293924967446
21622,-2.43683471679685
21621,-2.83539937337237
21620,-1.92752176920571
21619,-2.01406453450519
21618,-2.5224670410156
21617,-2.230083211263
21616,-2.35893351236977
21615,-1.36588643391925
21614,-1.98599853515623
21613,-1.28179524739581
21612,-2.00663350423175
21611,-1.32491149902341
21610,-1.74369405110675
21609,-1.32378234863279
21608,-1.89307759602862
21607,-2.20391947428383
21606,-1.72744852701821
21605,-1.99645589192706
21604,-2.65412495930987
21603,-2.34201660156248
21602,-2.08447367350258
21601,-1.79286295572914
21600,-2.56041564941404
21599,-2.89163309733071
21598,-1.94717000325519
21597,-1.89798075358071
21596,-2.42464803059894
21595,-1.79079284667966
21594,-2.28376871744789
21593,-1.36059672037758
21592,-1.27841288248696
21591,-1.57218526204425
21590,-1.26824035644529
21589,-2.25982767740883
21588,-1.30972391764321
21587,-1.67327473958331
21586,-1.64337768554685
21585,-2.68769429524737
21584,-3.29961242675779
21583,-2.24655761718748
21582,-2.18020731608071
21581,-2.1451477050781
21580,-1.69132588704425
21579,-1.42247111002602
21578,-3.17303568522133
21577,-3.08657938639321
21576,-2.16657104492185
21575,-1.72479349772133
21574,-1.62152201334633
21573,-1.64945068359373
21572,-1.28441467285154
21571,-1.59242350260414
21570,-1.75874938964841
21569,-1.13558044433591
21568,-3.128764851888
21567,-1.36298217773435
21566,-2.07643737792966
21565,-2.04500427246091
21564,-4.24085591634112
21563,-3.40587972005206
21562,-2.32656453450519
21561,-0.966675821940081
21560,-1.25367329915362
21559,-1.17846781412758
21558,-1.44094950358071
21557,-1.79122009277341
21556,-1.71712341308591
21555,-2.00588073730466
21554,-1.41043701171873
21553,-1.3721984863281
21552,-1.88027038574216
21551,-1.49197998046873
21550,-1.63602803548175
21549,-1.50674540201821
21548,-2.2497619628906
21547,-2.47010904947914
21546,-3.38758951822914
21545,-1.77077840169269
21544,-2.75217285156248
21543,-4.34366200764972
21542,-1.25915629069008
21541,-1.81197204589841
21540,-2.56551717122394
21539,-1.69122924804685
21538,-2.32665608723956
21537,-2.17010091145831
21536,-2.49272257486977
21535,-3.09433593749998
21534,-1.45777486165362
21533,-2.16926167805987
21532,-0.995001220703102
21531,-2.17218627929685
21530,-2.15363159179685
21529,-2.83343607584633
21528,-2.62373962402341
21527,-3.52446085611977
21526,-1.78286844889321
21525,-1.64693298339841
21524,-2.32602030436196
21523,-2.29703369140623
21522,-2.60340474446612
21521,-1.52355041503904
21520,-2.19539998372394
21519,-2.30871683756508
21518,-2.82006937662758
21517,-3.00687255859373
21516,-3.04495340983071
21515,-3.44293314615883
21514,-1.80706888834633
21513,-1.78160705566404
21512,-2.40877380371091
21511,-2.78996378580727
21510,-2.77947591145831
21509,-4.43954060872394
21508,-2.28608296712237
21507,-2.55231323242185
21506,-2.39228413899737
21505,-2.95651346842446
21504,-2.21316121419269
21503,-2.00746256510414
21502,-2.29466349283852
21501,-1.90031534830727
21500,-2.77945048014321
21499,-2.77628682454425
21498,-3.10742289225258
21497,-1.59097391764321
21496,-1.93556315104164
21495,-2.75074869791664
21494,-2.04369201660154
21493,-3.13141988118487
21492,-2.46212870279946
21491,-2.0316223144531
21490,-2.16858011881508
21489,-2.31923014322914
21488,-1.58815612792966
21487,-1.50879007975258
21486,-1.77970987955727
21485,-2.46078084309894
21484,-1.37330729166664
21483,-1.94363505045571
21482,-2.48009338378904
21481,-1.60903523763019
21480,-2.27556457519529
21479,-1.84514973958331
21478,-2.49117635091144
21477,-1.60998636881508
21476,-2.53244628906248
21475,-1.73114115397133
21474,-2.06683451334633
21473,-1.78375345865883
21472,-2.56280110677081
21471,-1.91711527506508
21470,-1.80496317545571
21469,-1.5981506347656
21468,-2.56930643717446
21467,-2.27984720865883
21466,-2.29088439941404
21465,-2.05582784016925
21464,-2.36771240234373
21463,-1.66498413085935
21462,-2.07683919270831
21461,-1.92087402343748
21460,-2.25336812337237
21459,-1.944194539388
21458,-2.59456990559894
21457,-2.44888916015623
21456,-2.17151997884112
21455,-1.93766886393227
21454,-1.82340087890623
21453,-1.63165384928383
21452,-2.05703328450519
21451,-1.64590047200519
21450,-0.836492919921852
21449,-2.25602823893227
21448,-1.94447937011716
21447,-0.962159220377581
21446,-1.73356730143227
21445,-1.8820861816406
21444,-2.03551330566404
21443,-2.21597900390623
21442,-1.97856241861977
21441,-1.34160970052081
21440,-1.97155863444008
21439,-2.14650065104164
21438,-1.89569702148435
21437,-1.32968241373696
21436,-1.80897623697914
21435,-1.08222554524737
21434,-1.82423502604164
21433,-2.20152384440102
21432,-1.57639160156248
21431,-2.73037821451821
21430,-2.49087626139321
21429,-2.10151774088539
21428,-1.64232991536456
21427,-1.88406473795571
21426,-2.26726888020831
21425,-1.90729370117185
21424,-3.36944173177081
21423,-2.3735412597656
21422,-1.74262593587237
21421,-2.37416687011716
21420,-2.15316365559894
21419,-2.97033793131508
21418,-1.79779154459633
21417,-1.87635396321612
21416,-2.24980265299477
21415,-2.86509806315102
21414,-2.64534606933591
21413,-2.28663228352862
21412,-3.01589050292966
21411,-4.49843953450519
21410,-1.28045247395831
21409,-1.63265584309894
21408,-1.88659769694008
21407,-2.23766682942706
21406,-1.99796142578123
21405,-3.23080037434894
21404,-2.17736409505206
21403,-2.84066874186196
21402,-2.31141764322914
21401,-2.05406799316404
21400,-4.00694885253904
21399,-1.78197835286456
21398,-2.6003479003906
21397,-2.21215413411456
21396,-2.3427795410156
21395,-0.994599405924456
21394,-1.74377543131508
21393,-3.45578104654946
21392,-4.25038248697914
21391,-1.94282124837237
21390,-1.83600463867185
21389,-1.58999735514321
21388,-1.95157979329425
21387,-1.42756754557289
21386,-2.77727355957029
21385,-2.60808919270831
21384,-1.94178365071612
21383,-2.35156351725258
21382,-2.24694417317706
21381,-2.05809631347654
21380,-2.1829895019531
21379,-1.84782002766925
21378,-2.0329650878906
21377,-1.46623840332029
21376,-2.2626759847005
21375,-2.88261006673175
21374,-3.3801076253255
21373,-1.99662882486977
21372,-1.57934672037758
21371,-2.14825541178383
21370,-1.85173645019529
21369,-1.95320739746091
21368,-1.62064208984373
21367,-2.13141479492185
21366,-1.77746683756508
21365,-2.80072631835935
21364,-1.51761983235675
21363,-3.14172465006508
21362,-2.15489298502602
21361,-2.29402770996091
21360,-2.59848124186196
21359,-2.71113179524737
21358,-1.73173116048175
21357,-1.49276835123696
21356,-2.70405171712237
21355,-2.74333292643227
21354,-2.33326822916664
21353,-2.13569234212237
21352,-1.59013468424477
21351,-1.89085998535154
21350,-1.25948689778644
21349,-1.62320556640623
21348,-2.38586527506508
21347,-1.43233846028644
21346,-2.23977254231769
21345,-2.96112670898435
21344,-2.25552469889321
21343,-2.29203389485675
21342,-2.02465413411456
21341,-3.37489929199216
21340,-1.91377360026039
21339,-2.93343709309894
21338,-2.35344034830727
21337,-2.16132202148435
21336,-2.02494913736977
21335,-2.04618937174477
21334,-1.75482788085935
21333,-2.71111145019529
21332,-1.4162404378255
21331,-2.08731180826821
21330,-3.17100626627602
21329,-2.38569742838539
21328,-2.64627685546873
21327,-1.21160481770831
21326,-1.53906351725258
21325,-3.00004679361977
21324,-2.59357808430987
21323,-2.66756286621091
21322,-2.20461120605466
21321,-2.70871073404946
21320,-2.31103108723956
21319,-1.77882486979164
21318,-1.63546346028644
21317,-1.91344299316404
21316,-2.54611816406248
