"Winter months (October to March) of hydrological
 years [yr BP]","Average winter mean temperature [degree C]"
21998,-15.2993453979492
21997,-12.894016011556
21996,-10.0792780558268
21995,-8.98664957682289
21994,-8.75810089111326
21993,-6.86444702148435
21992,-9.40576273600258
21991,-7.24360758463539
21990,-9.64968465169269
21989,-12.8987030029297
21988,-8.10951334635414
21987,-9.29036560058591
21986,-7.21826273600258
21985,-11.1547760009765
21984,-10.6308832804362
21983,-6.45699666341144
21982,-7.75519409179685
21981,-7.55592447916664
21980,-8.26033121744789
21979,-9.18843688964841
21978,-5.7876037597656
21977,-9.95693562825519
21976,-7.44068501790362
21975,-5.59324747721352
21974,-7.35179748535154
21973,-7.85199076334633
21972,-10.9098368326823
21971,-7.17245585123696
21970,-11.0613616943359
21969,-8.50075378417966
21968,-9.81581217447914
21967,-6.33601481119789
21966,-9.04506276448565
21965,-11.2102010091146
21964,-8.47230122884112
21963,-7.70230712890623
21962,-8.86178690592446
21961,-8.21729634602862
21960,-11.672710164388
21959,-11.4515797932942
21958,-9.19716491699216
21957,-7.41622517903644
21956,-6.58811035156248
21955,-6.82448933919269
21954,-10.1656326293945
21953,-7.19170735677081
21952,-10.7236465454101
21951,-10.7059819539388
21950,-7.38866271972654
21949,-9.15396219889321
21948,-7.32753601074216
21947,-6.93777567545571
21946,-8.02862141927081
21945,-7.94332478841144
21944,-6.21309509277341
21943,-12.1656962076823
21942,-7.17262369791664
21941,-11.6941538492838
21940,-6.86861267089841
21939,-8.39926249186196
21938,-7.60082092285154
21937,-8.70909474690753
21936,-12.3748051961263
21935,-10.3929478963216
21934,-4.56106160481769
21933,-6.26122131347654
21932,-8.59603983561196
21931,-8.13934427897133
21930,-8.51277770996091
21929,-9.72581583658852
21928,-6.77834676106769
21927,-11.2968938191732
21926,-6.73096822102862
21925,-8.88301696777341
21924,-8.48604939778644
21923,-8.91330057779946
21922,-12.0757685343424
21921,-10.5249898274739
21920,-10.4488611857096
21919,-7.69906717936196
21918,-6.51288452148435
21917,-8.79207458496091
21916,-8.17775573730466
21915,-7.88020935058591
21914,-9.24378560384112
21913,-10.8188232421875
21912,-8.51506144205727
21911,-8.70704752604164
21910,-10.491796875
21909,-6.62418721516925
21908,-7.79097086588539
21907,-5.79860534667966
21906,-9.45339558919269
21905,-7.16043701171873
21904,-8.94964192708331
21903,-9.33445841471352
21902,-7.92404276529946
21901,-8.16456705729164
21900,-11.5707458496094
21899,-7.06889953613279
21898,-11.7274332682291
21897,-6.71507364908852
21896,-7.74410095214841
21895,-7.7490295410156
21894,-6.09427490234373
21893,-7.92093505859373
21892,-15.8830525716146
21891,-8.17941894531248
21890,-14.4189590454101
21889,-7.59158426920571
21888,-18.1398579915364
21887,-10.6284596761067
21886,-6.98659871419269
21885,-6.32795817057289
21884,-8.05722147623696
21883,-9.16459757486977
21882,-16.6245101928711
21881,-9.04060465494789
21880,-6.81510009765623
21879,-9.92595520019529
21878,-8.71889851888019
21877,-7.53425699869789
21876,-6.75562642415362
21875,-11.0112518310547
21874,-14.3679718017578
21873,-10.9028432210286
21872,-9.76933390299477
21871,-7.16107279459633
21870,-7.30703328450519
21869,-13.7930333455403
21868,-7.72798767089841
21867,-7.07953999837237
21866,-7.82745971679685
21865,-7.59713338216144
21864,-8.2916320800781
21863,-8.64607849121091
21862,-7.89384053548175
21861,-6.96220499674477
21860,-10.5497650146484
21859,-8.49000651041664
21858,-6.81038004557289
21857,-8.09330851236977
21856,-10.4022786458333
21855,-6.97926940917966
21854,-6.80632120768227
21853,-9.42746836344399
21852,-5.56430664062498
21851,-6.79295450846352
21850,-7.5158498128255
21849,-7.6766418457031
21848,-7.29274088541664
21847,-11.1369232177734
21846,-12.8742050170898
21845,-7.28008117675779
21844,-10.9628890991211
