"Summer months (Jule-July-August) of each years [yr BP]","Average summer mean temperature [degree C]"
21999,-22.1827962239583
21998,-21.1640736897786
21997,-19.1498270670573
21996,-20.595083618164
21995,-22.2152923583984
21994,-21.6331390380859
21993,-21.4071055094401
21992,-23.1407735188802
21991,-21.9326588948567
21990,-23.1666320800781
21989,-21.8576517740885
21988,-22.0332346598307
21987,-22.3138844807942
21986,-23.5188812255859
21985,-21.3263051350911
21984,-22.1877146402995
21983,-24.5043345133463
21982,-21.6333577473958
21981,-20.3368438720703
21980,-22.5991221110026
21979,-21.6297668457031
21978,-22.7700968424479
21977,-22.9849609375
21976,-19.8795888264974
21975,-21.4064748128255
21974,-19.4956573486328
21973,-20.8787902832031
21972,-21.0614278157552
21971,-20.8100240071614
21970,-21.1014058430989
21969,-22.0115163167317
21968,-23.6769521077474
21967,-21.0299438476562
21966,-21.6447357177734
21965,-22.7023071289062
21964,-23.1274932861328
21963,-23.2062489827474
21962,-21.5159515380859
21961,-22.9773417154948
21960,-19.9407002766927
21959,-20.5591033935547
21958,-21.6904001871745
21957,-22.6992146809896
21956,-20.4118153889974
21955,-20.0124827067057
21954,-22.6380879720052
21953,-20.0128845214844
21952,-21.4677642822265
21951,-22.7123830159505
21950,-21.9795796712239
21949,-21.3341735839844
21948,-20.5045583089192
21947,-20.2379974365234
21946,-22.1929382324219
21945,-23.9651346842448
21944,-20.4453694661458
21943,-22.7565979003906
21942,-22.5961263020833
21941,-22.415869140625
21940,-20.0725362141927
21939,-21.1923685709635
21938,-22.8203236897786
21937,-22.6928263346354
21936,-19.9926157633463
21935,-21.587505086263
21934,-20.9762227376302
21933,-19.833364868164
21932,-23.1938283284505
21931,-23.4554606119791
21930,-22.6899576822916
21929,-22.8866892496745
21928,-20.051611328125
21927,-22.2618927001953
21926,-22.2214314778646
21925,-22.9129648844401
21924,-20.677598063151
21923,-22.5068267822265
21922,-23.0547139485677
21921,-21.1816823323567
21920,-21.7356730143229
21919,-22.0332753499349
21918,-22.8720662434896
21917,-21.3471486409505
21916,-23.2268025716146
21915,-24.2122151692708
21914,-21.8876658121745
21913,-21.8710133870442
21912,-20.0775716145833
21911,-23.0362864176432
21910,-22.6577718098958
21909,-21.6319844563802
21908,-21.5509908040364
21907,-22.7587849934896
21906,-21.4502166748047
21905,-21.7259887695312
21904,-22.3975280761719
21903,-21.9399831136067
21902,-22.6636057535807
21901,-22.1355295817057
21900,-23.6085673014323
21899,-23.2033854166666
21898,-22.8750518798828
21897,-21.8079132080078
21896,-22.6398834228515
21895,-23.3722849527995
21894,-21.0758677164713
21893,-20.8489288330078
21892,-22.0338348388672
21891,-20.4604604085286
21890,-21.6822469075521
21889,-21.9180918375651
21888,-20.3329884847005
21887,-21.3803771972656
21886,-21.9876210530599
21885,-21.9551045735677
21884,-22.8025624593099
21883,-21.7915201822916
21882,-20.5959075927734
21881,-21.9192006429036
21880,-22.9574035644531
21879,-22.4480092366536
21878,-21.0066487630208
21877,-21.582133992513
21876,-20.7057301839192
21875,-19.2760732014974
21874,-21.6562967936198
21873,-21.3349161783854
21872,-21.302847290039
21871,-21.2855692545573
21870,-21.5728973388672
21869,-21.779633585612
21868,-21.5667378743489
21867,-19.1930857340495
21866,-20.3712829589844
21865,-22.8392496744791
21864,-21.4447235107422
21863,-22.889507039388
21862,-21.1466125488281
21861,-19.8572448730469
21860,-21.0548258463541
21859,-21.2696085611979
21858,-22.140976969401
21857,-21.5708221435547
21856,-20.383154296875
21855,-21.4563608805338
21854,-20.9732218424479
21853,-19.9486399332682
21852,-19.4534464518229
21851,-21.1959645589192
21850,-20.939311726888
21849,-21.1678883870442
21848,-21.5640014648437
21847,-23.3865519205729
21846,-22.5205902099609
21845,-21.65146484375
21844,-23.3562174479166
21843,-21.4468393961588
21842,-21.1878774007161
21841,-24.1218831380208
21840,-22.1554423014323
21839,-22.1371419270833
21838,-22.9143686930338
21837,-24.8269510904948
21836,-21.610693359375
21835,-20.5548309326172
21834,-19.5650848388672
21833,-20.6985178629557
21832,-23.0620534261067
21831,-21.4225219726562
21830,-20.1153981526692
21829,-18.9791676839192
21828,-21.4950266520182
21827,-23.6262268066406
21826,-20.6359822591146
21825,-20.2829549153646
21824,-22.292583211263
21823,-23.3092763264974
21822,-20.1637888590495
21821,-23.8228413899739
21820,-23.3500274658203
21819,-24.4069274902344
21818,-19.5761627197265
21817,-22.1257537841797
21816,-22.1509256998698
21815,-20.4116373697916
21814,-21.8766031901041
21813,-20.1376658121745
21812,-23.9409749348958
21811,-20.3281972249349
21810,-21.7326670328776
21809,-21.7209177652995
21808,-21.6207336425781
21807,-21.8017791748047
21806,-20.3356333414713
21805,-23.2758239746094
21804,-20.7043924967448
21803,-23.0741383870442
21802,-21.2790334065755
21801,-21.184683227539
21800,-22.7201192220052
21799,-20.2233286539713
21798,-22.2454335530599
21797,-22.4011545817057
21796,-21.874604288737
21795,-21.6544199625651
21794,-21.2592885335286
21793,-19.8969380696614
21792,-20.8131368001302
21791,-20.5256764729817
21790,-23.5998901367187
21789,-20.8042561848958
21788,-19.7744557698567
21787,-19.6135721842448
21786,-22.3961242675781
21785,-21.5502075195312
21784,-22.3388529459635
21783,-22.9612182617187
21782,-20.9858561197916
21781,-22.8163004557291
21780,-21.5217498779297
21779,-23.1277018229166
21778,-23.2989919026692
21777,-19.4691121419271
21776,-20.3305063883463
21775,-22.6632446289062
21774,-22.7645273844401
21773,-20.9556894938151
21772,-20.684927368164
21771,-22.5824951171875
21770,-20.1859598795573
21769,-20.444692993164
21768,-21.9856730143229
21767,-21.9448811848958
21766,-22.1118225097656
21765,-20.2958180745442
21764,-21.7905944824219
21763,-20.8508209228515
21762,-21.0834208170573
21761,-22.047699991862
21760,-19.9924987792969
21759,-21.5219736735026
21758,-20.1972513834635
21757,-22.3692586263021
21756,-22.2260040283203
21755,-22.6010243733724
21754,-21.5998138427734
21753,-20.9019124348958
21752,-21.2177947998047
21751,-19.511083984375
21750,-22.0235198974609
21749,-22.9411071777344
21748,-22.1620697021484
21747,-22.1525431315104
21746,-20.9397084554036
21745,-22.4114186604817
21744,-22.5625773111979
21743,-21.3063415527344
21742,-22.2134409586588
21741,-21.561870320638
21740,-20.934907023112
21739,-20.3371439615885
21738,-21.0190897623698
21737,-21.8460296630859
21736,-21.7727518717448
21735,-21.7800913492838
21734,-22.6799479166666
21733,-22.6328338623047
21732,-22.681509399414
21731,-21.3627990722656
21730,-21.643647257487
21729,-23.4141296386719
21728,-20.6607727050781
21727,-22.1840169270833
21726,-21.817490641276
21725,-22.6598876953125
21724,-22.4470021565755
21723,-22.5561584472656
21722,-20.6387390136719
21721,-20.0959279378255
21720,-21.7049672444661
21719,-21.8132181803385
21718,-21.1971089680989
21717,-21.0024576822916
21716,-21.5861267089844
21715,-20.9222422281901
21714,-19.9511728922526
21713,-23.0361083984375
21712,-19.7600870768229
21711,-20.3893239339192
21710,-23.2782145182291
21709,-20.4434773763021
21708,-20.5552327473958
21707,-22.2807932535807
21706,-22.8588419596354
21705,-21.2779093424479
21704,-23.2397064208984
21703,-21.7199055989583
21702,-20.8983978271484
21701,-20.6029825846354
21700,-21.8127248128255
21699,-20.6207539876302
21698,-22.0190490722656
21697,-21.9992329915364
21696,-22.0074066162109
21695,-21.4726826985677
21694,-19.382660929362
21693,-22.5199188232422
21692,-21.3937133789062
21691,-21.6624053955078
21690,-21.6682647705078
21689,-23.9238037109375
21688,-21.8168701171875
21687,-21.9122884114583
21686,-20.6826436360677
21685,-19.9125885009765
21684,-21.1792053222656
21683,-21.1593383789062
21682,-20.524262491862
21681,-21.6059173583984
21680,-20.2097330729166
21679,-22.3452565511067
21678,-22.1950134277344
21677,-21.5400349934896
21676,-20.9578918457031
21675,-22.2203023274739
21674,-23.5567179361979
21673,-21.0973215738932
21672,-21.4057779947916
21671,-22.3297231038411
21670,-21.8615122477213
21669,-22.4875244140625
21668,-20.3293416341146
21667,-20.2348846435547
21666,-21.3388224283854
21665,-19.960312906901
21664,-20.9491383870442
21663,-21.0509552001953
21662,-21.4584818522135
21661,-18.7887888590495
21660,-19.6520802815755
21659,-22.1325642903646
21658,-21.7666788736979
21657,-20.8978535970052
21656,-22.6820332845052
21655,-19.5182149251302
21654,-21.9472208658854
21653,-22.1505289713541
21652,-21.9872853597005
21651,-20.4970764160156
21650,-21.6154490152995
21649,-21.3276326497396
21648,-22.2289438883463
21647,-22.1493031819661
21646,-20.7505198160807
21645,-21.6162221272786
21644,-21.4043436686198
21643,-21.6827046712239
21642,-21.7353068033854
21641,-20.0248931884765
21640,-21.178823852539
21639,-20.6089284261067
21638,-20.1882741292317
21637,-21.114116414388
21636,-22.1605489095052
21635,-21.2081359863281
21634,-21.0214090983073
21633,-21.8079335530599
21632,-21.9066528320312
21631,-21.8647318522135
21630,-22.0751200358073
21629,-24.3547882080078
21628,-20.5080678304036
21627,-22.6681783040364
21626,-22.3418385823567
21625,-23.0363474527995
21624,-20.4082702636719
21623,-23.2073577880859
21622,-22.9631103515625
21621,-21.0770731608073
21620,-20.936880493164
21619,-21.9892537434896
21618,-20.2437805175781
21617,-20.2550669352213
21616,-21.9056050618489
21615,-22.2291422526041
21614,-20.2277384440104
21613,-21.7273468017578
21612,-20.2499298095703
21611,-20.9385182698567
21610,-21.6887878417969
21609,-20.8515787760416
21608,-21.0758066813151
21607,-21.1597452799479
21606,-22.8617106119791
21605,-23.1987111409505
21604,-20.9549519856771
21603,-22.1641042073567
21602,-21.9201263427734
21601,-21.8144388834635
21600,-19.5671346028646
21599,-21.3015197753906
21598,-22.6066243489583
21597,-19.7451944986979
21596,-20.763764444987
21595,-19.8361572265625
21594,-19.9488993326823
21593,-18.9650024414062
21592,-19.9564676920573
21591,-20.3348347981771
21590,-20.6638651529948
21589,-22.7247477213541
21588,-22.3115600585937
21587,-20.9929768880208
21586,-20.3833221435547
21585,-23.3318644205729
21584,-23.7200531005859
21583,-22.4773417154948
21582,-21.9135803222656
21581,-21.8291432698567
21580,-22.2455963134765
21579,-20.7483123779297
21578,-20.8137929280599
21577,-19.9680796305338
21576,-21.6280578613281
21575,-21.1763977050781
21574,-22.0955769856771
21573,-23.0572875976562
21572,-21.2010559082031
21571,-21.9692087809245
21570,-21.3203287760416
21569,-21.3653727213541
21568,-20.6507731119791
21567,-22.7934834798177
21566,-22.4360005696614
21565,-20.8284922281901
21564,-23.7410390218099
21563,-22.3442189534505
21562,-24.0426340738932
21561,-20.0930135091146
21560,-20.0318155924479
21559,-23.018647257487
21558,-20.0295928955078
21557,-22.0560516357422
21556,-21.4818583170573
21555,-21.9318552652995
21554,-21.6412465413411
21553,-22.9365549723307
21552,-22.2808441162109
21551,-21.8102478027344
21550,-19.9330810546875
21549,-22.3285888671875
21548,-22.2563791910807
21547,-21.6942454020182
21546,-20.811376953125
21545,-20.5973571777344
21544,-20.8501647949219
21543,-20.9393625895182
21542,-22.510850016276
21541,-20.4171254475911
21540,-21.926626586914
21539,-21.383149210612
21538,-21.7680369059245
