"Calendar years [yr BP]","Average yearly mean temperature [degree C]"
21999,-35.9392964680989
21998,-34.2024037679036
21997,-35.1998123168945
21996,-35.3186172485351
21995,-35.0002515157064
21994,-34.981246693929
21993,-35.6678565979004
21992,-35.6702802022298
21991,-36.3260266621907
21990,-36.0545257568359
21989,-35.4741399129232
21988,-35.7527094523112
21987,-35.6912190755208
21986,-36.3811032613118
21985,-35.738321685791
21984,-35.061942799886
21983,-36.113695526123
21982,-37.016943359375
21981,-34.9866495768229
21980,-34.936937713623
21979,-34.1747853597005
21978,-36.7426450093587
21977,-36.214936319987
21976,-35.0186434427897
21975,-35.205788675944
21974,-34.0564788818359
21973,-34.3884643554687
21972,-34.3770495096842
21971,-35.0533126831054
21970,-35.3369227091471
21969,-36.4180257161458
21968,-35.9241216023763
21967,-34.7426475524902
21966,-35.8717725118001
21965,-35.9452969868978
21964,-36.0498273213704
21963,-36.336648050944
21962,-35.8022687276204
21961,-35.7149820963541
21960,-34.3950230916341
21959,-36.6982686360677
21958,-35.3344940185547
21957,-34.6316004435221
21956,-35.9674184163411
21955,-35.5958859761556
21954,-35.8628041585286
21953,-35.4464897155761
21952,-35.1223981221517
21951,-35.5254132588704
21950,-34.6105992635091
21949,-35.6245763142903
21948,-35.1032979329427
21947,-34.5964950561523
21946,-35.0987762451172
21945,-35.0569328308105
21944,-34.1640851338704
21943,-35.0431185404459
21942,-35.1014414469401
21941,-35.3484748840332
21940,-35.0074447631836
21939,-34.8215812683105
21938,-35.5748936971028
21937,-34.8720331827799
21936,-34.4521100362142
21935,-35.4099767049153
21934,-34.38468653361
21933,-35.8178860982259
21932,-34.6293853759765
21931,-35.3116554260254
21930,-35.3782803853353
21929,-35.5140200297038
21928,-34.8198061625163
21927,-35.9391527811686
21926,-35.8270197550455
21925,-35.8526596069336
21924,-34.7037923177083
21923,-36.3686381022135
21922,-36.525119527181
21921,-35.5886812845866
21920,-34.8265696207682
21919,-35.2042271931966
21918,-35.5006380716959
21917,-35.9465494791666
21916,-35.7763936360677
21915,-35.8641583760579
21914,-35.0769460042318
21913,-35.0650899251302
21912,-34.4885492960612
21911,-35.8956347147623
