"Full hydrological years [yr BP]","Average yearly mean temperature [degree C]"
21998,-33.9232912699381
21997,-34.6376289367676
21996,-35.3475529988607
21995,-35.0664861043294
21994,-35.4078531901041
21993,-35.4236956278483
21992,-36.0171391805013
21991,-35.5242434183756
21990,-36.1221883138021
21989,-35.5200777689616
21988,-35.9049578348795
21987,-35.817007446289
21986,-35.9752894083659
21985,-36.0599973042806
21984,-35.4572992960612
21983,-36.1222633361816
21982,-35.826155090332
21981,-36.2492240905761
21980,-35.2361269632975
21979,-33.7569895426432
21978,-35.9225130716959
21977,-36.6640851338704
21976,-35.0507237752278
21975,-35.4637817382812
21974,-34.0910196940104
21973,-34.6047233581543
21972,-34.1557640075683
21971,-35.0041348775228
21970,-34.799045308431
21969,-36.309194946289
21968,-36.1650591532389
21967,-35.4704981486002
21966,-35.6392934163411
21965,-35.7644510904948
21964,-36.2281313578288
21963,-35.777820332845
21962,-35.7829332987467
21961,-36.5576741536458
21960,-34.0327184041341
21959,-36.4640780131022
21958,-35.2946787516276
21957,-35.2212127685547
21956,-35.4524927775065
21955,-36.1115631103515
21954,-35.3247322082519
21953,-35.4502421061198
21952,-34.9467478434245
21951,-35.8648793538411
21950,-34.6208811442057
21949,-35.4889561971028
21948,-34.9736618041992
21947,-35.3384841918945
21946,-35.0610616048177
21945,-34.8832916259765
21944,-34.0648419698079
21943,-35.2688990275065
21942,-34.8717864990234
21941,-35.463917795817
21940,-34.7193486531575
21939,-35.3296137491862
21938,-35.0252886454264
21937,-35.2867734273275
21936,-34.2045349121094
21935,-35.2548304239909
21934,-34.7167394002278
21933,-34.9969530741373
21932,-35.2299891153971
21931,-35.4001436869303
21930,-35.1597516377767
21929,-35.6673721313476
21928,-34.7047536214193
21927,-35.9353647867838
21926,-36.1619374593099
21925,-35.7149058024088
21924,-34.6510948181152
21923,-36.0752535502116
21922,-35.8464263916015
21921,-36.2530883789062
21920,-35.266163889567
21919,-35.3697964986165
21918,-35.0154568990071
21917,-35.6709922790527
21916,-35.9070495605469
21915,-36.647433980306
21914,-34.2862393697103
21913,-35.5653315226237
21912,-34.4205141703288
21911,-35.4737775166829
21910,-35.6357495625814
21909,-34.8766095479329
21908,-35.4944913228353
21907,-35.2117739359538
21906,-34.2825709025065
21905,-33.9683186848958
21904,-34.8861666361491
21903,-36.4118395487467
21902,-34.7912544250488
21901,-35.5189130147298
21900,-35.303335571289
21899,-36.3653307596842
21898,-35.1485516866048
