"Winter months (October to March) of hydrological
 years [yr BP]","Average winter mean temperature [degree C]"
21998,-41.8656448364258
21997,-43.7826599121094
21996,-44.3434611002604
21995,-44.0915690104166
21994,-44.1896194458008
21993,-44.4186614990234
21992,-44.6898941040039
21991,-43.9051091512044
21990,-44.653901163737
21989,-44.9577341715495
21988,-45.5373519897461
21987,-44.7152364095052
21986,-45.7476384480794
21985,-45.8146601359049
21984,-44.882915242513
21983,-44.0186014811198
21982,-44.6493820190429
21981,-46.8296900431315
21980,-43.9066197713216
21979,-42.5274973551432
21978,-44.8140803019205
21977,-46.0963755289713
21976,-44.7636678059896
21975,-44.8383951822916
21974,-43.5892420450846
21973,-43.0383438110351
21972,-43.7304595947265
21971,-44.7467381795247
21970,-44.4794245402018
21969,-45.6594095865885
21968,-44.4756403605143
21967,-45.2603439331054
21966,-44.7310343424479
21965,-44.0544011433919
21964,-44.5302591959635
21963,-44.3596150716146
21962,-45.7725179036458
21961,-45.7688354492187
21960,-43.0085866292318
21959,-45.8269790649414
21958,-44.4036290486653
21957,-44.4529276529948
21956,-44.6652104695638
21955,-46.4349095662435
21954,-44.1922032674153
21953,-45.1189865112304
21952,-44.0916224161784
21951,-44.2646189371745
21950,-43.786962890625
21949,-44.2849385579427
21948,-43.9240097045898
21947,-45.582757059733
21946,-43.7154881795247
21945,-42.5290715535482
21944,-43.1975565592448
21943,-44.1770589192708
21942,-43.110693359375
21941,-43.8494501749674
21940,-44.000217183431
21939,-45.0205139160156
21938,-43.0039072672526
21937,-43.6491734822591
21936,-43.1761815388997
21935,-44.5049499511719
21934,-43.6105280558268
21933,-44.0946385701497
21932,-43.6633870442708
21931,-43.8275360107422
21930,-43.4761337280273
21929,-44.4033823649088
21928,-43.7856989542643
21927,-44.931499226888
21926,-45.071875
21925,-44.2214060465495
21924,-43.42796681722
21923,-44.9361989339193
21922,-45.2765513102213
21921,-46.133891805013
21920,-43.4169830322265
21919,-43.8891255696614
21918,-44.2378575642903
21917,-45.2537241617838
21916,-45.322856648763
21915,-45.2876444498698
21914,-43.8695968627929
21913,-45.1514165242513
21912,-43.4923029581705
21911,-44.1003580729166
21910,-45.3353535970052
21909,-43.0369654337565
21908,-44.4034917195638
21907,-43.3620717366536
21906,-43.2411000569661
21905,-42.5338119506836
21904,-43.3916712443034
21903,-46.0824696858724
21902,-43.3174194335937
21901,-44.425390625
21900,-42.0976776123047
21899,-45.7824742635091
21898,-43.0175359090169
21897,-43.1285512288411
21896,-44.181489054362
21895,-43.8613723754883
21894,-44.0498057047526
21893,-45.1438227335612
21892,-45.9003662109375
21891,-44.4756301879883
21890,-44.742290242513
21889,-44.7157628377278
21888,-45.7796717325846
21887,-43.6369130452474
21886,-44.4610198974609
21885,-44.5946029663086
21884,-45.1208582560221
21883,-46.3625523885091
21882,-46.0659342447916
21881,-44.6728017171224
21880,-44.1311706542969
21879,-45.2857625325521
21878,-44.8501953125
21877,-45.0501973470052
21876,-44.5970520019531
21875,-42.4593821207682
21874,-45.5197433471679
21873,-44.0332372029622
21872,-43.2867009480794
21871,-44.2664067586263
21870,-43.9873947143554
21869,-44.1876561482747
21868,-46.3315745035807
21867,-43.9568923950195
21866,-42.6346801757812
21865,-43.8048309326172
21864,-44.571277364095
21863,-42.8735870361328
21862,-43.7286717732747
21861,-45.3846700032552
21860,-45.2177235921224
21859,-46.4877380371094
21858,-45.3309387207031
21857,-44.8683049519857
21856,-44.5849619547526
21855,-45.254741414388
21854,-44.6118606567383
21853,-44.3371973673502
21852,-45.4397313435872
21851,-42.9862121582031
21850,-43.6749760945638
21849,-44.5451644897461
21848,-44.9232238769531
21847,-43.690417989095
21846,-44.4088806152344
21845,-44.1184270222982
21844,-44.8673843383789
21843,-42.5368687947591
21842,-46.8110717773437
21841,-42.858994547526
21840,-45.9652211507161
21839,-45.1629648844401
21838,-45.2053665161133
21837,-43.9477396647135
21836,-46.7889083862304
21835,-45.9269571940104
21834,-44.1684224446614
21833,-44.4437494913737
21832,-44.0142298380534
21831,-43.3523900349935
21830,-46.6950973510742
21829,-44.3235331217448
21828,-43.9782674153646
21827,-44.606548055013
21826,-45.1759679158528
21825,-43.8920196533203
21824,-43.4223337809245
21823,-43.4353418986002
21822,-44.2463617960612
21821,-45.2091227213541
21820,-45.9316314697265
21819,-45.6023569742838
21818,-44.5743799845377
21817,-44.7773727416992
21816,-43.9468088785807
21815,-45.0355463663737
21814,-45.2161087036133
21813,-44.7361002604166
21812,-45.05771484375
21811,-44.7672180175781
21810,-46.1453867594401
21809,-45.1821095784505
21808,-44.4697809855143
21807,-44.013899230957
21806,-43.93870900472
21805,-44.9773595174153
21804,-44.0099522908528
21803,-45.1109832763672
21802,-44.5136220296224
21801,-44.2851826985677
21800,-44.2094228108724
21799,-43.1248458862304
21798,-43.2340250651041
21797,-44.4451863606771
21796,-44.9000228881836
21795,-45.1507603963216
21794,-43.3640528361002
21793,-43.6595672607422
21792,-43.7889389038086
21791,-44.5962585449219
21790,-43.4692774454752
21789,-43.2831685384114
21788,-42.1730356852213
21787,-43.4928700764974
21786,-43.2680521647135
