"Winter months (December-January-February) of each years [yr BP]","Average winter mean temperature [degree C]"
21998,-26.0677958170573
21997,-27.1476959228515
21996,-14.257421875
21995,-18.7069763183594
21994,-18.4733795166015
21993,-17.6499389648437
21992,-17.860698445638
21991,-16.9895741780599
21990,-15.617788696289
21989,-20.4837809244791
21988,-17.4605723063151
21987,-19.3877166748047
21986,-18.5417999267578
21985,-20.4326080322265
21984,-19.6855885823567
21983,-16.254242960612
21982,-16.7621978759765
21981,-17.997407023112
21980,-17.5407470703125
21979,-18.3547780354817
21978,-13.8273478190104
21977,-18.8086354573567
21976,-15.9188954671224
21975,-12.8772440592448
21974,-15.4677693684896
21973,-16.4456390380859
21972,-20.6898661295573
21971,-13.2023071289062
21970,-18.0458435058594
21969,-17.7523305257161
21968,-19.3254557291666
21967,-14.911728922526
21966,-15.3198811848958
21965,-18.4906066894531
21964,-16.617041015625
21963,-16.3551595052083
21962,-20.0995493570963
21961,-18.2324635823567
21960,-21.6263590494791
21959,-19.7133290608724
21958,-13.6902170817057
21957,-14.5132100423177
21956,-17.7369649251302
21955,-12.2457336425781
21954,-16.074326578776
21953,-14.4045776367187
21952,-19.0663513183594
21951,-21.2102467854817
21950,-13.2094991048177
21949,-21.307221476237
21948,-16.4776570638021
21947,-16.5012624104817
21946,-17.6796579996745
21945,-17.9541381835937
21944,-13.0750386555989
21943,-22.2772633870442
21942,-15.3242858886719
21941,-22.1634989420573
21940,-16.6067362467448
21939,-16.2650207519531
21938,-15.7938700358073
21937,-18.5129811604817
21936,-24.7124338785807
21935,-19.6585906982422
21934,-10.7801879882812
21933,-13.4425821940104
21932,-17.2483327229817
21931,-17.3539540608724
21930,-16.9020039876302
21929,-17.7318074544271
21928,-14.7464965820312
21927,-20.4336812337239
21926,-16.1728474934896
21925,-15.1729187011719
21924,-17.2116811116536
21923,-17.9329488118489
21922,-21.8039560953776
21921,-16.6134246826172
21920,-17.7626302083333
21919,-15.5699930826823
21918,-15.8615071614583
21917,-18.0300048828125
21916,-16.6523956298828
21915,-16.5666259765625
21914,-19.7743693033854
21913,-20.0096750895182
21912,-17.2451741536458
21911,-19.912934366862
