"Summer months (Jule-July-August) of each years [yr BP]","Average summer mean temperature [degree C]"
21999,-1.16214599609373
21998,-1.51981201171873
21997,-0.888250732421852
21996,-1.21811523437498
21995,-3.05339152018227
21994,-1.79861043294269
21993,-1.64373372395831
21992,-1.97148234049477
21991,-3.13223876953123
21990,-1.65987752278644
21989,-2.30979003906248
21988,-4.09332885742185
21987,-2.25994466145831
21986,-2.22158406575519
21985,-2.01140950520831
21984,-2.12856648763019
21983,-3.7934631347656
21982,-1.16338704427081
21981,-1.75520426432289
21980,-1.93223673502602
21979,-1.54609781901039
21978,-2.73479817708331
21977,-2.56979980468748
21976,-2.11014404296873
21975,-1.25099283854164
21974,-2.39852498372394
21973,-0.990688069661436
21972,-1.02291463216144
21971,-2.01173502604164
21970,-1.65612386067706
21969,-0.982906087239561
21968,-1.89568684895831
21967,-0.957332356770811
21966,-2.22508341471352
21965,-3.21270345052081
21964,-2.07004394531248
21963,-1.6048645019531
21962,-1.29640299479164
21961,-1.72340494791664
21960,-0.866695149739561
21959,-3.3280090332031
21958,-2.13720296223956
21957,-2.01958821614581
21956,-2.4668029785156
21955,-1.97442220052081
21954,-2.0155090332031
21953,-4.05452067057289
21952,-1.54992268880206
21951,-2.18380330403644
21950,-0.891190592447894
21949,-1.58839518229164
21948,-1.33578084309894
21947,-2.06759236653644
21946,-2.03676961263019
21945,-1.94917399088539
21944,-1.2796691894531
21943,-1.68032430013019
21942,-2.74916178385414
21941,-2.4226135253906
21940,-1.39739583333331
21939,-2.21529744466144
21938,-1.36273803710935
21937,-2.49737141927081
21936,-1.2435363769531
21935,-1.87533162434894
21934,-1.52074788411456
21933,-1.64437459309894
21932,-1.66410929361977
21931,-1.86903483072914
21930,-1.36842447916664
21929,-2.13742675781248
21928,-1.95721028645831
21927,-1.45683390299477
21926,-1.43029378255206
21925,-1.31280110677081
21924,-2.41427205403644
21923,-2.90226847330727
21922,-2.49645589192706
21921,-1.67309163411456
21920,-3.38613484700519
21919,-1.95827840169269
21918,-1.95732218424477
21917,-2.25292561848956
21916,-2.03434855143227
21915,-2.49496053059894
21914,-1.01350504557289
21913,-2.39503580729164
21912,-2.10698038736977
21911,-1.21946818033852
21910,-1.50499064127602
21909,-1.57818196614581
21908,-1.96929524739581
21907,-1.4587463378906
21906,-2.44648844401039
21905,-2.11899414062498
21904,-2.38099772135414
21903,-1.98134969075519
21902,-3.26243693033852
21901,-3.06149902343748
21900,-3.18658040364581
21899,-2.28263956705727
21898,-3.33111165364581
21897,-2.06141764322914
21896,-1.21098429361977
21895,-2.7457336425781
21894,-1.65477091471352
21893,-1.35902506510414
21892,-3.66721191406248
21891,-2.83690999348956
21890,-2.79452107747394
21889,-4.2205871582031
21888,-3.58924967447914
21887,-3.90178019205727
21886,-3.0737365722656
21885,-1.79432779947914
21884,-3.17360026041664
21883,-1.56929117838539
21882,-2.9376281738281
21881,-1.69798380533852
21880,-2.28913981119789
21879,-3.10907592773435
21878,-1.58822224934894
21877,-2.38894246419269
21876,-1.60189412434894
21875,-2.97067871093748
21874,-1.93683471679685
21873,-1.74872436523435
21872,-0.682928466796852
21871,-1.71656901041664
21870,-0.542272949218727
21869,-2.31186523437498
21868,-2.76608886718748
21867,-2.3625549316406
21866,-1.71247965494789
21865,-3.16672363281248
21864,-3.30690104166664
21863,-2.03023885091144
21862,-2.17231852213539
21861,-2.40214640299477
21860,-2.73000691731769
21859,-1.62495524088539
21858,-1.34554646809894
21857,-2.27848917643227
21856,-2.73628336588539
21855,-2.28852945963539
21854,-2.20705769856769
21853,-1.58543497721352
21852,-2.90574747721352
21851,-1.97065836588539
21850,-1.4006408691406
21849,-2.21996663411456
21848,-1.61015421549477
21847,-2.2406066894531
21846,-2.59901529947914
21845,-2.30525309244789
21844,-2.19338582356769
21843,-2.14801635742185
21842,-2.5004943847656
21841,-1.69281616210935
21840,-2.54946492513019
21839,-1.96304931640623
21838,-1.65787353515623
21837,-2.66664225260414
21836,-2.67436319986977
21835,-1.5784973144531
21834,-1.24662882486977
21833,-1.28031005859373
21832,-1.10848592122394
21831,-1.32270914713539
21830,-1.51304728190102
21829,-2.56232299804685
21828,-1.91880900065102
21827,-1.72763671874998
21826,-2.23553059895831
21825,-2.39984741210935
21824,-1.49755452473956
21823,-1.21224568684894
21822,-2.30192667643227
21821,-2.96477864583331
21820,-1.69749552408852
21819,-2.85743815104164
21818,-1.68931681315102
21817,-1.48116658528644
21816,-2.82386881510414
21815,-1.19244995117185
21814,-1.73393351236977
21813,-1.88217773437498
21812,-3.55845743815102
21811,-2.7147277832031
21810,-2.48501180013019
21809,-2.19717000325519
21808,-3.03529459635414
21807,-2.26743164062498
21806,-3.41745605468748
21805,-2.98268229166664
21804,-2.59826253255206
21803,-1.63534138997394
21802,-1.89555460611977
21801,-2.64753824869789
21800,-1.71788126627602
21799,-2.06417439778644
21798,-1.6580871582031
21797,-3.15782267252602
21796,-1.25420735677081
21795,-2.1444152832031
21794,-2.63991902669269
21793,-1.21040445963539
21792,-1.82035929361977
21791,-2.85392862955727
21790,-1.47771809895831
21789,-1.30723673502602
21788,-1.17684529622394
21787,-2.39535115559894
21786,-2.05880330403644
21785,-1.90140380859373
21784,-2.17633666992185
21783,-2.45351765950519
21782,-2.45637613932289
21781,-2.15963338216144
21780,-2.26628214518227
21779,-4.28195800781248
21778,-2.37068277994789
21777,-1.61887207031248
21776,-3.70202229817706
21775,-2.11925862630206
21774,-0.456060791015602
21773,-1.42559407552081
21772,-1.44730224609373
21771,-2.45341593424477
21770,-1.71764729817706
21769,-2.24029134114581
21768,-2.7157043457031
21767,-3.34915771484373
21766,-2.34230143229164
21765,-2.22489013671873
21764,-2.24643554687498
21763,-2.2648986816406
21762,-2.86531168619789
21761,-3.26065673828123
21760,-1.27345377604164
21759,-1.52709554036456
21758,-1.08535359700519
21757,-1.44433186848956
21756,-1.54059448242185
21755,-2.28637288411456
21754,-2.09459025065102
21753,-1.90981648763019
21752,-1.59109090169269
21751,-2.30977986653644
21750,-1.24004720052081
21749,-2.29523315429685
21748,-1.87160847981769
21747,-1.62453816731769
21746,-1.79412434895831
21745,-3.70967203776039
21744,-1.09035847981769
21743,-2.23899943033852
21742,-1.28107299804685
21741,-1.70413818359373
21740,-1.50885620117185
21739,-1.05964762369789
21738,-1.84806925455727
21737,-1.41789347330727
21736,-2.16072184244789
21735,-3.24865315755206
21734,-3.04522298177081
21733,-1.41673380533852
21732,-2.41439412434894
21731,-1.15169881184894
21730,-2.24314982096352
21729,-2.30294392903644
21728,-2.00320027669269
21727,-2.60627848307289
21726,-2.05314737955727
21725,-1.06224161783852
21724,-1.62314453124998
21723,-2.22569376627602
21722,-1.54023844401039
21721,-2.14217732747394
21720,-2.07062377929685
21719,-1.47787068684894
21718,-2.02907918294269
21717,-2.69912312825519
21716,-1.57741902669269
21715,-2.45089314778644
21714,-1.58591308593748
21713,-1.48360799153644
21712,-1.89742635091144
21711,-3.38800659179685
21710,-1.22448323567706
21709,-1.52154134114581
21708,-1.31193644205727
21707,-3.07085774739581
21706,-1.29048258463539
21705,-2.24595743815102
21704,-2.5169738769531
21703,-1.84390869140623
21702,-2.62612508138019
21701,-1.9682678222656
21700,-1.97971191406248
21699,-2.66167805989581
21698,-2.90248209635414
21697,-2.4215148925781
21696,-1.53541666666664
21695,-1.98053588867185
21694,-3.46520589192706
21693,-2.41499430338539
21692,-3.39330647786456
21691,-2.77875366210935
21690,-3.32512003580727
21689,-2.28427734374998
21688,-2.42894083658852
21687,-1.79047241210935
21686,-1.82335001627602
21685,-1.4857238769531
21684,-1.21257120768227
21683,-2.35534261067706
21682,-2.54991251627602
21681,-2.06154988606769
21680,-1.58806966145831
21679,-2.59019571940102
21678,-1.9305480957031
21677,-1.16590983072914
21676,-3.11036783854164
21675,-3.21640624999998
21674,-2.77198893229164
21673,-2.64934895833331
21672,-2.85176188151039
21671,-1.95355834960935
21670,-1.33017578124998
21669,-2.17935791015623
21668,-2.71468709309894
21667,-1.5295471191406
21666,-1.83576049804685
21665,-2.5527404785156
21664,-2.52123616536456
21663,-2.43791300455727
21662,-1.66645914713539
21661,-2.25092163085935
21660,-1.86783447265623
21659,-2.47190958658852
21658,-1.93804524739581
21657,-1.64523925781248
21656,-2.10430501302081
21655,-2.8075012207031
21654,-1.76623128255206
21653,-2.99504191080727
21652,-1.3507141113281
21651,-2.54101155598956
21650,-2.08359374999998
21649,-3.00895792643227
21648,-2.76386108398435
21647,-2.13689778645831
21646,-2.27665812174477
21645,-2.35044962565102
21644,-2.41318359374998
21643,-1.73614095052081
21642,-1.53701375325519
21641,-2.03973999023435
21640,-1.67915445963539
21639,-1.81182454427081
21638,-2.44966227213539
21637,-2.24432983398435
21636,-2.07968749999998
21635,-1.13680623372394
21634,-1.59246419270831
