"Full hydrological years [yr BP]","Average yearly mean temperature [degree C]"
21998,-13.0943117777506
21997,-11.040692392985
21996,-9.60863723754881
21995,-9.63931630452472
21994,-8.40166956583657
21993,-8.77379964192706
21992,-9.87621536254881
21991,-8.75324223836261
21990,-9.92095158894855
21989,-12.4101369222005
21988,-9.65699742635089
21987,-10.5761767069498
21986,-9.02291081746417
21985,-10.1378094991048
21984,-9.85447667439776
21983,-8.8320742289225
21982,-9.16742808024086
21981,-9.6685966491699
21980,-9.05517934163409
21979,-10.2949546813965
21978,-7.97860056559243
21977,-10.0649208068847
21976,-8.45704625447589
21975,-7.35704142252602
21974,-8.62382863362628
21973,-8.42325312296547
21972,-9.54267730712888
21971,-8.14591573079425
21970,-9.83786748250323
21969,-9.45705388387042
21968,-9.29936574300128
21967,-7.87539774576821
21966,-9.30115992228188
21965,-11.2424364725748
21964,-9.81309356689451
21963,-8.6187067667643
21962,-8.75805892944334
21961,-9.10208104451495
21960,-9.58622334798175
21959,-11.2943939208984
21958,-8.99415435791013
21957,-8.45115509033201
21956,-8.73009592692055
21955,-8.22075500488279
21954,-9.31897837320961
21953,-8.64816640218097
21952,-10.2325462341308
21951,-11.1011934916178
21950,-8.00981750488279
21949,-9.71988143920896
21948,-9.12745259602862
21947,-9.08173344930011
21946,-8.56751225789386
21945,-9.30068054199216
21944,-7.04952596028644
21943,-10.4378977457682
21942,-8.27874857584633
21941,-11.5442998250325
21940,-7.98410898844399
21939,-9.03228352864581
21938,-8.45564117431638
21937,-9.2429120381673
21936,-10.5320788065592
21935,-10.1666905721028
21934,-6.30408579508461
21933,-7.65694529215493
21932,-9.52602615356443
21931,-8.62206751505532
21930,-9.44061126708982
21929,-9.18077952067055
21928,-7.77839762369789
21927,-10.102709197998
21926,-8.68281148274737
21925,-8.50070037841795
21924,-9.61461105346677
21923,-9.61226501464841
21922,-10.583895111084
21921,-10.7218256632487
21920,-10.521644337972
21919,-8.90102488199867
21918,-8.6086715698242
21917,-9.98136749267576
21916,-9.3619077046712
21915,-8.21705220540362
21914,-9.59253285725909
21913,-10.4625877380371
21912,-8.39306742350258
21911,-9.72484308878578
21910,-10.259982808431
21909,-7.56171391805011
21908,-9.34647471110024
21907,-7.84131215413409
21906,-9.80001932779946
21905,-8.07635091145831
21904,-9.11801249186196
21903,-9.52926483154295
21902,-9.21005732218422
21901,-9.22210540771482
21900,-10.766029103597
21899,-8.85909372965492
21898,-11.6764790852864
21897,-8.08534088134763
21896,-9.1521425882975
21895,-8.99798558553058
21894,-8.12379175821938
21893,-9.11457926432289
21892,-13.2374252319336
21891,-10.5637064615885
21890,-13.1112808227539
21889,-9.44509862263995
21888,-14.2587277730306
21887,-10.9544891357422
21886,-8.76994934082029
21885,-8.86430460611977
21884,-9.16423263549802
21883,-9.82560068766274
