"Summer months (April to September) of hydrological
 years [yr BP]","Average summer mean temperature [degree C]"
21998,-4.711284383138
21997,-3.15007629394529
21996,-3.75861714680987
21995,-4.23989969889321
21994,-3.40850423177081
21993,-3.9824025472005
21992,-4.91377868652341
21991,-4.21041971842446
21990,-5.24494018554685
21989,-6.55720621744789
21988,-4.80513610839841
21987,-4.68504943847654
21986,-3.86808369954425
21985,-4.61866353352862
21984,-3.35310974121091
21983,-5.35439656575519
21982,-3.44239400227862
21981,-5.22816060384112
21980,-4.02676493326821
21979,-4.72943725585935
21978,-4.62851053873696
21977,-4.57214457194008
21976,-3.75565185546873
21975,-3.51631774902341
21974,-4.14580383300779
21973,-3.83380737304685
21972,-3.46023152669269
21971,-4.01407470703123
21970,-3.38390706380206
21969,-4.43327433268227
21968,-4.05556335449216
21967,-3.51921183268227
21966,-4.54240010579425
21965,-5.52577819824216
21964,-4.50262552897133
21963,-3.90313313802081
21962,-3.37030131022133
21961,-3.86917724609373
21960,-3.51112976074216
21959,-5.72032775878904
21958,-4.30079243977862
21957,-3.40284830729164
21956,-3.80691121419269
21955,-4.80172322591144
21954,-3.860942586263
21953,-5.24016418457029
21952,-3.85406595865883
21951,-4.77442525227862
21950,-4.52018330891925
21949,-3.62047932942706
21948,-4.89704996744789
21947,-4.14067687988279
21946,-3.89141947428383
21945,-3.56335550944008
21944,-3.27062581380206
21943,-3.7951466878255
21942,-3.768169148763
21941,-6.63991902669269
21940,-3.27983194986977
21939,-4.62438049316404
21938,-3.6035217285156
21937,-4.54742024739581
21936,-3.47833862304685
21935,-3.59733683268227
21934,-2.85939636230466
21933,-4.04893595377602
21932,-4.06861979166664
21931,-3.520366414388
21930,-3.77032572428383
21929,-3.88040262858071
21928,-3.71171162923175
21927,-3.26493937174477
21926,-3.60512390136716
21925,-3.25843912760414
21924,-4.45379740397133
21923,-4.45940755208331
21922,-4.46845601399737
21921,-4.17141316731769
21920,-5.63772176106769
21919,-4.16806131998696
21918,-4.32614237467446
21917,-4.70864969889321
21916,-3.79888000488279
21915,-3.98927408854164
21914,-3.06620381673175
21913,-4.65923156738279
21912,-3.55388488769529
21911,-3.60414225260414
21910,-3.97099405924477
21909,-3.77015787760414
21908,-4.3207814534505
21907,-3.77705993652341
21906,-4.11134948730466
21905,-3.84299316406248
21904,-4.34090270996091
21903,-4.00301717122394
21902,-5.0197560628255
21901,-4.8339650472005
21900,-5.0575978597005
21899,-4.60812479654946
21898,-4.4896301269531
21897,-4.3325002034505
21896,-3.80768432617185
21895,-3.85499674479164
21894,-3.75333760579425
21893,-5.46404113769529
21892,-5.31965738932289
21891,-5.65053405761716
21890,-4.97597351074216
21889,-5.65635782877602
21888,-6.15313822428383
21887,-6.42952067057289
21886,-4.48926900227862
21885,-4.01006673177081
21884,-4.16858011881508
21883,-4.6809143066406
21882,-4.87160339355466
21881,-3.88869323730466
21880,-4.66537068684894
21879,-4.49136454264321
21878,-3.75945638020831
21877,-4.32319742838539
21876,-3.78511657714841
21875,-4.95863952636716
21874,-5.58529256184894
21873,-4.63371378580727
21872,-3.80016174316404
21871,-3.53939412434894
21870,-3.33072509765623
21869,-4.75357666015623
21868,-4.85909627278644
21867,-3.83681844075519
21866,-3.6537892659505
21865,-4.92837626139321
21864,-4.58494669596352
21863,-3.60510355631508
21862,-4.09034830729164
21861,-4.05307617187498
21860,-5.45062357584633
21859,-4.10007324218748
21858,-3.91301574707029
21857,-4.60282999674477
21856,-5.15155131022133
21855,-3.66628621419269
21854,-4.46859842936196
21853,-3.37657775878904
21852,-5.02410481770831
21851,-3.25059611002602
21850,-4.3584045410156
21849,-4.38344421386716
21848,-3.34739786783852
21847,-4.20233764648435
21846,-4.3391174316406
21845,-4.26609903971352
21844,-4.62989400227862
21843,-4.31431681315102
21842,-4.17450052897133
21841,-4.18658548990883
21840,-4.41612854003904
21839,-3.48180236816404
21838,-4.10333353678383
21837,-5.36222432454425
21836,-4.65727844238279
21835,-3.81444396972654
21834,-3.39896240234373
21833,-3.45767313639321
21832,-3.35387776692706
21831,-3.8056701660156
21830,-3.80024312337237
21829,-5.14133300781248
21828,-4.41303609212237
21827,-4.4284474690755
21826,-4.31330464680987
21825,-4.25921732584633
21824,-3.88593139648435
21823,-3.98115132649737
21822,-4.420757039388
21821,-5.21313069661456
21820,-5.28773600260414
21819,-4.62454833984373
21818,-4.52069193522133
21817,-5.21024678548175
21816,-5.41090494791664
21815,-3.78884989420571
21814,-3.753276570638
21813,-4.30296936035154
21812,-5.03316853841144
21811,-5.26101277669269
21810,-7.02906392415362
21809,-4.52100728352862
21808,-5.08557230631508
21807,-4.04064534505206
21806,-4.96072489420571
21805,-4.90951131184894
21804,-4.06941324869789
21803,-4.04876302083331
21802,-4.16500447591144
21801,-3.41539103190102
21800,-4.76787923177081
21799,-4.74784952799477
21798,-4.09460042317706
21797,-6.08497212727862
21796,-3.90605265299477
21795,-4.49335835774737
21794,-4.24016418457029
21793,-3.46486511230466
21792,-3.85651245117185
21791,-5.39838256835935
21790,-4.53608296712237
21789,-4.2702697753906
21788,-2.90355529785154
21787,-4.68790283203123
21786,-7.2106511433919
21785,-4.19057312011716
21784,-4.5690979003906
21783,-4.98912658691404
21782,-4.25894266764321
21781,-3.85619201660154
21780,-4.25609436035154
21779,-5.4755666097005
21778,-5.41084391276039
21777,-3.39021402994789
21776,-5.24188842773435
21775,-4.71738281249998
21774,-3.41752726236977
21773,-3.50406494140623
21772,-3.41727294921873
21771,-4.00620117187498
21770,-3.550151570638
21769,-4.63462931315102
21768,-5.82782084147133
21767,-5.22509358723956
21766,-5.74188842773435
21765,-4.40307210286456
21764,-4.80826416015623
21763,-4.11732584635414
21762,-5.09986470540362
21761,-4.84810994466144
21760,-4.08663024902341
21759,-4.11180216471352
21758,-3.07692057291664
21757,-3.22700602213539
21756,-3.52913513183591
21755,-4.23329772949216
21754,-3.54120483398435
21753,-3.97354736328123
21752,-3.88436991373696
21751,-3.63686726888019
21750,-4.15443522135414
21749,-4.36349589029946
21748,-4.13949178059894
21747,-3.60909118652341
21746,-3.53375854492185
21745,-5.71146240234373
21744,-3.02279764811196
21743,-5.93966776529946
21742,-5.08182373046873
21741,-4.05957132975258
21740,-4.23189392089841
21739,-3.44913330078123
21738,-4.42009073893227
21737,-4.02841796874998
21736,-4.19338582356769
21735,-4.30085856119789
21734,-4.48073933919269
21733,-3.38177083333331
21732,-5.07614746093748
21731,-3.83731689453123
21730,-4.55035502115883
21729,-4.77800598144529
21728,-4.27909952799477
21727,-4.56893513997394
21726,-3.85747884114581
21725,-3.33917338053383
21724,-3.56328430175779
21723,-5.48556111653644
21722,-4.19827880859373
21721,-5.1959289550781
21720,-4.05478006998696
21719,-3.46845601399737
21718,-4.24781392415362
21717,-4.20294799804685
21716,-3.88323567708331
21715,-5.15197855631508
21714,-4.5624806722005
21713,-4.26446126302081
21712,-3.51136881510414
21711,-4.73413187662758
21710,-3.47118225097654
21709,-3.80642801920571
21708,-4.45047607421873
21707,-4.66635742187498
21706,-3.3048156738281
21705,-4.09601949055987
21704,-3.923686726888
21703,-3.92120463053383
21702,-3.64456787109373
21701,-5.16014709472654
21700,-4.38913065592446
21699,-4.96325785319008
21698,-5.66076253255206
21697,-4.45697631835935
21696,-5.14788920084633
21695,-4.43441365559894
21694,-4.99836832682289
21693,-5.21299845377602
21692,-4.97106526692706
21691,-5.46349690755206
21690,-5.36340433756508
21689,-4.13188781738279
21688,-5.41547749837237
21687,-4.36169026692706
21686,-3.58361409505206
21685,-3.33491109212237
21684,-3.5665344238281
21683,-5.11980794270831
21682,-4.51230468749998
21681,-4.32962137858071
21680,-2.90343831380206
21679,-4.38310343424477
21678,-3.78752237955727
21677,-4.12932434082029
21676,-5.18792826334633
21675,-4.80619913736977
21674,-4.99864807128904
21673,-4.49379069010414
21672,-5.27123107910154
21671,-4.76150614420571
21670,-3.29320882161456
21669,-4.05074157714841
21668,-4.76977132161456
21667,-4.51477152506508
21666,-3.58031311035154
21665,-5.09703674316404
21664,-4.45998738606769
21663,-4.63449707031248
21662,-4.31290283203123
21661,-4.14904378255206
21660,-4.54129130045571
21659,-4.82933146158852
21658,-4.99734090169269
21657,-3.81816202799477
21656,-4.46037902832029
21655,-4.79255269368487
21654,-4.62533671061196
21653,-4.57658996582029
21652,-3.95846659342446
21651,-4.66673889160154
21650,-4.2607482910156
21649,-5.68001403808591
21648,-4.28539632161456
21647,-3.91434326171873
21646,-3.71097920735675
21645,-3.59443766276039
21644,-4.54189656575519
21643,-3.56267395019529
21642,-3.81850280761716
21641,-3.13255920410154
21640,-3.73908081054685
21639,-4.76735026041664
21638,-5.07750549316404
21637,-3.7492736816406
21636,-4.14814351399737
21635,-3.55474446614581
21634,-3.39842834472654
21633,-4.06874186197914
21632,-4.0895802815755
21631,-3.86381123860675
21630,-4.80041605631508
21629,-5.36535237630206
21628,-3.20983479817706
21627,-3.36449788411456
21626,-4.05946960449216
21625,-3.98700052897133
21624,-5.02691243489581
21623,-3.67837117513019
21622,-5.03113911946612
21621,-5.47286580403644
21620,-3.73857218424477
21619,-3.61892801920571
21618,-4.06803995768227
21617,-4.45961100260414
21616,-5.55092468261716
21615,-3.64032592773435
21614,-4.35975240071612
21613,-3.51812337239581
21612,-4.13977152506508
21611,-3.77194824218748
21610,-4.75512288411456
21609,-3.13856099446612
21608,-4.50195414225258
21607,-4.2277893066406
21606,-3.657817586263
21605,-4.10085652669269
21604,-5.31124471028644
21603,-3.87755432128904
21602,-4.68061421712237
21601,-4.08688456217446
21600,-5.07004394531248
21599,-5.01044820149737
21598,-3.53530476888019
21597,-4.26195373535154
21596,-4.59357808430987
21595,-4.55666198730466
21594,-4.2423156738281
21593,-3.42839660644529
21592,-3.36744283040362
21591,-3.13542277018227
21590,-3.80381876627602
21589,-4.17150472005206
21588,-3.36191406249998
21587,-4.114604695638
21586,-3.55126546223956
21585,-4.55262858072914
21584,-5.61795654296873
21583,-4.16104736328123
21582,-3.90976053873696
21581,-4.44738871256508
21580,-3.49848022460935
21579,-3.48896891276039
21578,-4.96391398111977
21577,-5.93990681966144
21576,-5.28996378580727
21575,-3.47422892252602
21574,-3.37841898600258
21573,-4.23681233723956
21572,-3.00702514648435
21571,-4.14452718098956
21570,-4.650249226888
21569,-3.82497762044269
21568,-5.25892232259112
21567,-3.23125813802081
21566,-4.608257039388
21565,-4.4484924316406
21564,-5.91140848795571
21563,-5.48378092447914
21562,-4.44679361979164
21561,-2.96364949544269
21560,-3.47289632161456
21559,-3.30145874023435
21558,-3.83776448567706
21557,-4.56022745768227
21556,-4.23196004231769
21555,-4.9409240722656
21554,-4.17919006347654
21553,-4.5363576253255
21552,-4.31550699869789
21551,-3.63033650716144
21550,-3.72189941406248
21549,-3.90097147623696
