"Calendar years [yr BP]","Average yearly mean temperature [degree C]"
21999,-2.17052561442055
21998,-2.45286407470701
21997,-2.15441741943357
21996,-2.02767791748045
21995,-1.51857859293618
21994,-1.52659708658852
21993,-2.36520233154295
21992,-1.63806254069008
21991,-1.43617350260414
21990,-1.85359293619789
21989,-0.980050150553363
21988,-2.15128936767576
21987,-2.01334737141925
21986,-1.94962158203123
21985,-1.68277333577472
21984,-2.06122690836586
21983,-1.26265055338539
21982,-1.21629435221352
21981,-1.22438913981118
21980,-0.360550944010394
21979,-1.35962015787758
21978,-0.941000366210915
21977,-1.44652913411456
21976,-0.970126851399717
21975,-1.57447408040362
21974,-1.17247873942055
21973,-1.31787465413409
21972,-1.44382069905597
21971,-1.92091471354164
21970,-2.93018442789711
21969,-2.78454182942706
21968,-1.91984405517576
21967,-1.87189585367836
21966,-1.92124786376951
21965,-2.8661687215169
21964,-2.49381866455076
21963,-1.92599843343097
21962,-3.17422078450519
21961,-1.89887593587237
21960,-2.25258229573565
21959,-1.7979059855143
21958,-1.98522796630857
21957,-1.6230529785156
21956,-1.17407582600909
21955,-1.62245025634763
21954,-1.37982279459633
21953,-1.03490804036456
21952,-1.03719431559243
21951,-1.54493052164711
21950,-2.0272506713867
21949,-1.56809336344399
21948,-1.91229349772133
21947,-1.19808553059894
21946,-1.93721618652341
21945,-2.54916737874347
21944,-2.73600870768227
21943,-1.85324198404946
21942,-2.16632944742836
21941,-1.50321807861326
21940,-1.86379089355466
21939,-2.66914469401039
21938,-2.07997487386065
21937,-2.81502634684243
21936,-1.68140513102211
21935,-1.96356811523435
21934,-2.04210510253904
21933,-0.832161966959613
21932,-2.26719512939451
21931,-1.99578450520831
21930,-1.05122222900388
21929,-1.78813781738279
21928,-2.06328938802081
21927,-2.02177276611326
21926,-1.61015167236326
21925,-1.01974334716795
21924,-1.97822418212888
21923,-1.4255432128906
21922,-2.38500315348305
21921,-2.11404012044269
21920,-1.00160064697263
21919,-1.67319335937498
21918,-1.84756571451821
21917,-1.81940816243487
21916,-2.24442138671873
21915,-1.93423563639321
21914,-1.02503814697263
21913,-1.73745320638019
21912,-1.50760243733722
21911,-1.01774953206378
21910,-1.82968749999998
21909,-1.87221120198565
21908,-2.75431162516274
21907,-1.90893147786456
21906,-2.51544545491534
21905,-1.9139694213867
21904,-2.9707829793294
21903,-1.84712829589841
21902,-1.34810994466144
21901,-2.24485880533852
21900,-2.52060801188149
21899,-2.08584187825519
21898,-1.6604064941406
21897,-1.68469340006508
21896,-1.58605550130206
21895,-2.28352203369138
21894,-2.36097819010414
21893,-2.43811899820961
21892,-1.44013824462888
21891,-0.891546630859352
21890,-1.40801595052081
21889,-1.64999999999998
21888,-1.12730509440102
21887,-1.23547465006508
21886,-1.1717819213867
21885,-1.25280863444008
21884,-1.41003774007159
21883,-1.5987838745117
21882,-1.47476806640623
21881,-2.04271036783852
21880,-1.81128794352211
21879,-2.45747477213539
21878,-2.20724589029946
21877,-2.28993072509763
21876,-1.60210266113279
21875,-2.18723144531248
21874,-2.13265075683591
21873,-1.85812479654946
21872,-1.6346979777018
21871,-2.1156295776367
21870,-2.22709248860675
21869,-2.18393046061196
21868,-2.20142974853513
21867,-2.10368448893227
21866,-2.86028137207029
21865,-3.1165349324544
21864,-1.3853337605794
21863,-2.21210327148435
21862,-1.90177764892576
21861,-1.88969777425128
21860,-1.96707255045571
21859,-1.78536326090493
21858,-1.4889943440755
21857,-1.90465138753253
21856,-1.99969584147133
21855,-2.03079325358071
21854,-2.52853240966795
21853,-2.36631622314451
21852,-3.42178446451821
21851,-2.62265879313149
21850,-2.11936035156248
21849,-1.48792877197263
21848,-1.14952697753904
21847,-1.61654510498045
21846,-2.59899241129555
21845,-2.76107126871743
21844,-1.58539683024086
21843,-1.2716862996419
21842,-2.05209452311196
21841,-2.39605560302732
21840,-2.41539103190102
21839,-1.94196166992185
21838,-1.61449534098305
21837,-1.41079813639321
21836,-2.27004343668618
21835,-1.75475921630857
21834,-2.2273747762044
21833,-1.59949849446612
21832,-1.93100840250649
21831,-1.02728373209633
21830,-1.44540506998696
21829,-2.1001266479492
21828,-2.30132141113279
21827,-1.81378529866534
21826,-1.63738606770831
21825,-1.46361897786456
21824,-1.25617065429685
21823,-2.0225407918294
21822,-1.63387654622394
21821,-0.803973897298154
21820,-2.06911824544269
21819,-1.74806315104164
21818,-1.45020395914711
21817,-1.0343816121419
21816,-1.53999176025388
21815,-1.09386291503904
21814,-1.26707814534503
21813,-1.50123952229815
21812,-1.71244659423826
21811,-1.79317321777341
21810,-1.59259643554685
21809,-1.82647806803383
21808,-0.684993489583311
21807,-1.39304453531899
21806,-1.71642913818357
21805,-1.55817006429034
21804,-2.10360310872394
21803,-2.538432820638
21802,-2.46610361735024
21801,-4.24816487630206
21800,-2.85662434895831
