"Summer months (April to September) of hydrological
 years [yr BP]","Average summer mean temperature [degree C]"
21998,-1.16566569010414
21997,-0.0430562337239356
21996,-0.378373209635394
21995,-0.0110992431640398
21994,-0.29680480957029
21993,-0.674159749348936
21992,-0.238765462239561
21991,-0.0353352864583106
21990,-0.158697509765602
21989,0.121031697591169
21988,-0.139735921223936
21987,-0.161840820312477
21986,-0.399633789062477
21985,-0.289856974283831
21984,-0.284709676106748
21983,0.173877970377627
21982,0.0711252848307519
21981,0.477329508463564
21980,1.01286722819013
21979,-0.159938557942686
21978,0.574126180013044
21977,-0.259659830729144
21976,0.178409830729189
21975,0.251529947916689
21974,0.138960774739606
21973,0.0933369954427311
21972,0.0809163411458561
21971,-0.557246907552061
21970,-0.839371744791644
21969,-0.45067443847654
21968,0.165388997395856
21967,-0.636826578776019
21966,-0.619843546549456
21965,-0.629827880859352
21964,-0.706055704752581
21963,-0.509135945637998
21962,-1.05132649739581
21961,-0.0640574137369564
21960,-0.787664794921852
21959,-0.362224324544248
21958,-0.282781982421852
21957,-0.260860188802061
21956,0.253340657552106
21955,-0.237799072265602
21954,-0.353674316406227
21953,0.190637207031273
21952,0.0710184733073144
21951,-0.0812947591145606
21950,-0.0707153320312273
21949,0.0162292480468977
21948,-0.43675842285154
21947,-0.0968434651692481
21946,-0.239619954427061
21945,-0.633088175455706
21944,-0.744757080078102
21943,-0.449260457356748
21942,-0.250351969401019
21941,0.0161020914713769
21940,-0.268759155273415
21939,-0.636928304036436
21938,-0.688304646809873
21937,-0.876857503255186
21936,-0.0754455566406023
21935,-0.45891418457029
21934,-0.213028971354144
21933,0.725971476237002
21932,0.17554626464846
21931,-0.572856648762998
21930,-0.0290588378906023
21929,-0.67265930175779
21928,-0.127213541666644
21927,-0.550049845377581
21926,-0.12737121582029
21925,0.632155354817731
21924,-0.228801472981748
21923,-0.243526204427061
21922,-0.429810587565081
21921,-0.250748697916644
21920,-0.0315561930338314
21919,-0.503846232096331
21918,-0.521632893880186
21917,0.257613118489606
21916,-0.377767944335915
21915,-0.309464518229144
21914,0.106993611653669
21913,-0.546392822265602
21912,0.166279093424502
21911,0.266468302408877
21910,-0.199708048502581
21909,-0.256323242187477
21908,-0.838868204752581
21907,0.193388875325544
21906,-0.981665039062477
21905,0.0225107828776269
21904,-1.10281473795571
21903,-0.554403686523415
21902,0.144036865234398
21901,-0.661779785156227
21900,-0.947653198242165
21899,-0.515102132161436
21898,-0.194896443684873
21897,-0.144771321614561
21896,0.385074869791689
21895,-0.423076375325498
21894,-0.583832804361956
21893,-0.526129150390602
21892,-0.0508280436197689
21891,0.277505493164085
21890,-0.346411132812477
21889,-0.272945149739561
21888,-0.0777242024739356
21887,-0.0484680175781023
21886,0.106835937500023
21885,0.18000183105471
21884,-0.0448669433593523
21883,-0.437470499674456
21882,0.436893717447939
21881,-0.415284220377581
21880,-0.318558756510394
21879,0.115309651692731
21878,-0.348903401692686
21877,-0.89604797363279
21876,-0.233419799804665
21875,-0.0336771647135189
21874,-0.162827555338519
21873,-0.352885945637998
21872,-0.376786295572894
21871,-0.570949300130186
21870,-0.61748352050779
21869,-0.0625061035156023
21868,-0.0862030029296648
21867,-0.588975016276019
21866,-0.898321533203102
21865,-0.628108723958311
21864,0.0379374186198144
21863,-0.487977091471331
21862,-0.33080139160154
21861,-0.0140543619791439
21860,0.159254964192731
21859,-0.0473185221353939
21858,-0.0112009684244564
21857,-0.379248046874977
21856,-0.361552937825498
21855,-0.15154113769529
21854,-0.693197631835915
21853,-0.595226033528623
21852,-1.43809611002602
21851,-0.152370198567686
21850,-0.202190144856748
21849,-0.162354532877581
21848,-0.16826477050779
21847,-0.418992106119769
21846,-0.718644205729144
21845,-0.895539347330706
21844,-0.276536051432269
21843,0.0480489095052311
21842,-0.386246744791644
21841,-0.0222737630208106
21840,-0.654648844401019
21839,-0.54973449707029
21838,-0.404999796549456
21837,-0.143672688802061
21836,-0.718410237630186
