"Winter months (October to March) of hydrological
 years [yr BP]","Average winter mean temperature [degree C]"
21998,-3.40403849283852
21997,-4.58088785807289
21996,-2.94747009277341
21995,-4.36800231933591
21994,-1.73022054036456
21993,-4.25510253906248
21992,-3.35162963867185
21991,-2.78750203450519
21990,-3.4082092285156
21989,-2.71170145670571
21988,-3.16785786946612
21987,-3.70902099609373
21986,-3.94704793294269
21985,-3.32687988281248
21984,-4.05596008300779
21983,-2.63672993977862
21982,-1.97559712727862
21981,-3.47304890950519
21980,-1.64053446451821
21979,-2.23515930175779
21978,-2.70236307779946
21977,-2.57061869303383
21976,-2.04210510253904
21975,-3.3881642659505
21974,-2.71582132975258
21973,-2.55699768066404
21972,-2.71292724609373
21971,-3.63301188151039
21970,-4.09592285156248
21969,-5.59752502441404
21968,-3.84391886393227
21967,-3.82377217610675
21966,-2.58594868977862
21965,-5.22966105143227
21964,-3.9565490722656
21963,-4.20605061848956
21962,-4.47418314615883
21961,-3.8947814941406
21960,-4.101665242513
21959,-3.28635253906248
21958,-4.06603597005206
21957,-2.69485066731769
21956,-2.35814005533852
21955,-3.12401936848956
21954,-2.76095174153644
21953,-2.37295125325519
21952,-1.9189514160156
21951,-2.39433898925779
21950,-3.85492045084633
21949,-3.85574951171873
21948,-2.49199015299477
21947,-3.43374735514321
21946,-2.82704264322914
21945,-4.31297403971352
21944,-4.60419311523435
21943,-3.78519795735675
21942,-3.58181355794269
21941,-3.95861409505206
21940,-3.637309773763
21939,-4.33016052246091
21938,-3.4787404378255
21937,-4.6740783691406
21936,-2.95614725748696
21935,-3.56912333170571
21934,-4.25844421386716
21933,-1.65414530436196
21932,-4.74202575683591
21931,-4.05529886881508
21930,-1.89590555826821
21929,-3.03513183593748
21928,-3.75090637207029
21927,-3.64274190266925
21926,-3.0441701253255
21925,-2.58452453613279
21924,-3.58437703450519
21923,-2.84732666015623
21922,-3.98992004394529
21921,-4.51727396647133
21920,-1.59129435221352
21919,-2.924907430013
21918,-3.34662984212237
21917,-3.94378255208331
21916,-3.96254069010414
21915,-3.68790283203123
21914,-2.41159159342446
21913,-3.13158264160154
21912,-2.32418416341144
21911,-2.69222106933591
21910,-3.33589782714841
21909,-3.16135253906248
21908,-4.10480855305987
21907,-4.10368957519529
21906,-4.33709818522133
21905,-4.42890014648435
21904,-4.25785420735675
21903,-3.73322143554685
21902,-2.88610941569008
21901,-3.63967997233071
21900,-3.44619344075519
21899,-3.96635538736977
21898,-3.84906107584633
21897,-3.30821329752602
21896,-3.02801106770831
21895,-3.91237487792966
21894,-4.18742472330727
21893,-4.84278971354164
21892,-2.92963765462237
21891,-2.29125061035154
21890,-2.00868835449216
21889,-3.07001342773435
21888,-2.34528198242185
21887,-2.32012532552081
21886,-2.38215738932289
21885,-3.17625528971352
21884,-2.2634338378906
21883,-3.00924784342446
21882,-3.01668395996091
21881,-3.24373474121091
21880,-3.38964436848956
21879,-4.52029012044269
21878,-5.21623840332029
21877,-3.43512064615883
21876,-2.71444295247394
21875,-3.98652242024737
21874,-4.519145711263
21873,-3.87104899088539
21872,-2.38967997233071
21871,-4.04573160807289
21870,-2.97290140787758
21869,-4.75966491699216
21868,-4.45605061848956
21867,-3.57476908365883
21866,-4.48972167968748
21865,-6.11260579427081
21864,-2.72941691080727
21863,-4.17857462565102
21862,-3.177592976888
21861,-3.77305704752602
21860,-4.21025187174477
21859,-3.38136393229164
21858,-3.49072367350258
21857,-2.82104593912758
21856,-3.28655598958331
21855,-4.67064514160154
21854,-3.53997395833331
21853,-4.32863464355466
21852,-4.76917622884112
21851,-5.94516092936196
21850,-3.75735066731769
21849,-3.54201354980466
21848,-2.07833964029946
21847,-2.64106343587237
21846,-4.40156656901039
21845,-4.90780232747394
21844,-2.75477701822914
21843,-2.68827921549477
21842,-3.8546203613281
21841,-3.63838297526039
21840,-5.14200439453123
21839,-3.21527201334633
21838,-3.18947957356769
21837,-2.05673319498696
21836,-3.91332092285154
21835,-3.19131571451821
21834,-3.70510965983071
21833,-3.74199015299477
21832,-3.25940043131508
21831,-3.11773783365883
21830,-2.53587443033852
21829,-4.16720682779946
21828,-4.88374938964841
21827,-2.85928955078123
21826,-4.03664245605466
21825,-2.10920308430987
21824,-2.84095865885414
21823,-3.33498738606769
21822,-3.80011596679685
21821,-2.07004394531248
21820,-3.41300557454425
21819,-3.08636576334633
21818,-3.60329793294269
21817,-2.83194580078123
21816,-2.27993876139321
21815,-3.27121073404946
21814,-2.23302307128904
21813,-2.48276367187498
21812,-2.82207336425779
21811,-3.91147460937498
21810,-2.81620890299477
21809,-3.132915242513
21808,-2.27213134765623
21807,-2.01894226074216
21806,-2.91299031575519
21805,-3.27847391764321
21804,-3.76818949381508
21803,-4.61495056152341
21802,-3.9454406738281
21801,-6.65733439127602
21800,-5.24684244791664
21799,-5.28149515787758
21798,-4.31826883951821
21797,-4.05243530273435
21796,-3.69394531249998
21795,-4.68720601399737
21794,-4.86922810872394
21793,-5.79552307128904
21792,-3.50973103841144
21791,-5.90850423177081
21790,-5.59168599446612
21789,-5.50462951660154
21788,-4.86363830566404
21787,-2.58495686848956
21786,-3.41514689127602
21785,-2.76623636881508
21784,-2.98277384440102
21783,-3.65773620605466
21782,-2.24678141276039
21781,-2.6733205159505
21780,-2.33685913085935
21779,-3.24496561686196
21778,-2.17823893229164
21777,-2.7981018066406
21776,-2.35446777343748
21775,-2.65361124674477
21774,-2.66954142252602
21773,-3.02650044759112
21772,-2.85090738932289
21771,-4.20549621582029
21770,-3.82278544108071
21769,-3.94945373535154
21768,-4.35680745442706
21767,-4.70722045898435
21766,-1.74847005208331
21765,-1.56705830891925
21764,-3.40841267903644
21763,-2.46746927897133
21762,-3.61996053059894
21761,-2.09281514485675
21760,-3.49850056966144
21759,-1.96914774576821
21758,-1.65338236490883
21757,-4.44734293619789
21756,-3.54717102050779
21755,-3.21182352701821
21754,-4.61912638346352
21753,-3.71001281738279
