"Winter months (December-January-February) of each years [yr BP]","Average winter mean temperature [degree C]"
21998,-19.1101643880208
21997,-18.7835805257161
21996,-8.98959960937498
21995,-11.4493469238281
21994,-12.7673553466797
21993,-9.82309570312498
21992,-12.3710795084635
21991,-9.65380452473956
21990,-9.99187825520831
21989,-13.0182810465495
21988,-9.05590413411456
21987,-10.4725504557291
21986,-9.68879801432289
21985,-15.7987426757812
21984,-13.9038401285807
21983,-8.8761047363281
21982,-9.71351725260414
21981,-9.78043212890623
21980,-11.8967549641927
21979,-10.736181640625
21978,-6.82660522460935
21977,-12.257432047526
21976,-10.2734639485677
21975,-6.7547668457031
21974,-8.63203531901039
21973,-10.4824890136719
21972,-14.7338419596354
21971,-6.80165201822914
21970,-12.687358601888
21969,-10.8990844726562
21968,-14.4234985351562
21967,-7.81526285807289
21966,-8.63142496744789
21965,-13.0216430664062
21964,-8.29078776041664
21963,-9.40720214843748
21962,-13.1081197102864
21961,-11.0313273111979
21960,-18.08310546875
21959,-14.1733662923177
21958,-8.46266276041664
21957,-8.47416788736977
21956,-9.09091796874998
21955,-7.34757080078123
21954,-11.8509938557942
21953,-9.0570129394531
21952,-13.4390167236328
21951,-13.4336558024088
21950,-8.59262695312498
21949,-13.4333048502604
21948,-9.33224080403644
21947,-9.19735310872394
21946,-11.3910278320312
21945,-9.55533447265623
21944,-6.19156494140623
21943,-15.1674763997396
21942,-9.12947184244789
21941,-17.8122111002604
21940,-10.0933288574219
21939,-9.70187988281248
21938,-9.27815348307289
21937,-12.678081258138
21936,-18.2567250569661
21935,-12.7763987223307
21934,-5.28665771484373
21933,-8.20194091796873
21932,-10.4282084147135
21931,-11.0824035644531
21930,-8.17064005533852
21929,-11.1151794433594
21928,-9.36556599934894
21927,-12.2488616943359
21926,-9.13532104492185
21925,-9.7481750488281
21924,-10.0808471679687
21923,-9.7266906738281
21922,-16.1003122965495
21921,-9.91222737630206
21920,-11.7138885498047
21919,-7.42049763997394
21918,-8.37098795572914
21917,-10.3383036295573
21916,-9.17759806315102
21915,-10.9280253092448
21914,-12.2208618164062
21913,-14.7996378580729
21912,-12.0016133626302
21911,-10.0519470214844
21910,-12.3375305175781
21909,-8.77993367513019
21908,-10.5565348307291
21907,-6.22033284505206
21906,-10.5363321940104
21905,-9.41670328776039
21904,-12.0655883789062
21903,-13.7448994954427
21902,-8.49785970052081
21901,-8.68155517578123
21900,-15.0202697753906
21899,-8.15374348958331
21898,-20.1383524576823
21897,-7.84666544596352
21896,-9.45841064453123
21895,-9.94916381835935
21894,-8.15642903645831
21893,-8.51220296223956
21892,-23.5653035481771
21891,-9.33527221679685
21890,-18.0382090250651
21889,-8.08989054361977
21888,-23.838980102539
21887,-11.7695475260416
21886,-8.24476725260414
21885,-7.19700724283852
21884,-9.42210489908852
21883,-10.1381083170573
21882,-18.9906575520833
21881,-10.5728922526041
21880,-8.72387288411456
21879,-11.8800720214844
21878,-9.01126708984373
21877,-9.87503662109373
21876,-8.47833862304685
21875,-15.9633646647135
21874,-21.3670918782552
21873,-16.243505859375
21872,-12.6869160970052
21871,-8.64861653645831
21870,-10.2534240722656
21869,-19.7501739501953
21868,-8.55660603841144
21867,-8.19745483398435
21866,-9.35336914062498
21865,-10.023057047526
21864,-8.65360107421873
21863,-9.83333943684894
21862,-9.6298889160156
21861,-7.30883382161456
21860,-13.5537679036458
21859,-8.59291178385414
21858,-8.84184366861977
21857,-11.0277872721354
21856,-15.8014892578125
21855,-7.71097412109373
21854,-8.41778157552081
21853,-13.9142873128255
21852,-7.71837972005206
21851,-8.77470499674477
21850,-9.88458862304685
21849,-11.2699137369791
21848,-7.64952189127602
21847,-16.9409851074219
21846,-14.695893351237
21845,-7.53058471679685
21844,-14.5806386311849
21843,-11.7006998697916
21842,-21.3923909505208
21841,-9.97590738932289
21840,-12.3117635091146
21839,-19.1793782552083
21838,-11.8420572916666
21837,-6.63071289062498
21836,-9.88760986328123
21835,-10.3660542805989
21834,-8.72324218749998
21833,-8.57876180013019
21832,-9.29947509765623
21831,-9.00754394531248
21830,-6.64419148763019
21829,-11.8519653320312
21828,-8.61473185221352
21827,-13.955425008138
21826,-8.88065185546873
21825,-9.10249430338539
21824,-8.71641642252602
21823,-10.5274312337239
