"Summer months (Jule-July-August) of each years [yr BP]","Average summer mean temperature [degree C]"
21999,-0.959407552083311
21998,-1.19242960611977
21997,-0.245428466796852
21996,-0.887670898437477
21995,-1.16322428385414
21994,-0.566951497395811
21993,-0.652655029296852
21992,-1.0483459472656
21991,-1.97493082682289
21990,-1.17202351888019
21989,-1.15213623046873
21988,-2.00327148437498
21987,-1.0172180175781
21986,-1.01295572916664
21985,-0.502162679036436
21984,-1.06035970052081
21983,-1.57808024088539
21982,-0.393387858072894
21981,-0.362290445963519
21980,-0.548722330729144
21979,-0.345658365885394
21978,-1.18763834635414
21977,-1.75132853190102
21976,-0.735113525390602
21975,0.0529724121093977
21974,-1.49812418619789
21973,-0.300756835937477
21972,-0.426885986328102
21971,-0.0798400878906023
21970,-0.495947265624977
21969,-0.352901204427061
21968,-0.702419026692686
21967,-0.362361653645811
21966,-0.931199137369769
21965,-1.99044392903644
21964,-1.15587972005206
21963,-0.390071614583311
21962,-0.259710693359352
21961,-0.689255777994769
21960,0.334049479166689
21959,-1.10074462890623
21958,-0.647385660807269
21957,-0.543819173177061
21956,-0.676316324869769
21955,-0.509751383463519
21954,-1.14527994791664
21953,-2.49366861979164
21952,-0.418005371093727
21951,-0.856848144531227
21950,0.187961832682314
21949,-0.687180582682269
21948,-0.556717936197894
21947,-0.975927734374977
21946,-0.269954427083311
21945,-0.284053548177061
21944,-0.199987792968727
21943,-0.625016276041644
21942,-0.629095458984352
21941,-0.309973144531227
21940,-0.359818522135394
21939,-0.493811035156227
21938,0.175968424479189
21937,-0.693162027994769
21936,-0.258469645182269
21935,-0.502325439453102
21934,-0.439113362630186
21933,-0.703080240885394
21932,-0.459417724609352
21931,-0.587499999999977
21930,0.156396484375023
21929,-0.634710693359352
21928,-0.455257161458311
21927,-0.541092936197894
21926,-0.420406087239561
21925,-0.322312418619769
21924,-0.704412841796852
21923,-1.07262776692706
21922,-1.31398111979164
21921,-0.384273274739561
21920,-1.63715209960935
21919,-0.527237955729144
21918,-0.683996582031227
21917,-0.791092936197894
21916,-0.643164062499977
21915,-1.10515950520831
21914,-0.0753438313801856
21913,-1.14163818359373
21912,-0.645686848958311
21911,-0.318996175130186
21910,-0.363378906249977
21909,-0.358017985026019
21908,-0.620723470052061
21907,-0.249395751953102
21906,-1.00646565755206
21905,-0.401800537109352
21904,-0.416072591145811
21903,-0.965592447916644
21902,-1.74222412109373
21901,-1.59978841145831
21900,-1.46025187174477
21899,-0.816432698567686
21898,-1.38014322916664
21897,-0.781896972656227
21896,-0.0511128743489356
21895,-0.252945963541644
21894,-0.431463623046852
21893,-0.535213216145811
21892,-2.06449991861977
21891,-1.01188761393227
21890,-1.48287556966144
21889,-1.97286580403644
21888,-1.85887247721352
21887,-2.49136962890623
21886,-1.25588582356769
21885,-0.491084798177061
21884,-0.996649169921852
21883,-0.807450358072894
21882,-1.56232299804685
21881,-0.771002197265602
21880,-1.10737711588539
21879,-1.56586303710935
21878,-0.766729736328102
21877,-0.548600260416644
21876,-0.510270182291644
21875,-1.43426106770831
21874,-0.980291748046852
21873,-1.16240030924477
21872,-0.265834554036436
21871,-0.475032552083311
21870,-0.270045979817686
21869,-0.947129313151019
21868,-0.866929117838519
21867,-1.16391601562498
21866,-0.575486246744769
21865,-1.21797281901039
21864,-1.56452026367185
21863,-0.475073242187477
21862,-0.636358642578102
21861,-0.872412109374977
21860,-1.73876546223956
21859,-0.887620035807269
21858,-0.472804768880186
21857,-1.04609781901039
21856,-1.29723714192706
21855,-1.24188842773435
21854,-1.07883300781248
21853,-0.523321533203102
21852,-0.383530680338519
21851,-0.804327392578102
21850,0.0708150227864811
21849,-0.729630533854144
21848,-0.198451741536436
21847,-0.746537272135394
21846,-1.19249064127602
21845,-0.747534179687477
21844,-1.07168172200519
21843,-0.324733479817686
21842,-0.845851643880186
21841,-0.725876871744769
21840,-0.359431966145811
21839,-0.646724446614561
21838,-0.770147705078102
21837,-1.42065022786456
21836,-0.968725585937477
21835,-0.552811686197894
21834,-0.254197184244769
21833,-0.0209513346353939
21832,-0.334102376302061
21831,-0.469610595703102
21830,-0.694830322265602
21829,-1.27121582031248
21828,-0.642930094401019
21827,-0.393469238281227
21826,-0.797684733072894
21825,-0.547237141927061
21824,-0.545477294921852
21823,-0.140814208984352
21822,-1.06146850585935
21821,-1.26193847656248
21820,-0.617620849609352
21819,-1.35531209309894
21818,-0.434434000651019
21817,-0.494441731770811
21816,-1.21710815429685
21815,-0.334336344401019
21814,-0.690232340494769
21813,-0.600398763020811
21812,-1.17459716796873
21811,-1.75873413085935
21810,-0.729193115234352
21809,-0.739965820312477
21808,-1.03309733072914
21807,-1.0078186035156
21806,-1.22261149088539
21805,-1.64397786458331
21804,-1.31944376627602
21803,-0.806840006510394
21802,-0.266709391276019
21801,-0.992091878255186
21800,-0.583573404947894
21799,-0.401861572265602
21798,-0.475988769531227
21797,-1.54026896158852
21796,-0.255539957682269
21795,-0.478226725260394
21794,-0.541387939453102
21793,-0.230057779947894
21792,-0.113958740234352
21791,-1.02776692708331
21790,-0.377864583333311
21789,-0.175919596354144
21788,-0.208858235677061
21787,-1.02769571940102
21786,-0.776770019531227
21785,-0.847031656901019
21784,-0.744360351562477
21783,-1.07401123046873
21782,-1.05899658203123
21781,-0.565791829427061
21780,-0.948024495442686
21779,-1.86714274088539
21778,-1.1975158691406
21777,-0.595576985677061
21776,-1.4245666503906
21775,-0.412715657552061
21774,0.0112650553385644
21773,0.0707845052083561
21772,-0.307704671223936
21771,-0.363734944661436
21770,-0.628444417317686
21769,-0.950699869791644
21768,-0.764288330078102
21767,-2.14462890624998
21766,-1.08112182617185
21765,-0.941910807291644
21764,-0.806168619791644
21763,-1.13650105794269
21762,-1.60116170247394
21761,-1.76923217773435
21760,-0.269323730468727
21759,-0.475622558593727
21758,-0.233780924479144
21757,-0.420517985026019
21756,-0.596655273437477
21755,-0.831091308593727
21754,-0.783626302083311
21753,-0.762314860026019
21752,-0.225032552083311
21751,-1.09089762369789
21750,-0.353043619791644
21749,-0.799658203124977
21748,-0.486476643880186
21747,-0.804307047526019
21746,-0.428920491536436
21745,-1.38797607421873
21744,-0.229935709635394
21743,-0.764135742187477
21742,-0.322922770182269
21741,-0.484075927734352
21740,-0.584061686197894
21739,-0.576940917968727
21738,-0.697637939453102
