"Calendar years [yr BP]","Average yearly mean temperature [degree C]"
21999,-6.43525797526039
21998,-10.4555750528971
21997,-7.51079788208006
21996,-5.07856089274086
21995,-5.92393213907875
21994,-4.02046813964841
21993,-5.04379628499347
21992,-6.01972554524737
21991,-5.26527506510414
21990,-6.55048472086586
21989,-8.03247172037758
21988,-5.31146087646482
21987,-5.20765533447263
21986,-5.80955352783201
21985,-6.46447855631508
21984,-5.97267125447589
21983,-4.9703430175781
21982,-4.28777923583982
21981,-5.27759908040362
21980,-5.4452448527018
21979,-4.69495747884112
21978,-5.09901275634763
21977,-5.40622558593748
21976,-4.65092061360675
21975,-3.442729695638
21974,-4.91397196451821
21973,-5.2721237182617
21972,-5.49932708740232
21971,-4.43427378336586
21970,-6.04725748697914
21969,-6.16378377278644
21968,-5.09571940104164
21967,-4.65076548258461
21966,-6.17580897013344
21965,-6.97323201497394
21964,-5.02866465250649
21963,-4.762553914388
21962,-5.36227264404295
21961,-6.18417714436847
21960,-5.77664794921873
21959,-6.99030659993487
21958,-5.66295979817706
21957,-4.15918070475258
21956,-4.43719584147133
21955,-4.235698445638
21954,-6.26281967163084
21953,-5.74626261393227
21952,-6.85239512125649
21951,-4.95004882812498
21950,-5.0488571166992
21949,-4.85685068766274
21948,-5.09152832031248
21947,-4.68463745117185
21946,-4.60847066243487
21945,-4.39511464436847
21944,-4.06300710042315
21943,-7.17740732828774
21942,-3.9828170776367
21941,-7.23065032958982
21940,-4.30692138671873
21939,-4.90306447347003
21938,-4.85926793416339
21937,-5.34643402099607
21936,-6.21495793660479
21935,-5.34938023885089
21934,-2.72068888346352
21933,-5.05114339192706
21932,-4.31426849365232
21931,-6.28891601562498
21930,-3.86503448486326
21929,-5.28159179687498
21928,-5.55656789143878
21927,-5.08297449747719
21926,-4.73774566650388
21925,-5.35913441975909
21924,-4.28280487060545
21923,-5.44774729410805
21922,-8.02924575805662
21921,-4.88107401529946
21920,-7.18983179728188
21919,-4.52328084309894
21918,-4.54996846516925
21917,-5.40028228759763
21916,-4.78910675048826
21915,-4.89635060628253
21914,-5.33678029378253
21913,-6.19385121663409
21912,-5.13471323649086
21911,-5.56356913248696
21910,-5.19686228434243
21909,-4.20837504069008
21908,-4.79345550537107
21907,-3.98731842041013
21906,-5.4088195800781
21905,-4.42372233072914
21904,-5.61283721923826
21903,-5.92142333984373
21902,-5.44675547281899
21901,-5.15541178385414
21900,-7.1718073527018
21899,-4.17643076578774
21898,-6.40812530517576
21897,-5.87156524658201
21896,-4.23049011230466
21895,-3.51276245117185
21894,-4.3941228230794
21893,-6.0626281738281
21892,-9.05303802490232
21891,-6.31850789388019
21890,-7.78892745971677
21889,-6.21068674723305
21888,-10.3779307047526
21887,-6.98410644531248
21886,-4.11983337402341
21885,-4.42252451578774
21884,-5.31024780273435
21883,-6.40277709960935
21882,-9.40996017456052
21881,-4.73954111735024
21880,-5.58448893229164
