"Winter months (December-January-February) of each years [yr BP]","Average winter mean temperature [degree C]"
21998,-16.7694051106771
21997,-16.3889322916666
21996,-7.41568603515623
21995,-9.58539428710935
21994,-10.2085530598958
21993,-8.54502970377602
21992,-10.247412109375
21991,-7.24045410156248
21990,-9.25956827799477
21989,-10.9939229329427
21988,-8.37914632161456
21987,-10.0966451009114
21986,-8.9653381347656
21985,-12.6905985514323
21984,-11.9718943277995
21983,-8.07658487955727
21982,-8.90624593098956
21981,-9.60251464843748
21980,-9.31296386718748
21979,-9.69856363932289
21978,-6.74226481119789
21977,-10.6908833821614
21976,-8.5394348144531
21975,-6.5639709472656
21974,-7.32009480794269
21973,-8.80981038411456
21972,-11.940049235026
21971,-5.81149902343748
21970,-9.62419230143227
21969,-9.38893229166664
21968,-10.7781026204427
21967,-7.25523478190102
21966,-7.56086832682289
21965,-10.5368103027344
21964,-7.76501057942706
21963,-8.27729899088539
21962,-11.4988972981771
21961,-9.30350341796873
21960,-13.798935953776
21959,-10.9472208658854
21958,-7.19122924804685
21957,-7.5058654785156
21956,-8.31688028971352
21955,-5.8743957519531
21954,-8.97300821940102
21953,-7.25092163085935
21952,-11.4553487141927
21951,-11.9565592447916
21950,-7.48137003580727
21949,-11.1979227701823
21948,-8.36761067708331
21947,-7.89345906575519
21946,-9.09301350911456
21945,-7.75264078776039
21944,-5.11874999999998
21943,-12.0930236816406
21942,-7.53749186197914
21941,-13.4648701985677
21940,-8.29473470052081
21939,-8.58243408203123
21938,-7.76593627929685
21937,-10.2659362792969
21936,-13.9764007568359
21935,-9.71919352213539
21934,-4.43551228841144
21933,-6.19819742838539
21932,-7.81560872395831
21931,-9.4038146972656
21930,-6.9919494628906
21929,-9.40873819986977
21928,-7.74106445312498
21927,-10.4025634765625
21926,-7.75080973307289
21925,-8.1621154785156
21924,-9.0672668457031
21923,-8.56612752278644
21922,-14.0907145182291
21921,-8.64017333984373
21920,-8.79152018229164
21919,-6.74322102864581
21918,-7.83323771158852
21917,-9.30180460611977
21916,-8.99920247395831
21915,-9.03549804687498
21914,-10.5900634765625
21913,-11.4548400878906
21912,-9.67642822265623
21911,-8.28496907552081
21910,-10.0476542154948
21909,-7.14921671549477
21908,-8.7852844238281
21907,-5.3031066894531
21906,-8.41050821940102
21905,-7.0416320800781
21904,-9.94090372721352
21903,-10.8902954101562
21902,-7.88631795247394
21901,-8.21828816731769
21900,-12.1050170898437
21899,-7.49181722005206
21898,-16.457627360026
21897,-6.2551330566406
21896,-7.69117838541664
21895,-8.07946370442706
21894,-6.70395507812498
21893,-6.85174153645831
21892,-20.2527526855469
21891,-9.34805908203123
21890,-14.9848337809245
21889,-7.7912658691406
21888,-20.6268575032552
21887,-10.381211344401
21886,-7.49150187174477
21885,-6.87334798177081
21884,-8.95684407552081
21883,-9.72117716471352
21882,-16.022319539388
21881,-9.06742960611977
21880,-8.26817423502602
21879,-10.2364461263021
21878,-7.88575846354164
21877,-8.97735188802081
21876,-7.67298990885414
21875,-12.3013061523437
21874,-18.3529673258463
21873,-12.2192342122396
21872,-10.0335042317708
21871,-7.79961751302081
21870,-8.20570475260414
21869,-13.3757741292317
21868,-8.25020955403644
21867,-7.2406066894531
21866,-8.66118977864581
21865,-8.59910685221352
21864,-7.57944335937498
21863,-8.73852132161456
21862,-8.99448242187498
21861,-6.87727457682289
21860,-11.4674947102864
21859,-8.07599487304685
21858,-7.2128967285156
21857,-9.82671712239581
21856,-14.0217244466146
21855,-6.8564514160156
21854,-6.88695882161456
21853,-11.7398132324219
21852,-6.76686197916664
21851,-7.46970214843748
21850,-7.38646036783852
21849,-8.74275309244789
21848,-7.09445800781248
21847,-14.6868245442708
21846,-12.1692006429036
21845,-6.44370117187498
21844,-11.2752136230469
21843,-10.4167744954427
21842,-19.0479949951172
21841,-9.09012451171873
21840,-10.0630045572916
21839,-14.3595540364583
21838,-10.212021891276
21837,-6.25815429687498
21836,-8.74884643554685
21835,-9.48819580078123
21834,-7.43776041666664
21833,-6.80333048502602
21832,-6.92852376302081
21831,-7.34060262044269
21830,-6.71610107421873
21829,-10.4419921875
21828,-7.09763183593748
21827,-11.5659647623698
21826,-7.75414632161456
21825,-6.30842692057289
21824,-7.54879353841144
21823,-8.81187540690102
21822,-8.46925455729164
21821,-10.9483601888021
21820,-7.65419108072914
21819,-6.34965616861977
21818,-10.0986185709635
21817,-9.58223063151039
21816,-12.5116333007812
21815,-10.5818237304687
21814,-8.86563720703123
21813,-8.77610880533852
21812,-10.8829813639323
21811,-6.11944173177081
21810,-11.0127624511719
21809,-10.3156697591146
21808,-12.397324625651
21807,-11.1921447753906
21806,-7.75077921549477
21805,-8.44457600911456
21804,-11.6781575520833
21803,-7.87384643554685
21802,-5.79020792643227
21801,-8.18908284505206
21800,-8.32969767252602
21799,-6.45888875325519
21798,-9.05831502278644
21797,-16.771587117513
