"Summer months (Jule-July-August) of each years [yr BP]","Average summer mean temperature [degree C]"
21999,-1.32090861002602
21998,-1.62294108072914
21997,-0.519984944661436
21996,-1.19447428385414
21995,-1.67177937825519
21994,-1.01422729492185
21993,-1.05147908528644
21992,-1.53382975260414
21991,-2.47885742187498
21990,-1.47406616210935
21989,-1.38136393229164
21988,-2.60009358723956
21987,-1.23391316731769
21986,-1.53437906901039
21985,-0.887599690755186
21984,-1.53436889648435
21983,-2.27007649739581
21982,-0.858496093749977
21981,-0.760616048177061
21980,-1.03360595703123
21979,-0.664038085937477
21978,-1.7542785644531
21977,-2.05453084309894
21976,-1.3093322753906
21975,-0.276363118489561
21974,-1.53836669921873
21973,-0.787451171874977
21972,-0.518204752604144
21971,-0.438513183593727
21970,-0.797237141927061
21969,-0.675024414062477
21968,-1.12574869791664
21967,-0.646419270833311
21966,-1.21907145182289
21965,-2.50912068684894
21964,-1.4758361816406
21963,-0.960933430989561
21962,-0.763555908203102
21961,-1.05920003255206
21960,0.206567382812523
21959,-1.75087076822914
21958,-1.24819539388019
21957,-0.905523681640602
21956,-1.22899983723956
21955,-1.04402262369789
21954,-1.50605875651039
21953,-2.85826212565102
21952,-0.772406005859352
21951,-1.15317382812498
21950,-0.168259684244769
21949,-0.963374837239561
21948,-0.803188069661436
21947,-1.26150105794269
21946,-0.734431966145811
21945,-0.499965413411436
21944,-0.546270751953102
21943,-1.14354044596352
21942,-1.12144571940102
21941,-0.653743489583311
21940,-0.685929361979144
21939,-1.11297200520831
21938,-0.108485921223936
21937,-1.08440755208331
21936,-0.752549235026019
21935,-1.06102091471352
21934,-0.787196858723936
21933,-1.19851277669269
21932,-0.971482340494769
21931,-1.16905314127602
21930,-0.438879394531227
21929,-1.22440185546873
21928,-0.655981445312477
21927,-0.836543782552061
21926,-0.890926106770811
21925,-0.651108805338519
21924,-1.04683024088539
21923,-1.61908569335935
21922,-1.71174723307289
21921,-0.639359537760394
21920,-1.82150878906248
21919,-1.01231486002602
21918,-1.15191243489581
21917,-1.43343709309894
21916,-1.0669006347656
21915,-1.5649475097656
21914,-0.333766682942686
21913,-1.54779663085935
21912,-1.08137613932289
21911,-0.614457194010394
21910,-0.617102050781227
21909,-0.467830403645811
21908,-1.13305257161456
21907,-0.545416259765602
21906,-1.27940470377602
21905,-0.881923421223936
21904,-0.905788167317686
21903,-1.47062784830727
21902,-2.08638102213539
21901,-2.05340169270831
21900,-1.93980509440102
21899,-1.35940144856769
21898,-1.74239705403644
21897,-1.00926310221352
21896,-0.270635986328102
21895,-0.436529541015602
21894,-0.848954264322894
21893,-1.00714721679685
21892,-2.52485758463539
21891,-1.70859374999998
21890,-1.69831949869789
21889,-2.36839396158852
