"Calendar years [yr BP]","Average yearly mean temperature [degree C]"
21999,-5.7061345418294
21998,-9.14931589762367
21997,-6.61052042643227
21996,-4.83045806884763
21995,-5.05935007731118
21994,-3.68880310058591
21993,-4.59820912679034
21992,-5.35644124348956
21991,-5.05617879231769
21990,-6.00728708902993
21989,-6.97909774780271
21988,-5.0150945027669
21987,-4.99213765462237
21986,-5.49359995524086
21985,-5.71371561686196
21984,-5.53611221313474
21983,-4.80465799967446
21982,-4.36250915527341
21981,-5.03884226481118
21980,-4.79434305826821
21979,-4.42867635091144
21978,-4.93739166259763
21977,-5.19269154866534
21976,-4.31727956136065
21975,-3.41767476399737
21974,-4.15555674235024
21973,-4.92131398518878
21972,-4.5025924682617
21971,-3.91433308919269
21970,-5.07058817545571
21969,-5.44317220052081
21968,-4.54450073242185
21967,-4.19059600830076
21966,-5.47412211100258
21965,-6.3026184082031
21964,-4.87371419270831
21963,-4.57416127522784
21962,-4.78191731770831
21961,-5.35502471923826
21960,-4.75517374674477
21959,-6.29065297444659
21958,-5.02821451822914
21957,-3.8705378214518
21956,-4.3435602823893
21955,-3.93703053792315
21954,-5.220317586263
21953,-5.2674850463867
21952,-6.38984781901039
21951,-4.7688786824544
21950,-4.40733693440753
21949,-4.34853719075519
21948,-4.87771962483722
21947,-4.02217712402341
21946,-4.08037160237628
21945,-3.69568990071612
21944,-3.30789540608722
21943,-6.05124511718748
21942,-3.53896179199216
21941,-6.12567494710284
21940,-4.179790242513
21939,-4.61356964111326
21938,-4.30535736083982
21937,-4.54632670084633
21936,-5.4251884460449
21935,-4.479106648763
21934,-2.4880432128906
21933,-4.51652119954425
21932,-3.8586970011393
21931,-5.60988718668618
21930,-3.65797780354815
21929,-4.81640981038409
21928,-4.89772644042966
21927,-4.61485137939451
21926,-4.19992930094399
21925,-4.8543279012044
21924,-4.04005788167315
21923,-5.03589223225909
21922,-7.1915344238281
21921,-4.42683512369789
21920,-5.76441294352211
21919,-4.46085459391274
21918,-4.45774688720701
21917,-5.17336120605466
21916,-4.40930277506508
21915,-4.51811319986977
21914,-4.79907073974607
21913,-5.33758646647133
21912,-4.46114451090493
21911,-4.72297770182289
21910,-4.48974202473956
21909,-3.70988566080727
21908,-4.43865051269529
21907,-3.5307423909505
21906,-4.43655497233071
21905,-3.6274703979492
21904,-4.69912312825519
21903,-5.54674377441404
21902,-5.10993550618487
21901,-4.93405761718748
21900,-6.36490732828774
21899,-3.79840952555336
21898,-5.66970163981118
21897,-4.64508158365883
21896,-3.66549530029295
21895,-3.06896057128904
21894,-3.89219004313149
21893,-5.05872955322263
21892,-8.56083272298175
21891,-6.44582468668618
21890,-6.70281956990558
21889,-5.99652964274086
21888,-9.07616017659503
21887,-6.42159627278644
21886,-4.15352986653644
21885,-4.22283782958982
21884,-5.06368357340493
21883,-6.09086710611977
21882,-8.37619501749672
21881,-4.61385701497394
21880,-5.36820576985675
21879,-5.1292302449544
21878,-4.97478332519529
21877,-4.1116266886393
21876,-4.24453837076821
21875,-5.67852884928383
21874,-7.85777511596677
21873,-6.22381693522133
21872,-4.29760843912758
21871,-4.21895955403644
21870,-4.22502237955727
21869,-6.49850947062172
21868,-4.1210006713867
21867,-4.83482716878253
21866,-3.9739568074544
21865,-5.08146260579425
21864,-4.56578674316404
21863,-5.24454854329425
21862,-4.61744791666664
21861,-4.3241256713867
21860,-6.74585316975909
21859,-4.4541559855143
21858,-4.53387044270831
21857,-4.70694580078123
21856,-5.91637013753253
21855,-4.17319590250649
21854,-4.33328348795571
21853,-4.8252751668294
21852,-3.52869517008461
21851,-3.86420033772784
21850,-3.6571843465169
21849,-5.14745178222654
21848,-4.88903147379555
21847,-6.29614232381183
21846,-5.01794535319008
21845,-4.33693796793618
21844,-6.14422963460284
21843,-5.6806930541992
21842,-6.97917149861651
21841,-5.23500671386716
21840,-4.3994684855143
21839,-6.73762105305987
21838,-4.61717325846352
21837,-4.91351165771482
21836,-4.71078338623045
21835,-5.48178456624347
21834,-3.1869440714518
21833,-3.50778554280597
21832,-3.97671101888019
21831,-3.60294952392576
21830,-4.69755147298175
21829,-5.33283335367836
21828,-4.91752217610675
21827,-4.7500289916992
21826,-4.47391866048175
21825,-4.53451131184894
21824,-5.17489217122394
21823,-4.28587188720701
21822,-5.12612508138019
21821,-6.11625518798826
21820,-5.40028228759763
21819,-4.57434946695961
21818,-4.51645253499347
21817,-5.41139831542966
21816,-6.10482889811196
21815,-4.84684600830076
21814,-4.35831298828123
21813,-4.87154490152993
21812,-5.47782491048175
21811,-4.59954427083331
21810,-7.71078338623045
21809,-4.45101521809894
21808,-5.59516499837237
21807,-4.9872624715169
21806,-4.95163828531899
21805,-6.5657282511393
21804,-4.55673319498696
21803,-4.53972218831378
21802,-4.22225545247394
21801,-3.82885335286456
21800,-4.36819814046222
21799,-4.04433288574216
21798,-4.7624572753906
21797,-7.29081192016599
21796,-4.67160644531248
21795,-3.8318161010742
21794,-3.89942270914711
21793,-3.35902760823565
21792,-3.44500325520831
21791,-4.6979049682617
21790,-3.92401987711586
21789,-4.54913686116534
21788,-4.91083628336586
21787,-7.13882675170896
21786,-7.44655329386391
21785,-4.97663472493487
21784,-6.24318542480466
21783,-5.12884114583331
21782,-4.41912689208982
21781,-4.53524881998696
21780,-3.88925018310545
21779,-4.40468190511065
21778,-6.73421325683591
21777,-4.15877380371091
21776,-4.54222462972003
21775,-5.6549870808919
21774,-4.75004425048826
21773,-2.91687876383461
21772,-4.83385569254555
21771,-4.48380635579425
21770,-5.10180002848305
21769,-5.84223531087237
21768,-4.4373357137044
21767,-5.67720133463539
21766,-5.7860397338867
21765,-5.79355214436847
21764,-5.42479044596352
21763,-4.63461914062498
21762,-5.64856821695961
21761,-5.99611511230466
21760,-5.41089096069334
21759,-4.32846679687498
21758,-5.07510732014972
21757,-4.50465494791664
21756,-4.28914489746091
21755,-4.8691212972005
21754,-4.37758738199868
21753,-3.62807820638019
21752,-4.13939005533852
21751,-3.90027974446612
21750,-4.48260599772133
21749,-4.66967112223305
21748,-4.44796346028644
21747,-4.56419982910154
21746,-4.8107716878255
21745,-4.23125305175779
21744,-3.58351999918618
21743,-5.41021321614581
21742,-4.55453084309894
21741,-4.1668991088867
21740,-4.2686345418294
21739,-4.21484731038409
21738,-5.74902699788409
21737,-5.3668757120768
21736,-5.19867553710935
21735,-4.8064025878906
21734,-4.74745534261065
21733,-4.51817677815753
21732,-4.84700113932289
21731,-4.80163294474282
21730,-5.85585123697914
21729,-4.45713144938149
21728,-4.87228495279946
21727,-4.02793986002602
21726,-3.68611246744789
21725,-3.90208282470701
21724,-3.35959472656248
21723,-6.22786941528318
21722,-3.50064697265623
21721,-4.61719614664711
21720,-4.23385213216144
21719,-4.24044138590493
21718,-5.13404184977211
21717,-5.25671234130857
21716,-5.09905598958331
21715,-6.7775685628255
21714,-5.36709696451821
21713,-4.93591410319008
21712,-3.91912689208982
21711,-5.62019449869789
21710,-5.93672281901039
21709,-4.68804016113279
21708,-4.23117421468097
21707,-3.8801559448242
21706,-3.69136912027993
21705,-4.56492716471352
21704,-6.39897384643552
21703,-5.21139119466144
21702,-4.79304606119789
21701,-6.82710876464841
21700,-5.22016754150388
21699,-5.62877502441404
21698,-5.5931457519531
21697,-4.95739847819008
21696,-4.17641550699868
21695,-6.1027155558268
21694,-6.921001180013
21693,-5.80943527221677
21692,-5.20921936035154
21691,-6.5797409057617
21690,-7.21618118286131
21689,-4.93081258138019
21688,-5.61684519449868
21687,-4.32661285400388
21686,-5.52272389729815
21685,-4.76027018229164
21684,-4.0793034871419
21683,-5.14187978108722
21682,-5.43972880045571
21681,-3.83001556396482
21680,-3.44634094238279
21679,-4.85067596435545
21678,-5.55274175008136
21677,-5.81481526692706
21676,-6.7639704386393
21675,-4.72177988688149
21674,-4.52630462646482
21673,-4.61155548095701
21672,-5.00214996337888
21671,-5.57736562093097
21670,-4.20443318684894
21669,-3.70079142252602
21668,-7.046551767985
21667,-4.48541361490883
21666,-4.73209228515623
21665,-4.9375798543294
21664,-5.33580373128253
21663,-4.32945353190102
21662,-6.79706039428709
21661,-5.8352340698242
21660,-6.77614568074542
21659,-5.80260314941404
21658,-5.17359517415362
21657,-4.44429880777993
21656,-5.62999064127602
21655,-5.93993733723956
21654,-5.17685038248696
21653,-6.16922353108722
21652,-4.1266413370768
21651,-5.99508260091144
21650,-5.55539042154946
21649,-6.12295888264972
21648,-6.11105957031248
21647,-4.24973398844399
21646,-4.78923136393227
21645,-4.24780629475909
21644,-4.49726206461586
21643,-4.48372497558591
21642,-3.71095377604164
21641,-4.20077107747394
21640,-4.91158396402993
21639,-4.99708658854164
21638,-4.41194763183591
21637,-4.5501032511393
21636,-4.91240539550779
21635,-4.5475397745768
21634,-4.02294006347654
21633,-4.61887969970701
21632,-4.01829884847003
21631,-4.3471969604492
21630,-4.98934275309243
21629,-6.21978352864581
21628,-3.63898569742836
21627,-4.24669494628904
21626,-5.88106638590493
21625,-3.78036600748696
21624,-3.50526275634763
21623,-4.69105885823565
21622,-5.93597640991209
21621,-5.69992930094399
21620,-5.29965311686196
21619,-4.19165140787758
21618,-5.52023162841795
21617,-5.08625386555987
21616,-5.4494435628255
21615,-5.01672719319659
21614,-4.84942728678383
21613,-4.84274139404295
21612,-4.48255513509112
21611,-3.07923736572263
21610,-5.62072219848631
21609,-3.51723581949868
21608,-4.45639648437498
21607,-4.9713678995768
21606,-4.21291707356769
21605,-5.83087259928383
21604,-7.08978500366209
21603,-5.95510203043618
21602,-5.8884084065755
21601,-5.18338623046873
21600,-5.04506530761716
21599,-6.48671442667641
21598,-4.91196543375649
21597,-4.61328481038409
21596,-6.46482696533201
21595,-5.44252370198565
21594,-3.87467803955076
21593,-4.32287445068357
21592,-3.84260660807289
21591,-3.27875620524086
21590,-3.72884979248045
21589,-4.57085266113279
21588,-5.18629302978513
21587,-3.57454020182289
21586,-3.43216552734373
21585,-5.48079401652016
21584,-6.01016337076821
21583,-4.91383972167966
21582,-5.47538604736326
21581,-5.84710795084633
21580,-4.11231333414711
21579,-4.54642333984373
21578,-5.01481475830076
21577,-5.30630086263019
21576,-4.69763031005857
21575,-4.58737030029295
21574,-3.87098795572914
21573,-4.49382375081378
21572,-4.51910756429034
21571,-3.42510579427081
21570,-3.98010609944659
21569,-3.55386708577472
21568,-5.44359690348305
21567,-3.98058166503904
21566,-5.3244435628255
