"Full hydrological years [yr BP]","Average yearly mean temperature [degree C]"
21998,-8.23843739827472
21997,-6.40289408365883
21996,-5.55623474121091
21995,-4.9852355957031
21994,-4.45277760823565
21993,-4.19822540283201
21992,-5.65326538085935
21991,-4.4748596191406
21990,-6.04455159505206
21989,-7.39778620402016
21988,-5.11684010823565
21987,-5.31435496012368
21986,-4.57997741699216
21985,-5.93029886881508
21984,-5.76194483439125
21983,-4.60709991455076
21982,-4.68922271728513
21981,-4.82985788981118
21980,-4.28359578450519
21979,-5.29215087890623
21978,-4.18505961100258
21977,-5.84483439127602
21976,-4.305522664388
21975,-3.43114318847654
21974,-4.11502431233722
21973,-4.40569152832029
21972,-5.14183909098305
21971,-3.78284810384112
21970,-5.05790049235024
21969,-4.9131403605143
21968,-5.03981374104815
21967,-3.99695943196612
21966,-4.98334350585935
21965,-6.5107966105143
21964,-5.18449757893878
21963,-4.65457763671873
21962,-4.9838928222656
21961,-4.57583974202472
21960,-5.35766194661456
21959,-6.26568450927732
21958,-4.96617228190102
21957,-4.19523722330727
21956,-4.10507049560545
21955,-4.15939941406248
21954,-5.03639068603513
21953,-4.73165740966795
21952,-5.64869791666664
21951,-6.09066111246743
21950,-4.34340515136716
21949,-4.83947347005206
21948,-4.62003173828123
21947,-4.11377817789711
21946,-4.01639912923175
21945,-3.90715637207029
21944,-2.98119201660154
21943,-5.73857218424477
21942,-3.66237742106118
21941,-6.28016764322914
21940,-3.88774719238279
21939,-4.69249318440753
21938,-3.90304412841795
21937,-4.87223409016925
21936,-5.75029729207354
21935,-4.80854390462237
21934,-2.61657562255857
21933,-3.7236618041992
21932,-4.44848988850909
21931,-4.48834330240883
21930,-4.46296539306638
21929,-5.14548085530597
21928,-3.85361328124998
21927,-5.39492390950519
21926,-3.99335835774737
21925,-4.3965387980143
21924,-4.65309244791664
21923,-4.91078033447263
21922,-6.40711568196612
21921,-5.4468317667643
21920,-5.60727793375649
21919,-4.46285858154295
21918,-4.35602162679034
21917,-5.14715932210284
21916,-4.59639587402341
21915,-4.28847096761065
21914,-4.76973063151039
21913,-5.69175059000649
21912,-4.42278137207029
21911,-4.57743174235024
21910,-4.98278401692706
21909,-3.49818776448565
21908,-4.39855804443357
21907,-3.47785797119138
21906,-4.49754435221352
21905,-3.61207173665362
21904,-4.58831380208331
21903,-5.16762644449868
21902,-4.97471466064451
21901,-5.20280812581378
21900,-6.1820358276367
21899,-4.36998341878253
21898,-6.10112609863279
21897,-3.7193893432617
21896,-3.94922993977862
21895,-3.51852773030597
21894,-3.66032511393227
21893,-4.5138966878255
21892,-8.48595021565753
21891,-5.97503255208331
21890,-7.65327682495115
21889,-5.11654256184894
21888,-9.53649749755857
21887,-6.63407999674477
21886,-4.30693410237628
21885,-4.0427536010742
21884,-4.72297007242836
21883,-5.78640848795571
21882,-8.50819371541339
21881,-5.07771402994789
21880,-4.79567820231118
21879,-5.65688171386716
21878,-4.94201761881508
21877,-4.50241444905597
21876,-4.13746999104815
21875,-5.59939168294269
21874,-7.72032648722328
21873,-5.93661346435545
21872,-4.84728342692055
21871,-4.07365773518878
21870,-3.85013936360675
21869,-6.34252649943032
21868,-4.76061350504555
21867,-4.24362284342446
21866,-4.62774505615232
21865,-4.62832234700519
21864,-4.97403310139972
21863,-4.88128763834633
21862,-4.59377136230466
21861,-4.32971293131508
21860,-6.30572865804034
21859,-5.3078903198242
21858,-4.28322194417315
21857,-5.05214792887368
21856,-5.9701726277669
21855,-4.0072311401367
21854,-4.28528696695961
21853,-5.17450561523435
21852,-3.63694610595701
21851,-3.67248128255206
21850,-3.82770131429034
21849,-4.37313181559243
21848,-3.90459035237628
21847,-5.93929392496743
21846,-6.57474492390948
21845,-4.26477406819659
21844,-6.12032419840493
21843,-5.28575744628904
21842,-7.3444262186686
21841,-4.88595428466795
21840,-5.03689676920571
21839,-5.60286560058591
21838,-6.0861623128255
21837,-4.49112548828123
21836,-4.86419270833331
21835,-4.74987386067706
21834,-4.04768981933591
21833,-3.49577941894529
21832,-3.69957326253253
21831,-3.93992716471352
21830,-3.8670232137044
21829,-5.86380106608071
21828,-4.37606404622394
21827,-5.53537089029946
21826,-4.51012013753253
21825,-4.45922698974607
21824,-4.27307993570961
21823,-5.20111440022784
21822,-4.59922129313149
21821,-6.03160959879555
21820,-5.48659871419269
21819,-4.62789510091144
21818,-4.98764139811196
21817,-4.80119934082029
21816,-5.80622202555336
21815,-5.546489461263
21814,-4.27285105387368
21813,-4.98285776774086
21812,-5.36476491292315
21811,-4.416362508138
21810,-6.72951100667315
21809,-5.61014404296873
21808,-5.52408701578774
21807,-5.24562937418618
21806,-4.67604675292966
21805,-5.09620005289711
21804,-6.04805094401039
21803,-4.71692250569659
21802,-4.11371714274086
21801,-4.32713165283201
21800,-4.25105133056638
21799,-3.61213785807289
21798,-4.24079742431638
21797,-7.55407943725584
21796,-5.09739532470701
21795,-4.24999847412107
21794,-3.67232360839841
21793,-3.24435017903644
21792,-3.68486124674477
21791,-4.52438456217446
21790,-3.97594807942706
21789,-4.42065531412758
21788,-4.78972473144529
21787,-5.06300201416013
21786,-9.03507843017576
21785,-4.59529724121091
21784,-6.38086802164711
21783,-5.44174296061196
21782,-4.61855163574216
21781,-4.73668772379555
21780,-4.11785481770831
21779,-4.39524180094399
21778,-6.24285736083982
21777,-4.57856089274086
21776,-4.24364064534503
21775,-4.81682179768878
21774,-5.77594858805336
21773,-3.17333831787107
21772,-4.09674173990883
21771,-4.80982309977211
21770,-4.98751678466795
21769,-5.60015970865883
21768,-4.79004262288409
21767,-5.54325205485024
21766,-5.80716807047524
21765,-5.33484751383461
21764,-5.66068115234373
21763,-5.16273854573565
21762,-5.41645660400388
21761,-4.82493438720701
21760,-6.71986363728839
21759,-4.16280466715493
21758,-4.80744527180987
21757,-4.58829345703123
21756,-4.86714274088539
21755,-4.66930236816404
21754,-4.15970204671222
21753,-4.02414296468097
21752,-4.04227294921873
21751,-4.02777964274086
21750,-4.06449991861977
21749,-4.78196055094399
21748,-4.62557830810545
21747,-4.57148081461586
21746,-4.25792541503904
21745,-5.12884623209633
21744,-2.95102539062498
21743,-5.76252593994138
21742,-4.58747965494789
21741,-4.02727864583331
21740,-4.36063232421873
21739,-3.68769938151039
21738,-5.80173339843748
21737,-5.51256408691404
21736,-5.03663482666013
21735,-5.22421620686847
21734,-4.42625783284503
21733,-5.13173268636065
21732,-4.79640553792315
21731,-3.70373636881508
21730,-6.63264185587563
21729,-4.37187805175779
21728,-5.00548400878904
21727,-4.09264475504555
21726,-3.7148981730143
21725,-3.84067637125649
21724,-3.56234334309894
21723,-6.34732284545896
21722,-3.35298767089841
21721,-4.36385447184243
21720,-4.04444478352862
21719,-4.34806925455727
21718,-5.14049123128253
21717,-4.63737335205076
21716,-4.96491088867185
21715,-6.76026255289711
21714,-5.39893697102862
21713,-6.05018971761065
21712,-3.70948130289711
21711,-4.77771860758461
21710,-5.95858103434243
21709,-5.64149831136065
21708,-3.99938049316404
21707,-3.98180491129555
21706,-3.97768758138019
21705,-3.97593027750649
21704,-4.45301157633461
21703,-6.49202702840167
21702,-5.5818669637044
21701,-5.8789861043294
21700,-6.23422342936196
21699,-4.96602986653644
21698,-5.98217875162758
21697,-4.90592041015623
21696,-4.65055948893227
21695,-4.75963439941404
21694,-7.80225474039711
21693,-5.95220158894854
21692,-5.35560709635414
21691,-5.11769714355466
21690,-8.62788619995115
21689,-4.61781158447263
21688,-5.80077209472654
21687,-4.46508382161456
21686,-5.12997792561847
21685,-5.00705820719399
21684,-4.69225413004555
21683,-4.83414306640623
21682,-5.52193806966144
21681,-4.00222880045571
21680,-3.3536437988281
21679,-4.14483235677081
21678,-4.57030843098956
21677,-6.88327763875323
21676,-7.20643208821612
21675,-4.65750478108722
21674,-5.01678568522133
21673,-4.24092966715493
21672,-4.90040690104164
21671,-5.06664123535154
21670,-4.53323465983071
21669,-3.91526896158852
21668,-5.61368026733396
21667,-5.96246185302732
21666,-4.04495849609373
21665,-5.07685445149737
21664,-5.5540832519531
21663,-4.71374104817706
21662,-6.74927495320636
21661,-5.42084604899086
21660,-6.82945988972979
21659,-5.71698608398435
21658,-5.1730534871419
21657,-4.53391876220701
21656,-5.14539947509763
21655,-5.83660736083982
21654,-5.89521382649737
21653,-5.82591094970701
21652,-4.70131022135414
21651,-4.96549835205076
21650,-6.35970662434894
21649,-6.11028900146482
21648,-5.42650960286456
21647,-4.92358754475909
21646,-4.72148234049477
21645,-4.69687245686847
21644,-4.01764017740883
21643,-4.84490814208982
21642,-3.61036275227862
21641,-4.0861623128255
21640,-4.82762502034503
21639,-5.1258605957031
21638,-4.50100046793618
21637,-4.09387308756508
21636,-4.72932027180987
21635,-5.21822204589841
21634,-4.14474334716795
21633,-4.21790669759112
21632,-4.56122945149737
21631,-4.26486307779946
21630,-4.16364898681638
21629,-5.9441716512044
21628,-4.72295227050779
21627,-4.03087972005206
21626,-4.70170186360675
21625,-5.58902333577472
21624,-3.08874359130857
21623,-3.91761372884112
21622,-6.0967455546061
21621,-5.57980448404946
21620,-5.9605036417643
21619,-4.20511220296222
21618,-4.50189310709633
21617,-5.77190246582029
21616,-4.96744384765623
21615,-5.29572906494138
21614,-4.63850250244138
21613,-5.30099843343097
21612,-4.69726918538409
21611,-3.41346842447914
21610,-5.15940068562823
21609,-3.98131408691404
21608,-3.97733154296873
21607,-4.16899719238279
21606,-4.86528625488279
21605,-5.72616678873696
21604,-7.15256220499672
21603,-5.4990041097005
21602,-5.78676198323565
21601,-5.89647013346352
21600,-4.98572642008461
21599,-6.05902837117511
21598,-5.55027872721352
21597,-4.62008768717446
21596,-5.98141326904295
21595,-5.97891591389972
21594,-3.87450256347654
21593,-3.99284210205076
21592,-4.27944030761716
21591,-3.28831329345701
21590,-3.80260314941404
21589,-4.35840199788409
21588,-4.68151957194008
21587,-4.28424682617185
21586,-3.43355407714841
21585,-5.48080927530922
21584,-5.13495229085284
21583,-5.16834615071612
21582,-4.89090830485024
21581,-6.42685801188149
21580,-4.61796671549477
21579,-4.48422851562498
21578,-5.01524709065753
21577,-4.91248423258461
21576,-5.13571523030597
21575,-4.37066497802732
21574,-3.61898905436196
21573,-4.76098734537758
21572,-4.12631327311196
21571,-4.11313476562498
21570,-3.88734792073565
21569,-3.78075256347654
21568,-4.23024342854815
21567,-4.74271748860675
21566,-4.7195114135742
21565,-5.48433787027993
21564,-6.66043319702146
21563,-6.62235361735024
21562,-5.95245717366534
21561,-4.13563385009763
21560,-3.43507741292315
21559,-4.40996907552081
21558,-3.90178527832029
21557,-4.9426076253255
21556,-3.6669982910156
21555,-4.31313680013019
21554,-4.84405110677081
21553,-4.24974161783852
21552,-4.34928995768227
21551,-3.93137969970701
21550,-4.70706787109373
21549,-3.9824279785156
21548,-4.19802958170571
21547,-8.41967239379881
21546,-5.59024149576821
21545,-5.13477300008136
21544,-4.77548573811847
21543,-8.21613922119138
21542,-6.10049031575519
21541,-3.71044006347654
21540,-5.53617197672524
21539,-4.29256795247394
21538,-4.82134094238279
21537,-4.31597747802732
21536,-6.12199249267576
21535,-5.70040232340493
21534,-4.50119374593097
21533,-6.68961944580076
21532,-3.39291229248045
21531,-4.94569244384763
21530,-4.70602518717446
21529,-4.55826670328774
21528,-6.6290458679199
21527,-8.36385447184242
21526,-4.68581237792966
21525,-5.97930755615232
