"Summer months (April to September) of hydrological
 years [yr BP]","Average summer mean temperature [degree C]"
21998,-3.18779602050779
21997,-1.78011169433591
21996,-2.5520080566406
21995,-2.33684387207029
21994,-1.79408874511716
21993,-2.25461425781248
21992,-3.21226603190102
21991,-2.94957071940102
21990,-3.37239176432289
21989,-3.99057617187498
21988,-3.07142740885414
21987,-2.22036336263019
21986,-2.4350646972656
21985,-2.7123830159505
21984,-2.27166849772133
21983,-3.27447611490883
21982,-2.14949645996091
21981,-2.22782999674477
21980,-1.841899617513
21979,-2.46732686360675
21978,-2.83710835774737
21977,-2.93569030761716
21976,-2.17210998535154
21975,-1.39500528971352
21974,-2.09468180338539
21973,-2.15502522786456
21972,-1.39871317545571
21971,-1.649272664388
21970,-1.56675821940102
21969,-2.45221557617185
21968,-2.24954325358071
21967,-1.96705220540362
21966,-2.51276753743487
21965,-3.86574401855466
21964,-2.70377705891925
21963,-2.34389343261716
21962,-1.95052185058591
21961,-2.11329752604164
21960,-1.40902303059894
21959,-3.27562561035154
21958,-2.54488220214841
21957,-1.78409423828123
21956,-2.07646280924477
21955,-2.57409769694008
21954,-2.21168111165362
21953,-3.42496846516925
21952,-1.98859761555987
21951,-2.47379659016925
21950,-2.28783772786456
21949,-1.80090433756508
21948,-2.58565368652341
21947,-2.12524007161456
21946,-1.61936035156248
21945,-1.30017191569008
21944,-1.29170837402341
21943,-1.93112792968748
21942,-1.32050170898435
21941,-3.34090779622394
21940,-1.81112263997394
21939,-2.15821431477862
21938,-1.45806986490883
21937,-2.48701578776039
21936,-1.9957336425781
21935,-1.56167704264321
21934,-1.41939900716144
21933,-2.41183573404946
21932,-2.00381571451821
21931,-1.92019755045571
21930,-1.79972432454425
21929,-2.32930094401039
21928,-1.69437255859373
21927,-1.61260070800779
21926,-2.00936482747394
21925,-1.52654622395831
21924,-1.95186462402341
21923,-2.49650675455727
21922,-2.49883117675779
21921,-2.06710917154946
21920,-3.20500284830727
21919,-2.44066467285154
21918,-2.33570963541664
21917,-2.62213236490883
21916,-1.60100402832029
21915,-2.08593851725258
21914,-1.49455871582029
21913,-2.69289245605466
21912,-1.96212870279946
21911,-1.80665690104164
21910,-1.63615010579425
21909,-1.63115030924477
21908,-2.12055053710935
21907,-1.80975952148435
21906,-1.74535725911456
21905,-1.54366149902341
21904,-2.05135192871091
21903,-2.51566162109373
21902,-2.98880106608071
21901,-2.97110595703123
21900,-2.95846659342446
21899,-2.28392130533852
21898,-2.35767720540362
21897,-2.23882649739581
21896,-1.58089294433591
21895,-0.94792785644529
21894,-1.87537740071612
21893,-2.77999979654946
21892,-3.06529337565102
21891,-3.71417846679685
21890,-2.85025126139321
21889,-3.32530314127602
21888,-3.72911682128904
21887,-4.295512898763
21886,-2.23370463053383
21885,-2.04606730143227
21884,-1.99532674153644
21883,-3.17812194824216
21882,-3.13723347981769
21881,-2.16190185546873
21880,-3.11150207519529
21879,-2.73514404296873
21878,-2.2469543457031
21877,-2.15870259602862
21876,-2.29956156412758
21875,-2.44110717773435
21874,-3.24190368652341
21873,-3.17155558268227
21872,-1.43906249999998
21871,-1.59264729817706
21870,-1.64711100260414
21869,-2.83080139160154
21868,-2.35453898111977
21867,-2.1486623128255
21866,-1.90708007812498
21865,-2.61968587239581
21864,-2.65400797526039
21863,-1.96420898437498
21862,-2.17130126953123
21861,-2.43489685058591
21860,-3.48928426106769
21859,-2.65157165527341
21858,-2.49248352050779
21857,-2.65198872884112
21856,-2.77748718261716
21855,-2.05144348144529
21854,-2.66588948567706
21853,-2.01446634928383
21852,-2.11274312337237
21851,-1.62918192545571
21850,-1.65546264648435
21849,-2.33893941243487
21848,-1.42232869466144
21847,-2.26049906412758
21846,-2.66196289062498
21845,-2.15863138834633
21844,-2.8880676269531
21843,-2.50705057779946
21842,-2.48666483561196
21841,-2.46351216634112
21840,-2.147563680013
21839,-1.67901204427081
21838,-2.34086710611977
21837,-3.50531107584633
21836,-2.61210734049477
21835,-2.31389465332029
21834,-1.33550109863279
21833,-1.37046915690102
21832,-1.93458658854164
21831,-1.97929992675779
21830,-2.15120035807289
21829,-2.77725321451821
21828,-2.48187357584633
21827,-2.25938517252602
21826,-2.3730529785156
21825,-2.0061096191406
21824,-2.17294413248696
21823,-2.09571431477862
21822,-2.86967061360675
21821,-3.11266682942706
21820,-3.01873372395831
21819,-2.66496378580727
21818,-1.99926350911456
21817,-2.80157572428383
21816,-3.10301310221352
21815,-2.07454528808591
21814,-2.05129089355466
21813,-2.23189900716144
21812,-2.68771464029946
21811,-3.28214619954425
21810,-4.12622172037758
21809,-2.13252868652341
21808,-2.32236328124998
21807,-2.26078898111977
21806,-2.85390319824216
21805,-3.36741739908852
21804,-2.12767130533852
21803,-2.68937276204425
21802,-2.46605021158852
21801,-1.92624511718748
21800,-2.11937561035154
21799,-1.97203165690102
21798,-2.1525939941406
21797,-3.80532430013019
21796,-1.6708791097005
21795,-1.99682718912758
21794,-2.09539896647133
21793,-1.58163045247394
21792,-1.84969685872394
21791,-3.20009460449216
21790,-2.06551208496091
21789,-2.07022196451821
21788,-1.51364237467446
21787,-2.64210611979164
21786,-4.13028055826821
21785,-2.43896077473956
21784,-2.80578715006508
21783,-2.99508768717446
21782,-2.42439880371091
21781,-2.24153238932289
21780,-2.22563781738279
21779,-2.66083882649737
21778,-2.81567484537758
21777,-2.03530985514321
21776,-2.54312235514321
21775,-2.36676635742185
21774,-1.794780476888
21773,-0.965653483072894
21772,-1.56434733072914
21771,-1.94363505045571
21770,-1.99495544433591
21769,-3.03948567708331
21768,-2.91809183756508
21767,-3.07814127604164
21766,-3.19850769042966
21765,-2.47879638671873
21764,-2.85131937662758
21763,-2.3601135253906
21762,-3.03189188639321
21761,-3.07411295572914
21760,-2.44096476236977
21759,-2.39549357096352
21758,-1.84752502441404
21757,-1.77443033854164
21756,-2.05475463867185
21755,-2.43485107421873
21754,-1.7801574707031
21753,-1.9582326253255
21752,-1.77896728515623
21751,-1.99338378906248
21750,-2.10946756998696
21749,-2.31259256998696
21748,-2.19015604654946
21747,-2.18608703613279
21746,-1.73777872721352
21745,-3.01022949218748
21744,-1.44367065429685
21743,-3.58109130859373
21742,-2.68348795572914
21741,-2.29267985026039
21740,-2.42003987630206
