"Winter months (October to March) of hydrological
 years [yr BP]","Average winter mean temperature [degree C]"
21998,-13.2890787760416
21997,-11.0256764729817
21996,-8.56046142578123
21995,-7.63362731933591
21994,-7.11146647135414
21993,-6.14183654785154
21992,-8.09426472981769
21991,-6.00014851888019
21990,-8.71671142578123
21989,-10.8049962361653
21988,-7.16225280761716
21987,-8.40834655761716
21986,-6.72489013671873
21985,-9.14821472167966
21984,-9.25222117106117
21983,-5.93972371419269
21982,-7.22894897460935
21981,-7.43188578287758
21980,-6.72529195149737
21979,-8.11697489420571
21978,-5.53301086425779
21977,-8.75397847493487
21976,-6.43893534342446
21975,-5.46728108723956
21974,-6.13536682128904
21973,-6.65635782877602
21972,-8.88496500651039
21971,-5.91642354329425
21970,-8.54904276529946
21969,-7.37406514485675
21968,-7.8300842285156
21967,-6.02686665852862
21966,-7.45391947428383
21965,-9.15584920247394
21964,-7.66521809895831
21963,-6.96526184082029
21962,-8.01726379394529
21961,-7.03838195800779
21960,-9.30630086263019
21959,-9.2557434082031
21958,-7.38746236165362
21957,-6.60638020833331
21956,-6.13367818196612
21955,-5.74470113118487
21954,-7.86110026041664
21953,-6.03834635416664
21952,-9.30879821777341
21951,-9.7075256347656
21950,-6.39897257486977
21949,-7.87804260253904
21948,-6.65440979003904
21947,-6.10231628417966
21946,-6.41343790690102
21945,-6.5141408284505
21944,-4.67067565917966
21943,-9.54601643880206
21942,-6.004253133138
21941,-9.21942749023435
21940,-5.96437174479164
21939,-7.22677205403644
21938,-6.34801839192706
21937,-7.2574523925781
21936,-9.50486094156899
21935,-8.05541076660154
21934,-3.81375223795571
21933,-5.03548787434894
21932,-6.89316406249998
21931,-7.05648905436196
21930,-7.12620646158852
21929,-7.96166076660154
21928,-6.01285400390623
21927,-9.17724711100258
21926,-5.97735188802081
21925,-7.26653137207029
21924,-7.35432027180987
21923,-7.325053914388
21922,-10.3154001871745
21921,-8.82655436197914
21920,-8.00955301920571
21919,-6.48505249023435
21918,-6.37633361816404
21917,-7.67218627929685
21916,-7.59178771972654
21915,-6.49100341796873
21914,-8.0449025472005
21913,-8.69060872395831
21912,-6.88343404134112
21911,-7.34820658365883
21910,-8.32941792805987
21909,-5.36522521972654
21908,-6.67656555175779
21907,-5.14595642089841
21906,-7.24973144531248
21905,-5.68048197428383
21904,-7.12527567545571
21903,-7.81959126790362
21902,-6.96062825520831
21901,-7.43451029459633
21900,-9.40560506184894
21899,-6.45604553222654
21898,-9.84457499186196
21897,-5.19995218912758
21896,-6.31756693522133
21895,-6.08912760416664
21894,-5.44527282714841
21893,-6.24779357910154
21892,-13.906607055664
21891,-8.23588663736977
21890,-12.4563023885091
21889,-6.90778198242185
21888,-15.3438781738281
21887,-8.97264709472654
21886,-6.38016357421873
21885,-6.03943990071612
21884,-7.45061340332029
21883,-8.39469502766925
21882,-13.8791539510091
21881,-7.99352620442706
21880,-6.47985432942706
21879,-8.5786193847656
21878,-7.63708089192706
21877,-6.84612630208331
21876,-5.97537841796873
21875,-8.75767618815102
21874,-12.1987492879232
21873,-8.70167134602862
21872,-8.25550435384112
21871,-6.5546681722005
21870,-6.05316772460935
21869,-9.85425160725909
21868,-7.16668802897133
21867,-6.33858337402341
21866,-7.34841003417966
21865,-6.63695882161456
21864,-7.29405822753904
21863,-7.79836629231769
21862,-7.0162414550781
21861,-6.22452901204425
21860,-9.122173055013
21859,-7.96420898437498
21858,-6.07396036783852
21857,-7.45230712890623
21856,-9.16285807291664
21855,-5.9630187988281
21854,-5.90468444824216
21853,-8.33454488118487
21852,-5.16114908854164
21851,-5.71578063964841
21850,-5.99993998209633
21849,-6.40732421874998
21848,-6.38685201009112
21847,-9.61808878580727
21846,-10.487526957194
21845,-6.37091674804685
21844,-9.35258076985675
21843,-8.06446431477862
21842,-12.2021876017252
21841,-7.30839640299477
21840,-7.92622985839841
21839,-9.52671915690102
21838,-9.83145751953123
21837,-5.47693990071612
21836,-7.11627807617185
21835,-7.18585306803383
21834,-6.75987854003904
21833,-5.62108968098956
21832,-5.46455993652341
21831,-5.90055440266925
21830,-5.58284606933591
21829,-8.95034891764321
21828,-6.27025451660154
21827,-8.81135660807289
21826,-6.64718729654946
21825,-6.91234436035154
21824,-6.37321573893227
21823,-8.30651448567706
21822,-6.32877197265623
21821,-8.95055236816404
21820,-7.95446370442706
21819,-6.5908264160156
21818,-7.97601928710935
21817,-6.80082295735675
21816,-8.50943094889321
21815,-9.01843363444008
21814,-6.49441121419269
21813,-7.73381652832029
21812,-8.04181518554685
21811,-5.55057881673175
21810,-9.33280029296873
21809,-9.08775939941404
21808,-8.7258107503255
21807,-8.23046976725258
21806,-6.49819030761716
21805,-6.82498270670571
21804,-9.96843058268227
21803,-6.74447224934894
21802,-5.76138407389321
21801,-6.72801818847654
21800,-6.38272705078123
21799,-5.25224405924477
21798,-6.32900085449216
21797,-11.3028345743815
21796,-8.52391153971352
21795,-6.50316975911456
21794,-5.2492482503255
21793,-4.90706990559894
21792,-5.5200256347656
21791,-5.84867451985675
21790,-5.88638407389321
21789,-6.77108866373696
21788,-8.06580708821612
21787,-7.48389790852862
21786,-13.9398763020833
21785,-6.75163370768227
21784,-9.95594889322914
21783,-7.88839823404946
21782,-6.81270446777341
21781,-7.23184305826821
