"Winter months (December-January-February) of each years [yr BP]","Average winter mean temperature [degree C]"
21998,-4.64782307942706
21997,-4.18379313151039
21996,-4.14944051106769
21995,-4.50364786783852
21994,-2.13862711588539
21993,-4.27016805013019
21992,-3.14365234374998
21991,-3.2458557128906
21990,-3.99816487630206
21989,-3.01735026041664
21988,-4.35504760742185
21987,-5.67882893880206
21986,-4.47483927408852
21985,-4.50609944661456
21984,-3.58535359700519
21983,-2.7387756347656
21982,-2.47343546549477
21981,-3.51778767903644
21980,-1.40077311197914
21979,-2.0756896972656
21978,-2.51816406249998
21977,-2.80706380208331
21976,-2.79466349283852
21975,-3.64562581380206
21974,-3.33803914388019
21973,-4.07429606119789
21972,-2.51277262369789
21971,-3.49539794921873
21970,-3.77799072265623
21969,-6.50566202799477
21968,-5.78372802734373
21967,-4.54079793294269
21966,-3.64696858723956
21965,-5.3635314941406
21964,-3.6435607910156
21963,-4.28714599609373
21962,-5.58860880533852
21961,-5.03822428385414
21960,-3.82204793294269
21959,-2.83461100260414
21958,-4.4532531738281
21957,-3.49074910481769
21956,-1.83989054361977
21955,-3.65907389322914
21954,-3.02882486979164
21953,-3.41381429036456
21952,-2.04625040690102
21951,-2.62335815429685
21950,-4.65273640950519
21949,-4.98612060546873
21948,-2.47615152994789
21947,-4.02020874023435
21946,-2.82037963867185
21945,-4.13585001627602
21944,-3.46523640950519
21943,-2.86969604492185
21942,-4.86619669596352
21941,-3.83248494466144
21940,-3.50253906249998
21939,-4.74723917643227
21938,-3.67196248372394
21937,-5.52413533528644
21936,-2.54420572916664
21935,-2.92482096354164
21934,-4.16239013671873
21933,-2.60456949869789
21932,-4.61505737304685
21931,-2.97219441731769
21930,-2.67351888020831
21929,-3.52371826171873
21928,-3.58772379557289
21927,-4.57197672526039
21926,-3.74129842122394
21925,-2.47440185546873
21924,-3.48285522460935
21923,-2.83668619791664
21922,-4.28047281901039
21921,-3.76470540364581
21920,-2.46353759765623
21919,-3.31696166992185
21918,-3.07662556966144
21917,-4.59568888346352
21916,-3.53494873046873
21915,-3.57139689127602
21914,-2.20644734700519
21913,-2.68745524088539
21912,-3.01189778645831
21911,-3.17128092447914
21910,-3.6954406738281
21909,-3.75763549804685
21908,-4.82839558919269
21907,-6.39433390299477
21906,-5.46512451171873
21905,-4.70933634440102
21904,-4.52364705403644
21903,-3.76585489908852
21902,-2.91862589518227
21901,-4.14512736002602
21900,-5.04303588867185
21899,-4.83891398111977
21898,-4.7684387207031
21897,-2.94969278971352
21896,-3.89426269531248
21895,-3.95773925781248
21894,-3.86184285481769
21893,-5.8120178222656
21892,-3.20438232421873
21891,-2.10903523763019
21890,-1.78682047526039
21889,-2.9699768066406
21888,-2.86008300781248
21887,-2.71273396809894
21886,-3.02780761718748
21885,-3.48597819010414
21884,-2.82510986328123
21883,-3.79098103841144
21882,-3.54417521158852
21881,-3.31931152343748
21880,-3.36733601888019
21879,-3.80913899739581
21878,-5.93915405273435
21877,-3.31180419921873
21876,-2.28712565104164
21875,-3.90561523437498
21874,-5.36821085611977
21873,-3.57702229817706
21872,-3.04250691731769
21871,-3.54798990885414
21870,-3.27226359049477
21869,-5.50540771484373
21868,-4.50288492838539
21867,-2.58608601888019
21866,-4.73420817057289
21865,-5.58567911783852
21864,-2.55288289388019
21863,-5.01319986979164
21862,-4.1046203613281
21861,-4.16616414388019
21860,-4.70753580729164
21859,-3.48000691731769
21858,-3.29135742187498
21857,-3.87969563802081
21856,-3.80900675455727
21855,-6.18118896484373
21854,-3.95568440755206
21853,-5.63158772786456
21852,-5.86564737955727
21851,-6.55533447265623
21850,-4.36713256835935
21849,-2.66580810546873
21848,-2.08757120768227
21847,-2.37333780924477
21846,-3.86529134114581
21845,-4.54408365885414
21844,-2.38923746744789
21843,-2.83299357096352
21842,-4.06822306315102
21841,-3.96537882486977
21840,-4.63170979817706
21839,-4.21674194335935
21838,-3.48094278971352
21837,-2.35226033528644
21836,-3.56968790690102
21835,-3.12617594401039
21834,-4.31166178385414
21833,-3.91790364583331
21832,-4.10214843749998
21831,-3.16371256510414
21830,-3.21726074218748
21829,-4.52770589192706
21828,-5.17166748046873
21827,-3.26299641927081
21826,-4.7465881347656
21825,-3.34945271809894
21824,-2.14141438802081
21823,-3.98495076497394
21822,-4.86533203124998
21821,-2.0648254394531
21820,-4.00752360026039
21819,-2.81488647460935
21818,-3.21258138020831
21817,-2.53117472330727
21816,-2.72915242513019
21815,-3.13735555013019
21814,-3.11378580729164
21813,-3.0842346191406
