"Summer months (Jule-July-August) of each years [yr BP]","Average summer mean temperature [degree C]"
21999,0.194045003255231
21998,-0.376521809895811
21997,0.601556396484398
21996,0.298313395182314
21995,0.831781005859398
21994,0.671563720703148
21993,-0.487819417317686
21992,0.845534261067731
21991,0.647749837239606
21990,0.863071695963564
21989,0.947737630208356
21988,-0.211828613281227
21987,1.37163696289065
21986,0.497125244140648
21985,0.455112711588564
21984,0.528833007812523
21983,1.09185180664065
21982,1.41899007161461
21981,1.40557250976565
21980,1.36994832356773
21979,1.10653076171877
21978,1.09129231770836
21977,0.319014485677106
21976,0.905613199869814
21975,1.37334594726565
21974,0.615858968098981
21973,0.387261962890648
21972,0.655358886718773
21971,0.665439860026064
21970,0.260074869791689
21969,0.423089599609398
21968,0.726098632812523
21967,0.387251790364606
21966,-0.00831705729164393
21965,0.182987467447939
21964,0.0806111653646061
21963,-0.0425679524739356
21962,0.191512044270856
21961,0.874668375651064
21960,0.384047444661481
21959,0.434554036458356
21958,0.352817789713564
21957,0.463098144531273
21956,1.60105794270836
21955,0.177738444010439
21954,0.427657063802106
21953,0.700972493489606
21952,0.101454671223981
21951,0.655826822916689
21950,1.05859781901044
21949,0.0811909993489811
21948,0.267470296223981
21947,0.330692545572939
21946,0.141300455729189
21945,0.404443359375023
21944,0.0541117350260644
21943,0.243107096354189
21942,0.489678955078148
21941,0.289595540364606
21940,0.888218180338564
21939,0.274865722656273
21938,-0.0824340820312273
21937,-0.0844889322916439
21936,0.528507486979189
21935,0.838281250000023
21934,0.403293863932314
21933,1.17938639322919
21932,0.550887044270856
21931,0.483565266927106
21930,1.28279012044273
21929,0.0558308919271061
21928,1.16834920247398
21927,0.801761881510439
21926,0.274906412760439
21925,1.48176472981773
21924,0.796461995442731
21923,0.402846272786481
21922,0.524265543619814
21921,0.901961263020856
21920,0.582727050781273
21919,-0.307185872395811
21918,0.172733561197939
21917,1.3563171386719
21916,1.07509765625002
21915,0.0522094726562727
21914,1.18545939127606
21913,-0.000209554036435596
21912,1.01324869791669
21911,0.982771809895856
21910,0.587202962239606
21909,0.149204508463564
21908,-0.413834635416644
21907,0.221856689453148
21906,-0.668330891927061
21905,1.05402018229169
21904,0.232883707682314
21903,0.501468912760439
21902,0.539453125000023
21901,-0.335353597005186
21900,0.406203206380231
21899,0.189233398437523
21898,0.0261576334635644
21897,0.715702311197939
21896,0.932560221354189
21895,0.810856119791689
21894,0.630588785807314
21893,-0.203965250651019
21892,1.0964294433594
21891,1.04749959309898
21890,0.728448486328148
21889,0.280765787760439
21888,0.720554606119814
21887,0.821150716145856
21886,0.556329345703148
21885,0.916060384114606
21884,1.21673990885419
21883,0.0831441243489811
21882,1.07866821289065
21881,0.508101399739606
21880,0.369409179687523
21879,1.50141805013023
21878,0.248162841796898
21877,0.272007242838564
21876,0.993096923828148
21875,1.01047159830731
21874,0.608860270182314
21873,0.478865559895856
21872,0.0731038411458561
21871,0.263492838541689
21870,-0.0386210123697689
21869,0.900272623697939
21868,0.384464518229189
21867,-0.553269449869769
21866,0.389489746093773
21865,0.586185709635439
21864,0.349593098958356
21863,0.109256998697939
21862,0.297713216145856
21861,1.41958007812502
21860,-0.0247355143228939
21859,0.354852294921898
21858,0.852644856770856
21857,0.493147786458356
21856,0.434716796875023
21855,0.230401611328148
21854,-0.118627929687477
21853,0.0482930501302311
21852,-0.467311604817686
21851,0.587426757812523
21850,1.26083780924481
21849,0.973270670572939
21848,1.01514078776044
21847,0.365899658203148
21846,-0.107387288411436
21845,0.224104817708356
21844,1.08071289062502
21843,0.896793619791689
21842,0.869917805989606
