"Calendar years [yr BP]","Average yearly mean temperature [degree C]"
21999,-1.81403706868487
21998,-2.37757720947263
21997,-1.79784495035805
21996,-1.82551422119138
21995,-0.995642089843727
21994,-1.33482462565102
21993,-2.18937276204425
21992,-1.24238433837888
21991,-1.34995371500649
21990,-1.36161142985024
21989,-1.10425923665362
21988,-2.23812204996743
21987,-1.91650746663409
21986,-1.87480265299477
21985,-1.92481587727862
21984,-1.53090006510414
21983,-0.761564636230446
21982,-0.834069315592425
21981,-0.741855367024717
21980,-0.240357462565081
21979,-0.896459960937477
21978,-0.493737284342425
21977,-1.1601369222005
21976,-0.79875793457029
21975,-0.920230611165342
21974,-1.3607238769531
21973,-1.82701721191404
21972,-1.09088999430336
21971,-1.24371439615883
21970,-2.18410847981769
21969,-2.618755086263
21968,-1.76704254150388
21967,-1.78156127929685
21966,-2.31796366373696
21965,-2.3406051635742
21964,-1.79972686767576
21963,-1.81270701090493
21962,-2.73746592203774
21961,-1.8832814534505
21960,-1.55258026123045
21959,-1.28168080647784
21958,-1.59178517659503
21957,-1.39615224202472
21956,-0.419251505533831
21955,-1.52038421630857
21954,-1.3849675496419
21953,-0.871618652343727
21952,-1.14101511637368
21951,-1.01417897542315
21950,-1.58111419677732
21949,-1.94133605957029
21948,-1.35472717285154
21947,-1.59767252604164
21946,-1.6335739135742
21945,-1.78898976643878
21944,-1.72409922281899
21943,-1.72848103841144
21942,-1.82860158284503
21941,-1.65753275553383
21940,-1.0891911824544
21939,-2.10373789469399
21938,-1.7185348510742
21937,-2.22442728678383
21936,-1.25954538981118
21935,-1.04847056070961
21934,-1.6770080566406
21933,-0.956294759114561
21932,-1.3662399291992
21931,-1.02540944417315
21930,-0.742501322428363
21929,-1.74343973795571
21928,-1.30506998697914
21927,-1.90114695231118
21926,-1.66101175944008
21925,-0.453354899088519
21924,-1.07327372233071
21923,-1.16932779947914
21922,-1.89355824788409
21921,-1.29476267496743
21920,-0.982949320475238
21919,-1.57316691080727
21918,-1.28736724853513
21917,-1.20951182047524
21916,-1.370708211263
21915,-1.76791992187498
21914,-0.728475952148415
21913,-1.5500778198242
21912,-1.08581390380857
21911,-1.01669667561847
21910,-1.545268758138
21909,-1.80689341227211
21908,-2.73447519938149
21907,-2.3057922363281
21906,-2.45544281005857
21905,-1.76078898111977
21904,-2.07089335123696
21903,-1.52139638264972
21902,-1.10858510335284
21901,-2.27418365478513
21900,-2.2266423543294
21899,-2.03521321614581
21898,-1.6179743448893
21897,-1.24105173746743
21896,-1.39695841471352
21895,-1.52946573893227
21894,-1.65270589192706
21893,-2.42601369222003
21892,-0.992829386393206
21891,-0.509725952148415
21890,-0.909427388509092
21889,-1.39710591634112
21888,-0.942706807454404
21887,-0.80962219238279
21886,-1.13575846354164
21885,-0.995296223958311
21884,-0.797140502929665
21883,-1.31674296061196
21882,-1.11381378173826
21881,-1.69109954833982
21880,-1.65758361816404
21879,-1.30032958984373
21878,-2.12698465983071
21877,-1.89760691324868
21876,-1.38655700683591
21875,-1.12241210937498
21874,-2.01203002929685
21873,-1.67697245279946
21872,-1.27060292561847
21871,-1.70117543538409
21870,-1.83737284342446
21869,-1.71397755940753
21868,-1.63663330078123
21867,-1.7547897338867
21866,-2.02765502929685
21865,-2.15113423665362
21864,-0.913890584309873
21863,-2.56322580973305
21862,-2.03078308105466
21861,-1.15947316487628
21860,-1.99936777750649
21859,-1.22565053304034
21858,-0.898339335123675
21857,-1.41819101969399
21856,-1.75261027018227
21855,-2.10380147298175
21854,-2.29373270670571
21853,-2.09491068522133
21852,-3.31229502360024
21851,-2.29942423502602
21850,-1.18975423177081
21849,-0.786967976887998
21848,-0.818932596842425
21847,-1.21569163004555
21846,-2.1934137980143
21845,-1.68558603922524
21844,-0.909735107421852
21843,-1.21267038981118
21842,-1.50641988118487
21841,-1.82057291666664
21840,-1.82792256673175
21839,-2.19347991943357
21838,-1.2748092651367
21837,-0.994540913899717
21836,-1.69132588704425
21835,-1.21121826171873
21834,-1.71439463297524
21833,-1.16251983642576
21832,-1.80812428792315
21831,-0.632111612955706
21830,-1.25924784342446
21829,-1.76550140380857
21828,-1.80239969889321
21827,-1.72685089111326
21826,-1.48827972412107
21825,-1.1652409871419
21824,-0.833995564778623
21823,-1.85628611246743
21822,-1.75518900553383
21821,-0.284409586588519
21820,-1.17227528889972
21819,-1.06049448649086
21818,-0.843644205729144
21817,-0.423859659830706
21816,-1.30224711100258
21815,-0.985812886555967
21814,-1.54896901448565
21813,-1.62523244222003
21812,-1.58085479736326
21811,-1.0516418457031
21810,-1.69809824625649
21809,-1.62041066487628
21808,-0.505229695637998
21807,-1.30847015380857
21806,-1.42365112304685
21805,-1.58214416503904
21804,-1.83553924560545
21803,-2.27211608886716
21802,-2.47568359374998
21801,-3.33354288736977
21800,-2.00792541503904
21799,-2.91756286621091
21798,-2.41949310302732
21797,-2.19543813069659
21796,-1.37868347167966
21795,-2.59994099934894
21794,-2.71958770751951
21793,-2.7376770019531
21792,-2.32052459716795
21791,-2.42853647867836
21790,-2.83615468343097
21789,-3.55171813964841
21788,-1.80383656819659
21787,-1.02555185953774
21786,-1.73233896891274
21785,-1.55326182047524
21784,-2.20253601074216
21783,-1.38080698649086
21782,-1.10942687988279
21781,-0.751651509602842
21780,-0.894166056315081
21779,-1.0453908284505
21778,-1.48476257324216
21777,-1.41888020833331
21776,-1.15031789143878
21775,-1.22436879475909
21774,-1.66815287272133
21773,-1.16957702636716
21772,-1.52399037679034
21771,-2.12098795572914
21770,-2.03365936279295
21769,-1.84435628255206
21768,-2.36764373779295
21767,-1.76413574218748
21766,-0.600597127278623
21765,-0.662499491373675
21764,-0.677219136555967
21763,-0.751595560709613
21762,-0.997819010416644
21761,-1.19708607991534
21760,-1.62617085774737
21759,-0.853715006510394
21758,-1.0432189941406
21757,-1.6921193440755
21756,-1.99395345052081
21755,-1.40523885091144
21754,-2.01615244547524
21753,-1.78491312662758
21752,-2.36575673421222
21751,-2.24505971272784
21750,-1.59579569498696
21749,-1.19669189453123
21748,-0.665686035156227
21747,-1.34948323567706
21746,-1.70742899576821
21745,-1.29316558837888
21744,-2.25314432779946
21743,-1.71927235921222
21742,-1.89926503499347
21741,-1.89186706542966
21740,-2.48184305826821
21739,-1.58758900960284
21738,-2.14237060546873
21737,-1.9991032918294
21736,-1.93884124755857
21735,-1.84589233398435
21734,-1.86506245930987
21733,-1.88374938964841
21732,-1.62071329752602
21731,-1.36510314941404
21730,-0.738643391927061
21729,-0.275691731770811
21728,-0.0640319824218523
21727,-1.32388407389321
21726,-1.0434148152669
21725,-1.54182535807289
21724,-1.42809651692706
21723,-1.59928741455076
21722,-1.8017384847005
21721,-1.99590657552081
21720,-1.9614547729492
21719,-2.51688232421873
21718,-1.85011901855466
21717,-1.6460505167643
21716,-1.64789937337237
21715,-2.20077362060545
21714,-2.38722839355466
21713,-2.80325419108071
21712,-2.02326049804685
21711,-2.02564595540362
21710,-2.075053914388
21709,-2.07257436116534
21708,-1.79303843180336
