"Full hydrological years [yr BP]","Average yearly mean temperature [degree C]"
21998,-2.38551686604815
21997,-1.7645324707031
21996,-1.71247965494789
21995,-1.44632059733071
21994,-1.01227671305336
21993,-2.16217651367185
21992,-1.36698760986326
21991,-1.29518483479815
21990,-1.36449788411456
21989,-1.22123565673826
21988,-1.9649236043294
21987,-1.9585250854492
21986,-1.96507364908852
21985,-1.91856994628904
21984,-1.70303700764972
21983,-0.769911193847634
21982,-0.617475891113259
21981,-0.970304870605446
21980,-0.261488342285134
21979,-0.703215026855446
21978,-0.675248209635394
21977,-0.986446126302061
21976,-0.881137593587217
21975,-0.898151143391904
21974,-1.30597534179685
21973,-1.77664286295571
21972,-1.22395172119138
21971,-1.1715632120768
21970,-2.04621480305987
21969,-2.5262741088867
21968,-1.88901367187498
21967,-1.9245666503906
21966,-2.12208658854164
21965,-2.41115926106769
21964,-1.73797454833982
21963,-2.00812886555987
21962,-2.59729868570961
21961,-1.86888987223305
21960,-1.69998524983722
21959,-1.42331797281899
21958,-1.62356923421222
21957,-1.41402537027993
21956,-0.150333150227842
21955,-1.54613342285154
21954,-1.42969868977862
21953,-1.145366414388
21952,-0.893754069010394
21951,-0.907390340169248
21950,-1.53877360026039
21949,-2.11542612711586
21948,-1.0856740315755
21947,-1.92729034423826
21946,-1.3554011027018
21945,-1.8011535644531
21944,-1.7459777832031
21943,-1.70927785237628
21942,-1.80918731689451
21941,-1.78423156738279
21940,-1.27537638346352
21939,-1.9300114949544
21938,-1.60905303955076
21937,-2.41831309000649
21936,-1.16450093587237
21935,-1.05159098307289
21934,-1.73919779459633
21933,-0.794821166992165
21932,-1.46995646158852
21931,-1.06736602783201
21930,-0.776630147298154
21929,-1.69482523600258
21928,-1.24658050537107
21927,-2.00591634114581
21926,-1.60516204833982
21925,-0.560448710123675
21924,-0.982959493001279
21923,-1.13204294840493
21922,-1.82080434163409
21921,-1.45495198567706
21920,-0.890547180175759
21919,-1.67236684163409
21918,-1.29822642008461
21917,-1.31632843017576
21916,-1.18468068440753
21915,-1.85432027180987
21914,-0.815504455566384
21913,-1.44734293619789
21912,-0.850279235839821
21911,-1.23554840087888
21910,-1.46701151529946
21909,-1.7074035644531
21908,-2.36556599934894
21907,-2.47817077636716
21906,-2.66802062988279
21905,-1.9664596557617
21904,-1.81822814941404
21903,-1.70590311686196
21902,-1.05590922037758
21901,-2.10751953124998
21900,-2.14299621582029
21899,-2.17489980061847
21898,-1.847270711263
21897,-1.19636637369789
21896,-1.22769266764321
21895,-1.50752105712888
21894,-1.63323567708331
21893,-2.55675354003904
21892,-1.19609680175779
21891,-0.544500732421852
