"Summer months (April to September) of hydrological
 years [yr BP]","Average summer mean temperature [degree C]"
21998,-1.24713236490883
21997,-0.318223063151019
21996,-0.444311523437477
21995,0.285231526692731
21994,-0.227067057291644
21993,-1.08276468912758
21992,-0.136841837565081
21991,0.0140218098958561
21990,-0.0487935384114356
21989,-0.0303304036458106
21988,-0.872096761067686
21987,0.116601562500023
21986,-0.393759155273415
21985,-0.456111653645811
21984,-0.287308756510394
21983,0.375293986002627
21982,0.58246765136721
21981,0.792225138346377
21980,0.706119791666689
21979,0.195235188802106
21978,0.695774332682314
21977,-0.15874328613279
21976,0.251652018229189
21975,0.554279581705752
21974,-0.153351847330706
21973,-0.432460530598936
21972,0.0059549967448144
21971,-0.0212514241536231
21970,-0.695862833658831
21969,-0.745550537109352
21968,0.283324178059919
21967,-0.598369344075498
21966,-0.992127482096331
21965,-0.586386108398415
21964,-0.653168741861956
21963,-0.638474527994769
21962,-1.09597371419269
21961,-0.0796162923176856
21960,-0.512970987955706
21959,-0.341706339518206
21958,-0.343166097005186
21957,-0.201086425781227
21956,0.928796386718773
21955,-0.394923909505186
21954,-0.523204549153623
21953,0.140873209635439
21952,-0.379593912760394
21951,0.157668050130231
21950,0.18445739746096
21949,-0.490362548828102
21948,-0.466736857096331
21947,-0.492330932617165
21946,-0.457500203450498
21945,-0.737671915690081
21944,-0.558126831054665
21943,-0.757971191406227
21942,-0.333720906575498
21941,-0.289623006184873
21940,0.225269571940127
21939,-0.594966634114561
21938,-0.543218994140602
21937,-0.84075012207029
21936,-0.298844401041644
21935,0.141254679362002
21934,-0.243597412109352
21933,0.338606770833356
21932,0.183348592122419
21931,-0.102509562174456
21930,0.291157023112002
21929,-0.676962280273415
21928,0.247033691406273
21927,-0.368531290690081
21926,-0.434454345703102
21925,0.771646118164085
21924,0.216068522135439
21923,-0.101934814453102
21922,-0.248449707031227
21921,0.221042887369814
21920,-0.117895507812477
21919,-0.663575236002581
21918,-0.508749389648415
21917,0.559259033203148
21916,0.160806274414085
21915,-0.677572631835915
21914,0.24079284667971
21913,-0.735906982421852
21912,0.25403747558596
21911,0.171324666341169
21910,-0.0631622314452898
21909,-0.445110066731748
21908,-1.27382507324216
21907,-0.38670959472654
21906,-1.36160380045571
21905,0.0072672526041894
21904,-0.612081909179665
21903,-0.330363972981748
21902,0.0492390950521061
21901,-1.00130818684894
21900,-0.667217000325498
21899,-0.497508748372373
21898,-0.449947102864561
21897,-0.0738179524739356
21896,0.351841227213564
21895,-0.132198079427061
21894,-0.253780110677061
21893,-0.910258992512998
21892,0.281254069010439
21891,0.469349161783877
21890,-0.0127675374348731
21889,-0.41283264160154
21888,-0.0689351399739356
21887,0.243575032552106
21886,-0.208919270833311
21885,0.267973836263044
21884,0.398497517903669
21883,-0.376262410481748
21882,0.378004964192731
21881,-0.448202514648415
21880,-0.480657958984352
21879,0.515588378906273
21878,-0.725286865234352
21877,-1.06054280598956
21876,-0.167074584960915
21875,0.378350830078148
21874,-0.211528523762998
21873,-0.437877400716123
21872,-0.268489583333311
21871,-0.697068277994769
21870,-0.668000284830706
21869,0.133198038737002
21868,-0.0977996826171648
21867,-1.23647664388019
21866,-0.740922037760394
21865,-0.489335123697894
21864,-0.0619923909504981
21863,-0.93150939941404
21862,-0.591009521484352
21861,0.253040568033877
21860,-0.42210998535154
21859,0.113051350911481
21858,0.292677815755231
21857,-0.194987996419248
21856,-0.319377644856748
21855,-0.425639851887998
21854,-1.13431396484373
21853,-0.534546915690081
21852,-1.51250305175779
21851,-0.212037150065081
21850,0.424518839518252
21849,0.281610107421898
21848,0.0532775878906477
21847,-0.318568929036436
21846,-1.21816609700519
21845,-0.505036417643206
21844,-0.0275583902994564
21843,-0.0145528157551856
21842,-0.107982381184873
21841,-0.276592000325498
21840,-0.186163330078102
21839,-1.05411376953123
21838,-0.122895304361956
21837,0.104755655924502
21836,-0.370499674479144
21835,-0.202195231119769
21834,-0.147441609700498
21833,0.852924601237002
21832,-0.470393880208311
21831,0.664590454101585
21830,0.278995768229189
21829,-0.441147867838519
21828,-0.0191253662109148
21827,-0.566061401367165
21826,-0.246394856770811
21825,0.185505167643252
21824,0.160745239257835
