"Winter months (October to March) of hydrological
 years [yr BP]","Average winter mean temperature [degree C]"
21998,-3.52390136718748
21997,-3.21084187825519
21996,-2.98064778645831
21995,-3.17787272135414
21994,-1.79748636881508
21993,-3.24158833821612
21992,-2.59713338216144
21991,-2.60439147949216
21990,-2.68020222981769
21989,-2.41214090983071
21988,-3.05775044759112
21987,-4.03365173339841
21986,-3.53638814290362
21985,-3.38102823893227
21984,-3.11876525878904
21983,-1.91511637369789
21982,-1.81741943359373
21981,-2.73283487955727
21980,-1.22909647623696
21979,-1.601665242513
21978,-2.0462707519531
21977,-1.81414896647133
21976,-2.01392720540362
21975,-2.35058186848956
21974,-2.458598836263
21973,-3.12082519531248
21972,-2.45385843912758
21971,-2.32187499999998
21970,-3.39656677246091
21969,-4.30699768066404
21968,-4.06135152180987
21967,-3.25076395670571
21966,-3.25204569498696
21965,-4.23593241373696
21964,-2.82278035481769
21963,-3.37778320312498
21962,-4.09862365722654
21961,-3.65816345214841
21960,-2.88699951171873
21959,-2.50492960611977
21958,-2.90397237141925
21957,-2.62696431477862
21956,-1.22946268717446
21955,-2.69734293619789
21954,-2.33619283040362
21953,-2.43160603841144
21952,-1.40791422526039
21951,-1.97244873046873
21950,-3.26200459798175
21949,-3.74048970540362
21948,-1.70461120605466
21947,-3.36224975585935
21946,-2.2533020019531
21945,-2.86463521321612
21944,-2.93382873535154
21943,-2.66058451334633
21942,-3.28465372721352
21941,-3.27884012858071
21940,-2.77602233886716
21939,-3.26505635579425
21938,-2.67488708496091
21937,-3.99587605794269
21936,-2.0301574707031
21935,-2.24443664550779
21934,-3.23479817708331
21933,-1.92824910481769
21932,-3.12326151529946
21931,-2.03222249348956
21930,-1.84441731770831
21929,-2.71268819173175
21928,-2.74019470214841
21927,-3.64330139160154
21926,-2.77586975097654
21925,-1.89254353841144
21924,-2.181987508138
21923,-2.16215108235675
21922,-3.39315897623696
21921,-3.13094685872394
21920,-1.66319885253904
21919,-2.6811584472656
21918,-2.08770345052081
21917,-3.19191589355466
21916,-2.53016764322914
21915,-3.03106791178383
21914,-1.87180175781248
21913,-2.15877888997394
21912,-1.9545959472656
21911,-2.64242146809894
21910,-2.87086079915362
21909,-2.96969706217446
21908,-3.45730692545571
