"Calendar years [yr BP]","Average yearly mean temperature [degree C]"
21999,-30.8485677083333
21998,-31.7070627848307
21997,-33.5125411987304
21996,-31.3849319458008
21995,-30.7763567606608
21994,-31.6333145141601
21993,-30.7204269409179
21992,-29.423801167806
21991,-30.2975245157877
21990,-28.7494288126627
21989,-31.6457364400228
21988,-29.4739962259928
21987,-32.392997487386
21986,-31.5722157796224
21985,-32.0042137145996
21984,-32.079079691569
21983,-31.1372919718424
21982,-32.7274307250976
21981,-31.7609580993652
21980,-32.6464205423991
21979,-34.0882680257161
21978,-31.4187797546386
21977,-31.8860038757324
21976,-31.7017133076985
21975,-32.168143971761
21974,-31.7882052103678
21973,-32.9959650675455
21972,-32.9328839619954
21971,-31.397568766276
21970,-32.2884595235189
21969,-29.4787111918131
21968,-31.7460489908854
21967,-32.0422182718913
21966,-30.2437461853027
21965,-31.1765757242838
21964,-30.6502085367838
21963,-33.0908836364746
21962,-32.3610799153646
21961,-31.0630045572916
21960,-32.1584037780761
21959,-31.0249237060547
21958,-31.4625508626302
21957,-32.7528531392415
21956,-31.7730901082357
21955,-29.7028500874837
21954,-28.2133354187011
21953,-30.3710083007812
21952,-32.3900143941243
21951,-32.393226369222
21950,-32.2425064086914
21949,-32.3579989115397
21948,-29.4892893473307
21947,-30.5306190490722
21946,-30.6861328125
21945,-33.1712109883626
21944,-32.4302391052246
21943,-30.7904495239258
21942,-34.4305404663086
21941,-33.072679901123
21940,-33.0681022644043
21939,-31.7085759480794
21938,-32.7366279602051
21937,-31.6843221028646
21936,-32.7537152608235
21935,-33.6811609903971
21934,-32.6454516092936
21933,-31.51962890625
21932,-30.5587867736816
21931,-31.5627591451009
21930,-34.0534067789713
21929,-30.8833526611328
21928,-34.0051114400228
21927,-31.7911259969075
21926,-29.9232200622558
21925,-35.0087646484375
21924,-32.2750495910644
21923,-31.4070406595866
21922,-34.526963297526
21921,-31.1212092081706
21920,-33.9365282694498
21919,-34.4127779642741
21918,-32.1359504699707
21917,-34.0216812133789
21916,-31.7365720113118
21915,-31.9311393737793
21914,-34.992726389567
21913,-31.206349436442
21912,-33.6434247334798
21911,-33.3099782307943
21910,-33.2304862976074
21909,-29.7520978291829
21908,-33.0647733052571
21907,-33.0329727172851
21906,-32.6178637186686
21905,-33.0615880330403
21904,-29.3613761901855
21903,-31.0361910502116
21902,-31.988700612386
21901,-32.5721801757812
21900,-30.3104715983073
21899,-29.7815574645996
21898,-33.722686513265
21897,-33.423385365804
21896,-32.2557980855306
21895,-35.4342737833659
21894,-32.6312266031901
21893,-30.7425076802571
21892,-31.5009279886881
21891,-31.0343002319336
21890,-32.2161239624023
21889,-30.0242879231771
21888,-31.3011675516764
21887,-31.0102155049642
21886,-35.0297314961751
21885,-32.2283437093099
21884,-32.1483901977539
21883,-30.0713180541992
21882,-32.5255772908528
21881,-32.8751447041829
21880,-32.6941614786784
21879,-32.5976013183594
21878,-32.1543881734212
21877,-34.4156262715657
21876,-32.9477333068847
21875,-33.7747227986653
21874,-31.6827835083008
21873,-32.3676157633463
21872,-32.7765602111816
21871,-31.6172533671061
21870,-31.8064750671386
21869,-31.7079096476237
21868,-32.0135368347168
21867,-30.2910128275553
21866,-33.8086761474609
21865,-32.0233825683594
21864,-33.5909573872884
21863,-29.9921071370442
21862,-30.0991259256998
21861,-31.1899971008301
21860,-28.4190976460775
21859,-33.0121724446614
21858,-32.3584070841471
21857,-34.4803235371907
21856,-33.2333079020182
21855,-33.8142646789551
21854,-30.8136912027995
21853,-31.5276715596517
21852,-30.8147593180338
21851,-31.0760152180989
21850,-33.1688369750976
21849,-30.2719685872396
21848,-33.5750055948893
21847,-30.5296552022298
21846,-32.3083073933919
21845,-32.6710711161295
21844,-30.1302652994791
21843,-30.0807581583659
21842,-34.2980725606282
21841,-32.6306722005208
21840,-31.8145418802897
21839,-30.2785921732584
21838,-31.0352602640788
21837,-32.1382036844889
21836,-31.5564534505208
21835,-32.3899660746256
21834,-35.3395141601562
21833,-31.4062917073567
21832,-32.2315823872884
21831,-31.4139249165853
21830,-31.4281422932942
21829,-28.857576751709
21828,-32.1259457906087
21827,-33.0194686889648
21826,-32.5904207865397
21825,-29.8260368347168
21824,-31.1082824707031
21823,-32.306571706136
21822,-28.8168141682942
21821,-29.4682729085286
21820,-31.7756484985351
21819,-30.3736913045247
21818,-33.0152203877767
21817,-33.5898485819498
21816,-31.3140345255534
21815,-30.4934727986653
21814,-33.2401082356771
21813,-32.7485107421875
21812,-30.168674214681
21811,-30.6690226236979
21810,-32.5480751037597
21809,-33.2759066263834
21808,-33.6197761535644
21807,-31.5021169026692
21806,-32.627357228597
21805,-30.7577346801758
21804,-30.3692751566569
21803,-32.1846616109212
21802,-33.1438646952311
21801,-34.4577430725097
21800,-33.118391418457
21799,-32.1411410013834
21798,-31.3532750447591
21797,-30.9652758280436
21796,-33.2248252868652
21795,-34.1809816996256
21794,-33.3064394632975
21793,-33.9653648376465
21792,-33.0362635294596
21791,-30.8055188496907
21790,-33.7485387166341
21789,-32.9924644470215
21788,-32.0045290629069
21787,-33.1732098897298
21786,-32.2973693847656
21785,-29.7434855143229
21784,-30.8562250773112
21783,-32.8981282552083
21782,-33.7562749226888
21781,-31.8532839457194
21780,-31.5060523986816
21779,-34.9365943908691
