"Summer months (April to September) of hydrological
 years [yr BP]","Average summer mean temperature [degree C]"
21998,-6.56485595703123
21997,-7.38149617513019
21996,-7.21665802001951
21995,-7.16465861002602
21994,-8.21360880533852
21993,-6.98525594075519
21992,-6.32856343587237
21991,-6.11254730224607
21990,-9.5651916503906
21989,-8.89095153808591
21988,-8.03141123453774
21987,-6.49059651692706
21986,-6.78956197102862
21985,-5.27372843424477
21984,-5.45106608072914
21983,-7.71091562906899
21982,-6.77016042073565
21981,-8.82870585123696
21980,-8.17468363444008
21979,-7.87355143229164
21978,-7.69858144124347
21977,-7.77179819742836
21976,-7.62507476806638
21975,-7.51498514811196
21974,-6.81493733723956
21973,-7.49869639078774
21972,-9.18605143229164
21971,-7.25019938151039
21970,-8.838969930013
21969,-8.03680521647133
21968,-7.6281799316406
21967,-6.36238708496091
21966,-7.19742940266925
21965,-7.20320231119789
21964,-6.92049509684243
21963,-6.30356190999347
21962,-4.66705423990883
21961,-6.61766662597654
21960,-8.25035705566404
21959,-6.95750783284503
21958,-8.81237386067706
21957,-6.2899230957031
21956,-7.22817586263019
21955,-6.33875630696612
21954,-5.82781575520831
21953,-6.68375244140623
21952,-7.17086639404295
21951,-6.11159108479815
21950,-7.13991394042966
21949,-5.79921061197914
21948,-6.34948323567706
21947,-5.90571187337237
21946,-9.11731821695961
21945,-7.48787790934243
21944,-7.1347462972005
21943,-7.45624135335284
21942,-7.19854583740232
21941,-6.65363667805987
21940,-8.1113825480143
21939,-7.71626383463539
21938,-7.17325693766274
21937,-5.16978556315102
21936,-5.52223815917966
21935,-8.26636861165362
21934,-8.11806844075519
21933,-9.69512786865232
21932,-8.60015970865883
21931,-8.30790303548175
21930,-7.85485178629555
21929,-7.04688873291013
21928,-6.12149403889972
21927,-6.47524108886716
21926,-6.76577351888019
21925,-7.20818684895831
21924,-7.27794240315753
21923,-6.73904520670571
21922,-7.51475626627602
21921,-6.95997975667315
21920,-7.45871836344399
21919,-7.76048889160154
21918,-7.27513732910154
21917,-8.67072143554685
21916,-5.55546671549477
21915,-6.62506713867185
21914,-8.01298370361326
21913,-7.29632415771482
21912,-8.19988606770831
21911,-6.90879160563149
21910,-8.73266703287758
21909,-7.8452946980794
21908,-7.308940633138
21907,-8.71071980794269
21906,-7.55597025553383
21905,-7.21389872233071
21904,-8.16203664143878
21903,-7.47233174641925
21902,-8.18858439127602
21901,-7.16027933756508
21900,-7.05727742513019
21899,-6.15106302897133
21898,-7.79091491699216
21897,-7.13134358723956
21896,-6.74969584147133
21895,-8.48775583902992
21894,-5.9851135253906
21893,-6.229350789388
21892,-6.11320597330727
21891,-6.38026784261065
21890,-7.71693267822263
21889,-8.2623352050781
21888,-8.28040415445961
21887,-7.12626241048175
21886,-6.85000966389972
21885,-7.82397562662758
21884,-8.8136047363281
21883,-7.25133870442706
21882,-5.73624776204425
21881,-7.71532796223956
21880,-8.15111897786456
21879,-9.12656249999998
21878,-7.68253173828123
21877,-6.70246480305987
21876,-7.13266347249347
21875,-8.82635345458982
21874,-5.76884053548175
21873,-6.60622253417966
21872,-7.42103424072263
21871,-8.33089803059894
21870,-6.33243916829425
21869,-7.4312321980794
21868,-8.19064941406248
21867,-8.29132690429685
21866,-6.24731547037758
21865,-6.75662333170571
21864,-7.91402282714841
21863,-8.24212748209633
21862,-6.12921244303383
21861,-7.63956807454425
21860,-7.21570943196612
21859,-8.73300781249998
21858,-8.2577931722005
21857,-6.89810282389321
21856,-6.65762430826821
21855,-6.74340667724607
21854,-5.93774007161456
21853,-8.0368459065755
21852,-6.14186706542966
21851,-6.82629496256508
21850,-6.1726364135742
21849,-7.3446843465169
21848,-7.56498311360675
21847,-7.08321228027341
21846,-4.26347961425779
21845,-5.08612162272133
21844,-5.79593505859373
21843,-7.14960835774737
21842,-8.30003712972003
21841,-8.08708801269529
21840,-6.22463073730466
21839,-6.57854054768878
21838,-9.2224919637044
21837,-8.606059773763
21836,-7.0915588378906
21835,-8.01561584472654
21834,-8.37536722819008
21833,-8.12112528483071
21832,-6.26925760904946
21831,-7.28231658935545
21830,-7.31511535644529
21829,-7.90164286295571
21828,-6.6196350097656
21827,-8.77781524658201
21826,-7.18327433268227
21825,-7.60004272460935
21824,-6.75321553548175
21823,-6.29504496256508
21822,-7.77503814697263
21821,-8.58960316975909
21820,-7.12312927246091
21819,-7.54069366455076
21818,-7.08600463867185
21817,-6.83192545572914
21816,-8.7170216878255
21815,-7.19459889729815
21814,-7.68184509277341
