"Full hydrological years [yr BP]","Average yearly mean temperature [degree C]"
21998,-23.1692667643229
21997,-22.3490648905436
21996,-22.6487487792969
21995,-21.5929461161295
21994,-21.0541760762532
21993,-21.5056378682454
21992,-20.4352770487467
21991,-21.8728393554687
21990,-21.0927528381347
21989,-22.7462206522623
21988,-21.237340037028
21987,-22.088902537028
21986,-20.9788714090983
21985,-22.2716303507487
21984,-20.7266639709472
21983,-21.5474456787109
21982,-22.3321543375651
21981,-23.0776568094889
21980,-21.9763422648112
21979,-23.065843963623
21978,-19.7548812866211
21977,-22.4279706319173
21976,-21.8657325744629
21975,-21.5767616271972
21974,-21.6537269592285
21973,-20.759572092692
21972,-21.5153628031413
21971,-21.2051439921061
21970,-21.1632090250651
21969,-21.3005508422851
21968,-21.3861539204915
21967,-20.8684092203776
21966,-21.0616808573405
21965,-21.5474838256836
21964,-21.923816426595
21963,-20.8807167053222
21962,-21.811693572998
21961,-21.7049240112304
21960,-20.8582722981771
21959,-22.1493565877278
21958,-21.1031606038411
21957,-21.6666041056315
21956,-22.4464706420898
21955,-21.0729354858398
21954,-19.5279563903808
21953,-19.8037081400553
21952,-21.4995152791341
21951,-22.6300453186035
21950,-21.2662236531575
21949,-21.9672721862793
21948,-21.186252339681
21947,-21.0210378011067
21946,-20.6717005411784
21945,-22.5200192769368
21944,-20.0235020955403
21943,-22.2843523661295
21942,-22.9556627909342
21941,-21.8331893920898
21940,-21.5721534729004
21939,-20.6761103312174
21938,-22.4301144917806
21937,-20.924653116862
21936,-22.2311080932617
21935,-23.1306518554687
21934,-19.3512697855631
21933,-21.0304880777995
21932,-21.003951772054
21931,-19.7380750020345
21930,-23.4527191162109
21929,-20.4485763549804
21928,-20.9416882832845
21927,-22.3978879292806
21926,-20.6073885599772
21925,-22.3161847432454
21924,-21.6719230651855
21923,-21.7394037882487
21922,-22.9736198425293
21921,-21.8311396280924
21920,-23.3622217814127
21919,-23.3964345296224
21918,-20.9071487426758
21917,-23.0729367574056
21916,-21.5944936116536
21915,-20.1458483378092
21914,-22.9016034444173
21913,-22.1844111124674
21912,-20.9668067932129
21911,-23.3378585815429
21910,-22.4353558858235
21909,-19.8842809041341
21908,-21.6562255859375
21907,-20.9938339233398
21906,-22.0406275431315
21905,-20.8540239969889
21904,-20.3495175679525
21903,-21.3863484700521
21902,-20.6928212483724
21901,-21.4184796651204
21900,-21.484846496582
21899,-21.1727635701497
21898,-22.760787709554
21897,-21.2981628417969
21896,-22.5360804239909
21895,-24.3715919494629
21894,-19.9423533121745
21893,-20.8392484029134
21892,-23.1612965901692
21891,-21.5331151326497
21890,-23.1356020609538
21889,-21.627242787679
21888,-23.0712061564127
21887,-21.5655082702636
21886,-23.2301925659179
21885,-22.2680292765299
21884,-22.0406567891439
21883,-20.3964714050293
21882,-22.4049616495768
21881,-22.459445699056
21880,-22.3904925028483
21879,-21.9947723388672
21878,-21.9655148824056
21877,-23.1410380045573
21876,-21.1524871826172
21875,-22.0131985982259
21874,-21.9548286437988
21873,-21.3299176534017
21872,-23.0833038330078
21871,-20.2655586242676
21870,-21.1669105529785
21869,-21.0120503743489
21868,-23.0950187683105
21867,-18.8094619750976
21866,-20.6828330993652
21865,-22.0333351135254
21864,-21.4928535461426
21863,-21.4271352132161
21862,-20.4373865763346
21861,-21.4467363993327
21860,-21.1164942423502
21859,-21.5451174418131
21858,-20.5497294108073
21857,-22.4173009236653
21856,-21.8713185628255
21855,-22.0667124430338
21854,-20.5487973531087
21853,-21.2118718465169
21852,-21.4372657775879
21851,-20.5490796407064
21850,-20.8009195963541
21849,-20.4951258341471
21848,-21.7933118184407
21847,-21.5883277893066
21846,-20.4576960245768
21845,-20.3099527994791
21844,-21.6265586853027
21843,-20.7834292093913
21842,-23.9291137695312
21841,-21.6198333740234
21840,-21.4960655212402
21839,-21.5864026387532
21838,-22.7937886555989
21837,-22.0602528889974
21836,-22.9990613301595
21835,-21.898774210612
21834,-23.3013392130534
21833,-21.1598787943522
21832,-20.8540011088053
21831,-22.0058464050293
21830,-21.9638605753581
21829,-21.1479120890299
21828,-21.7394088745117
21827,-22.8490280151367
21826,-21.1231610616048
21825,-21.4297063191732
21824,-21.0883265177409
21823,-21.6127634684245
21822,-20.256507619222
21821,-21.5457913716634
21820,-22.3053522745768
21819,-21.197617594401
21818,-21.2210347493489
21817,-22.505531056722
21816,-21.6904777526855
21815,-21.4740903218587
21814,-21.5390813191732
21813,-21.3160652160644
21812,-22.0943105061849
21811,-20.285378519694
21810,-22.9775146484375
21809,-23.2805770874023
21808,-22.8053624471028
21807,-21.5698137919108
21806,-21.9001207987467
21805,-21.2292338053385
21804,-21.3901695251465
21803,-21.5967531840006
21802,-21.7526980082194
21801,-21.6173093159993
21800,-21.9864677429199
21799,-20.400914255778
21798,-21.3412930806478
21797,-22.1793006896972
21796,-23.7724110921224
21795,-23.3585723876953
21794,-22.1654902140299
21793,-21.1639172871907
21792,-21.5914189656575
21791,-22.0693280537923
21790,-20.522817993164
21789,-20.7102785746256
21788,-21.0437606811523
21787,-21.4327695210775
21786,-23.796364847819
21785,-20.3738629659017
21784,-21.827495320638
21783,-21.2949419657389
21782,-22.3316647847493
21781,-21.2677368164062
21780,-20.6916005452474
21779,-22.7670196533203
21778,-23.2542976379394
21777,-20.5233100891113
21776,-22.1917022705078
21775,-22.1077229817708
21774,-22.741142018636
21773,-23.1292022705078
21772,-21.5359202067057
21771,-20.9387179056803
21770,-21.7752059936523
21769,-19.3528160095215
21768,-20.2353996276855
21767,-22.040510559082
21766,-24.2364384969075
21765,-22.5730868021647
21764,-22.3150060017903
21763,-20.9038668314616
21762,-22.5189168294271
21761,-21.0944236755371
21760,-21.7594957987467
21759,-20.926491800944
21758,-21.5222165425618
21757,-22.5725654602051
21756,-20.4694872538248
21755,-20.7173535664876
21754,-20.5294962565104
21753,-21.5238390604655
21752,-21.7466987609863
21751,-20.4771573384603
21750,-20.7594830830892
21749,-21.7960482279459
21748,-22.5641947428385
21747,-21.4684636433919
21746,-21.9656534830729
21745,-23.2006464640299
21744,-19.7517862955729
21743,-22.2751169840495
21742,-22.8525260925293
21741,-20.6674802144368
21740,-22.1592175801595
21739,-20.3463132222493
21738,-21.1690238952636
21737,-21.051133219401
21736,-22.6923062642415
21735,-21.7174336751302
21734,-21.4792528788248
21733,-23.1422574361165
21732,-22.6383041381836
21731,-19.9128631591797
21730,-21.6220420837402
21729,-22.193581644694
21728,-21.4360527038574
21727,-21.5750996907552
21726,-22.2559392293294
21725,-21.2386344909668
21724,-21.1523231506347
21723,-21.6285575866699
21722,-21.1658704121907
21721,-21.0171875
21720,-22.4844014485677
21719,-21.3480590820312
21718,-19.9799039204915
21717,-20.1191034952799
21716,-23.0569849650065
21715,-23.0452407836914
21714,-22.896841430664
21713,-20.9091667175293
21712,-20.4881614685058
21711,-22.4056457519531
21710,-22.0363143920898
21709,-22.0591262817383
21708,-20.7645922342936
21707,-22.8636548360189
21706,-20.9466041564941
21705,-22.6245152791341
21704,-21.3650090535482
21703,-23.2564847310384
21702,-22.3231770833333
21701,-21.0058616638183
21700,-22.0988474527995
21699,-20.55931447347
21698,-23.4138028462728
21697,-22.2385340372721
21696,-21.1527160644531
21695,-22.1110557556152
21694,-21.0649080912272
21693,-22.5796188354492
21692,-21.2912989298502
21691,-21.7470039367676
21690,-23.4542182922363
21689,-22.4545349121094
21688,-20.9412114461263
21687,-21.1570635477702
21686,-21.3974403381347
21685,-20.5780064900716
21684,-21.6787577311198
21683,-19.4688196818034
21682,-21.6982050577799
21681,-20.4235913594564
21680,-21.441436513265
21679,-22.0601117451985
21678,-20.4671005249023
21677,-22.1506599426269
21676,-22.4616849263509
21675,-22.1085367838541
21674,-21.8926172892252
21673,-20.7308016459147
21672,-22.2328475952148
21671,-22.0349042256673
21670,-21.210297648112
21669,-22.0973889668782
21668,-21.7218383789062
21667,-24.315033976237
21666,-21.7927510579427
21665,-22.7176752726237
21664,-20.0666577657064
21663,-23.2693873087565
21662,-21.3875768025716
21661,-22.8732386271159
21660,-21.7316230773926
21659,-21.8388173421224
21658,-22.2102620442708
21657,-22.008455657959
21656,-21.8250615437825
21655,-22.447482808431
21654,-23.0298548380534
21653,-21.4728200276692
21652,-23.0636263529459
21651,-20.7766644795735
21650,-22.2393185933431
21649,-21.6749671936035
21648,-21.8945513407389
21647,-22.7063532511393
21646,-21.7178977966308
21645,-21.1450167338053
21644,-21.231916809082
21643,-22.6028617858886
21642,-21.380717976888
21641,-21.1574640909831
21640,-22.8136619567871
21639,-21.8035708109538
21638,-21.5278241475423
21637,-21.0190795898437
21636,-20.9373357137044
21635,-22.5159540812174
21634,-21.1774467468261
21633,-21.455674235026
21632,-22.2996264139811
21631,-21.8432538350423
21630,-21.6020378112793
21629,-21.0787490844726
21628,-22.8943771362304
21627,-20.6573076883952
21626,-22.4437914530436
21625,-21.7293164571126
21624,-22.3347114562988
21623,-21.6856521606445
21622,-23.3666481018066
21621,-22.289227549235
21620,-21.4667114257812
21619,-21.948947652181
21618,-20.3412676493327
21617,-21.2258476257324
21616,-22.2570760091146
21615,-22.4305341084798
21614,-22.8046478271484
21613,-22.7649978637695
21612,-21.983625793457
21611,-22.0193313598633
21610,-22.5201629638672
21609,-20.5512692769368
21608,-21.5456565856933
21607,-20.6413126627604
21606,-23.8789899190267
21605,-23.7004735310872
21604,-23.8575157165527
21603,-23.4748189290364
21602,-22.87767384847
21601,-22.5176668802897
21600,-20.6525380452474
21599,-21.6065162658691
21598,-20.9408706665039
21597,-22.0455103556315
21596,-23.316275024414
21595,-22.1839889526367
21594,-20.3795532226562
21593,-21.3769210815429
21592,-21.9188458760579
21591,-19.6857716878255
21590,-21.9706443786621
21589,-22.8059702555338
21588,-21.8792238871256
21587,-20.5040865580241
21586,-22.1943522135416
21585,-20.3729296366373
21584,-22.3782943725586
21583,-21.8180564880371
21582,-21.8000956217448
21581,-20.9543212890625
21580,-21.2798891703288
21579,-21.8106381734212
21578,-20.8757715861002
21577,-23.1464370727539
21576,-22.7547668457031
21575,-20.5268603006998
21574,-21.2397750854492
21573,-21.7971303304036
21572,-20.2845609029134
21571,-22.0472498575846
21570,-24.4230967203776
21569,-22.0868120829264
21568,-21.3765446980794
21567,-22.918611907959
21566,-21.3291013081868
21565,-22.5805089314778
21564,-20.9886713663737
21563,-22.5612332661946
21562,-22.165089670817
21561,-21.7101692199707
21560,-22.3071477254232
21559,-22.4592842102051
21558,-20.4396652221679
21557,-21.7563067118327
21556,-21.2981335957845
21555,-21.5996815999349
21554,-20.5440887451172
21553,-21.4364379882812
21552,-21.8576327006022
21551,-20.3376754760742
21550,-22.6775739034017
21549,-21.8398498535156
21548,-21.9021959940592
21547,-23.1430292765299
21546,-22.055278523763
21545,-22.5465479532877
21544,-21.8449132283528
21543,-22.6455317179362
21542,-23.420086924235
21541,-20.6696965535482
21540,-22.9190226236979
21539,-22.5968828837077
21538,-23.2623224894206
21537,-21.864734395345
21536,-22.2661410013834
21535,-21.3934616088867
21534,-20.546250406901
21533,-21.4971069335937
21532,-22.3347419738769
21531,-21.2633702596028
21530,-21.5382433573405
21529,-21.9384534200032
21528,-21.2482297261556
21527,-23.9995165506998
21526,-21.6738418579101
21525,-22.7053309122721
21524,-21.170029703776
21523,-20.8406496683756
21522,-22.3471371968587
21521,-21.0184476216634
21520,-21.6921663920084
21519,-21.3011891682942
