"Winter months (October to March) of hydrological
 years [yr BP]","Average winter mean temperature [degree C]"
21998,-3.03995869954425
21997,-1.32449442545571
21996,-3.31508483886716
21995,-1.422710164388
21994,-4.58865458170571
21993,-0.894125366210915
21992,-2.06583760579425
21991,-3.64409993489581
21990,-3.15670878092446
21989,-1.9176086425781
21988,-2.65956726074216
21987,-1.98923339843748
21986,-2.41441446940102
21985,-2.11642557779946
21984,-1.86968587239581
21983,-0.986130777994769
21982,-1.19995218912758
21981,-0.811071777343727
21980,-2.00481770833331
21979,-2.37665913899737
21978,-0.539551798502581
21977,-1.03925679524737
21976,-1.50750834147133
21975,-1.69672749837237
21974,-0.634227498372373
21973,-1.74225972493487
21972,-2.52979634602862
21971,-2.92934265136716
21970,-2.00885111490883
21969,-2.93379821777341
21968,-3.11381632486977
21967,-1.98452351888019
21966,-4.70768330891925
21965,-2.04566548665362
21964,-1.73329264322914
21963,-1.93090922037758
21962,-2.66662699381508
21961,-1.93545125325519
21960,-2.28862101236977
21959,-1.859966023763
21958,-1.84959513346352
21957,-3.03580830891925
21956,-1.34210815429685
21955,-1.04452107747394
21954,-1.35252482096352
21953,-1.46603495279946
21952,-0.991542561848936
21951,-1.73725992838539
21950,-2.50980733235675
21949,-0.676158650716123
21948,-1.20543009440102
21947,-0.813436889648415
21946,-2.81240437825519
21945,-4.64881998697914
21944,-2.81832987467446
21943,-2.12644042968748
21942,-3.06826375325519
21941,-2.08101501464841
21940,-4.90379435221352
21939,-2.07329406738279
21938,-1.81280619303383
21937,-2.13370361328123
21936,-2.39441019694008
21935,-1.3421691894531
21934,-1.49854634602862
21933,-3.0585744222005
21932,-1.47615152994789
21931,-1.04034525553383
21930,-2.78742065429685
21929,-3.32107645670571
21928,-1.86205647786456
21927,-2.1713673909505
21926,-1.20829874674477
21925,-1.20215962727862
21924,-1.24283447265623
21923,-2.33590291341144
21922,-2.36827697753904
21921,-2.98107503255206
21920,-0.987229410807269
21919,-4.51567687988279
21918,-2.3669240315755
21917,-2.7089650472005
21916,-1.57512512207029
21915,-3.76691284179685
21914,-3.2382619222005
21913,-1.40301106770831
21912,-2.17817281087237
21911,-0.614630126953102
21910,-2.43210449218748
21909,-3.19491170247394
21908,-2.13512268066404
21907,-3.00245259602862
21906,-3.33611145019529
21905,-1.99278869628904
21904,-2.36766153971352
21903,-2.39271647135414
21902,-2.31551208496091
21901,-1.38320007324216
21900,-5.90154113769529
21899,-1.41203918457029
21898,-1.50869344075519
21897,-0.679530843098936
21896,-2.1977600097656
21895,-2.03451639811196
21894,-1.9428517659505
21893,-2.33968200683591
21892,-3.37186279296873
21891,-1.06951497395831
21890,-1.84243876139321
21889,-0.0612040201822689
21888,-3.21955464680987
21887,-0.651134236653623
21886,-1.28357035319008
21885,-1.91925659179685
21884,-1.15726826985675
21883,-2.57046610514321
21882,-1.43185526529946
21881,-2.10936584472654
21880,-2.47493591308591
21879,-1.78283284505206
21878,-2.62262064615883
21877,-4.04903259277341
21876,-1.46911214192706
21875,-1.21785583496091
21874,-1.88370361328123
21873,-2.47462056477862
21872,-1.81306559244789
21871,-2.27350463867185
21870,-3.08424987792966
21869,-1.74561665852862
21868,-1.16980082194008
21867,-4.89718729654946
21866,-2.91623535156248
21865,-2.11549987792966
21864,-2.82322794596352
21863,-3.11530151367185
21862,-3.58988037109373
21861,-2.2043518066406
21860,-1.78294474283852
21859,-1.63799641927081
21858,-1.45342102050779
21857,-0.889446004231748
21856,-1.47387288411456
21855,-1.47906595865883
21854,-3.13107910156248
21853,-2.23642069498696
21852,-3.18367106119789
21851,-1.68827921549477
21850,-1.99981791178383
21849,-2.11695454915362
21848,-1.68690083821612
21847,-2.1865295410156
21846,-2.07036437988279
21845,-1.02963358561196
21844,-1.35207722981769
21843,-4.24256998697914
21842,-3.73278910319008
21841,-1.81374715169269
21840,-2.36782938639321
21839,-2.9019836425781
21838,-3.63459370930987
21837,-2.22391866048175
21836,-3.27260945638019
21835,-2.79412434895831
21834,-1.91841735839841
21833,-1.92159118652341
21832,-1.00927327473956
21831,-2.41036071777341
21830,-2.17639261881508
21829,-2.07710876464841
21828,-0.798585001627581
21827,-2.65542704264321
21826,-2.6648010253906
21825,-2.50494486490883
21824,-1.3632619222005
21823,-2.91206461588539
21822,-1.61993001302081
21821,-3.57513020833331
21820,-3.29913431803383
21819,-1.46594340006508
21818,-0.963420613606748
21817,-1.18118387858071
21816,-1.82027791341144
21815,-2.14333699544269
21814,-2.0654103597005
21813,-3.72242838541664
21812,-3.72766215006508
21811,-2.98199055989581
21810,-1.04826456705727
21809,-2.86032206217446
21808,-2.56300964355466
21807,-3.07960611979164
21806,-0.501832071940081
21805,-0.883078002929665
21804,-1.99065246582029
21803,-2.12672526041664
21802,-4.06875203450519
21801,-2.42798970540362
21800,-4.71943257649737
21799,-2.65826517740883
21798,-3.85387776692706
21797,-3.84068908691404
21796,-3.23422851562498
21795,-1.63023986816404
21794,-1.84363911946612
21793,-4.06610717773435
21792,-4.85902506510414
21791,-2.91500956217446
21790,-3.4808410644531
21789,-5.85785013834633
21788,-5.06872660319008
21787,-1.88858642578123
21786,-2.0263478597005
21785,-2.96477355957029
21784,-3.89449666341144
21783,-3.23955383300779
21782,-3.03093058268227
21781,-0.648799641927061
21780,-2.87147623697914
21779,-1.98839925130206
21778,-1.88758951822914
21777,-1.07314656575519
21776,-1.40251770019529
21775,-0.619360351562477
21774,-1.92831013997394
21773,-2.04887491861977
21772,-0.839458211262998
21771,-2.88622131347654
21770,-2.25239664713539
21769,-3.57835998535154
21768,-2.57477416992185
21767,-2.28762410481769
21766,-3.26253356933591
21765,-2.00552469889321
21764,-2.33079630533852
21763,-1.90884501139321
21762,-1.51122639973956
21761,-0.642797851562477
21760,-1.08403116861977
21759,-1.48917744954425
21758,-1.72739257812498
21757,-3.1381896972656
21756,-0.670345052083311
21755,-2.7407033284505
21754,-2.12980753580727
21753,-3.13829650878904
21752,-2.42353413899737
21751,-3.18305562337237
21750,-1.59720458984373
21749,-3.00409037272133
21748,-0.924485270182269
21747,-1.93300476074216
21746,-2.929301961263
21745,-1.29422607421873
21744,-3.12000630696612
21743,-3.18208923339841
21742,-2.09805399576821
21741,-3.19281107584633
21740,-3.37954305013019
21739,-4.89484761555987
21738,-3.24701538085935
21737,-2.68697204589841
21736,-2.88008219401039
21735,-2.2423156738281
21734,-3.43725687662758
21733,-5.66033020019529
21732,-0.788636271158831
21731,-2.26710103352862
21730,-0.50346984863279
21729,-2.386821492513
21728,-3.17121480305987
21727,-3.86713256835935
21726,-1.22584126790362
21725,-3.06727193196612
21724,-1.6556457519531
21723,-2.82009989420571
21722,-2.80703328450519
21721,-4.08998209635414
21720,-1.63699951171873
21719,-3.61114603678383
21718,-2.80415954589841
21717,-3.27635294596352
21716,-1.5810607910156
21715,-1.92555338541664
21714,-1.80937805175779
21713,-4.24900919596352
21712,-2.09299316406248
21711,-3.022807820638
21710,-2.56761779785154
21709,-4.08142191569008
21708,-4.04392089843748
21707,-2.92464803059894
21706,-2.42013651529946
21705,-1.29951578776039
21704,-2.94808553059894
21703,-2.95913798014321
21702,-2.48269246419269
21701,-1.96148783365883
21700,-4.87526550292966
21699,-3.46196594238279
21698,-4.1616017659505
21697,-2.25672505696612
21696,-2.86731058756508
21695,-1.74652201334633
21694,-1.21235249837237
21693,-1.245952351888
21692,-1.92038065592446
21691,-1.67520243326821
21690,-2.3183654785156
21689,-1.98516947428383
21688,-0.27391662597654
21687,-1.95478413899737
21686,-0.568477376302061
21685,-1.40966389973956
21684,-2.11439615885414
21683,-2.03747151692706
21682,-3.19417419433591
21681,-2.36364847819008
21680,-3.169048055013
21679,-2.2814748128255
21678,-1.03092041015623
21677,-1.6901916503906
21676,-1.62102355957029
21675,-3.27152608235675
21674,-2.14022928873696
21673,-2.58212381998696
21672,-1.56360982259112
21671,-1.08949381510414
21670,-2.06245524088539
21669,-2.589458211263
21668,-1.8971008300781
21667,-1.10432027180987
21666,-1.01322530110675
21665,-1.47835896809894
21664,-1.98060201009112
21663,-1.12054036458331
21662,-2.23249409993487
21661,-3.83731689453123
21660,-5.38352050781248
21659,-2.97029215494789
21658,-1.78393656412758
21657,-3.0470998128255
21656,-1.89059041341144
21655,-1.79771525065102
21654,-2.96237792968748
21653,-1.19158020019529
21652,-2.03901265462237
21651,-1.68721618652341
21650,-1.23483378092446
21649,-1.61848042805987
21648,-2.62410074869789
21647,-1.29177449544269
21646,-2.33815104166664
21645,-1.23275349934894
21644,-3.55799458821612
21643,-2.05368143717446
21642,-1.36950785319008
21641,-3.03100687662758
21640,-1.23334350585935
21639,-2.01040751139321
21638,-2.24965515136716
