"Winter months (December-January-February) of each years [yr BP]","Average winter mean temperature [degree C]"
21998,-3.88141479492185
21997,-2.60776367187498
21996,-4.27753295898435
21995,-2.00612996419269
21994,-7.11810913085935
21993,-0.798406982421852
21992,-2.45918375651039
21991,-6.20289713541664
21990,-3.69398600260414
21989,-3.21476847330727
21988,-3.11492513020831
21987,-2.46369018554685
21986,-2.90708007812498
21985,-1.87330729166664
21984,-2.38603312174477
21983,-2.5961975097656
21982,-2.4030822753906
21981,-1.05501912434894
21980,-1.92375284830727
21979,-2.89683634440102
21978,-0.638220214843727
21977,-2.5138000488281
21976,-1.86843465169269
21975,-2.24049479166664
21974,-1.3405822753906
21973,-2.52970987955727
21972,-4.24843953450519
21971,-4.82625935872394
21970,-2.27887573242185
21969,-4.59013468424477
21968,-4.09376627604164
21967,-2.83986002604164
21966,-6.4345764160156
21965,-2.19024251302081
21964,-2.07378743489581
21963,-2.28762410481769
21962,-3.50907999674477
21961,-2.98531697591144
21960,-3.05144856770831
21959,-2.74828694661456
21958,-3.39682617187498
21957,-4.28946533203123
21956,-2.46040445963539
21955,-1.09038899739581
21954,-3.62849527994789
21953,-1.6977600097656
21952,-2.66616414388019
21951,-2.27711588541664
21950,-3.73387247721352
21949,-1.17731323242185
21948,-2.51818440755206
21947,-0.235815429687477
21946,-4.09797770182289
21945,-5.33616739908852
21944,-3.50802205403644
21943,-2.76822509765623
21942,-3.31593424479164
21941,-1.78607788085935
21940,-6.11030680338539
21939,-2.69785156249998
21938,-2.54316813151039
21937,-2.8466857910156
21936,-4.06344197591144
21935,-1.30552775065102
21934,-2.08044026692706
21933,-4.71007893880206
21932,-2.33156941731769
21931,-1.2590393066406
21930,-4.4647277832031
21929,-5.6461242675781
21928,-3.47763671874998
21927,-3.21600952148435
21926,-3.44654947916664
21925,-1.62299194335935
21924,-1.77343343098956
21923,-3.81480509440102
21922,-2.07392985026039
21921,-4.15571695963539
21920,-3.13490397135414
21919,-5.18133138020831
21918,-3.63363240559894
21917,-2.81737874348956
21916,-3.42477010091144
21915,-5.90695800781248
21914,-3.33126424153644
21913,-1.99576416015623
21912,-3.28340250651039
21911,-1.83546549479164
21910,-2.72137044270831
21909,-3.82110188802081
21908,-2.70173746744789
21907,-3.03233439127602
21906,-3.81681925455727
21905,-2.74801228841144
21904,-4.03224283854164
21903,-3.10405069986977
21902,-4.26124674479164
21901,-1.95016072591144
21900,-9.40439453124998
21899,-2.29284261067706
21898,-1.59451904296873
21897,-1.51772664388019
21896,-3.16398722330727
21895,-1.92989705403644
21894,-2.19125976562498
21893,-2.10089721679685
21892,-3.92848307291664
21891,-1.8828186035156
21890,-2.19523722330727
21889,-0.412247721354144
21888,-3.73715820312498
21887,-0.361110432942686
21886,-1.52118530273435
21885,-2.67234903971352
21884,-1.29561971028644
21883,-3.69962158203123
21882,-2.16433308919269
21881,-3.22946777343748
21880,-3.16718139648435
21879,-2.14535115559894
21878,-2.93138224283852
21877,-5.9694885253906
21876,-2.4305480957031
21875,-1.40671386718748
21874,-3.37081502278644
21873,-2.61265665690102
21872,-3.29706420898435
21871,-3.01105346679685
21870,-4.92227783203123
21869,-1.99554036458331
21868,-0.567317708333311
21867,-6.39028523763019
21866,-2.67887980143227
21865,-3.32431640624998
21864,-3.42101643880206
21863,-4.7916320800781
21862,-4.95170694986977
21861,-3.32416381835935
21860,-2.26440022786456
21859,-2.2650207519531
21858,-1.72240804036456
21857,-0.883907063802061
21856,-2.72753499348956
21855,-2.66365152994789
21854,-5.35378621419269
21853,-1.97910156249998
21852,-4.42946980794269
21851,-2.85582071940102
21850,-2.51827596028644
21849,-2.39977620442706
21848,-2.2127746582031
21847,-3.59899495442706
21846,-3.52522379557289
21845,-1.36535237630206
21844,-1.41062011718748
21843,-5.2841857910156
21842,-5.07454020182289
21841,-1.81101074218748
21840,-3.40672403971352
21839,-3.60963541666664
21838,-5.11748860677081
21837,-2.35227050781248
21836,-4.34555664062498
21835,-3.19534912109373
21834,-3.19636637369789
21833,-2.94719034830727
21832,-1.52437947591144
21831,-3.07711385091144
21830,-2.55993245442706
21829,-3.30678914388019
21828,-1.10036824544269
21827,-4.15031534830727
21826,-4.39991861979164
21825,-3.69224650065102
21824,-2.15078328450519
21823,-3.87044881184894
21822,-2.14381510416664
21821,-5.32114257812498
21820,-5.07266845703123
21819,-2.54117431640623
21818,-1.64892171223956
21817,-1.09189453124998
21816,-3.04081827799477
21815,-2.71236775716144
21814,-3.84523111979164
21813,-5.18481038411456
21812,-6.58201700846352
21811,-4.10858764648435
21810,-1.7264465332031
21809,-3.43815714518227
21808,-3.78901774088539
21807,-6.01171468098956
21806,-0.508896891276019
21805,-2.01246744791664
21804,-2.97801310221352
21803,-3.23859252929685
21802,-5.66938883463539
21801,-3.56602579752602
21800,-6.70833943684894
21799,-3.73661905924477
21798,-6.56904703776039
21797,-5.16230875651039
21796,-4.17762858072914
21795,-2.38561604817706
21794,-2.50846964518227
21793,-5.02184651692706
21792,-5.45269368489581
21791,-3.86729532877602
21790,-4.45603027343748
21789,-7.35423380533852
21788,-5.39902343749998
21787,-0.974442545572894
21786,-3.12189331054685
21785,-3.05666707356769
21784,-4.96503295898435
21783,-3.24863281249998
21782,-3.18894042968748
21781,-1.72116699218748
21780,-3.72333374023435
21779,-3.23815511067706
21778,-2.58757120768227
21777,-2.96323242187498
21776,-2.92591959635414
21775,-1.50139973958331
21774,-2.10534261067706
21773,-3.61297200520831
21772,-1.44279581705727
21771,-4.30272013346352
21770,-2.6639465332031
21769,-4.97253011067706
21768,-2.94283650716144
21767,-2.96835937499998
21766,-4.6098693847656
21765,-4.36256510416664
21764,-3.30075683593748
21763,-1.88209635416664
21762,-1.80158081054685
21761,-1.53741048177081
21760,-2.49657796223956
21759,-3.09559733072914
21758,-2.81889444986977
21757,-4.96501261393227
21756,-0.971787516276019
21755,-3.9074768066406
21754,-3.18515624999998
21753,-4.95982462565102
21752,-3.72514444986977
21751,-5.61666463216144
21750,-2.48906046549477
21749,-3.77992350260414
21748,-1.06795857747394
21747,-3.40934855143227
21746,-3.56546630859373
21745,-2.41172892252602
21744,-3.95555216471352
21743,-2.90151570638019
21742,-3.09259643554685
21741,-3.72408650716144
21740,-4.11577962239581
21739,-8.33112182617185
21738,-5.39238077799477
21737,-3.68926595052081
21736,-3.82186482747394
21735,-2.97010904947914
21734,-5.57183430989581
21733,-7.18106689453123
21732,-1.37624715169269
21731,-2.76348470052081
21730,-0.772253417968727
21729,-2.43368123372394
