"Summer months (Jule-July-August) of each years [yr BP]","Average summer mean temperature [degree C]"
21999,-7.32006429036456
21998,-5.95336507161456
21997,-7.91496378580727
21996,-6.80229288736977
21995,-5.74735107421873
21994,-7.23790079752602
21993,-6.13844401041664
21992,-5.72003784179685
21991,-7.06292317708331
21990,-5.26291503906248
21989,-5.0565246582031
21988,-6.88339843749998
21987,-5.08184407552081
21986,-7.55203857421873
21985,-6.42934773763019
21984,-5.89755859374998
21983,-5.77340291341144
21982,-5.58324788411456
21981,-6.51251831054685
21980,-5.67449544270831
21979,-6.72091267903644
21978,-5.63600260416664
21977,-6.85021565755206
21976,-8.59715372721352
21975,-7.09368489583331
21974,-7.46241861979164
21973,-7.94021199544269
21972,-6.63667399088539
21971,-6.76352539062498
21970,-6.21531778971352
21969,-7.29059448242185
21968,-6.64776204427081
21967,-6.31270955403644
21966,-6.75791015624998
21965,-6.91127115885414
21964,-5.46982421874998
21963,-5.56807047526039
21962,-9.84978841145831
21961,-7.57029825846352
21960,-6.13046874999998
21959,-5.66784261067706
21958,-6.31971842447914
21957,-6.56898600260414
21956,-7.42549235026039
21955,-6.14547322591144
21954,-4.90946044921873
21953,-5.00994466145831
21952,-6.46005859374998
21951,-7.50953776041664
21950,-7.15099690755206
21949,-7.61739705403644
21948,-7.45077107747394
21947,-5.80088907877602
21946,-5.29232381184894
21945,-7.22798258463539
21944,-6.06565958658852
21943,-5.51605834960935
21942,-7.31057332356769
21941,-6.31069539388019
21940,-5.94732259114581
21939,-7.11740722656248
21938,-7.60789591471352
21937,-6.74940592447914
21936,-8.20561319986977
21935,-6.69554239908852
21934,-5.72807413736977
21933,-6.19357910156248
21932,-5.30467325846352
21931,-5.99867350260414
21930,-5.19548136393227
21929,-5.53265991210935
21928,-6.79812215169269
21927,-6.46671142578123
21926,-5.14841308593748
21925,-5.47661946614581
21924,-6.22372029622394
21923,-5.51985270182289
21922,-6.25484822591144
21921,-5.78380940755206
21920,-6.47612101236977
21919,-4.99122721354164
21918,-6.52140909830727
21917,-7.73105468749998
21916,-7.52884521484373
21915,-6.24645589192706
21914,-6.46458536783852
21913,-8.66005045572914
21912,-6.74741210937498
21911,-3.87754923502602
21910,-6.48504231770831
21909,-8.13045857747394
21908,-7.05970865885414
21907,-8.84205729166664
21906,-7.17526855468748
21905,-7.20824788411456
21904,-6.51888631184894
21903,-4.59776407877602
21902,-6.51010742187498
21901,-6.43615315755206
21900,-7.83614705403644
21899,-5.1411193847656
21898,-7.1379455566406
21897,-7.44335530598956
21896,-5.17187093098956
21895,-6.85714314778644
21894,-7.35174153645831
21893,-5.58256632486977
21892,-8.39506632486977
21891,-7.03277180989581
21890,-7.23030192057289
21889,-5.67782185872394
21888,-6.74423828124998
21887,-4.9107727050781
21886,-6.26152140299477
21885,-6.96551106770831
21884,-4.48941650390623
21883,-6.58035888671873
21882,-5.53172403971352
21881,-6.47111612955727
21880,-7.00931396484373
21879,-3.47300821940102
21878,-7.69852294921873
21877,-6.75313924153644
21876,-4.68235880533852
21875,-7.07519124348956
21874,-7.36845499674477
21873,-6.62118123372394
21872,-6.16425170898435
21871,-5.86210734049477
21870,-6.57598470052081
21869,-6.40827026367185
21868,-6.03241577148435
21867,-7.12320556640623
21866,-8.16418050130206
21865,-6.37786458333331
21864,-8.19365030924477
21863,-7.91739501953123
21862,-6.24022013346352
21861,-4.75043334960935
21860,-6.39017333984373
21859,-7.51765543619789
21858,-7.80023803710935
21857,-6.40465901692706
21856,-5.68287760416664
21855,-6.98895874023435
21854,-6.44932657877602
21853,-6.79755249023435
21852,-6.48778889973956
21851,-6.0457824707031
21850,-5.12349039713539
21849,-3.94631551106769
21848,-5.25535685221352
21847,-6.70343627929685
21846,-5.65896199544269
21845,-6.05815226236977
21844,-6.71816609700519
21843,-6.16097615559894
21842,-6.21443277994789
21841,-6.73388264973956
21840,-7.04406331380206
21839,-6.15013224283852
21838,-6.70928548177081
21837,-6.74285481770831
21836,-5.42061971028644
21835,-6.99349568684894
21834,-6.18965250651039
21833,-6.5981506347656
21832,-5.89693806966144
21831,-6.82547607421873
21830,-4.63457845052081
21829,-7.59599405924477
21828,-4.88522949218748
21827,-8.23655802408852
21826,-7.01817423502602
21825,-4.34071451822914
21824,-5.45729166666664
21823,-5.66738484700519
21822,-6.60555623372394
21821,-6.38633829752602
21820,-5.2824768066406
21819,-6.68006998697914
21818,-5.59997151692706
21817,-6.11021525065102
21816,-6.20626424153644
21815,-6.2391418457031
21814,-6.71557210286456
21813,-6.92065022786456
21812,-6.19014078776039
21811,-8.68142293294269
21810,-6.68783162434894
21809,-6.86495564778644
21808,-6.42574666341144
21807,-6.91404825846352
21806,-6.66271565755206
21805,-7.24566243489581
21804,-6.77965901692706
21803,-7.3190979003906
21802,-7.68525797526039
21801,-6.61697998046873
21800,-6.26780802408852
21799,-7.57151896158852
21798,-7.11013387044269
21797,-6.6812805175781
21796,-6.42157592773435
21795,-5.43676350911456
21794,-6.71353759765623
21793,-7.24153238932289
21792,-7.4027160644531
21791,-6.26065673828123
21790,-7.39334716796873
21789,-8.25402425130206
21788,-6.62343953450519
21787,-5.2377990722656
21786,-6.69414876302081
21785,-6.40672403971352
21784,-7.11303304036456
21783,-6.33576049804685
21782,-7.96809488932289
21781,-6.21440226236977
21780,-6.36452840169269
21779,-6.09795735677081
21778,-6.25773722330727
21777,-6.54219156901039
21776,-6.22274373372394
21775,-5.72533772786456
21774,-7.47813517252602
21773,-5.95750528971352
21772,-6.92427164713539
21771,-6.30460205078123
21770,-5.77524414062498
21769,-8.22682291666664
21768,-6.54201863606769
21767,-5.92291870117185
21766,-5.78526407877602
21765,-5.25914103190102
21764,-9.32472330729164
21763,-6.0304016113281
21762,-5.82704264322914
21761,-6.03216145833331
21760,-6.49901936848956
21759,-4.13851521809894
21758,-6.38183186848956
21757,-5.89871826171873
21756,-5.7487854003906
21755,-5.78645426432289
21754,-7.27397257486977
21753,-5.83872070312498
21752,-7.24228515624998
21751,-6.31767374674477
21750,-6.94199218749998
21749,-6.61115112304685
21748,-7.04586385091144
21747,-7.60185343424477
21746,-5.84301350911456
21745,-5.55810139973956
21744,-6.39853515624998
21743,-7.32572021484373
21742,-6.40571695963539
21741,-6.40221761067706
21740,-6.8592590332031
21739,-7.40587972005206
21738,-5.68133138020831
21737,-6.46527709960935
21736,-7.15031534830727
21735,-6.74070841471352
21734,-8.30479532877602
21733,-7.63580932617185
21732,-6.51786905924477
21731,-6.04674886067706
21730,-7.08074544270831
21729,-6.90082397460935
21728,-5.16372273763019
21727,-7.21752522786456
21726,-4.96996663411456
21725,-8.09828287760414
21724,-6.66396687825519
21723,-6.80302530924477
21722,-6.25530598958331
21721,-8.26889648437498
21720,-7.23947753906248
21719,-8.51486816406248
21718,-6.67763875325519
21717,-6.56906738281248
21716,-5.01705525716144
21715,-7.00529581705727
21714,-6.51110432942706
21713,-5.83097941080727
21712,-5.24031168619789
21711,-7.13783365885414
21710,-8.08250528971352
21709,-6.75482788085935
21708,-6.58272908528644
21707,-6.90457763671873
21706,-5.41630655924477
21705,-6.51304728190102
21704,-6.43142293294269
21703,-7.39732462565102
21702,-6.77629191080727
21701,-6.18617350260414
21700,-7.68938802083331
21699,-7.19692586263019
21698,-7.73820597330727
21697,-5.87767130533852
21696,-4.3199523925781
21695,-5.96254069010414
21694,-4.0074523925781
21693,-6.90847371419269
21692,-5.27674967447914
21691,-6.87377522786456
21690,-6.60257568359373
21689,-5.28288370768227
21688,-7.81145833333331
21687,-7.98623250325519
21686,-5.76101277669269
21685,-6.39069213867185
21684,-5.75070800781248
21683,-6.28425699869789
21682,-5.60688883463539
21681,-5.95845133463539
21680,-6.4462951660156
21679,-6.82560831705727
21678,-5.12295125325519
21677,-7.58123372395831
21676,-7.58044026692706
21675,-6.25658772786456
21674,-5.45762736002602
21673,-6.13215738932289
21672,-6.53366699218748
21671,-5.54788818359373
21670,-5.05816243489581
21669,-7.24319051106769
21668,-7.20352783203123
21667,-6.16315307617185
21666,-7.01229451497394
21665,-6.3786682128906
21664,-6.62719319661456
21663,-6.49864298502602
21662,-6.67720133463539
21661,-5.39560546874998
21660,-6.16881917317706
21659,-5.92130126953123
21658,-5.90457763671873
21657,-7.3114074707031
21656,-6.35160929361977
21655,-5.68947957356769
21654,-7.09932047526039
21653,-5.49985351562498
21652,-7.51773681640623
21651,-5.77407430013019
21650,-6.62260538736977
21649,-6.54186604817706
21648,-7.06710408528644
21647,-5.55393066406248
21646,-6.94096476236977
21645,-6.50036214192706
21644,-4.66461791992185
21643,-7.75460408528644
21642,-5.04539591471352
21641,-6.57987060546873
21640,-5.26924235026039
21639,-7.12368367513019
21638,-5.12633870442706
21637,-6.5528625488281
21636,-6.89314371744789
21635,-6.80831502278644
21634,-5.57645263671873
21633,-6.05019734700519
21632,-7.67360026041664
21631,-7.30295410156248
21630,-4.90803629557289
21629,-6.43008015950519
21628,-6.59544474283852
21627,-5.4924377441406
21626,-5.01086018880206
21625,-7.11819051106769
21624,-7.09621785481769
21623,-5.90394694010414
21622,-6.92726236979164
21621,-6.45999755859373
21620,-6.24737141927081
21619,-8.41320393880206
21618,-6.1976379394531
21617,-4.8813537597656
21616,-7.54315795898435
21615,-4.95022176106769
21614,-5.80044148763019
21613,-6.55728759765623
21612,-7.11305338541664
21611,-6.47704671223956
21610,-6.20463663736977
21609,-6.24078979492185
21608,-5.19899088541664
21607,-8.43504435221352
21606,-5.40266520182289
21605,-6.58120320638019
21604,-6.12543334960935
21603,-8.46555175781248
21602,-7.43816731770831
21601,-8.96040445963539
21600,-7.02129720052081
21599,-5.95927530924477
21598,-6.35744832356769
21597,-6.26802164713539
21596,-5.43782145182289
21595,-6.85267740885414
21594,-4.91502482096352
21593,-5.58488566080727
21592,-6.6413635253906
21591,-7.50588582356769
21590,-6.95579630533852
21589,-7.94132080078123
21588,-6.70754597981769
21587,-5.60955403645831
21586,-6.1919006347656
21585,-6.65953165690102
21584,-7.79998372395831
21583,-5.17584838867185
21582,-8.14245198567706
21581,-6.01955769856769
21580,-7.79479573567706
21579,-7.4165100097656
21578,-7.16202392578123
21577,-7.32326863606769
21576,-5.50325113932289
21575,-6.85349121093748
21574,-7.0202697753906
21573,-6.37742716471352
21572,-5.24015909830727
21571,-7.80793863932289
21570,-8.11747843424477
21569,-6.52220255533852
21568,-6.67280680338539
21567,-8.25670979817706
21566,-7.28914998372394
21565,-8.18509521484373
21564,-5.92415974934894
21563,-8.22679239908852
21562,-5.80688069661456
21561,-7.02760416666664
21560,-7.63106892903644
21559,-7.72795206705727
21558,-5.4345764160156
21557,-5.84514973958331
21556,-7.94464721679685
21555,-7.70055745442706
21554,-5.71625366210935
21553,-5.48629353841144
21552,-6.42585856119789
21551,-5.56143798828123
21550,-8.11212768554685
21549,-6.39373372395831
21548,-5.25079956054685
21547,-5.16278686523435
21546,-6.6141418457031
21545,-7.55934244791664
21544,-5.30692138671873
21543,-6.32299397786456
21542,-6.05183512369789
21541,-6.22576497395831
21540,-6.38386637369789
21539,-5.71768798828123
21538,-7.14629720052081
21537,-6.6295227050781
21536,-6.97884724934894
21535,-5.60784505208331
21534,-5.60039876302081
21533,-6.57188517252602
21532,-5.81320800781248
21531,-6.33233235677081
21530,-5.32292277018227
21529,-6.98659871419269
21528,-7.2160705566406
21527,-5.68198242187498
21526,-7.27956746419269
21525,-6.78680013020831
21524,-5.99246826171873
21523,-6.25319010416664
21522,-3.93459676106769
21521,-6.73803304036456
21520,-6.42638753255206
21519,-5.61617635091144
21518,-6.11080525716144
21517,-5.70434163411456
21516,-5.40338745117185
21515,-5.44396565755206
21514,-7.21992594401039
21513,-5.02667846679685
21512,-6.78022867838539
21511,-6.10507812499998
21510,-6.71488037109373
21509,-5.61159871419269
21508,-7.23541870117185
21507,-7.70611165364581
21506,-7.15307210286456
21505,-8.03862101236977
21504,-7.17759806315102
21503,-8.03178507486977
21502,-6.53530476888019
21501,-7.37312418619789
21500,-5.55410359700519
21499,-7.65945027669269
21498,-5.6524719238281
21497,-6.71751505533852
21496,-5.75978190104164
21495,-6.10103963216144
21494,-7.07973836263019
21493,-7.35176188151039
21492,-6.21532796223956
21491,-6.93979492187498
21490,-6.66739501953123
21489,-7.17923583984373
21488,-5.55692138671873
21487,-6.21029256184894
21486,-6.12717285156248
21485,-6.4755920410156
21484,-5.77683105468748
21483,-6.29422607421873
21482,-8.01939493815102
21481,-5.74423828124998
21480,-6.49506225585935
21479,-6.96700642903644
21478,-5.69440307617185
21477,-6.39938964843748
21476,-7.58658447265623
21475,-5.58897501627602
21474,-4.78497924804685
21473,-6.11135457356769
21472,-7.09826253255206
21471,-6.02401326497394
21470,-5.30706380208331
21469,-5.44247029622394
21468,-6.67703857421873
21467,-6.14988810221352
21466,-5.65708007812498
21465,-6.86668497721352
21464,-5.35392862955727
21463,-5.96614176432289
21462,-5.45294799804685
21461,-7.74116617838539
21460,-6.20295817057289
21459,-5.93149414062498
21458,-7.21083170572914
21457,-6.72536824544269
21456,-6.26058553059894
21455,-6.10568847656248
21454,-5.51146036783852
21453,-6.22331339518227
21452,-5.62900390624998
21451,-5.64342854817706
21450,-5.41940917968748
21449,-6.22810465494789
21448,-9.30837605794269
21447,-6.66840209960935
21446,-6.83339029947914
21445,-7.56263834635414
21444,-7.4932922363281
21443,-5.8409484863281
21442,-5.77899780273435
21441,-4.44719034830727
21440,-6.74710693359373
21439,-7.12594197591144
21438,-6.95199178059894
21437,-6.47139078776039
21436,-4.90755818684894
21435,-7.46907145182289
21434,-4.9025939941406
21433,-6.23492024739581
21432,-6.9740051269531
21431,-7.24482828776039
21430,-6.84613647460935
21429,-5.29498901367185
21428,-7.01539713541664
21427,-5.99174601236977
21426,-8.71280517578123
21425,-6.66787312825519
