"Winter months (December-January-February) of each years [yr BP]","Average winter mean temperature [degree C]"
21998,-4.07733764648435
21997,-4.73780924479164
21996,-3.42278645833331
21995,-4.96849161783852
21994,-1.5637268066406
21993,-4.72025146484373
21992,-3.32358398437498
21991,-2.8975891113281
21990,-4.14166870117185
21989,-3.0383361816406
21988,-4.30600585937498
21987,-4.66856486002602
21986,-4.76344401041664
21985,-3.80951538085935
21984,-3.48123779296873
21983,-2.45283610026039
21982,-2.08022664388019
21981,-3.73167521158852
21980,-1.76582438151039
21979,-2.20530802408852
21978,-2.85949300130206
21977,-2.91942952473956
21976,-2.51830647786456
21975,-3.83576049804685
21974,-3.45495198567706
21973,-3.18800455729164
21972,-2.06472371419269
21971,-3.91934814453123
21970,-3.68194173177081
21969,-7.17398681640623
21968,-4.82694091796873
21967,-4.43277587890623
21966,-2.71825764973956
21965,-5.80418497721352
21964,-4.47850138346352
21963,-5.10525105794269
21962,-5.27590535481769
21961,-4.43119913736977
21960,-4.06685994466144
21959,-2.8306945800781
21958,-4.82146809895831
21957,-3.20934651692706
21956,-2.17494303385414
21955,-3.48807373046873
21954,-3.01240641276039
21953,-2.7957824707031
21952,-2.02196858723956
21951,-2.82250569661456
21950,-4.37007242838539
21949,-4.26570231119789
21948,-2.36971638997394
21947,-3.57624918619789
21946,-2.8396057128906
21945,-4.81415405273435
21944,-4.37935994466144
21943,-3.34231160481769
21942,-4.24861246744789
21941,-4.00699462890623
21940,-3.42379353841144
21939,-5.37160847981769
21938,-3.89267578124998
21937,-5.63475138346352
21936,-2.91727294921873
21935,-3.70063883463539
21934,-5.17442423502602
21933,-1.78392130533852
21932,-5.15910441080727
21931,-3.87775268554685
21930,-2.17744547526039
21929,-3.03844807942706
21928,-3.46760660807289
21927,-4.3546203613281
21926,-3.66062011718748
21925,-2.5347961425781
21924,-4.11791585286456
21923,-2.7678283691406
21922,-4.48672078450519
21921,-4.09952392578123
21920,-1.95620320638019
21919,-3.10593261718748
21918,-3.51787923177081
21917,-4.54347330729164
21916,-4.44786173502602
21915,-3.91668294270831
21914,-2.39416097005206
21913,-2.89871826171873
21912,-2.76680094401039
21911,-2.80096028645831
21910,-3.89549357096352
21909,-3.25935465494789
21908,-4.55866088867185
21907,-5.10961507161456
21906,-5.01873372395831
21905,-5.25119628906248
21904,-4.66220703124998
21903,-4.27274169921873
21902,-2.77772623697914
21901,-4.06847737630206
21900,-3.59922892252602
21899,-4.26248779296873
21898,-4.71769816080727
21897,-3.33095906575519
21896,-3.42193196614581
21895,-4.37645060221352
21894,-4.89311319986977
21893,-6.12684733072914
21892,-3.13142496744789
21891,-2.04228312174477
21890,-1.85028686523435
21889,-3.45725097656248
21888,-2.66814778645831
21887,-2.50467529296873
21886,-2.91078287760414
21885,-3.32371622721352
21884,-2.89847412109373
21883,-3.89657185872394
21882,-3.7119201660156
21881,-3.46066894531248
21880,-3.33430582682289
21879,-4.7659973144531
21878,-6.92658081054685
21877,-3.2207092285156
21876,-2.35762125651039
21875,-4.56666666666664
21874,-4.78087972005206
21873,-4.0887512207031
21872,-2.42987670898435
21871,-4.50175577799477
21870,-2.89326578776039
21869,-5.75741170247394
21868,-5.27083943684894
21867,-3.40828043619789
21866,-4.97509358723956
21865,-7.67539062499998
21864,-2.60725504557289
21863,-4.58719482421873
21862,-3.30734863281248
21861,-4.25632324218748
21860,-5.07400105794269
21859,-3.56120402018227
21858,-3.88728434244789
21857,-3.86284993489581
21856,-3.64546305338539
21855,-6.0526184082031
21854,-3.70941772460935
21853,-4.96102498372394
21852,-5.36675618489581
21851,-6.71480916341144
21850,-4.19235839843748
21849,-3.46829833984373
21848,-1.78850911458331
21847,-2.39789428710935
21846,-4.27667846679685
21845,-5.92263387044269
21844,-2.98629353841144
21843,-2.73896891276039
21842,-4.41845296223956
21841,-4.3990539550781
21840,-5.38661295572914
21839,-3.47462565104164
21838,-3.19189046223956
21837,-2.21572469075519
21836,-3.72310994466144
21835,-3.15580851236977
21834,-3.40627644856769
21833,-4.29641316731769
21832,-3.52391153971352
21831,-3.14473063151039
21830,-2.98360799153644
