"Summer months (Jule-July-August) of each years [yr BP]","Average summer mean temperature [degree C]"
21999,0.171441650390648
21998,-0.514298502604144
21997,0.439182535807314
21996,0.351627604166689
21995,0.759688313802106
21994,0.163344319661481
21993,-0.318192545572894
21992,0.476708984375023
21991,0.580234781901064
21990,0.472873942057314
21989,0.912347412109398
21988,0.171411132812523
21987,0.855086263020856
21986,0.189162190755231
21985,0.572717285156273
21984,0.284468587239606
21983,0.778314208984398
21982,0.937768554687523
21981,1.09781290690106
21980,1.51742960611981
21979,1.12570597330731
21978,0.937727864583356
21977,0.233026123046898
21976,0.765893554687523
21975,0.870395914713564
21974,0.481876627604189
21973,0.388391113281273
21972,0.727176920572939
21971,0.523767089843773
21970,-0.113765462239561
21969,0.196415201822939
21968,0.537377929687523
21967,0.171177164713564
21966,0.220371500651064
21965,0.204939778645856
21964,-0.0313069661458106
21963,0.256138102213564
21962,0.138085937500023
21961,0.821649169921898
21960,-0.0310628255208106
21959,0.359134928385439
21958,0.237949625651064
21957,0.567417399088564
21956,0.800653076171898
21955,-0.0539103190103939
21954,0.185886637369814
21953,0.697300211588564
21952,0.361688232421898
21951,0.426385498046898
21950,0.779494222005231
21949,0.140883382161481
21948,0.205550130208356
21947,0.487817382812523
21946,-0.0581929524739356
21945,0.357843017578148
21944,0.163079833984398
21943,0.459700520833356
21942,0.464054361979189
21941,0.598565673828148
21940,0.743513997395856
21939,0.351912434895856
21938,-0.241206868489561
21937,-0.241206868489561
21936,0.628808593750023
21935,0.135085042317731
21934,0.456669108072939
21933,1.22251790364586
21932,0.493066406250023
21931,0.0660644531250227
21930,1.15333455403648
21929,-0.0172892252603939
21928,0.966231282552106
21927,0.361912027994814
21926,0.381473795572939
21925,1.44272257486981
21924,0.738834635416689
21923,0.581007893880231
21922,0.366794840494814
21921,0.531172688802106
21920,0.471134440104189
21919,0.0195353190104394
21918,0.281986490885439
21917,1.0661560058594
21916,0.385298665364606
21915,0.0364013671875227
21914,0.850457763671898
21913,-0.0771952311197689
21912,0.836623128255231
21911,0.771478271484398
21910,0.381178792317731
21909,0.471775309244814
21908,-0.209590657552061
21907,0.388594563802106
21906,-0.322037760416644
21905,1.00904744466148
21904,-0.110266113281227
21903,0.435917154947939
21902,0.551538085937523
21901,-0.189560953776019
21900,0.205377197265648
21899,-0.128719075520811
21898,-0.0453653971353939
21897,0.447025553385439
21896,0.874943033854189
21895,0.725569661458356
21894,0.127801513671898
21893,0.0945882161458561
21892,0.756361897786481
21891,0.958123779296898
21890,0.237685139973981
21889,0.490940348307314
21888,0.467787679036481
21887,0.616805013020856
21886,0.670424397786481
21885,0.532952880859398
21884,0.802412923177106
21883,-0.0499328613281023
21882,1.04799804687502
21881,0.347497558593773
21880,0.299615478515648
21879,0.940332031250023
21878,0.242252604166689
21877,0.285384114583356
21876,0.628452555338564
21875,0.785160319010439
21874,0.592614746093773
21873,0.392612711588564
21872,0.0469604492187727
21871,0.0965820312500227
21870,-0.0550801595051856
21869,0.650455729166689
21868,0.403599039713564
21867,-0.0798604329426856
21866,0.216638183593773
21865,0.0980977376302311
21864,0.629479980468773
21863,-0.0600545247395606
21862,0.399173990885439
21861,1.32791544596356
21860,0.412082926432314
21859,0.480269368489606
21858,0.551527913411481
21857,0.265201822916689
21856,0.308068847656273
21855,0.501000976562523
21854,0.0847920735677311
21853,0.200748697916689
21852,-0.508011881510394
21851,0.558384195963564
21850,0.945397949218773
21849,0.710493977864606
21848,0.783105468750023
21847,0.288039143880231
21846,0.173699951171898
21845,0.200850423177106
21844,0.196303304036481
21843,0.935133870442731
21842,0.507633463541689
21841,0.529494222005231
21840,0.139784749348981
21839,-0.0871134440103939
21838,0.348840332031273
21837,0.451328531901064
21836,0.0334208170573144
21835,0.0186401367187727
21834,0.0052836100260644
21833,1.06448771158856
21832,0.0251098632812727
21831,1.21390177408856
21830,0.523004150390648
21829,0.388330078125023
21828,0.744948323567731
21827,0.166060384114606
21826,0.479445393880231
21825,0.688907877604189
21824,0.558028157552106
21823,0.304803466796898
21822,0.144687906901064
21821,0.877445475260439
21820,0.248274739583356
21819,0.404687500000023
21818,0.703556315104189
21817,0.938572184244814
21816,0.863020833333356
21815,0.759372965494814
21814,0.179925537109398
21813,7.52766927310707e-05
21812,0.205967203776064
21811,0.929508463541689
21810,-0.0514282226562273
21809,0.767093912760439
21808,1.31865844726565
21807,0.413323974609398
21806,0.116387939453148
21805,0.0233500162760644
21804,0.419925944010439
21803,-0.206660970052061
21802,0.294478352864606
21801,-0.582189941406227
21800,0.326501464843773
21799,-0.0707255045572689
21798,-0.144995117187477
21797,0.700931803385439
21796,0.448073323567731
21795,-0.491278076171852
21794,0.284926350911481
21793,0.221571858723981
21792,0.127648925781273
21791,0.940830485026064
21790,-0.206315104166644
21789,-0.137325032552061
21788,0.529514567057314
21787,0.286909993489606
21786,0.134077962239606
21785,0.301232910156273
21784,-0.0856791178385189
21783,0.404524739583356
21782,-0.148118082682269
21781,1.02077636718752
21780,0.912622070312523
21779,0.811313883463564
21778,0.314619954427106
21777,0.329675292968773
21776,0.868218994140648
21775,0.167840576171898
21774,0.442000325520856
21773,0.985528564453148
21772,-0.0562194824218523
21771,-0.0056416829426856
21770,-0.128535970052061
21769,0.341750081380231
21768,0.383111572265648
21767,0.379815673828148
21766,1.19109497070315
21765,1.15081176757815
21764,0.987420654296898
21763,0.656528727213564
21762,0.698602294921898
21761,0.546899414062523
21760,0.238641357421898
21759,0.930617268880231
21758,0.982863362630231
21757,0.0470011393229394
21756,0.229740397135439
21755,0.898665364583356
21754,0.125187174479189
