"Calendar years [yr BP]","Average yearly mean temperature [degree C]"
21999,-1.59607035319008
21998,-1.96982421874998
21997,-1.7670476277669
21996,-1.40201416015623
21995,-0.970348103841123
21994,-0.987951660156227
21993,-1.94101308186847
21992,-1.17251942952472
21991,-1.06269175211586
21990,-1.3965133666992
21989,-0.525915527343727
21988,-1.76407470703123
21987,-1.6829895019531
21986,-1.62350311279295
21985,-1.40394694010414
21984,-1.61369934082029
21983,-0.71990051269529
21982,-0.713583374023415
21981,-0.754944864908831
21980,0.0638493855794498
21979,-0.666474405924456
21978,-0.477621459960915
21977,-1.03044230143227
21976,-0.555530293782529
21975,-1.10102691650388
21974,-0.900719706217425
21973,-1.13451995849607
21972,-0.927709960937477
21971,-1.16294962565102
21970,-2.44670715332029
21969,-2.41580556233722
21968,-1.59189453124998
21967,-1.5781794230143
21966,-1.48047739664711
21965,-2.37449493408201
21964,-1.93279113769529
21963,-1.64166107177732
21962,-2.72880655924477
21961,-1.53932800292966
21960,-1.82806498209633
21959,-1.11295420328774
21958,-1.63259226481118
21957,-1.18561909993487
21956,-0.589966837565081
21955,-1.30739186604815
21954,-1.04523824055987
21953,-0.587840779622373
21952,-0.692640686035134
21951,-0.870876057942686
21950,-1.51783345540362
21949,-1.2912887573242
21948,-1.30773264567055
21947,-0.903657023111956
21946,-1.41953124999998
21945,-1.76883799235024
21944,-2.06366068522133
21943,-1.34671630859373
21942,-1.60627085367836
21941,-1.28507080078123
21940,-1.11387481689451
21939,-2.10393880208331
21938,-1.59280751546222
21937,-2.33451436360675
21936,-1.17783457438149
21935,-1.35722198486326
21934,-1.6985661824544
21933,-0.360286458333311
21932,-1.58853505452472
21931,-1.32851003011065
21930,-0.604996744791644
21929,-1.30839640299477
21928,-1.34051106770831
21927,-1.66557413736977
21926,-1.38810323079425
21925,-0.34752756754555
21924,-1.41548258463539
21923,-0.877778116861956
21922,-1.91781972249347
21921,-1.6181447347005
21920,-0.577670796712217
21919,-1.23262634277341
21918,-1.24881337483722
21917,-1.18375244140623
21916,-1.86142832438149
21915,-1.5456832885742
21914,-0.682254536946592
21913,-1.29122009277341
21912,-0.990583801269509
21911,-0.675545756022113
21910,-1.51175791422524
21909,-1.42731577555336
21908,-2.20563100179034
21907,-1.4457814534505
21906,-2.1352600097656
21905,-1.44811350504555
21904,-2.20578358968097
21903,-1.46920623779295
21902,-0.975714111328102
21901,-1.82508188883461
21900,-1.8569396972656
21899,-1.72437642415362
21898,-1.46022389729815
21897,-1.1547658284505
21896,-1.03618214925128
21895,-1.68868357340493
21894,-1.96231943766274
21893,-2.12733815511065
21892,-1.04689127604164
21891,-0.424660746256488
21890,-0.894473775227842
21889,-1.24113057454425
21888,-0.762548828124977
21887,-0.748075866699196
21886,-0.801003519693988
21885,-0.715363566080706
21884,-0.845030212402321
21883,-1.08752797444659
21882,-1.00813903808591
21881,-1.55028889973956
21880,-1.37483317057289
21879,-1.63697153727211
21878,-2.00811360677081
21877,-1.67597045898435
21876,-1.0133600870768
21875,-1.42964274088539
21874,-1.64322509765623
21873,-1.49247080485024
21872,-1.14138895670571
21871,-1.6916081746419
21870,-1.61771494547524
21869,-1.86570587158201
21868,-1.75504913330076
21867,-1.48803049723305
21866,-2.27066141764321
21865,-2.80430959065753
21864,-0.717835489908831
21863,-1.93150939941404
21862,-1.53608296712237
21861,-1.3294738769531
21860,-1.64857076009112
21859,-1.09693247477211
21858,-0.83922424316404
21857,-1.4635070800781
21856,-1.5780827840169
21855,-1.80248870849607
21854,-1.96702677408852
21853,-1.86208190917966
21852,-2.90328063964841
21851,-2.17641550699868
21850,-1.42508290608722
21849,-0.870603942871071
21848,-0.625362141927061
21847,-1.06822052001951
21846,-1.95797068277993
21845,-2.21576792399086
21844,-1.19101562499998
21843,-0.844694519042946
21842,-1.51251068115232
21841,-1.7222223917643
21840,-2.08707021077472
21839,-1.55283966064451
21838,-1.17715555826821
21837,-0.920411173502581
21836,-1.80649414062498
21835,-1.271587117513
21834,-1.59946289062498
21833,-1.18361765543618
21832,-1.51579132080076
21831,-0.559556070963519
21830,-0.966126505533831
21829,-1.58663024902341
21828,-1.97550811767576
21827,-1.41761372884112
21826,-1.34762929280597
21825,-1.00059611002602
21824,-0.70207824707029
21823,-1.53247172037758
21822,-1.27808481852211
21821,-0.144316101074196
21820,-1.52136077880857
21819,-1.25983784993487
21818,-0.961368306477842
21817,-0.561412556966123
21816,-1.05252685546873
21815,-0.756193542480446
21814,-1.08805440266925
21813,-1.23544413248696
21812,-1.29871724446612
21811,-1.22574717203774
21810,-1.37060648600258
21809,-1.30285746256508
21808,-0.299213155110654
21807,-0.890158081054665
21806,-1.27776947021482
21805,-1.13553212483722
21804,-1.67556101481118
21803,-2.1046686808268
21802,-1.99528859456378
21801,-3.49160105387368
21800,-2.20437978108722
21799,-2.54826711018878
21798,-1.98990224202472
21797,-1.60647939046222
21796,-1.71948343912758
21795,-2.45177307128904
21794,-2.34022878011065
21793,-2.47330067952472
21792,-1.98982086181638
21791,-2.14747721354164
21790,-2.7263727823893
21789,-3.173442586263
21788,-1.84610087076821
21787,-0.714135233561175
21786,-1.5186091105143
21785,-0.930782063802061
21784,-1.67777862548826
21783,-1.10667775472003
21782,-1.12981262207029
21781,-0.462487284342425
21780,-0.889753723144509
21779,-0.995469156901019
21778,-1.00216013590493
21777,-0.958156331380186
21776,-0.793071492512998
21775,-0.959310913085915
21774,-1.15009663899737
21773,-1.13217773437498
21772,-1.36878560384112
21771,-1.63626454671222
21770,-1.83370310465493
21769,-1.19107157389321
21768,-2.21635284423826
21767,-2.04415232340493
21766,-0.35289611816404
21765,-0.251682027180967
21764,-0.693174743652321
21763,-0.846345011393206
21762,-1.51385599772133
21761,-0.919869486490863
21760,-1.24346771240232
21759,-0.579758707682269
21758,-0.77220764160154
21757,-1.73906555175779
21756,-1.56619364420571
21755,-1.2552068074544
21754,-2.11365865071612
21753,-1.38078155517576
21752,-1.6602361043294
21751,-2.12919464111326
21750,-1.63818206787107
21749,-1.22897949218748
21748,-1.04355214436847
21747,-0.855688476562477
21746,-1.288188680013
21745,-1.26572265624998
21744,-2.05993499755857
21743,-1.52140401204425
21742,-1.71306203206378
21741,-1.66424153645831
21740,-1.86731058756508
21739,-1.51784617106118
21738,-2.09582366943357
21737,-1.74498087565102
21736,-1.7392639160156
21735,-1.4914128621419
21734,-1.57376708984373
21733,-1.81661326090493
21732,-1.3123840332031
21731,-0.862755839029925
21730,-0.413666788736956
21729,0.159224446614606
21728,0.398235575358096
21727,-1.1486139933268
21726,-1.39402618408201
21725,-1.32920939127602
21724,-1.23545176188149
21723,-1.29380137125649
21722,-1.41032765706378
21721,-1.75172017415362
21720,-1.75628509521482
21719,-2.00222117106118
21718,-1.63871612548826
21717,-1.3193166097005
21716,-1.87026062011716
21715,-2.13055013020831
21714,-2.31268412272133
21713,-2.70136108398435
21712,-1.87675323486326
21711,-1.55375010172524
21710,-2.30945943196612
21709,-2.09924672444659
21708,-2.08722534179685
21707,-1.81500854492185
21706,-1.49227752685545
21705,-0.88103332519529
21704,-1.53083394368487
21703,-1.32066446940102
21702,-2.02987518310545
21701,-1.25538228352862
21700,-1.60095062255857
21699,-1.31450500488279
21698,-2.11621449788409
21697,-0.997295125325498
21696,-1.11961466471352
21695,-0.0663589477538835
21694,-0.0860860188801856
21693,-0.818538411458311
21692,-1.34334411621091
21691,-0.866087341308571
21690,-1.30812937418618
21689,-0.698756917317686
21688,-1.37855631510414
21687,-0.897538248697894
21686,-1.25208638509112
21685,-0.960582478841123
21684,-1.28825225830076
21683,-1.63500061035154
21682,-1.66059468587237
21681,-1.21470743815102
21680,-1.52462107340493
21679,-1.63273213704425
21678,-0.579110209147113
21677,-1.04495340983071
21676,-1.01714172363279
21675,-1.14643198649086
21674,-1.51154174804685
21673,-0.542662048339821
21672,-0.801835123697894
21671,-0.183142089843727
21670,-1.0312561035156
