"Full hydrological years [yr BP]","Average yearly mean temperature [degree C]"
21998,-1.82651112874347
21997,-1.85098622639972
21996,-1.19855600992836
21995,-1.49736378987628
21994,-0.552720133463519
21993,-1.93279622395831
21992,-1.3266662597656
21991,-1.04895375569659
21990,-1.29451853434243
21989,-0.858226521809873
21988,-1.28913472493487
21987,-1.6658004760742
21986,-1.84600931803383
21985,-1.49893290201821
21984,-1.63586018880206
21983,-0.712421162923154
21982,-0.571506245930967
21981,-0.935970052083311
21980,0.0373143513997623
21979,-0.466879272460915
21978,-0.622178141276019
21977,-0.897703552246071
21976,-0.579728190104144
21975,-1.11213277180987
21974,-0.975785319010394
21973,-1.07406209309894
21972,-0.804388427734352
21971,-1.29407602945961
21970,-2.08555959065753
21969,-2.59254557291664
21968,-1.56198730468748
21967,-1.76922454833982
21966,-1.26149342854815
21965,-2.47660675048826
21964,-1.77725575764972
21963,-1.95618540445961
21962,-2.42826690673826
21961,-1.62637939453123
21960,-1.93881581624347
21959,-1.24915669759112
21958,-1.6949040730794
21957,-1.09647471110024
21956,-0.507704162597634
21955,-1.2679021199544
21954,-1.21635793050128
21953,-0.693027242024717
21952,-0.560929361979144
21951,-0.733747863769509
21950,-1.4126266479492
21949,-1.50009511311847
21948,-0.958471679687477
21947,-1.38388417561847
21946,-1.12223409016925
21945,-1.72263946533201
21944,-1.97366943359373
21943,-1.56117350260414
21942,-1.39993642171222
21941,-1.55382385253904
21940,-1.33883768717446
21939,-1.94410298665362
21938,-1.53080851236977
21937,-2.29315032958982
21936,-1.10966593424477
21935,-1.42643585205076
21934,-1.74157562255857
21933,-0.195814514160134
21932,-1.58039194742836
21931,-1.51817932128904
21930,-0.522932434082009
21929,-1.41509602864581
21928,-1.19123179117836
21927,-1.71015014648435
21926,-1.39150339762368
21925,-0.397927347818988
21924,-1.25868581136065
21923,-1.03601938883461
21922,-1.75881042480466
21921,-1.75221099853513
21920,-0.536456807454404
21919,-1.22490539550779
21918,-1.31132863362628
21917,-1.21899261474607
21916,-1.72492319742836
21915,-1.60435841878253
21914,-0.843158467610654
21913,-1.36565246582029
21912,-0.598832194010394
21911,-0.911756896972634
21910,-1.34625854492185
21909,-1.3890925089518
21908,-1.95559285481769
21907,-1.58446858723956
21906,-2.12887674967446
21905,-1.74945933024086
21904,-1.87832234700519
21903,-1.75056050618487
21902,-1.02875874837237
21901,-1.68375752766925
21900,-1.64789174397784
21899,-1.84353230794269
21898,-1.71330362955727
21897,-1.24411875406899
21896,-0.903873189290342
21895,-1.49970092773435
21894,-1.99826405843097
21893,-2.25837300618487
21892,-1.14227905273435
21891,-0.500692749023415
21890,-0.722898864746071
21889,-1.19626210530597
21888,-0.855614725748675
21887,-0.713143412272113
21886,-0.824674987792946
21885,-0.916123453776019
21884,-0.596698506673154
21883,-1.20899556477862
21882,-0.839880371093727
21881,-1.34919077555336
21880,-1.47125854492185
21879,-1.52079620361326
21878,-2.3700241088867
21877,-1.54645131429034
21876,-0.942259216308571
21875,-1.306499226888
21874,-1.79537811279295
21873,-1.64446868896482
21872,-1.00616811116534
21871,-1.76949157714841
21870,-1.33772125244138
21869,-2.03008880615232
21868,-1.82366027832029
21867,-1.45434163411456
21866,-2.15800577799477
21865,-2.91711781819659
21864,-0.751549784342425
21863,-1.93903452555336
21862,-1.52623087565102
21861,-1.33285624186196
21860,-1.69497782389321
21859,-1.06690572102862
21858,-1.06715494791664
21857,-1.16439921061196
21856,-1.39008178710935
21855,-2.1160466512044
21854,-1.72262674967446
21853,-1.95021921793618
21852,-2.61043904622394
21851,-2.48969370524086
21850,-1.31336313883461
21849,-1.17806345621743
21848,-0.581037902832009
21847,-0.971350097656227
21846,-1.98117167154946
21845,-2.34154866536456
