"Summer months (April to September) of hydrological
 years [yr BP]","Average summer mean temperature [degree C]"
21998,-1.17366638183591
21997,-0.26048889160154
21996,-0.32927551269529
21995,0.159911092122419
21994,-0.196396891276019
21993,-0.673132324218727
21992,-0.221904500325498
21991,-0.0155497233072689
21990,-0.101889038085915
21989,0.240157063802106
21988,-0.233577473958311
21987,-0.202897135416644
21986,-0.490189615885394
21985,-0.310542805989561
21984,-0.516699218749977
21983,0.272851562500023
21982,0.225305175781273
21981,0.529402669270856
21980,1.00776062011721
21979,0.231744384765648
21978,0.530206298828148
21977,-0.180558268229144
21976,0.307758585612002
21975,0.189411417643252
21974,0.0146118164062727
21973,-0.163473510742165
21972,0.0812927246093977
21971,-0.224656168619769
21970,-1.01455790201821
21969,-0.597311401367165
21968,0.0222666422526269
21967,-0.656846110026019
21966,-0.454224650065081
21965,-0.584143066406227
21964,-0.718415323893206
21963,-0.479874674479144
21962,-1.10721944173175
21961,-0.0924692789713314
21960,-0.891806030273415
21959,-0.262848917643206
21958,-0.354513549804665
21957,-0.233689371744769
21956,0.337737019856794
21955,-0.30034484863279
21954,-0.371308390299456
21953,0.279499308268252
21952,-0.00869852701820643
21951,0.111377970377627
21950,-0.0931101481119564
21949,-0.0829427083333106
21948,-0.345490519205706
21947,-0.134563191731748
21946,-0.392665608723936
21945,-0.528133138020811
21944,-0.67357482910154
21943,-0.46556701660154
21942,-0.191737874348936
21941,0.0646148681640852
21940,-0.0222330729166439
21939,-0.665619913736956
21938,-0.72759094238279
21937,-0.914434814453102
21936,-0.163829549153623
21935,-0.393703206380186
21934,-0.192246500651019
21933,0.828444417317731
21932,0.239358520507835
21931,-0.475836181640602
21930,0.234897867838564
21929,-0.530193074544248
21928,0.0557291666666894
21927,-0.524064127604144
21926,-0.309337361653623
21925,0.82099304199221
21924,-0.0619873046874773
21923,-0.0527608235676856
21922,-0.425482177734352
21921,-0.203812662760394
21920,0.0881998697916894
21919,-0.42149963378904
21918,-0.354767862955706
