"Winter months (October to March) of hydrological
 years [yr BP]","Average winter mean temperature [degree C]"
21998,-2.47935587565102
21997,-3.44148356119789
21996,-2.06783650716144
21995,-3.15463867187498
21994,-0.909043375651019
21993,-3.19246012369789
21992,-2.43142801920571
21991,-2.08235778808591
21990,-2.48714803059894
21989,-1.95661010742185
21988,-2.34469197591144
21987,-3.12870381673175
21986,-3.20182902018227
21985,-2.68732299804685
21984,-2.75502115885414
21983,-1.69769388834633
21982,-1.36831766764321
21981,-2.40134277343748
21980,-0.933131917317686
21979,-1.16550292968748
21978,-1.77456258138019
21977,-1.614848836263
21976,-1.46721496582029
21975,-2.413676961263
21974,-1.96618245442706
21973,-1.98465067545571
21972,-1.6900695800781
21971,-2.36349589029946
21970,-3.15656127929685
21969,-4.58777974446612
21968,-3.14624125162758
21967,-2.88160298665362
21966,-2.06876220703123
21965,-4.36907043457029
21964,-2.83609619140623
21963,-3.43249613444008
21962,-3.74931437174477
21961,-3.16028951009112
21960,-2.98582560221352
21959,-2.23546447753904
21958,-3.03529459635414
21957,-1.95926005045571
21956,-1.35314534505206
21955,-2.23545939127602
21954,-2.0614074707031
21953,-1.66555379231769
21952,-1.11316019694008
21951,-1.57887369791664
21950,-2.73214314778644
21949,-2.91724751790362
21948,-1.57145284016925
21947,-2.63320515950519
21946,-1.85180257161456
21945,-2.91714579264321
21944,-3.27376403808591
21943,-2.65677998860675
21942,-2.6081349690755
21941,-3.17226257324216
21940,-2.65544230143227
21939,-3.22258605957029
21938,-2.33402608235675
21937,-3.67186584472654
21936,-2.05550231933591
21935,-2.45916849772133
21934,-3.29090474446612
21933,-1.220073445638
21932,-3.40014241536456
21931,-2.56052246093748
21930,-1.28076273600258
21929,-2.29999898274737
21928,-2.43819274902341
21927,-2.89623616536456
21926,-2.47366943359373
21925,-1.61684773763019
21924,-2.45538431803383
21923,-2.01927795410154
21922,-3.09213867187498
21921,-3.30060933430987
21920,-1.1611134847005
21919,-2.02831115722654
21918,-2.26788940429685
21917,-2.95765279134112
21916,-3.0329650878906
21915,-2.80563964843748
21914,-1.73317057291664
21913,-2.13614501953123
21912,-1.45911763509112
21911,-2.07285156249998
21910,-2.45773925781248
21909,-2.57277526855466
21908,-3.06459655761716
21907,-3.31569010416664
21906,-3.28750712076821
21905,-3.70427551269529
21904,-2.93344726562498
21903,-3.11172078450519
21902,-2.01417643229164
21901,-2.68637186686196
21900,-2.54961242675779
21899,-3.15626627604164
21898,-3.03063557942706
21897,-2.36226501464841
21896,-2.27200419108071
21895,-2.73793640136716
21894,-3.37733561197914
21893,-3.93075663248696
21892,-2.21800333658852
21891,-1.45853780110675
21890,-1.28317362467446
21889,-2.184184773763
21888,-1.76483764648435
21887,-1.60519002278644
21886,-1.74085591634112
21885,-2.05512593587237
21884,-1.34652811686196
21883,-2.12690836588539
21882,-2.08635050455727
21881,-2.31476949055987
21880,-2.59965616861977
21879,-3.39024963378904
21878,-4.29974975585935
21877,-2.28465881347654
21876,-1.90335184733071
21875,-2.79195760091144
21874,-3.42780659993487
21873,-2.86297200520831
21872,-1.69823811848956
21871,-2.912944539388
21870,-2.11595764160154
21869,-3.94933166503904
21868,-3.51259460449216
21867,-2.21304931640623
21866,-3.45074564615883
21865,-5.10302836100258
21864,-1.81143290201821
21863,-3.24542846679685
21862,-2.54227803548175
21861,-2.75492960611977
21860,-3.44530843098956
21859,-2.30792338053383
21858,-2.19254150390623
21857,-2.0112365722656
21856,-2.46852722167966
21855,-4.05719604492185
21854,-2.73417765299477
21853,-3.38316955566404
21852,-3.83247985839841
21851,-4.81360982259112
21850,-2.65798543294269
21849,-2.34898986816404
21848,-1.25690816243487
21847,-1.69958597819008
21846,-3.25342915852862
21845,-3.95742390950519
21844,-1.73593241373696
21843,-2.08409220377602
21842,-2.81740417480466
21841,-2.60379638671873
21840,-4.15910441080727
21839,-2.45776468912758
21838,-2.0900939941406
21837,-1.42330525716144
21836,-2.68802490234373
21835,-2.25442097981769
21834,-2.66848347981769
21833,-2.91083882649737
21832,-2.35751444498696
21831,-2.12615051269529
21830,-1.83246968587237
21829,-3.13284912109373
21828,-3.83967183430987
21827,-2.01433410644529
21826,-3.23321634928383
21825,-1.54908854166664
21824,-1.88069254557289
21823,-2.43027343749998
21822,-2.84734191894529
21821,-1.00568237304685
21820,-2.15532531738279
21819,-2.26174011230466
21818,-2.62757466634112
21817,-1.85694478352862
21816,-1.45372619628904
21815,-2.45523681640623
21814,-1.64052429199216
21813,-1.87955830891925
21812,-2.22685852050779
21811,-2.76134338378904
21810,-2.1455139160156
21809,-2.28048807779946
21808,-1.58623352050779
21807,-1.25191853841144
21806,-2.15727844238279
21805,-2.26347452799477
21804,-2.80154520670571
21803,-3.48114624023435
21802,-3.08580627441404
21801,-5.27149556477862
21800,-4.10522054036456
21799,-4.15494893391925
21798,-3.46701660156248
21797,-3.19342142740883
21796,-2.65163269042966
21795,-3.79815266927081
21794,-4.35382181803383
21793,-4.68902689615883
21792,-2.38676554361977
21791,-4.69559326171873
21790,-4.60416768391925
21789,-4.56355387369789
21788,-3.81828918457029
21787,-1.81331481933591
21786,-2.49488423665362
21785,-2.01280314127602
21784,-2.05045166015623
21783,-2.70898539225258
21782,-1.22152303059894
21781,-1.91088968912758
21780,-1.31017659505206
21779,-2.2789367675781
21778,-1.82945861816404
21777,-2.18131612141925
21776,-1.49205627441404
21775,-1.93753153483071
21774,-2.03637288411456
21773,-2.36001688639321
21772,-1.97812499999998
21771,-3.17009582519529
21770,-2.83429056803383
21769,-3.21119791666664
21768,-2.96246948242185
21767,-3.79669799804685
21766,-1.14435424804685
21765,-1.04746093749998
21764,-2.23464050292966
21763,-1.39561564127602
21762,-2.80150960286456
21761,-1.55147908528644
21760,-2.8450988769531
21759,-1.45089314778644
21758,-1.16478576660154
21757,-3.25883076985675
21756,-2.80417480468748
21755,-2.68544616699216
21754,-3.40514221191404
21753,-3.03298543294269
