"Winter months (December-January-February) of each years [yr BP]","Average winter mean temperature [degree C]"
21998,-41.9513966878255
21997,-43.4665334065755
21996,-40.8737497965495
21995,-37.7046264648437
21994,-45.6245839436849
21993,-37.4148518880208
21992,-38.0617126464844
21991,-44.1006479899088
21990,-37.219829305013
21989,-44.0382649739583
21988,-40.1023162841797
21987,-40.6816263834635
21986,-41.0833292643229
21985,-39.7655141194661
21984,-38.0761627197265
21983,-41.0387074788411
21982,-43.7556569417318
21981,-47.96689453125
21980,-40.5294453938802
21979,-48.6581532796224
21978,-41.2537089029948
21977,-45.2809865315755
21976,-42.6314351399739
21975,-43.6194722493489
21974,-39.3524129231771
21973,-38.8014231363932
21972,-39.8127960205078
21971,-41.902685546875
21970,-38.8177144368489
21969,-38.6958984375
21968,-38.2873443603515
21967,-38.1382151285807
21966,-40.6601318359375
21965,-40.1579345703125
21964,-41.8032694498698
21963,-42.8424235026041
21962,-38.8195353190104
21961,-44.5150309244791
21960,-37.9178985595703
21959,-41.8859110514323
21958,-39.8963124593099
21957,-41.5252034505208
21956,-48.2318684895833
21955,-41.0416473388672
21954,-40.1684733072916
21953,-38.7828989664713
21952,-36.0829020182291
21951,-47.4054829915364
21950,-43.5669921875
21949,-41.8121907552083
21948,-38.7136545817057
21947,-36.1904866536458
21946,-36.322622680664
21945,-42.5209665934245
21944,-41.3483032226562
21943,-43.2310089111328
21942,-41.4313568115234
21941,-41.0479797363281
21940,-43.4940399169922
21939,-35.9077921549479
21938,-45.2512369791666
21937,-44.8017232259114
21936,-44.4280100504557
21935,-45.12216796875
21934,-40.4912882486979
21933,-44.945181274414
21932,-39.5023559570312
21931,-40.8471537272135
21930,-44.9961456298828
21929,-40.9323435465495
21928,-43.7112386067708
21927,-50.2457692464193
21926,-39.3931538899739
21925,-46.0961008707682
21924,-38.8083506266276
21923,-43.4719401041666
21922,-46.4409545898437
21921,-39.0859792073568
21920,-47.9668284098307
21919,-46.3765167236328
21918,-38.6810567220052
21917,-43.7140157063802
21916,-39.9576782226562
21915,-42.4983683268229
21914,-46.4786794026693
21913,-42.8199981689453
21912,-46.5419728597005
21911,-46.8446156819661
21910,-40.1507680257161
21909,-38.2897501627604
21908,-40.2727823893229
21907,-43.5552327473958
21906,-43.455170694987
21905,-42.9828501383463
21904,-36.739853922526
21903,-38.7514404296875
21902,-46.4735321044922
21901,-45.2052215576172
21900,-41.8690144856771
21899,-39.8959157307943
21898,-44.1346038818359
21897,-47.6958068847656
21896,-40.9890197753906
21895,-46.9496114095052
21894,-41.3587809244791
21893,-39.9414784749349
21892,-42.4223846435547
21891,-36.0166534423828
21890,-42.6870432535807
21889,-42.5623382568359
21888,-42.5612752278646
21887,-37.5831410725911
21886,-45.058213297526
21885,-41.6875315348307
21884,-43.2425699869791
21883,-34.1164459228515
21882,-41.7106791178385
21881,-43.3193471272786
21880,-43.3903208414713
21879,-42.008642578125
21878,-41.7933512369791
21877,-48.7682810465495
21876,-44.2635508219401
21875,-46.0571909586588
21874,-42.1454071044922
21873,-41.4730183919271
21872,-41.3103698730469
21871,-42.5315307617187
21870,-39.1798512776693
21869,-40.1274932861328
21868,-43.6021331787109
21867,-30.8258575439453
21866,-43.2510945638021
21865,-41.3278818766276
21864,-46.7305206298828
21863,-45.2092549641927
21862,-37.6465006510416
21861,-42.6990417480469
21860,-34.0989288330078
21859,-43.9578206380208
21858,-42.7497212727864
21857,-41.7957875569661
21856,-41.8689636230469
21855,-46.4260111490885
21854,-40.3312032063802
21853,-45.4358632405599
21852,-40.7160146077474
21851,-38.4014241536458
21850,-45.8710133870443
21849,-37.1593485514323
21848,-43.5648152669271
21847,-44.9383656819661
21846,-42.2939158121745
21845,-38.8403737386068
21844,-40.8204305013021
21843,-40.3762725830078
21842,-46.6328796386719
21841,-46.9365600585937
21840,-43.753775024414
21839,-39.1923278808594
21838,-44.1147115071614
21837,-44.3157358805338
21836,-43.8325103759765
21835,-41.8136352539062
21834,-47.8273834228515
21833,-42.9213928222656
21832,-41.7792317708333
21831,-41.7040262858073
21830,-38.6605946858724
21829,-42.0661427815755
21828,-42.8409586588541
21827,-42.5917622884114
21826,-44.734467569987
21825,-44.5012929280599
21824,-43.6949625651041
21823,-37.925639851888
21822,-36.9012715657552
21821,-38.8283701578776
21820,-40.9474497477213
21819,-39.6612101236979
21818,-39.4408121744791
21817,-42.1068277994791
21816,-42.3195607503255
21815,-41.6495371500651
21814,-40.8525400797526
21813,-43.2279317220052
21812,-40.3968566894531
21811,-38.136099243164
21810,-42.2586832682291
21809,-42.359732055664
21808,-45.4504557291666
21807,-39.9385131835937
21806,-46.6779286702474
21805,-44.2479665120443
21804,-38.6830963134765
21803,-42.9891825358073
21802,-47.0543273925781
21801,-46.5835276285807
21800,-41.4633951822916
21799,-43.9812683105469
21798,-38.2010050455729
21797,-43.7080190022786
21796,-47.3173329671224
21795,-42.9278574625651
21794,-44.0195271809896
21793,-39.6932637532552
21792,-43.4624084472656
21791,-44.1016092936198
21790,-40.4421193440755
21789,-39.4286916097005
21788,-43.9456136067708
21787,-46.2944549560547
21786,-48.1391357421875
21785,-38.2177846272786
21784,-38.1243296305338
21783,-40.1129923502604
21782,-41.1793223063151
21781,-41.5421813964844
21780,-40.0963806152344
21779,-47.8048105875651
21778,-46.7825073242187
21777,-46.5187642415364
21776,-39.6760162353515
21775,-37.4601755777995
21774,-42.2185475667318
21773,-46.3631754557291
21772,-42.9635070800781
21771,-35.8623870849609
21770,-40.473013305664
21769,-36.1411092122396
21768,-38.2561096191406
21767,-43.1928822835286
21766,-40.7399963378906
21765,-45.4055084228515
21764,-38.2675842285156
21763,-40.5398061116536
21762,-41.6605539957682
21761,-42.7612314860026
21760,-42.7214823404948
21759,-44.0236267089844
21758,-42.4451863606771
21757,-47.8664815266927
21756,-39.6899424235026
21755,-43.8194132486979
21754,-39.7478597005208
21753,-41.7542836507161
21752,-44.3792683919271
21751,-42.7929494222005
21750,-42.6428436279297
21749,-40.8791412353515
21748,-45.6221425374349
21747,-44.4153147379557
21746,-42.3748840332031
21745,-41.7661092122396
21744,-40.3357096354166
21743,-42.1710876464844
21742,-46.7805948893229
21741,-41.8232838948568
21740,-40.7734181722005
21739,-40.7031311035156
21738,-38.4802256266276
21737,-41.6422078450521
21736,-46.619477335612
21735,-41.6760264078776
21734,-40.5834055582682
21733,-47.2103637695312
21732,-46.7815307617187
21731,-44.4240071614583
21730,-42.1504475911458
21729,-44.2074645996094
21728,-47.2498942057291
21727,-38.771332804362
21726,-46.403677368164
21725,-41.5981302897135
21724,-44.2162536621094
21723,-36.1072957356771
21722,-41.5039683024088
21721,-36.5157430013021
21720,-38.3532775878906
21719,-42.9718078613281
21718,-41.9464121500651
21717,-44.1353973388672
21716,-46.6376047770182
21715,-47.5106516520182
21714,-44.8703674316406
21713,-43.8691111246745
21712,-33.6427520751953
21711,-42.705669148763
21710,-41.574321492513
21709,-39.4600128173828
21708,-38.5082051595052
21707,-44.5361948649088
21706,-41.4689290364583
21705,-42.0453501383463
21704,-40.222270711263
21703,-41.5341451009114
21702,-40.2107299804687
21701,-40.8533386230469
21700,-39.5200663248698
21699,-37.0836649576823
21698,-43.4340576171875
21697,-45.5883138020833
21696,-43.5541951497396
21695,-42.5468861897786
21694,-42.6557423909505
21693,-38.1827911376953
21692,-40.610688273112
21691,-40.1447306315104
21690,-45.3849650065104
21689,-49.2932291666666
21688,-40.6122446695963
21687,-47.7563893636068
21686,-45.6490234375
21685,-36.6427164713541
21684,-40.3606018066406
21683,-39.6679341634114
21682,-39.9018564860026
21681,-38.0787414550781
21680,-38.3616190592448
21679,-42.4477803548177
21678,-37.4115712483724
21677,-40.6197825113932
21676,-41.4936686197916
21675,-45.2301747639974
21674,-43.841899617513
21673,-41.816264851888
21672,-42.6407430013021
21671,-47.4931701660156
21670,-44.7597462972005
21669,-47.9016326904297
21668,-43.717133585612
21667,-48.4334777832031
21666,-44.7178609212239
21665,-45.4391082763672
21664,-44.1565409342448
21663,-41.8397430419922
21662,-42.7433939615885
21661,-49.5960754394531
21660,-43.4126749674479
