"Summer months (Jule-July-August) of each years [yr BP]","Average summer mean temperature [degree C]"
21999,-15.8250284830729
21998,-15.6557474772135
21997,-16.5382446289062
21996,-17.0348978678385
21995,-16.6361145019531
21994,-16.5789245605469
21993,-15.8984588623047
21992,-15.1194315592448
21991,-15.7302103678385
21990,-15.6448069254557
21989,-15.7741455078125
21988,-15.3242502848307
21987,-16.6603302001953
21986,-18.0896057128906
21985,-15.891205851237
21984,-15.642182413737
21983,-14.8862670898437
21982,-17.9544942220052
21981,-15.2341064453125
21980,-13.869487508138
21979,-18.0493835449219
21978,-15.8963734944661
21977,-15.3682464599609
21976,-17.0241861979166
21975,-17.9012664794922
21974,-20.1776489257812
21973,-16.8715525309245
21972,-16.7390045166015
21971,-15.9936482747396
21970,-16.6726847330729
21969,-15.3783732096354
21968,-18.1294565836588
21967,-17.3471282958984
21966,-16.1503356933594
21965,-15.6751770019531
21964,-15.7263804117838
21963,-14.3340413411458
21962,-16.6258555094401
21961,-13.3861145019531
21960,-17.2995666503906
21959,-15.8899342854817
21958,-15.7103485107422
21957,-18.6505493164062
21956,-17.7969116210937
21955,-15.1724812825521
21954,-14.6137959798177
21953,-15.0795705159505
21952,-15.8856313069661
21951,-15.8385681152344
21950,-18.4141957600911
21949,-15.3404907226562
21948,-14.8560241699219
21947,-15.3030965169271
21946,-15.4730234781901
21945,-16.4339558919271
21944,-18.4227305094401
21943,-14.9794169108073
21942,-20.2723500569661
21941,-15.9083618164062
21940,-16.5077982584635
21939,-18.0101277669271
21938,-18.483251953125
21937,-16.6842102050781
21936,-14.0819051106771
21935,-20.1442321777344
21934,-14.7441925048828
21933,-14.4195770263672
21932,-14.2556111653646
21931,-13.7722381591797
21930,-19.4762227376302
21929,-17.4801798502604
21928,-18.1217864990234
21927,-16.1638346354166
21926,-13.9195109049479
21925,-17.1241566975911
21924,-19.0585947672526
21923,-14.8195963541666
21922,-13.4488484700521
21921,-14.5340535481771
21920,-18.0017964680989
21919,-15.3541422526041
21918,-16.9880533854166
21917,-15.6637379964192
21916,-18.0592864990234
21915,-13.4086059570312
21914,-18.3867604573567
21913,-18.5537984212239
21912,-17.6782236735026
21911,-18.4796915690104
21910,-16.5128438313802
21909,-16.8181823730469
21908,-20.1252349853515
21907,-20.907578531901
21906,-18.8197133382161
21905,-17.3249318440755
21904,-14.2430074055989
21903,-14.9705261230469
21902,-13.7680928548177
21901,-15.8823404947916
21900,-16.789175415039
21899,-17.3307759602864
21898,-15.2603006998698
21897,-16.8124247233073
21896,-14.1371012369791
21895,-17.0498311360677
21894,-16.2463846842448
21893,-15.5069132486979
21892,-16.0011861165364
21891,-15.0997426350911
21890,-15.1159525553385
21889,-17.7382415771484
21888,-14.8786783854166
21887,-15.0556498209635
21886,-17.4190073649088
21885,-18.6673645019531
21884,-17.3724019368489
21883,-15.3959411621094
21882,-16.0951955159505
21881,-17.3711100260416
21880,-17.2690643310547
21879,-14.8568074544271
21878,-15.1134602864583
21877,-18.0095631917317
21876,-16.1963765462239
21875,-15.0195170084635
21874,-16.8424997965495
21873,-15.1000732421875
21872,-17.7511861165364
21871,-16.5398620605469
21870,-17.2093922932942
21869,-16.9864919026692
21868,-14.1909342447916
21867,-15.7425496419271
21866,-15.5404418945312
21865,-15.2019053141276
21864,-15.2363952636719
21863,-17.8176686604817
21862,-16.3617055257161
21861,-15.4547180175781
21860,-14.1744140625
21859,-16.4988413492838
21858,-17.2813985188802
21857,-14.7462422688802
21856,-15.4047505696614
21855,-14.7323872884114
21854,-14.7966573079427
21853,-16.4215250651041
21852,-16.7339080810547
21851,-15.1421162923177
21850,-17.1724405924479
21849,-14.4205383300781
21848,-16.5517944335937
