"Calendar years [yr BP]","Average yearly mean temperature [degree C]"
21999,-28.3548238118489
21998,-29.527150217692
21997,-31.0480420430501
21996,-29.2098780314127
21995,-28.3583625793457
21994,-28.8553438822428
21993,-28.7519134521484
21992,-27.0750933329264
21991,-28.2317451477051
21990,-26.5890093485514
21989,-29.5079711914062
21988,-27.1582295735677
21987,-30.0198272705078
21986,-29.0074091593424
21985,-29.8292602539062
21984,-29.3944775899251
21983,-28.8001388549804
21982,-30.4281766255696
21981,-29.5508000691732
21980,-30.335494740804
21979,-31.109540049235
21978,-29.2080520629883
21977,-29.667084757487
21976,-29.0061452229817
21975,-29.6201093037923
21974,-29.5250483194987
21973,-30.2924942016601
21972,-30.2253479003906
21971,-29.0843121846517
21970,-29.8761263529459
21969,-27.3519424438476
21968,-28.809922281901
21967,-29.3991264343261
21966,-27.7716608683268
21965,-28.844107055664
21964,-27.9284194946289
21963,-30.4397758483886
21962,-30.2812751770019
21961,-28.8057858784993
21960,-29.7017819722493
21959,-28.7687400817871
21958,-28.9220565795898
21957,-30.2753318786621
21956,-29.6818692525228
21955,-27.1205746968587
21954,-25.9651537577311
21953,-27.8801953633626
21952,-29.7403294881185
21951,-29.862407430013
21950,-29.7948249816894
21949,-29.9080057779948
21948,-27.6910970052083
21947,-27.8836832682291
21946,-28.4320053100586
21945,-30.4988260904948
21944,-29.6358690897623
21943,-28.6260678609212
21942,-31.6835388183594
21941,-30.4988464355469
21940,-30.1783991495768
21939,-29.2784726460775
21938,-30.4016403198242
21937,-28.8484710693359
21936,-30.165577952067
21935,-31.1307370503743
21934,-29.4021171569824
21933,-29.5666844685872
21932,-27.631564839681
21931,-29.2888905843099
21930,-31.1957356770833
21929,-27.9153007507324
21928,-31.6204717000325
21927,-29.3041926066081
21926,-27.317313893636
21925,-32.3502779642741
21924,-29.6043342590332
21923,-28.9326639811198
21922,-32.3271011352539
21921,-28.6554982503255
21920,-31.5010653177897
21919,-31.8392458597819
21918,-29.5757164001465
21917,-31.7567123413086
21916,-28.7622093200683
21915,-29.5002883911133
21914,-32.4460675557454
21913,-28.8409980773926
