"Full hydrological years [yr BP]","Average yearly mean temperature [degree C]"
21998,-30.9754725138346
21997,-29.8433759053548
21996,-29.4631306966146
21995,-28.7558642069498
21994,-29.7533515930176
21993,-28.8027036031087
21992,-26.5535657246907
21991,-28.9870933532715
21990,-26.2606160481771
21989,-29.0157391866048
21988,-27.105883026123
21987,-29.7798891703288
21986,-29.9141779581706
21985,-28.9774332682291
21984,-28.6209040323893
21983,-28.7710721333821
21982,-30.8506848653157
21981,-29.933624013265
21980,-28.4632362365722
21979,-33.1852210998535
21978,-28.0840578715006
21977,-29.6072092692057
21976,-29.872915649414
21975,-30.4935465494791
21974,-28.9529492696126
21973,-29.0265602111816
21972,-30.7798624674479
21971,-29.1258097330729
21970,-29.7429438273112
21969,-28.47240041097
21968,-28.3298807779948
21967,-28.6669614156087
21966,-28.1522493998209
21965,-28.8906056722005
21964,-28.4787111918131
21963,-29.7392066955566
21962,-29.8066594441732
21961,-29.6324384053548
21960,-29.4662956237793
21959,-28.9180257161458
21958,-28.3144388834635
21957,-30.2412132263183
21956,-30.1782643636067
21955,-27.7512268066406
21954,-25.7929786682129
21953,-27.0472765604655
21952,-29.6064590454101
21951,-30.7931020100911
21950,-29.7167572021484
21949,-29.2227246602376
21948,-28.3755884806315
21947,-27.7313471476237
21946,-28.394576772054
21945,-30.2009084065755
21944,-29.3513905843099
21943,-29.9310694376627
21942,-31.2224665323893
21941,-29.0036593119303
21940,-31.1858734130859
21939,-28.429421488444
21938,-30.4043334960937
21937,-29.1064221700032
21936,-30.2241920471191
21935,-31.9858090718587
21934,-28.9208333333333
21933,-30.0659736633301
21932,-27.6443288167317
21931,-27.3181518554687
21930,-32.6430992126465
21929,-28.1114969889323
21928,-30.5255594889323
21927,-30.587328338623
21926,-27.4802853902181
21925,-32.1452227274577
21924,-29.4680605570475
21923,-29.2898379007975
21922,-30.9372695922851
21921,-29.0093393961588
21920,-31.1426541646321
21919,-33.0316680908203
21918,-29.0376775105794
21917,-31.000892384847
21916,-30.2773994445801
21915,-27.9261891682942
21914,-32.5084391276041
21913,-29.2382708231608
21912,-30.4148022969564
21911,-32.4820668538411
21910,-31.0932067871094
21909,-26.7224500020345
21908,-28.9422096252441
21907,-31.7802998860677
21906,-31.204620107015
21905,-29.2613942464192
21904,-27.8332847595215
21903,-27.4044441223144
21902,-29.72080078125
21901,-29.1286694844564
21900,-29.1857309977213
21899,-27.872230275472
21898,-29.928865814209
21897,-30.6671763102213
21896,-30.2094189961751
21895,-33.8639561971028
21894,-29.4221837361653
21893,-28.2488413492838
21892,-29.16189549764
21891,-27.8934120178222
21890,-30.3574216206868
21889,-29.0216316223144
21888,-28.6994906107584
21887,-27.6225125630696
21886,-32.6983678181966
21885,-30.7258412679036
21884,-30.0777839660644
21883,-26.5672566731771
21882,-29.3012756347656
21881,-31.0963170369466
21880,-31.0022351582845
21879,-30.2759117126465
21878,-28.7167597452799
21877,-32.4107167561849
21876,-29.5917546590169
21875,-31.7407999674479
21874,-29.9616302490234
21873,-29.2013076782226
21872,-31.0859804789225
21871,-28.6186215718587
21870,-29.9659039815267
21869,-28.871871693929
21868,-30.0505622863769
21867,-26.4208447774251
21866,-30.5352094014485
21865,-30.2484586079915
21864,-30.0459197998047
21863,-30.3650484720866
21862,-26.5704165140788
21861,-29.1690823872884
21860,-25.7531417846679
21859,-30.3190355936686
21858,-29.752310180664
21857,-30.00369237264
21856,-31.0320266723633
21855,-31.1866630554199
21854,-29.4440737406413
21853,-29.6041447957357
21852,-28.0985232035319
21851,-28.0339734395345
21850,-30.7529345194498
21849,-27.9219853719075
21848,-29.55216700236
21847,-30.000476582845
21846,-28.9424626668294
21845,-29.6181002298991
21844,-28.5802609761556
21843,-27.9277887980143
21842,-31.3438807169596
21841,-30.5152000427246
21840,-27.9907211303711
21839,-28.2242925008138
21838,-29.9907872517903
21837,-28.8740358988444
21836,-30.0070734659831
21835,-28.8771118164062
21834,-32.4519879659017
21833,-30.6379773457845
21832,-28.8100265502929
21831,-30.187540435791
21830,-28.645309193929
21829,-27.7336639404297
21828,-28.2561681111653
21827,-30.3911982218424
21826,-29.9776532491048
21825,-28.5606432596842
21824,-29.7337313334147
21823,-28.7197377522786
21822,-26.7439814249674
21821,-27.3840990702311
21820,-29.1766189575195
21819,-27.9935719807942
21818,-29.4088424682617
21817,-31.2252449035644
21816,-28.2264999389648
21815,-29.5284294128418
21814,-29.7375562032064
21813,-30.6214024861653
21812,-28.7775596618652
21811,-28.2649419148763
21810,-29.190278116862
21809,-30.2742078145345
21808,-31.5311251322428
21807,-29.6116572062174
21806,-30.3857432047526
21805,-29.0866264343261
21804,-27.6355804443359
21803,-28.5679102579752
21802,-30.7947308858235
21801,-32.2591473897298
21800,-30.7756446838379
21799,-28.7249066670735
21798,-29.672647857666
21797,-27.9978291829427
21796,-32.1068417867025
21795,-31.6711842854817
21794,-30.9304832458496
21793,-30.4866457621256
21792,-31.8441197713216
21791,-28.6495549519857
21790,-29.8614194234212
21789,-29.5743863423665
21788,-29.7046735127767
21787,-29.295440419515
21786,-31.514387512207
21785,-28.0964721679687
21784,-27.9476557413737
21783,-29.574378712972
21782,-30.7671239217122
21781,-29.8730008443196
21780,-29.3838383992513
21779,-31.7750762939453
21778,-30.7602498372396
21777,-30.3215545654297
21776,-30.886707051595
21775,-29.2058446248372
21774,-31.0768900553385
21773,-32.39236424764
21772,-29.6926330566406
21771,-28.4637003580729
21770,-27.1472826639811
21769,-26.9446866353353
21768,-27.8821840922038
21767,-30.0189765930176
21766,-30.2548329671224
21765,-31.0500231424967
21764,-28.9281232198079
21763,-30.1776400248209
21762,-30.2304290771484
21761,-28.9935389200846
21760,-30.6228724161784
21759,-29.3852460225423
21758,-30.7038215637207
21757,-31.7440411885579
21756,-28.0752433776855
21755,-28.4500691731771
21754,-28.095192972819
21753,-29.6544212341308
21752,-30.6841669718424
21751,-29.9079243977864
21750,-29.2169695536295
21749,-28.7086051940918
21748,-28.8958063761393
21747,-29.7264122009277
21746,-32.3276466369629
21745,-31.4153363545735
21744,-29.8210141499837
21743,-29.1811444600423
21742,-30.250294748942
21741,-30.316519165039
21740,-29.8874140421549
21739,-30.4909360249837
21738,-27.8661636352539
21737,-27.927592976888
21736,-30.8437115987142
21735,-30.0622873942057
21734,-28.9878016153971
21733,-32.3174702962239
21732,-31.3848187764485
21731,-27.7187917073567
21730,-29.1305119832357
21729,-29.488872273763
21728,-30.209933980306
21727,-29.2533782958984
21726,-31.5974970499674
21725,-30.473127746582
21724,-31.003759765625
21723,-29.1775497436523
21722,-29.0338500976562
21721,-27.5284612019857
21720,-31.0483535766601
21719,-30.0662979125976
21718,-27.7403841654459
21717,-29.0582145690918
21716,-32.0931978861491
21715,-30.3919268290202
21714,-31.3272867838541
21713,-28.9014152526855
21712,-27.6348175048828
21711,-29.9481783548991
21710,-29.061501566569
21709,-29.3483337402344
21708,-28.963897450765
21707,-30.1986234029134
21706,-31.1765083312988
21705,-30.8218355814616
21704,-29.6870216369629
21703,-31.7546028137207
21702,-29.7654759724935
21701,-27.8456545511881
21700,-28.3964739481608
21699,-27.851421101888
21698,-30.7701260884603
21697,-30.2930409749349
21696,-29.7962834676107
21695,-31.3963849385579
21694,-27.1770360310872
21693,-29.1158101399739
21692,-28.4040117899577
21691,-28.884250386556
21690,-29.5602032979329
21689,-30.5990445454915
21688,-28.1842330932617
21687,-30.2906110127767
21686,-30.0641489664713
21685,-28.4495567321777
21684,-29.5399536132812
21683,-26.8213714599609
21682,-27.6264353434245
21681,-29.4720685323079
21680,-29.747427368164
21679,-30.6310981750488
21678,-27.6578125
21677,-31.555268351237
21676,-28.5096547444661
21675,-29.3681154886881
21674,-30.3570566813151
21673,-29.2993581136067
21672,-29.8833348592122
21671,-28.9247561136881
21670,-29.2000246683756
21669,-31.1090098063151
21668,-28.6540613810221
21667,-32.4637702941894
21666,-31.118989054362
21665,-30.2595924377441
21664,-28.8876556396484
21663,-30.3763005574544
21662,-29.3603373209635
21661,-30.1071253458659
21660,-29.4773963928222
21659,-28.7120206197103
21658,-30.1496630350748
21657,-31.4481300354004
21656,-28.9991961161295
21655,-29.3896926879883
21654,-30.019213104248
21653,-29.3529151916504
21652,-31.3587008158366
21651,-25.5590627034505
21650,-30.1179298400879
21649,-28.3442075093587
21648,-29.1826499938965
21647,-30.8597524007161
21646,-29.6835426330566
21645,-27.6472585042317
21644,-29.8372215270996
21643,-32.4562057495117
21642,-30.3182764689127
21641,-28.7251813252767
21640,-32.1327613830566
21639,-30.1826105753581
21638,-29.5763394673665
21637,-30.418569946289
21636,-28.4438067118327
21635,-31.204261525472
21634,-29.3662628173828
21633,-29.2372077941894
21632,-31.0205558776855
21631,-30.4940602620442
21630,-28.8391759236653
21629,-29.2516731262207
21628,-32.4553703308105
21627,-30.0493403116862
21626,-30.5670316060384
21625,-28.0771697998047
21624,-30.8465649922689
21623,-30.7512128194173
21622,-30.2656361897786
21621,-29.8526354471842
21620,-29.8509518941243
21619,-31.4681190490722
21618,-27.6893880208333
21617,-28.2430213928222
21616,-30.1999839782715
21615,-29.9865732828776
21614,-31.9325915018717
21613,-32.3642384847005
21612,-29.7836517333984
21611,-31.3264284769694
21610,-30.6934926350911
21609,-28.6181688944498
21608,-29.988882446289
21607,-26.7972956339518
21606,-33.2481610616048
21605,-31.8023005167643
21604,-31.1962799072265
21603,-31.8897893269857
21602,-30.139387512207
21601,-30.9667063395182
21600,-29.0677436828613
21599,-29.6915433247884
21598,-29.0086298624674
21597,-29.8106966654459
21596,-31.6451032002767
21595,-30.0205177307129
21594,-27.2660278320312
21593,-29.6607167561849
21592,-30.9633227030436
21591,-27.6533264160156
21590,-30.3175326029459
21589,-29.5989415486653
21588,-30.2258870442708
21587,-28.0651814778646
21586,-30.1489255269368
21585,-26.1953821818034
21584,-29.116687520345
21583,-29.3920717875163
21582,-29.5711718241373
21581,-28.3535776774088
21580,-30.1111167907715
21579,-30.1048721313476
21578,-28.6154413859049
21577,-31.079874420166
21576,-30.1680397033691
21575,-28.1685852050781
21574,-29.8772872924804
21573,-29.2063952128092
21572,-28.4669352213541
21571,-29.5977106730143
21570,-32.6360687255859
21569,-31.0170883178711
21568,-29.1060292561849
21567,-31.0382840474446
21566,-28.3812825520833
21565,-28.8155921936035
21564,-25.7565533955892
21563,-28.6866338094075
21562,-30.3229545593261
21561,-31.0551119486491
21560,-30.9301946004232
21559,-31.5274083455403
21558,-27.480207824707
21557,-29.2593037923177
21556,-29.1620226542155
21555,-29.3814351399739
21554,-29.3570897420247
21553,-29.6435162862142
21552,-30.3882736206054
21551,-27.5946919759114
21550,-31.5341044108073
21549,-31.0997718811035
21548,-28.4543314615885
21547,-28.6626164754232
21546,-29.0142412821452
21545,-30.7674201965332
21544,-30.6073834737142
21543,-27.819625600179
21542,-29.812488301595
21541,-30.6232093811035
21540,-29.9091285705566
21539,-30.1388763427734
21538,-32.4743967692057
21537,-30.199134572347
21536,-30.0950963338216
21535,-29.6604103088379
21534,-28.4657157897949
21533,-27.9538711547851
21532,-31.556182607015
21531,-32.1776667277018
21530,-29.7725001017252
21529,-29.8187622070312
21528,-28.0918805440267
21527,-30.982639058431
21526,-27.4207583109538
21525,-30.5033795674642
21524,-28.462333424886
21523,-28.3137941996256
21522,-29.2817965189616
21521,-28.5201057434082
21520,-28.6536404927571
21519,-29.2424987792969
21518,-29.1034174601237
21517,-28.695425415039
21516,-29.2387616475423
21515,-29.4507100423177
21514,-30.9618375142415
21513,-29.4959993998209
21512,-29.5465543111165
21511,-28.6316042582194
21510,-28.1415199279785
21509,-27.7107058207194
21508,-30.0975708007812
21507,-28.1343788146972
21506,-30.9421714782715
21505,-30.4940157572428
21504,-28.5004536946614
21503,-30.5206665039062
21502,-29.0540336608886
21501,-29.2760681152344
21500,-27.7913218180338
21499,-28.9513763427734
21498,-28.2791262308756
21497,-30.6153638203939
21496,-28.8412854512532
21495,-27.5927833557129
21494,-28.8966112772623
21493,-27.8250513712565
21492,-30.0968027750651
21491,-29.4489451090495
21490,-28.3314575195312
21489,-27.369965616862
21488,-30.1330245971679
21487,-29.2458836873372
21486,-30.3415715535482
21485,-29.6267977396647
21484,-29.2834381103515
21483,-31.1372538248698
21482,-29.3494209289551
21481,-29.4914688110351
21480,-30.6973836263021
21479,-28.5178830464681
21478,-27.8258995056152
21477,-30.0545944213867
21476,-29.708723449707
21475,-28.079578145345
21474,-31.1013626098633
21473,-30.102330271403
21472,-28.1419497172038
21471,-28.0263224283854
21470,-30.5953341166178
21469,-28.7585599263509
21468,-29.7425534566243
21467,-27.5699053446452
21466,-29.1702560424804
21465,-30.8908854166666
21464,-27.3040603637695
21463,-31.3710578918457
21462,-30.9164782206217
21461,-30.9609245300293
21460,-29.3919026692708
21459,-28.3488703409831
21458,-30.0523208618164
21457,-32.3214223225911
21456,-30.0407127380371
21455,-30.7210843404134
21454,-27.7937276204427
21453,-29.234659576416
21452,-26.3238204956054
21451,-30.9540033976237
21450,-31.175203704834
21449,-27.7093617757161
21448,-29.4924301147461
21447,-30.7733075459798
21446,-30.5603215535482
21445,-32.2206520080566
21444,-31.5170094807942
21443,-30.6862497965495
21442,-29.8031232198079
21441,-31.2717969258626
21440,-30.8876772562663
21439,-32.9607541402181
21438,-30.1573420206706
21437,-30.0134376525879
21436,-30.7920669555664
21435,-30.3786567687988
21434,-28.487469736735
21433,-27.8802360534668
21432,-29.3872080485026
21431,-29.9150324503581
21430,-30.6620900472005
21429,-29.7579114278157
21428,-31.4329284667969
21427,-30.6926381429036
21426,-30.8668261210123
21425,-28.8801076253255
21424,-29.7744532267252
21423,-30.5111717224121
21422,-30.6130012512207
21421,-28.5102879842122
21420,-29.8689699808756
21419,-30.0690762837728
21418,-27.4910936991373
21417,-29.9894050598144
21416,-28.0936022440592
21415,-30.0303723653157
21414,-30.2915316263834
21413,-28.304416402181
21412,-29.6130343119303
21411,-27.5882960001627
21410,-32.3486656188965
21409,-30.6980664571126
21408,-29.0311645507812
21407,-30.3932327270508
21406,-29.9427220662435
21405,-27.8860674540202
21404,-28.6454706827799
21403,-28.2558731079101
21402,-30.2776308695475
21401,-31.2112932840983
21400,-30.0811040242513
21399,-29.196324412028
21398,-26.5994183858235
21397,-27.5264610290527
21396,-29.3014269510905
21395,-29.8614562988281
21394,-30.0741714477539
21393,-27.9901845296224
21392,-27.978800201416
21391,-28.5116574605306
21390,-31.2724454243978
21389,-31.0372248331706
21388,-27.9550702412923
21387,-29.8998156229655
21386,-29.6047297159831
21385,-29.4330301920573
21384,-27.925936126709
21383,-29.633580271403
21382,-29.5085637410482
21381,-26.8668782552083
21380,-27.7518969217936
21379,-29.2604939778646
21378,-30.0532084147135
21377,-29.7577168782552
21376,-29.2646812438965
21375,-29.0696535746256
21374,-29.628276570638
21373,-32.8606272379557
21372,-29.2121668497721
21371,-29.3686342875163
21370,-30.2756345113118
21369,-26.6588399251302
21368,-30.7963610331217
21367,-32.1434628804525
21366,-28.8970321655273
21365,-29.1341384887695
21364,-30.1605565388997
21363,-29.0612065633138
21362,-29.5964162190755
21361,-30.8560101826985
21360,-29.4843849182129
21359,-29.2736686706543
21358,-28.752855682373
21357,-28.1430992126465
21356,-29.6394065856933
21355,-29.7971824645996
21354,-31.0270230611165
21353,-29.5019630432129
21352,-29.0377817789713
21351,-31.1453244527181
21350,-31.0235275268554
21349,-31.5380259195963
21348,-30.4994682312011
21347,-31.702547454834
21346,-27.7132667541504
21345,-28.2135986328125
21344,-30.4289777119954
21343,-33.5679039001465
21342,-28.0098327636719
21341,-27.6712109883626
21340,-29.8270909627278
21339,-31.8092839558919
21338,-28.6459322611491
21337,-29.0197624206543
21336,-28.8458084106445
21335,-30.0309725443522
21334,-30.6871081034342
21333,-31.3800796508789
21332,-29.1583923339844
21331,-29.3273478190104
21330,-29.2569946289062
21329,-29.3354515075683
21328,-30.5881472269694
21327,-29.3591878255208
21326,-28.6215830485026
21325,-28.2026326497396
21324,-28.1785046895345
21323,-27.3849179585775
21322,-29.8578336079915
21321,-28.2306922912597
21320,-30.1400360107422
21319,-28.2096733093261
21318,-30.209933980306
21317,-29.5191685994466
21316,-30.1275670369466
21315,-29.7302332560221
21314,-29.1799364725748
21313,-28.5984761555989
21312,-30.3955800374349
21311,-31.3785346984863
21310,-28.0477877298991
21309,-29.6758178710937
21308,-29.6823893229166
21307,-30.8029057820638
21306,-28.9394922892252
21305,-30.0099116007487
21304,-30.9843454996745
21303,-27.5730321248372
21302,-31.2124885559082
21301,-28.3562263488769
21300,-29.7104502360026
21299,-29.5221796671549
21298,-29.4725949605306
21297,-31.1183278401692
21296,-30.5978683471679
21295,-28.4726305643717
21294,-30.7869031270345
21293,-28.6496121724446
21292,-28.5571350097656
21291,-28.6222086588541
21290,-28.5591453552246
21289,-29.9274836222331
21288,-29.4230458577474
21287,-31.8903081258138
21286,-29.5248423258463
21285,-30.6777989705403
21284,-28.159838104248
21283,-26.3938596089681
21282,-31.1231419881185
21281,-28.8073295593261
21280,-31.0193618774414
21279,-31.7070348103841
21278,-30.646467590332
21277,-30.1765986124674
21276,-28.2714561462402
21275,-26.5751696268717
21274,-30.917635345459
21273,-29.2332901000976
21272,-28.5508636474609
21271,-27.2487714131673
21270,-28.0512743631998
21269,-28.9924733479817
21268,-30.0537157694498
21267,-29.7265635172526
21266,-29.8701245625814
21265,-29.0515909830729
21264,-29.0512362162272
21263,-28.6299054463704
21262,-28.0488253275553
21261,-30.471346282959
21260,-29.4624809265136
21259,-28.7293139139811
21258,-31.4264129638672
21257,-28.1375844319661
21256,-30.6079416910807
21255,-26.5556193033854
21254,-29.5562296549479
21253,-29.865773264567
21252,-29.4775769551595
21251,-28.4096626281738
21250,-29.3150581359863
21249,-31.5273625691732
21248,-30.3429537455241
21247,-30.9784784952799
21246,-29.6339083353678
21245,-28.3518191019694
21244,-28.8941444396972
21243,-29.2446604410807
21242,-30.9126851399739
21241,-30.0917241414388
21240,-28.5484743754069
