"Summer months (April to September) of hydrological
 years [yr BP]","Average summer mean temperature [degree C]"
21998,-22.2775990804036
21997,-22.51732228597
21996,-21.091037495931
21995,-21.0284383138021
21994,-20.3465866088867
21993,-21.806265258789
21992,-20.0498489379883
21991,-20.6927652994791
21990,-19.9530014038086
21989,-21.7310928344726
21988,-20.5076456705729
21987,-22.071401977539
21986,-22.4116424560547
21985,-21.6428588867187
21984,-21.914643351237
21983,-19.4054092407226
21982,-21.1183990478515
21981,-22.0986770629883
21980,-19.9277023315429
21979,-22.7341420491536
21978,-20.1503051757812
21977,-21.1170054117838
21976,-19.5408462524414
21975,-23.4151011149088
21974,-22.7036727905273
21973,-22.6529881795247
21972,-23.1630767822265
21971,-20.4348154703776
21970,-22.4015869140625
21969,-21.2494695027669
21968,-22.5155319213867
21967,-23.3536056518554
21966,-20.6038752237956
21965,-19.7064651489258
21964,-20.3726003011067
21963,-21.4793279012044
21962,-21.5892369588216
21961,-18.9502777099609
21960,-22.2995183308919
21959,-20.1891718546549
21958,-19.9017064412435
21957,-21.3216334025065
21956,-21.9319264729817
21955,-19.7635075887044
21954,-17.4211613972982
21953,-18.4705897013346
21952,-22.0893208821614
21951,-19.6819544474284
21950,-23.9080922444661
21949,-21.6417602539062
21948,-21.8315363566081
21947,-20.4400009155273
21946,-22.6373402913411
21945,-21.2170369466146
21944,-22.7500671386719
21943,-20.2012720743815
21942,-25.636203511556
21941,-21.4910339355469
21940,-21.8822870890299
21939,-22.4622863769531
21938,-21.8850972493489
21937,-19.8454574584961
21936,-19.4167134602864
21935,-24.2455988566081
21934,-21.3458719889323
21933,-20.5894048055013
21932,-20.7583577473958
21931,-18.0653391520182
21930,-22.9728759765625
21929,-20.6185668945312
21928,-23.6026290893554
21927,-20.3761428833008
21926,-17.7487218221028
21925,-23.5717681884765
21924,-23.536609395345
21923,-21.4563100179036
21922,-21.840305074056
21921,-20.6538146972656
21920,-22.3853159586588
21919,-21.4807469685872
21918,-20.9838826497396
21917,-21.5784108479817
21916,-23.1975896199544
21915,-18.4356953938802
21914,-22.7668924967448
21913,-21.344091796875
21912,-20.703113301595
21911,-24.1990315755208
21910,-23.2419469197591
21909,-21.1679901123047
21908,-20.2738555908203
21907,-22.9132013956706
21906,-23.0802444458008
21905,-22.7572133382161
21904,-19.7939259847005
21903,-20.878146870931
21902,-20.3199778238932
21901,-20.4949274698893
21900,-19.2953577677409
21899,-19.8478073120117
21898,-22.1086130777995
21897,-20.3456227620442
21896,-20.7759358723958
21895,-26.1050603230794
21894,-21.0259765625
21893,-19.9962829589844
21892,-19.7516006469726
21891,-20.6322057088216
21890,-21.2172200520833
21889,-21.0017862955729
21888,-20.489963277181
21887,-19.8827143351237
21886,-23.4815022786458
21885,-21.4989837646484
21884,-22.4454406738281
21883,-19.9293273925781
21882,-20.5289520263672
21881,-21.4166244506836
21880,-22.3220021565755
21879,-21.3196497599284
21878,-19.3170506795247
21877,-21.8040730794271
21876,-20.4873158772786
21875,-22.5846745808919
21874,-22.289767964681
21873,-19.7039677937825
21872,-24.5454823811849
21871,-19.0443735758463
21870,-21.1695032755534
21869,-21.8242477416992
21868,-21.5128997802734
21867,-19.3815546671549
21866,-21.7083826700846
21865,-19.9868453979492
21864,-21.5690241495768
21863,-20.7926417032877
21862,-20.3483947753906
21861,-19.7582636515299
21860,-17.7897018432617
21859,-21.2655904134114
21858,-21.0466445922851
21857,-21.3862721761067
21856,-22.5623128255208
21855,-21.139741007487
21854,-18.1574691772461
21853,-20.0138051350911
21852,-20.5773427327474
21851,-21.5747233072916
21850,-22.915256245931
21849,-20.9375366210937
21848,-21.9784301757812
21847,-20.7795547485351
21846,-19.981059773763
21845,-22.8636484781901
21844,-18.2226521809896
21843,-18.5968510945638
21842,-23.200048828125
21841,-20.0483357747396
21840,-20.2288497924804
21839,-19.8967753092448
21838,-20.7514709472656
21837,-19.3279327392578
21836,-20.68724416097
