"Winter months (October to March) of hydrological
 years [yr BP]","Average winter mean temperature [degree C]"
21998,-39.6733459472656
21997,-37.1694295247396
21996,-37.8352238972982
21995,-36.4832901000976
21994,-39.1601165771484
21993,-35.7991419474284
21992,-33.0572825113932
21991,-37.2814214070638
21990,-32.5682306925455
21989,-36.300385538737
21988,-33.7041203816732
21987,-37.4883763631185
21986,-37.4167134602864
21985,-36.3120076497396
21984,-35.3271647135416
21983,-38.1367350260416
21982,-40.5829706827799
21981,-37.7685709635416
21980,-36.9987701416015
21979,-43.6363001505534
21978,-36.01781056722
21977,-38.0974131266276
21976,-40.2049850463867
21975,-37.5719919840495
21974,-35.2022257486979
21973,-35.4001322428385
21972,-38.3966481526693
21971,-37.8168039957682
21970,-37.0843007405599
21969,-35.6953313191732
21968,-34.1442296346028
21967,-33.980317179362
21966,-35.7006235758463
21965,-38.0747461954752
21964,-36.5848220825195
21963,-37.9990854899088
21962,-38.0240819295247
21961,-40.3145991007487
21960,-36.6330729166666
21959,-37.6468795776367
21958,-36.7271713256836
21957,-39.1607930501302
21956,-38.4246022542318
21955,-35.7389460245768
21954,-34.1647959391276
21953,-35.6239634195963
21952,-37.1235972086588
21951,-41.9042495727539
21950,-35.5254221598307
21949,-36.803689066569
21948,-34.9196406046549
21947,-35.02269337972
21946,-34.1518132527669
21945,-39.1847798665364
21944,-35.9527140299479
21943,-39.660866800944
21942,-36.8087295532226
21941,-36.5162846883138
21940,-40.4894597371419
21939,-34.3965565999349
21938,-38.9235697428385
21937,-38.3673868815104
21936,-41.0316706339518
21935,-39.7260192871094
21934,-36.4957946777344
21933,-39.5425425211588
21932,-34.5302998860677
21931,-36.5709645589193
21930,-42.3133224487304
21929,-35.6044270833333
21928,-37.4484898885091
21927,-40.7985137939453
21926,-37.2118489583333
21925,-40.7186772664388
21924,-35.39951171875
21923,-37.1233657836914
21922,-40.0342341105143
21921,-37.3648640950521
21920,-39.8999923706054
21919,-44.5825892130534
21918,-37.0914723714193
21917,-40.4233739217122
21916,-37.3572092692057
21915,-37.4166829427083
21914,-42.2499857584635
21913,-37.1324498494466
21912,-40.1264912923177
21911,-40.7651021321614
21910,-38.9444666544596
21909,-32.2769098917643
21908,-37.6105636596679
21907,-40.6473983764648
21906,-39.3289957682291
21905,-35.7655751546224
21904,-35.8726435343424
21903,-33.9307413736979
21902,-39.1216237386068
21901,-37.7624114990234
