"Summer months (April to September) of hydrological
 years [yr BP]","Average summer mean temperature [degree C]"
21998,-5.78094584147133
21997,-4.66952107747394
21996,-5.636089070638
21995,-5.51874898274737
21994,-4.49637451171873
21993,-4.82808024088539
21992,-6.10794677734373
21991,-3.96988016764321
21990,-5.05290323893227
21989,-7.73078002929685
21988,-5.26566670735675
21987,-5.37625732421873
21986,-4.22548522949216
21985,-5.18090413411456
21984,-4.50590616861977
21983,-3.73053588867185
21982,-3.38795064290362
21981,-6.58782806396482
21980,-4.71297810872394
21979,-6.12863260904946
21978,-4.87252400716144
21977,-4.764995320638
21976,-4.64950154622394
21975,-6.42297719319659
21974,-5.25126241048175
21973,-5.90973765055336
21972,-7.03429514567055
21971,-4.9348943074544
21970,-5.52601216634112
21969,-3.93083292643227
21968,-6.418803914388
21967,-6.87198994954425
21966,-5.6093556722005
21965,-4.66084391276039
21964,-4.30426635742185
21963,-4.82857360839841
21962,-5.38369852701821
21961,-3.37486877441404
21960,-5.11848551432289
21959,-5.56846720377602
21958,-4.72789103190102
21957,-4.98776346842446
21956,-4.883647664388
21955,-3.93739166259763
21954,-3.08272399902341
21953,-4.47975260416664
21952,-6.41382954915362
21951,-4.01166381835935
21950,-8.59839223225909
21949,-3.98124287923175
21948,-4.73328755696612
21947,-5.61636962890623
21946,-6.5068420410156
21945,-3.92188618977862
21944,-5.95912272135414
21943,-4.01426798502602
21942,-6.67369181315102
21941,-7.15645446777341
21940,-5.14630482991534
21939,-4.48684794108071
21938,-6.08661499023435
21937,-4.90194803873696
21936,-4.379497273763
21935,-5.41674397786456
21934,-4.59212849934894
21933,-4.85898437499998
21932,-4.9240783691406
21931,-3.51676025390623
21930,-5.78949076334633
21929,-4.78650258382159
21928,-5.73150227864581
21927,-5.25349527994789
21926,-2.8862111409505
21925,-5.19673258463539
21924,-6.63987833658852
21923,-5.2182423909505
21922,-6.36246846516925
21921,-5.3440739949544
21920,-7.54639790852862
21919,-4.49692382812498
21918,-4.1865295410156
21917,-5.27789916992185
21916,-6.05848795572914
21915,-3.20059305826821
21914,-6.00340627034503
21913,-4.55973917643227
21912,-3.61268717447914
21911,-4.86024576822914
21910,-5.8022750854492
21909,-5.14782816569008
21908,-3.40958251953123
21907,-4.41847330729164
21906,-5.74395345052081
21905,-6.03784281412758
21904,-4.66329040527341
21903,-3.94917399088539
21902,-4.81783905029295
21901,-2.24097798665362
21900,-3.9340881347656
21899,-4.67926890055336
21898,-5.36799723307289
21897,-4.29592997233071
21896,-5.27975056966144
21895,-7.06921488444008
21894,-4.56116841634112
21893,-6.87141011555987
21892,-6.78174692789711
21891,-5.67367655436196
21890,-4.57279561360675
21889,-4.40873819986977
21888,-7.35858256022133
21887,-5.40370788574216
21886,-4.31005452473956
21885,-4.68870391845701
21884,-4.86126810709633
21883,-4.70924987792966
21882,-4.99356180826821
21881,-5.20422719319659
21880,-5.70106608072914
21879,-5.47203928629555
21878,-3.48257039388019
21877,-5.24118652343748
21876,-3.59881693522133
21875,-5.99861246744789
21874,-6.85821126302081
21873,-4.55535481770831
21872,-6.33436940511065
21871,-4.25539245605466
21870,-4.22052612304685
21869,-4.65860595703123
21868,-6.61149698893227
21867,-3.44565429687498
21866,-4.41968892415362
21865,-4.42469889322914
21864,-4.62010294596352
21863,-4.26559549967446
21862,-4.25668436686196
21861,-3.15472005208331
21860,-3.82883300781248
21859,-4.56545104980466
21858,-4.16441446940102
21857,-5.01216227213539
21856,-5.88100789388019
21855,-4.17552795410154
21854,-4.088725789388
21853,-3.69379781087237
21852,-4.68300984700519
21851,-4.8670715332031
21850,-5.10614115397133
21849,-5.07423502604164
21848,-4.94207356770831
21847,-5.18204091389972
21846,-3.72451883951821
21845,-6.46528727213539
21844,-3.67266438802081
21843,-4.29980570475258
21842,-5.10082600911456
21841,-4.15394694010414
21840,-6.31718292236326
21839,-3.79373779296873
21838,-5.49733072916664
21837,-4.19280598958331
21836,-4.16158142089841
21835,-3.43729756673175
21834,-6.06837819417315
21833,-5.80394337972003
21832,-4.69547627766925
21831,-4.69449208577472
21830,-5.68210703531899
21829,-5.47972717285154
21828,-4.24998575846352
21827,-5.72283528645831
21826,-3.62282409667966
21825,-5.70084228515623
21824,-5.40528462727862
21823,-5.32321014404295
21822,-3.32780049641925
21821,-5.08621826171873
21820,-7.28217163085935
21819,-4.03037109374998
21818,-6.90282541910805
21817,-6.14309794108071
21816,-5.63528798421222
21815,-4.9737838745117
21814,-4.68053283691404
21813,-3.68569539388019
21812,-4.32251841227211
21811,-5.59783020019529
21810,-7.885844930013
21809,-5.00263061523435
21808,-7.23654276529946
21807,-5.07531331380206
21806,-5.81146850585935
21805,-3.79039611816404
21804,-5.18183492024737
21803,-2.71240336100258
21802,-4.20687967936196
21801,-4.09991048177081
21800,-5.81243489583331
21799,-4.96791687011716
21798,-4.40975545247394
21797,-4.36473948160805
21796,-6.00723622639972
21795,-6.67599334716795
21794,-3.95059305826821
21793,-4.91914215087888
21792,-4.58318684895831
21791,-5.36315765380857
21790,-6.39769337972003
21789,-4.51850992838539
21788,-4.28279724121091
21787,-4.37694396972654
21786,-7.25481770833331
21785,-5.11824645996091
21784,-4.02653605143227
