"Winter months (December-January-February) of each years [yr BP]","Average winter mean temperature [degree C]"
21998,-44.3961293538411
21997,-44.3704030354818
21996,-45.9183003743489
21995,-43.0969451904297
21994,-46.1434743245443
21993,-43.1358245849609
21992,-46.6983805338541
21991,-46.0432851155599
21990,-44.1178192138672
21989,-47.8881032307943
21988,-46.3539235432943
21987,-45.9441741943359
21986,-47.5669464111328
21985,-44.6544555664062
21984,-44.0650085449219
21983,-45.4061391194661
21982,-44.262803141276
21981,-48.045273844401
21980,-45.4424397786458
21979,-45.1435455322265
21978,-45.6948252360026
21977,-47.3793701171875
21976,-45.2377532958984
21975,-46.2613840738932
21974,-45.8939778645833
21973,-43.4191802978515
21972,-43.4014190673828
21971,-45.6084706624349
21970,-44.8386393229166
21969,-46.7892161051432
21968,-43.6324422200521
21967,-44.3405771891276
21966,-46.0375376383463
21965,-43.8406636555989
21964,-46.3783426920573
21963,-47.6542114257812
21962,-47.4398661295573
21961,-47.2369852701823
21960,-42.9265248616536
21959,-46.8300435384114
21958,-46.0380920410156
21957,-47.3756469726562
21956,-45.8173075358073
21955,-47.0294199625651
21954,-45.7030598958333
21953,-46.3044647216797
21952,-43.6515309651693
21951,-45.7777567545573
21950,-45.7318481445312
21949,-43.5502482096354
21948,-44.3941304524739
21947,-45.045263671875
21946,-43.6813364664713
21945,-46.0860605875651
21944,-44.894883219401
21943,-45.9174001057943
21942,-44.8669850667318
21941,-42.3792734781901
21940,-44.2868052164713
21939,-45.9470479329427
21938,-44.7273162841797
21937,-43.9108642578125
21936,-43.7124338785807
21935,-46.3488525390625
21934,-45.7020222981771
21933,-45.6556762695312
21932,-42.4955912272135
21931,-44.608984375
21930,-43.5404978434245
21929,-45.6006530761719
21928,-43.6760060628255
21927,-48.3656575520833
21926,-46.4924936930338
21925,-46.5694234212239
21924,-42.402695719401
21923,-46.0062367757161
21922,-46.5876932779948
21921,-46.271831258138
21920,-45.6005818684896
21919,-46.1153574625651
21918,-44.2981018066406
21917,-44.7188069661458
21916,-46.9180409749349
21915,-45.2768361409505
21914,-44.6420196533203
21913,-44.9729726155599
21912,-45.8559936523437
21911,-42.8692840576172
21910,-45.9515543619791
21909,-43.6657928466797
21908,-44.5940256754557
21907,-46.0431223551432
21906,-44.9062204996745
21905,-43.9889994303385
21904,-43.649766031901
21903,-46.5864827473958
21902,-44.3964192708333
21901,-46.2826955159505
21900,-42.8659118652344
21899,-46.897065226237
21898,-44.3856719970703
21897,-47.4804392496745
21896,-45.0553548177083
21895,-47.7143157958984
21894,-46.0157430013021
21893,-46.3733581542969
21892,-46.8800720214844
21891,-43.1589213053385
21890,-43.8224446614583
21889,-44.4846201578776
21888,-45.2442637125651
21887,-43.8177805582682
21886,-47.0547597249349
21885,-44.9345153808594
21884,-46.4354207356771
21883,-43.5374867757161
21882,-47.5374918619791
21881,-44.0220041910807
21880,-45.2742370605469
21879,-46.9913391113281
21878,-47.0163431803385
21877,-49.8191691080729
21876,-45.1805989583333
21875,-43.7468221028646
21874,-45.47958984375
21873,-44.7007151285807
21872,-43.2502197265625
21871,-46.9773569742838
21870,-43.3336293538411
21869,-44.6506154378255
21868,-46.006440226237
21867,-44.2561045328776
21866,-45.0029357910156
21865,-45.0683146158854
21864,-46.6985534667969
21863,-44.4982360839844
21862,-44.8506479899088
21861,-47.3791158040364
21860,-43.8886678059896
21859,-48.1202911376953
21858,-45.0266988118489
21857,-44.0965637207031
21856,-44.5991322835286
21855,-47.4560455322265
21854,-45.1722473144531
21853,-45.1129160563151
21852,-46.906357828776
21851,-42.5961975097656
21850,-44.8645487467448
21849,-45.1330423990885
21848,-45.5297861735026
21847,-45.8107716878255
21846,-45.0746317545573
21845,-44.7224538167318
21844,-44.1508951822916
21843,-43.5974385579427
21842,-47.6567443847656
21841,-45.1967529296875
21840,-47.8588419596354
21839,-43.6142181396484
21838,-46.3639485677083
21837,-46.2566284179687
21836,-48.2864237467448
21835,-47.7905893961588
21834,-46.7677978515625
21833,-45.3586537679036
21832,-44.4041707356771
21831,-42.8520823160807
21830,-47.7413441975911
21829,-43.7922271728515
21828,-47.6504425048828
21827,-45.4066375732422
21826,-46.3275512695312
21825,-46.7041890462239
21824,-46.1869669596354
21823,-44.2505757649739
21822,-44.5128133138021
21821,-45.5398366292318
21820,-45.9137329101562
21819,-46.1811991373698
21818,-46.207861328125
21817,-46.5860656738281
21816,-44.5498819986979
21815,-44.7367869059245
21814,-45.6884775797526
21813,-45.7945566813151
21812,-46.1304229736328
21811,-45.2777058919271
21810,-46.8770711263021
21809,-47.2058319091797
21808,-45.5991729736328
21807,-45.3788106282552
21806,-46.3830373128255
21805,-46.1608388264974
21804,-43.9930633544922
21803,-46.0787363688151
21802,-47.9767262776693
21801,-47.6811991373698
21800,-44.5560262044271
21799,-46.0171620686849
21798,-44.0436564127604
21797,-44.5954091389974
21796,-48.1923177083333
21795,-46.8756368001302
21794,-46.8433135986328
21793,-44.1640380859375
21792,-45.6955627441406
21791,-47.3088338216146
21790,-43.9031433105469
21789,-44.4795542399088
21788,-44.0324005126953
21787,-44.6121480305989
21786,-44.8714965820312
21785,-45.9592091878255
21784,-44.8577128092448
21783,-46.1865702311198
