"Summer months (Jule-July-August) of each years [yr BP]","Average summer mean temperature [degree C]"
21999,-19.3552459716797
21998,-17.9943552652995
21997,-17.591416422526
21996,-18.5161142985026
21995,-18.6083079020182
21994,-19.1944997151692
21993,-19.3755859375
21992,-20.0105499267578
21991,-18.5352386474609
21990,-19.0914825439453
21989,-18.4739440917969
21988,-19.2770141601562
21987,-19.0746571858724
21986,-20.224462890625
21985,-18.1921244303385
21984,-18.0204833984375
21983,-20.2468678792317
21982,-20.7254140218099
21981,-17.9701344807942
21980,-20.0477406819661
21979,-19.187109375
21978,-19.9608113606771
21977,-18.5965891520182
21976,-16.7538157145182
21975,-19.547944132487
21974,-17.8089253743489
21973,-18.8182027180989
21972,-18.566010538737
21971,-17.5830240885416
21970,-19.425395711263
21969,-20.248887125651
21968,-19.5012318929036
21967,-18.8297892252604
21966,-18.3598286946614
21965,-19.4701802571614
21964,-20.1960917154948
21963,-19.2745574951172
21962,-18.5524505615234
21961,-20.3203999837239
21960,-18.6237803141276
21959,-18.2244374593099
21958,-18.7380482991536
21957,-20.0307118733724
21956,-18.3246368408203
21955,-19.1818603515625
21954,-19.2014373779297
21953,-17.3526265462239
21952,-17.6199045817057
21951,-18.6032267252604
21950,-18.8695943196614
21949,-17.8219156901041
21948,-17.5488952636719
21947,-17.2711395263672
21946,-17.6936248779297
21945,-20.8558868408203
21944,-17.410025024414
21943,-20.450059000651
21942,-20.9849202473958
21941,-19.6527974446614
21940,-17.6564341227213
21939,-17.5352844238281
21938,-20.6332356770833
21937,-19.7735249837239
21936,-17.1945505777995
21935,-18.3862823486328
21934,-17.2041280110677
21933,-17.8916534423828
21932,-21.1811838785807
21931,-20.1597401936849
21930,-19.2931681315104
21929,-19.3258117675781
21928,-17.4073598225911
21927,-20.0590016682942
21926,-18.7088073730469
21925,-19.7403167724609
21924,-16.9942281087239
21923,-20.1062479654948
21922,-18.8051869710286
21921,-18.8346160888672
21920,-19.0667836507161
21919,-19.1868398030599
21918,-20.1373250325521
21917,-17.2636830647786
21916,-20.4976053873698
21915,-21.3452412923177
21914,-18.9357971191406
21913,-19.6502136230469
21912,-17.4999247233073
21911,-21.0985626220703
21910,-19.3684600830078
21909,-19.0546783447265
21908,-19.1849833170573
21907,-21.117783610026
21906,-18.1343292236328
21905,-17.826020304362
21904,-19.1996266682942
21903,-19.2246358235677
21902,-19.8951883951823
21901,-20.1336680094401
21900,-20.7053639729817
21899,-20.0533508300781
21898,-20.7951059977213
21897,-19.3740753173828
21896,-19.0762898763021
21895,-20.3032440185547
21894,-17.8098663330078
21893,-18.0045583089192
21892,-18.2075052897135
21891,-18.5628926595052
21890,-19.7480173746745
21889,-18.1305603027344
21888,-17.8214528401692
21887,-19.7013254801432
21886,-19.4119069417317
21885,-19.4348866780599
21884,-19.7342742919922
21883,-18.6350565592448
21882,-18.1617848714192
21881,-19.1135925292969
21880,-19.5187133789062
21879,-19.0280975341797
21878,-17.9909322102864
21877,-18.0119791666666
21876,-17.6249298095703
21875,-16.453461710612
21874,-19.1916514078776
21873,-18.6227427164713
21872,-18.4177001953125
21871,-18.2484903971354
21870,-17.5969146728515
21869,-18.4769399007161
21868,-19.2107808430989
21867,-16.6607065836588
21866,-17.6985483805338
21865,-20.6569376627604
21864,-19.3850362141927
21863,-19.4285847981771
21862,-17.1127736409505
21861,-17.0763509114583
21860,-18.4970764160156
21859,-17.8443817138672
21858,-18.8998575846354
21857,-19.4089365641276
21856,-18.4228474934896
21855,-19.259135945638
21854,-17.8047037760416
21853,-17.4150044759114
21852,-16.6728169759114
21851,-17.1268625895182
21850,-17.4306955973307
21849,-17.7351898193359
21848,-18.3396311442057
21847,-20.1745412190755
21846,-19.4287577311198
21845,-18.5067860921224
21844,-20.0052907307942
21843,-20.5686350504557
21842,-19.1051188151041
21841,-20.8999898274739
21840,-19.1200368245442
21839,-19.5844126383463
21838,-18.9385335286458
21837,-21.7666280110677
21836,-19.1476501464844
21835,-18.3062296549479
21834,-16.8048716227213
21833,-18.3205729166666
21832,-20.760366821289
21831,-19.0328684488932
21830,-17.9130004882812
21829,-16.2485819498698
21828,-19.2101857503255
21827,-20.7302866617838
21826,-17.9332946777344
21825,-18.4208079020182
21824,-19.7607737223307
21823,-20.9366973876953
21822,-17.2844095865885
21821,-19.2847859700521
21820,-20.3316304524739
21819,-21.9445404052734
21818,-16.7790334065755
21817,-18.3153900146484
21816,-19.700791422526
21815,-17.3385172526041
21814,-18.8986368815104
21813,-17.4692749023437
21812,-20.8368693033854
21811,-17.605332438151
21810,-19.9557149251302
21809,-18.3838460286458
21808,-18.3773610432942
21807,-18.2695831298828
21806,-18.8500834147135
21805,-20.3845225016276
21804,-16.9536092122396
21803,-19.8503733317057
21802,-17.871939086914
21801,-19.3240366617838
21800,-19.0746368408203
21799,-17.3657287597656
21798,-19.9212249755859
21797,-20.9278523763021
21796,-20.0022237141927
21795,-18.1428894042969
21794,-19.00986328125
21793,-17.6249145507812
21792,-17.9813242594401
21791,-16.9790608723958
21790,-20.2014170328776
21789,-18.1418162027995
21788,-17.1841491699219
21787,-17.3728190104166
21786,-19.9696919759114
21785,-19.3312489827474
21784,-19.3135996500651
21783,-19.9238647460937
21782,-18.3656117757161
21781,-19.932964070638
21780,-18.9358022054036
21779,-21.1743021647135
21778,-20.4561065673828
21777,-17.8555002848307
21776,-17.4912170410156
21775,-19.9868174235026
21774,-19.7320922851562
21773,-18.049180094401
21772,-18.1324727376302
21771,-19.586274210612
21770,-18.3840189615885
21769,-17.9769958496094
21768,-18.9325063069661
21767,-19.5784515380859
21766,-18.716904703776
21765,-17.6223256429036
21764,-20.1335306803385
21763,-18.2949991861979
21762,-17.5016082763672
21761,-19.710053507487
21760,-16.851421101888
21759,-18.4585072835286
21758,-18.4765177408854
21757,-19.7155415852864
21756,-19.4619049072265
21755,-18.9885772705078
21754,-18.8349517822265
21753,-19.0095072428385
21752,-17.7081614176432
21751,-17.2853098551432
21750,-18.9571034749349
21749,-19.0349131266276
21748,-20.4639394124349
21747,-18.2814900716146
21746,-17.8363149007161
21745,-19.4905202229817
21744,-19.9303751627604
21743,-19.501084391276
21742,-18.635361735026
21741,-17.8231262207031
21740,-17.737168375651
21739,-17.5365712483724
21738,-17.7964182535807
21737,-18.9213724772135
21736,-18.8850769042969
21735,-19.1966003417969
21734,-19.6262115478515
21733,-19.8068959554036
21732,-19.7569946289062
21731,-18.2126729329427
21730,-18.7452606201172
21729,-20.051626586914
21728,-18.6926839192708
21727,-18.7595479329427
21726,-19.0039479573567
21725,-20.0207377115885
21724,-18.9147501627604
21723,-20.6012481689453
21722,-19.0572163899739
21721,-17.4330759684245
21720,-18.404638671875
21719,-18.4830993652344
21718,-18.8801432291666
21717,-18.2511403401692
21716,-18.8386901855469
21715,-18.3435272216797
21714,-17.4205078125
21713,-20.4298665364583
21712,-16.9409800211588
21711,-16.5548563639323
21710,-21.1395375569661
21709,-16.6209065755208
21708,-17.6428385416666
21707,-19.6946268717448
21706,-19.6449340820312
21705,-17.6839864095052
21704,-20.1844085693359
21703,-19.2018086751302
21702,-17.7210194905599
21701,-17.4101877848307
21700,-19.0881103515625
21699,-18.5094512939453
21698,-19.5218109130859
21697,-19.2926900227864
21696,-19.5095123291015
21695,-18.9128936767578
21694,-16.1144724527995
21693,-18.8048512776692
21692,-17.9242360432942
21691,-19.0873881022135
21690,-19.0345926920573
21689,-21.4348714192708
21688,-18.666855875651
21687,-19.4514678955078
21686,-18.6245788574219
21685,-16.3192860921224
21684,-18.5000061035156
21683,-16.8878540039062
21682,-17.0094411214192
21681,-19.4516866048177
21680,-17.640483601888
21679,-19.0372782389323
21678,-18.6704722086588
21677,-18.661240641276
