"Calendar years [yr BP]","Average yearly mean temperature [degree C]"
21999,-33.0209678649902
21998,-31.9022837320963
21997,-33.2909123738607
21996,-33.3083760579427
21995,-32.6870343526204
21994,-33.2025423685709
21993,-33.4718663533528
21992,-33.2576850891113
21991,-33.7166783650716
21990,-33.0117464701334
21989,-33.0204605102539
21988,-32.8961102803548
21987,-33.8735094706217
21986,-33.6502835591634
21985,-33.2723932902018
21984,-32.6816836039225
21983,-33.8805056254069
21982,-34.8950675964355
21981,-32.73167775472
21980,-33.2219235738118
21979,-32.7082542419433
21978,-34.397745513916
21977,-33.6429072062174
21976,-32.7085695902506
21975,-32.969278717041
21974,-32.7142611185709
21973,-32.5067403157552
21972,-32.7345464070638
21971,-32.4766537984212
21970,-32.9719337463379
21969,-33.7803316752116
21968,-33.653308614095
21967,-33.0295827229818
21966,-32.9107218424479
21965,-33.8246813456217
21964,-33.6053108215332
21963,-34.4185559590657
21962,-34.2572044372558
21961,-33.68076171875
21960,-32.9692036946614
21959,-34.3296417236328
21958,-32.8523022969564
21957,-33.0949628194173
21956,-32.8834632873535
21955,-33.5199251810709
21954,-32.9625839233398
21953,-33.295746866862
21952,-32.6769762674967
21951,-32.9477625528971
21950,-32.2576647440592
21949,-33.2280652364095
21948,-32.1708969116211
21947,-32.3000625610351
21946,-32.4785242716471
21945,-32.8179382324219
21944,-32.3442443847656
21943,-33.033544921875
21942,-33.2236605326334
21941,-33.0378784179687
21940,-33.0568171183268
21939,-32.3118677775065
21938,-34.0043370564778
21937,-32.6511291503906
21936,-32.4479927062988
21935,-33.5980794270833
21934,-32.1159945170084
21933,-33.3488283793131
21932,-33.1089487711588
21931,-33.2302218119303
21930,-33.1732683817545
21929,-32.3284680684407
21928,-33.0299692789713
21927,-33.9889739990234
21926,-32.9582491556803
21925,-33.7690452575683
21924,-32.5370061238607
21923,-33.2169085184733
21922,-34.817662302653
21921,-33.0530075073242
21920,-32.9085093180338
21919,-32.7990809122721
21918,-33.2025538126627
21917,-33.3201825459798
21916,-33.3806874593099
21915,-34.18484471639
21914,-32.9606282552083
21913,-32.8620653788248
21912,-32.78298924764
21911,-33.7629188537597
21910,-32.9202395121256
21909,-33.0839612325032
21908,-32.8225908915202
21907,-33.7978525797526
21906,-31.6164459228515
21905,-32.0756413777669
21904,-32.6348759969075
21903,-33.2667449951172
21902,-32.8923286437988
21901,-32.9061721801758
21900,-33.9779113769531
21899,-33.3699630737304
21898,-33.2797302246094
21897,-34.0101099650065
21896,-32.4484682718913
21895,-34.4170097351074
21894,-32.431571706136
21893,-33.309309387207
21892,-32.4414632161458
21891,-33.474291229248
21890,-32.8004898071289
21889,-32.6341842651367
21888,-32.4659739176432
21887,-33.43529103597
21886,-33.978934987386
21885,-33.4065282185872
21884,-34.0291516621907
21883,-33.4379969278971
21882,-33.276480102539
21881,-33.1503573099772
21880,-32.8546712239583
21879,-33.2814913431803
21878,-33.6486216227213
21877,-34.6495918273926
21876,-31.8313659667969
21875,-32.1926597595215
21874,-33.5398646036784
21873,-32.8792861938476
21872,-32.7700167338053
21871,-33.199311319987
21870,-31.8771817525228
21869,-33.560285949707
21868,-33.5251118977864
21867,-31.3706331888834
21866,-33.0137440999349
21865,-33.3750022888183
21864,-34.1171058654785
21863,-32.3029426574707
21862,-33.2124605814616
21861,-32.9320943196614
21860,-34.0049168904622
21859,-33.0018905639648
21858,-33.5251754760742
21857,-33.7231213887532
21856,-33.1530186971028
21855,-32.5897939046224
21854,-33.2688659667969
21853,-31.6938143412272
21852,-32.4910987854004
21851,-31.9732930501302
21850,-31.9981000264485
21849,-32.724228922526
21848,-33.3288762410482
21847,-32.8196701049804
21846,-33.3733428955078
21845,-33.0809272766113
